calendar_year,year_from_start,species,scenario,warming_c,northward_shift_km,habitat_center_lat,distance_from_scottish_small_fleet_km,within_small_boat_range
2030,10,Scottish mackerel,best_case_slow_warming,0.16,22.737,57.2048,117.737,True
2035,15,Scottish mackerel,best_case_slow_warming,0.24,34.105,57.3073,129.105,True
2040,20,Scottish mackerel,best_case_slow_warming,0.32,45.473,57.4097,140.473,True
2045,25,Scottish mackerel,best_case_slow_warming,0.4,56.842,57.5121,151.842,True
2050,30,Scottish mackerel,best_case_slow_warming,0.48,68.21,57.6145,163.21,True
2055,35,Scottish mackerel,best_case_slow_warming,0.56,79.578,57.7169,174.578,False
2060,40,Scottish mackerel,best_case_slow_warming,0.64,90.947,57.8193,185.947,False
2065,45,Scottish mackerel,best_case_slow_warming,0.72,102.315,57.9218,197.315,False
2070,50,Scottish mackerel,best_case_slow_warming,0.8,113.683,58.0242,208.683,False
2020,0,Scottish mackerel,most_likely_warming,0.0,0.0,57.0,95.0,True
2025,5,Scottish mackerel,most_likely_warming,0.16,22.737,57.2048,117.737,True
2030,10,Scottish mackerel,most_likely_warming,0.32,45.473,57.4097,140.473,True
2035,15,Scottish mackerel,most_likely_warming,0.48,68.21,57.6145,163.21,True
2040,20,Scottish mackerel,most_likely_warming,0.64,90.947,57.8193,185.947,False
2045,25,Scottish mackerel,most_likely_warming,0.8,113.683,58.0242,208.683,False
2050,30,Scottish mackerel,most_likely_warming,0.96,136.42,58.229,231.42,False
2055,35,Scottish mackerel,most_likely_warming,1.12,159.156,58.4338,254.156,False
2060,40,Scottish mackerel,most_likely_warming,1.28,181.893,58.6387,276.893,False
2065,45,Scottish mackerel,most_likely_warming,1.44,204.63,58.8435,299.63,False
2070,50,Scottish mackerel,most_likely_warming,1.6,227.366,59.0483,322.366,False
2020,0,Scottish mackerel,worst_case_fast_warming,0.0,0.0,57.0,95.0,True
2025,5,Scottish mackerel,worst_case_fast_warming,0.26,36.947,57.3329,131.947,True
2030,10,Scottish mackerel,worst_case_fast_warming,0.52,73.894,57.6657,168.894,True
2035,15,Scottish mackerel,worst_case_fast_warming,0.78,110.841,57.9986,205.841,False
2040,20,Scottish mackerel,worst_case_fast_warming,1.04,147.788,58.3314,242.788,False
2045,25,Scottish mackerel,worst_case_fast_warming,1.3,184.735,58.6643,279.735,False
2050,30,Scottish mackerel,worst_case_fast_warming,1.56,221.682,58.9971,316.682,False
2055,35,Scottish mackerel,worst_case_fast_warming,1.82,258.629,59.33,353.629,False
2060,40,Scottish mackerel,worst_case_fast_warming,2.08,295.576,59.6628,390.576,False
2065,45,Scottish mackerel,worst_case_fast_warming,2.34,332.523,59.9957,427.523,False
2070,50,Scottish mackerel,worst_case_fast_warming,2.6,369.47,60.3286,464.47,False
