forest,plan,year,live_carbon_t_per_ha,soil_carbon_t_per_ha,product_carbon_t_per_ha,substitution_credit_t_carbon_per_ha,total_co2e_t_per_ha
temperate mixed hardwood community forest,selective_60_year,44,178.8788,82.6088,0.0,0.0,958.7879
temperate mixed hardwood community forest,selective_60_year,45,179.8135,82.6181,0.0,0.0,962.2495
temperate mixed hardwood community forest,selective_60_year,46,180.7294,82.6273,0.0,0.0,965.6412
temperate mixed hardwood community forest,selective_60_year,47,181.6267,82.6363,0.0,0.0,968.9641
temperate mixed hardwood community forest,selective_60_year,48,182.5056,82.6451,0.0,0.0,972.2189
temperate mixed hardwood community forest,selective_60_year,49,183.3664,82.6537,0.0,0.0,975.4068
temperate mixed hardwood community forest,selective_60_year,50,184.2093,82.6621,0.0,0.0,978.5285
temperate mixed hardwood community forest,selective_60_year,51,185.0347,82.6703,0.0,0.0,981.5852
temperate mixed hardwood community forest,selective_60_year,52,185.8427,82.6784,0.0,0.0,984.5776
temperate mixed hardwood community forest,selective_60_year,53,186.6337,82.6863,0.0,0.0,987.507
temperate mixed hardwood community forest,selective_60_year,54,187.408,82.6941,0.0,0.0,990.3742
temperate mixed hardwood community forest,selective_60_year,55,188.1657,82.7017,0.0,0.0,993.1802
temperate mixed hardwood community forest,selective_60_year,56,188.9072,82.7091,0.0,0.0,995.9261
temperate mixed hardwood community forest,selective_60_year,57,189.6327,82.7163,0.0,0.0,998.613
temperate mixed hardwood community forest,selective_60_year,58,190.3425,82.7234,0.0,0.0,1001.2417
temperate mixed hardwood community forest,selective_60_year,59,191.0369,82.7304,0.0,0.0,1003.8134
temperate mixed hardwood community forest,selective_60_year,60,191.7162,82.7372,0.0,0.0,1006.329
temperate mixed hardwood community forest,selective_60_year,61,138.5141,83.9289,48.4799,8.3385,1023.9585
temperate mixed hardwood community forest,selective_60_year,62,139.7316,83.941,47.1309,8.2133,1023.0619
temperate mixed hardwood community forest,selective_60_year,63,140.9354,83.9531,45.9044,8.0931,1022.5823
temperate mixed hardwood community forest,selective_60_year,64,142.1253,83.965,44.7828,7.9775,1022.4522
temperate mixed hardwood community forest,selective_60_year,65,143.3012,83.9767,43.7511,7.8659,1022.6148
temperate mixed hardwood community forest,selective_60_year,66,144.4629,83.9884,42.7968,7.758,1023.022
temperate mixed hardwood community forest,selective_60_year,67,145.6103,83.9998,41.9092,7.6534,1023.6332
temperate mixed hardwood community forest,selective_60_year,68,146.7434,84.0112,41.0793,7.5518,1024.4142
temperate mixed hardwood community forest,selective_60_year,69,147.8621,84.0224,40.2996,7.453,1025.3359
temperate mixed hardwood community forest,selective_60_year,70,148.9663,84.0334,39.5637,7.3567,1026.3737
temperate mixed hardwood community forest,selective_60_year,71,150.0561,84.0443,38.8661,7.2627,1027.507
temperate mixed hardwood community forest,selective_60_year,72,151.1313,84.055,38.2022,7.171,1028.7181
temperate mixed hardwood community forest,selective_60_year,73,152.1919,84.0656,37.5681,7.0812,1029.9921
temperate mixed hardwood community forest,selective_60_year,74,153.238,84.0761,36.9605,6.9934,1031.3163
temperate mixed hardwood community forest,selective_60_year,75,154.2695,84.0864,36.3766,6.9074,1032.68
temperate mixed hardwood community forest,selective_60_year,76,155.2864,84.0966,35.814,6.8231,1034.074
temperate mixed hardwood community forest,selective_60_year,77,156.2888,84.1066,35.2706,6.7405,1035.4906
temperate mixed hardwood community forest,selective_60_year,78,157.2767,84.1165,34.7446,6.6594,1036.9232
temperate mixed hardwood community forest,selective_60_year,79,158.2502,84.1262,34.2346,6.5798,1038.3661
temperate mixed hardwood community forest,selective_60_year,80,159.2092,84.1358,33.7392,6.5016,1039.8145
temperate mixed hardwood community forest,selective_60_year,81,160.1538,84.1453,33.2573,6.4248,1041.2643
temperate mixed hardwood community forest,selective_60_year,82,161.0842,84.1546,32.788,6.3493,1042.7121
temperate mixed hardwood community forest,selective_60_year,83,162.0003,84.1637,32.3304,6.2751,1044.1548
temperate mixed hardwood community forest,selective_60_year,84,162.9023,84.1728,31.8837,6.2021,1045.59
temperate mixed hardwood community forest,selective_60_year,85,163.7903,84.1816,31.4474,6.1303,1047.0153
temperate mixed hardwood community forest,selective_60_year,86,164.6642,84.1904,31.0209,6.0597,1048.429
temperate mixed hardwood community forest,selective_60_year,87,165.5243,84.199,30.6036,5.9902,1049.8294
temperate mixed hardwood community forest,selective_60_year,88,166.3707,84.2074,30.1951,5.9219,1051.2152
temperate mixed hardwood community forest,selective_60_year,89,167.2033,84.2158,29.795,5.8546,1052.5853
temperate mixed hardwood community forest,selective_60_year,90,168.0225,84.224,29.403,5.7883,1053.9386
temperate mixed hardwood community forest,selective_60_year,91,168.8282,84.232,29.0188,5.7231,1055.2743
temperate mixed hardwood community forest,selective_60_year,92,169.6206,84.2399,28.642,5.6589,1056.5918
temperate mixed hardwood community forest,selective_60_year,93,170.3998,84.2477,28.2723,5.5956,1057.8903
temperate mixed hardwood community forest,selective_60_year,94,171.166,84.2554,27.9097,5.5333,1059.1695
temperate mixed hardwood community forest,selective_60_year,95,171.9193,84.2629,27.5537,5.472,1060.4289
temperate mixed hardwood community forest,selective_60_year,96,172.6598,84.2703,27.2042,5.4115,1061.6681
temperate mixed hardwood community forest,selective_60_year,97,173.3877,84.2776,26.861,5.3519,1062.8869
temperate mixed hardwood community forest,selective_60_year,98,174.1031,84.2848,26.524,5.2932,1064.0852
temperate mixed hardwood community forest,selective_60_year,99,174.8061,84.2918,26.1929,5.2354,1065.2626
temperate mixed hardwood community forest,selective_60_year,100,175.4969,84.2987,25.8676,5.1784,1066.4192
temperate mixed hardwood community forest,extended_50_year,0,118.0,82.0,0.0,0.0,733.3333
temperate mixed hardwood community forest,extended_50_year,1,119.7567,82.0176,0.0,0.0,739.8391
temperate mixed hardwood community forest,extended_50_year,2,121.5028,82.035,0.0,0.0,746.3056
temperate mixed hardwood community forest,extended_50_year,3,123.2375,82.0524,0.0,0.0,752.7296
temperate mixed hardwood community forest,extended_50_year,4,124.96,82.0696,0.0,0.0,759.1085
temperate mixed hardwood community forest,extended_50_year,5,126.6695,82.0867,0.0,0.0,765.4395
temperate mixed hardwood community forest,extended_50_year,6,128.3654,82.1037,0.0,0.0,771.7199
temperate mixed hardwood community forest,extended_50_year,7,130.047,82.1205,0.0,0.0,777.9473
temperate mixed hardwood community forest,extended_50_year,8,131.7136,82.1371,0.0,0.0,784.1194
temperate mixed hardwood community forest,extended_50_year,9,133.3647,82.1536,0.0,0.0,790.2338
temperate mixed hardwood community forest,extended_50_year,10,134.9996,82.17,0.0,0.0,796.2884
temperate mixed hardwood community forest,extended_50_year,11,136.6178,82.1862,0.0,0.0,802.2811
temperate mixed hardwood community forest,extended_50_year,12,138.2188,82.2022,0.0,0.0,808.2102
temperate mixed hardwood community forest,extended_50_year,13,139.8021,82.218,0.0,0.0,814.0738
temperate mixed hardwood community forest,extended_50_year,14,141.3673,82.2337,0.0,0.0,819.8702
temperate mixed hardwood community forest,extended_50_year,15,142.9139,82.2491,0.0,0.0,825.5979
temperate mixed hardwood community forest,extended_50_year,16,144.4416,82.2644,0.0,0.0,831.2556
temperate mixed hardwood community forest,extended_50_year,17,145.9501,82.2795,0.0,0.0,836.8418
temperate mixed hardwood community forest,extended_50_year,18,147.4389,82.2944,0.0,0.0,842.3555
temperate mixed hardwood community forest,extended_50_year,19,148.9079,82.3091,0.0,0.0,847.7956
temperate mixed hardwood community forest,extended_50_year,20,150.3567,82.3236,0.0,0.0,853.161
temperate mixed hardwood community forest,extended_50_year,21,151.7852,82.3379,0.0,0.0,858.4511
temperate mixed hardwood community forest,extended_50_year,22,153.1931,82.3519,0.0,0.0,863.665
temperate mixed hardwood community forest,extended_50_year,23,154.5802,82.3658,0.0,0.0,868.8021
temperate mixed hardwood community forest,extended_50_year,24,155.9465,82.3795,0.0,0.0,873.862
temperate mixed hardwood community forest,extended_50_year,25,157.2918,82.3929,0.0,0.0,878.8441
temperate mixed hardwood community forest,extended_50_year,26,158.6161,82.4062,0.0,0.0,883.7482
temperate mixed hardwood community forest,extended_50_year,27,159.9192,82.4192,0.0,0.0,888.574
temperate mixed hardwood community forest,extended_50_year,28,161.2011,82.432,0.0,0.0,893.3214
temperate mixed hardwood community forest,extended_50_year,29,162.4618,82.4446,0.0,0.0,897.9903
temperate mixed hardwood community forest,extended_50_year,30,163.7014,82.457,0.0,0.0,902.5808
temperate mixed hardwood community forest,extended_50_year,31,164.9198,82.4692,0.0,0.0,907.0929
temperate mixed hardwood community forest,extended_50_year,32,166.117,82.4812,0.0,0.0,911.5268
temperate mixed hardwood community forest,extended_50_year,33,167.2933,82.4929,0.0,0.0,915.8828
temperate mixed hardwood community forest,extended_50_year,34,168.4486,82.5045,0.0,0.0,920.1612
temperate mixed hardwood community forest,extended_50_year,35,169.583,82.5158,0.0,0.0,924.3624
temperate mixed hardwood community forest,extended_50_year,36,170.6967,82.527,0.0,0.0,928.4868
temperate mixed hardwood community forest,extended_50_year,37,171.7898,82.5379,0.0,0.0,932.5349
temperate mixed hardwood community forest,extended_50_year,38,172.8624,82.5486,0.0,0.0,936.5072
temperate mixed hardwood community forest,extended_50_year,39,173.9148,82.5591,0.0,0.0,940.4045
temperate mixed hardwood community forest,extended_50_year,40,174.947,82.5695,0.0,0.0,944.2272
temperate mixed hardwood community forest,extended_50_year,41,175.9594,82.5796,0.0,0.0,947.9762
temperate mixed hardwood community forest,extended_50_year,42,176.952,82.5895,0.0,0.0,951.6521
temperate mixed hardwood community forest,extended_50_year,43,177.9251,82.5993,0.0,0.0,955.2558
temperate mixed hardwood community forest,extended_50_year,44,178.8788,82.6088,0.0,0.0,958.7879
temperate mixed hardwood community forest,extended_50_year,45,179.8135,82.6181,0.0,0.0,962.2495
temperate mixed hardwood community forest,extended_50_year,46,180.7294,82.6273,0.0,0.0,965.6412
temperate mixed hardwood community forest,extended_50_year,47,181.6267,82.6363,0.0,0.0,968.9641
temperate mixed hardwood community forest,extended_50_year,48,182.5056,82.6451,0.0,0.0,972.2189
temperate mixed hardwood community forest,extended_50_year,49,183.3664,82.6537,0.0,0.0,975.4068
temperate mixed hardwood community forest,extended_50_year,50,184.2093,82.6621,0.0,0.0,978.5285
temperate mixed hardwood community forest,extended_50_year,51,107.3201,84.3801,69.9431,11.5795,1001.8169
temperate mixed hardwood community forest,extended_50_year,52,108.6779,84.3936,67.7339,11.3921,998.0578
temperate mixed hardwood community forest,extended_50_year,53,110.0293,84.4072,65.7417,11.2134,995.1026
temperate mixed hardwood community forest,extended_50_year,54,111.374,84.4206,63.9348,11.0423,992.8295
temperate mixed hardwood community forest,extended_50_year,55,112.7114,84.434,62.2863,10.878,991.1358
temperate mixed hardwood community forest,extended_50_year,56,114.0413,84.4473,60.7737,10.7198,989.9343
temperate mixed hardwood community forest,extended_50_year,57,115.3633,84.4605,59.3778,10.5669,989.1515
temperate mixed hardwood community forest,extended_50_year,58,116.677,84.4736,58.0826,10.419,988.7251
temperate mixed hardwood community forest,extended_50_year,59,117.9821,84.4867,56.8744,10.2756,988.6023
temperate mixed hardwood community forest,extended_50_year,60,119.2782,84.4996,55.7418,10.1362,988.7383
temperate mixed hardwood community forest,extended_50_year,61,120.565,84.5125,54.6751,10.0006,989.0952
temperate mixed hardwood community forest,extended_50_year,62,121.8423,84.5253,53.666,9.8684,989.6404
temperate mixed hardwood community forest,extended_50_year,63,123.1096,84.538,52.7075,9.7395,990.3466
temperate mixed hardwood community forest,extended_50_year,64,124.3668,84.5505,51.7937,9.6135,991.1901
temperate mixed hardwood community forest,extended_50_year,65,125.6136,84.563,50.9196,9.4904,992.1508
temperate mixed hardwood community forest,extended_50_year,66,126.8497,84.5754,50.081,9.3699,993.2116
temperate mixed hardwood community forest,extended_50_year,67,128.0749,84.5876,49.2741,9.2519,994.3577
temperate mixed hardwood community forest,extended_50_year,68,129.2889,84.5998,48.4959,9.1363,995.5763
temperate mixed hardwood community forest,extended_50_year,69,130.4916,84.6118,47.7436,9.0229,996.8566
temperate mixed hardwood community forest,extended_50_year,70,131.6828,84.6237,47.0151,8.9118,998.189
temperate mixed hardwood community forest,extended_50_year,71,132.8622,84.6355,46.3084,8.8026,999.5654
temperate mixed hardwood community forest,extended_50_year,72,134.0297,84.6472,45.6217,8.6955,1000.9785
temperate mixed hardwood community forest,extended_50_year,73,135.1852,84.6587,44.9536,8.5903,1002.4222
temperate mixed hardwood community forest,extended_50_year,74,136.3285,84.6702,44.3028,8.487,1003.891
temperate mixed hardwood community forest,extended_50_year,75,137.4594,84.6815,43.6683,8.3855,1005.3802
temperate mixed hardwood community forest,extended_50_year,76,138.5779,84.6926,43.0489,8.2856,1006.8855
temperate mixed hardwood community forest,extended_50_year,77,139.6838,84.7037,42.444,8.1875,1008.4031
temperate mixed hardwood community forest,extended_50_year,78,140.7771,84.7146,41.8527,8.091,1009.9299
temperate mixed hardwood community forest,extended_50_year,79,141.8576,84.7254,41.2743,7.9961,1011.4627
temperate mixed hardwood community forest,extended_50_year,80,142.9253,84.7361,40.7083,7.9028,1012.9991
temperate mixed hardwood community forest,extended_50_year,81,143.98,84.7467,40.1542,7.8109,1014.5367
temperate mixed hardwood community forest,extended_50_year,82,145.0219,84.7571,39.6113,7.7206,1016.0733
temperate mixed hardwood community forest,extended_50_year,83,146.0508,84.7674,39.0794,7.6316,1017.607
temperate mixed hardwood community forest,extended_50_year,84,147.0666,84.7775,38.558,7.5441,1019.1362
temperate mixed hardwood community forest,extended_50_year,85,148.0694,84.7876,38.0467,7.4579,1020.6593
temperate mixed hardwood community forest,extended_50_year,86,149.0591,84.7975,37.5453,7.3731,1022.1748
temperate mixed hardwood community forest,extended_50_year,87,150.0358,84.8072,37.0533,7.2895,1023.6816
temperate mixed hardwood community forest,extended_50_year,88,150.9994,84.8169,36.5705,7.2073,1025.1784
temperate mixed hardwood community forest,extended_50_year,89,151.95,84.8264,36.0967,7.1263,1026.6641
temperate mixed hardwood community forest,extended_50_year,90,152.8875,84.8357,35.6315,7.0465,1028.1379
temperate mixed hardwood community forest,extended_50_year,91,153.8121,84.845,35.1747,6.9679,1029.5988
temperate mixed hardwood community forest,extended_50_year,92,154.7236,84.8541,34.7262,6.8905,1031.046
temperate mixed hardwood community forest,extended_50_year,93,155.6222,84.8631,34.2856,6.8142,1032.4788
temperate mixed hardwood community forest,extended_50_year,94,156.508,84.8719,33.8528,6.7391,1033.8965
temperate mixed hardwood community forest,extended_50_year,95,157.3809,84.8807,33.4276,6.665,1035.2986
temperate mixed hardwood community forest,extended_50_year,96,158.241,84.8893,33.0098,6.592,1036.6844
