speed_cm_min,peak_temperature_c,peak_time_s,time_150_190_s,time_above_217_s,max_heating_slope_c_per_s,max_cooling_slope_c_per_s,area_217_to_peak,symmetry_metric_c,process_feasible
72.5,260.249263461802,282.0,94.5,83.0,1.8556156354894675,2.1163607586905755,1393.951070796032,13.659256315433376,False
73.0,259.689565021246,280.0,94.0,82.0,1.8556156354894675,2.1126161344034244,1347.8929262130116,13.39729225576553,False
73.5,259.20229890596556,278.0,94.0,80.5,1.8556156354894675,2.110083963524829,1308.536844916949,12.798957903196172,False
74.0,258.66417309452254,276.5,93.5,79.0,1.8556156354894675,2.1073047026868323,1283.347183030801,13.278708846486294,False
74.5,258.12967740031814,274.5,93.0,78.0,1.8556156354894675,2.1050319828981685,1237.1759596150816,12.83076188077528,False
75.0,257.65672950421,272.5,92.5,77.0,1.8556156354894675,2.0944653970163927,1197.5533603532,12.36006250714588,False
75.5,257.1153166586476,271.0,92.0,76.0,1.8556156354894675,2.09318519818018,1171.6076450799142,12.67140227451999,False
76.0,256.5817878013387,269.0,91.5,74.5,1.8556156354894675,2.092331393092138,1125.359003840863,12.062725974297228,False
76.5,256.023141443675,267.5,91.0,73.5,1.8556156354894675,2.0823630201900585,1099.0782520826128,12.278865210025755,False
77.0,255.5864257723679,265.5,91.0,72.5,1.8556156354894675,2.0832903073203397,1059.4127614425631,11.58118334968139,False
77.5,255.03933913217608,264.0,90.0,71.5,1.8556156354894675,2.074221911784832,1032.621774201759,11.688188317037383,False
78.0,254.48140662295447,262.5,89.5,70.0,1.8556156354894675,2.07493475475394,1005.6541910153145,11.783629659501694,False
78.5,253.97354493727758,260.5,89.0,69.0,1.8556156354894675,2.0670682447271815,960.0965479057085,10.876063102930004,False
79.0,253.52095553260446,259.0,89.0,68.0,1.8556156354894675,2.0600056087985195,939.0173362263826,10.877608474230243,False
79.5,252.97449793776212,257.5,88.5,66.5,1.8556156354894675,2.0619259606018545,911.8941569080225,10.82898144215868,False
80.0,252.43248604074032,255.5,87.5,66.0,1.8556156354894675,2.0551642414591242,867.0188396743611,10.102713862927434,False
80.5,251.91747185020697,254.0,87.0,64.5,1.8556156354894675,2.048711268879998,839.8219141383402,9.915530203979785,False
81.0,251.392314662627,252.5,86.5,63.5,1.8556156354894675,2.042535964312094,812.7195601473743,9.698740069155697,False
81.5,250.96344405872705,251.0,86.0,62.5,1.8556156354894675,2.0375852053066126,791.3034738820362,9.755704924500382,False
82.0,250.42845483938294,249.5,86.0,61.5,1.8556156354894675,2.0320582430681497,764.159429691312,9.469005454040667,False
82.5,249.89963935529718,248.0,84.5,60.5,1.8556156354894675,2.026954114756478,737.1419382331039,9.42100451817999,True
83.0,249.37147605037038,246.5,84.5,59.0,1.8556156354894675,2.022223696458127,710.0789024883376,9.04830371061064,True
83.5,248.96305464059824,245.0,84.0,58.5,1.8556156354894675,2.018926499803854,688.9615410386547,8.930602552060607,True
84.0,248.44077562019814,243.5,84.0,57.0,1.8556156354894675,2.014984247998285,662.0533413080699,8.477335583833328,True
84.5,247.89660190716793,242.0,83.0,56.5,1.8556156354894675,2.011215112286493,635.4766679147343,8.2772597716947,True
85.0,247.35780615309463,241.0,82.5,55.5,1.8556156354894675,2.007776816378282,624.1379312391449,8.929257542931506,True
85.5,246.84353765364952,239.5,82.5,54.0,1.8556156354894675,2.0046652043568542,597.5438215097383,8.359749785952374,True
86.0,246.45547903600539,238.0,82.0,53.5,1.8556156354894675,2.002988912094821,576.6813327484749,8.042135821803395,True
86.5,245.94811917606265,236.5,81.0,52.5,1.8556156354894675,2.000553631150183,550.5506985705659,7.686124133753752,True
87.0,245.39672539524335,235.5,80.5,51.5,1.8556156354894675,1.9891206168048257,538.877180777785,8.21075796730038,True
87.5,244.89420130219503,234.0,80.5,50.5,1.8556156354894675,1.9872919248903145,513.1387673244437,7.4899340651114565,True
88.0,244.39438302165112,232.5,80.0,49.5,1.8556156354894675,1.9857947085698129,487.6687094844856,7.018506368935307,True
88.5,243.9783434798064,231.5,80.0,48.5,1.8556156354894675,1.976288466059117,480.8603415779255,7.468818262712029,True
89.0,243.4871575405679,230.0,79.5,47.5,1.8556156354894675,1.9754317714686067,455.7674786239458,6.9036407774492625,True
89.5,242.95619444763136,228.5,78.5,46.5,1.8556156354894675,1.9745268518303476,430.9578855234649,6.381989571470647,True
90.0,242.46033847124946,227.5,78.0,46.0,1.8556156354894675,1.965024247010831,419.4090128291464,6.654753434930375,True
90.5,241.9373534848636,226.0,77.5,45.0,1.8556156354894675,1.9647540017387541,395.09081317530604,6.053216737362388,True
91.0,241.58200305830815,225.0,78.0,44.0,1.8556156354894675,1.9569681331909408,388.2828287426585,6.292141306283442,True
91.5,241.05410116064482,224.0,77.5,43.0,1.8556156354894675,1.9571872200445455,376.55820073975656,6.534735393179595,True
92.0,240.5765583167927,222.5,77.0,42.0,1.8556156354894675,1.9488002584697597,353.01952512378693,5.787931610162898,True
92.5,240.05574432565908,221.5,76.5,41.0,1.8556156354894675,1.9492903548290883,341.5309346634614,5.9818294078169805,True
93.0,239.57121505928342,220.0,76.0,40.0,1.8556156354894675,1.9416575968275822,318.78443701987777,5.192571839905891,False
93.5,239.0658775782407,219.0,76.0,39.0,1.8556156354894675,1.9336579233901432,307.44451493257714,5.292919364723195,False
94.0,238.69746619811602,218.0,75.0,39.0,1.8556156354894675,1.9363751916919227,300.564508971468,5.656261406323956,False
94.5,238.20853075113297,216.5,75.0,38.0,1.8556156354894675,1.9293232554186943,278.6509882408451,4.800315399151559,False
95.0,237.72419719653877,215.5,75.0,37.0,1.8556156354894675,1.9221771080169674,267.6853112822513,4.810588797289556,False
95.5,237.2187140285088,214.5,74.5,36.0,1.8556156354894675,1.924103085745628,256.7827763259585,4.8247350193190615,False
96.0,236.7138558945884,213.5,73.5,35.5,1.8556156354894675,1.9176602208318911,245.92246782339686,5.048236781804811,False
96.5,236.22299719339674,212.0,73.0,34.0,1.8556156354894675,1.9114215944319994,225.49390476025235,4.119479772233276,False
97.0,235.91374246033084,211.0,73.5,33.5,1.8556156354894675,1.9067109117665666,218.9086085109373,4.035341651911601,False
97.5,235.41957875213754,210.0,73.0,33.0,1.8556156354894675,1.9093031288760756,208.57755224890224,4.181897047739616,False
98.0,234.9259907342208,209.0,73.0,32.0,1.8556156354894675,1.903659581086771,198.33508351832057,4.051768132473385,False
98.5,234.43443572730104,208.0,72.5,30.5,1.8556156354894675,1.8981985519627358,188.1153182647323,3.9141006658098587,False
99.0,233.94464115569585,207.0,71.5,30.0,1.8556156354894675,1.8929175940832579,178.176521729476,3.991847116497209,False
99.5,233.45765557408942,206.0,72.0,29.0,1.8556156354894675,1.887826122281183,168.41139813962286,3.809993145938253,False
100.0,233.13621482591515,205.0,71.0,28.5,1.8556156354894675,1.8843853200197316,162.11003297982262,3.8560865562437856,False
