part_inspection_bits,semi_inspection_bits,final_inspection,semi_disassembly_bits,final_disassembly,final_good_probability,defective_to_market_probability,expected_profit,expected_direct_cost,expected_replacement_loss,expected_salvage_net,rank
01010000,000,False,100,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,64
10001000,000,False,100,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,65
00011000,000,False,100,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,66
10000010,000,False,100,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,67
00010010,000,False,100,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,68
11000000,000,False,010,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,69
01010000,000,False,010,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,70
10001000,000,False,010,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,71
00011000,000,False,010,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,72
10000010,000,False,010,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,73
00010010,000,False,010,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,74
11000000,000,False,110,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,75
01010000,000,False,110,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,76
10001000,000,False,110,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,77
00011000,000,False,110,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,78
10000010,000,False,110,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,79
00010010,000,False,110,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,80
11000000,000,False,001,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,81
01010000,000,False,001,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,82
10001000,000,False,001,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,83
00011000,000,False,001,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,84
10000010,000,False,001,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,85
00010010,000,False,001,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,86
11000000,000,False,101,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,87
01010000,000,False,101,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,88
10001000,000,False,101,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,89
00011000,000,False,101,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,90
10000010,000,False,101,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,91
00010010,000,False,101,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,92
11000000,000,False,011,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,93
01010000,000,False,011,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,94
10001000,000,False,011,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,95
00011000,000,False,011,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,96
10000010,000,False,011,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,97
00010010,000,False,011,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,98
11000000,000,False,111,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,99
01010000,000,False,111,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,100
10001000,000,False,111,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,101
00011000,000,False,111,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,102
10000010,000,False,111,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,103
00010010,000,False,111,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,104
11010000,000,False,000,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,105
10011000,000,False,000,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,106
10010010,000,False,000,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,107
11010000,000,False,100,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,108
10011000,000,False,100,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,109
10010010,000,False,100,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,110
11010000,000,False,010,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,111
10011000,000,False,010,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,112
10010010,000,False,010,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,113
11010000,000,False,110,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,114
10011000,000,False,110,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,115
10010010,000,False,110,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,116
11010000,000,False,001,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,117
10011000,000,False,001,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,118
10010010,000,False,001,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,119
11010000,000,False,101,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,120
10011000,000,False,101,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,121
10010010,000,False,101,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,122
11010000,000,False,011,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,123
10011000,000,False,011,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,124
10010010,000,False,011,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,125
11010000,000,False,111,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,126
10011000,000,False,111,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,127
10010010,000,False,111,True,0.38742,0.61258,82.426139,100.666667,24.50318,7.595986,128
01001000,000,False,000,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,129
01000010,000,False,000,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,130
00001010,000,False,000,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,131
01001000,000,False,100,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,132
01000010,000,False,100,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,133
00001010,000,False,100,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,134
01001000,000,False,010,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,135
01000010,000,False,010,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,136
00001010,000,False,010,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,137
01001000,000,False,110,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,138
01000010,000,False,110,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,139
00001010,000,False,110,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,140
01001000,000,False,001,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,141
01000010,000,False,001,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,142
00001010,000,False,001,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,143
01001000,000,False,101,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,144
01000010,000,False,101,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,145
00001010,000,False,101,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,146
01001000,000,False,011,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,147
01000010,000,False,011,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,148
00001010,000,False,011,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,149
01001000,000,False,111,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,150
01000010,000,False,111,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,151
00001010,000,False,111,True,0.348678,0.651322,82.023525,100.0,26.052862,8.076387,152
11001000,000,False,000,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,153
01011000,000,False,000,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,154
11000010,000,False,000,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,155
01010010,000,False,000,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,156
10001010,000,False,000,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,157
00011010,000,False,000,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,158
11001000,000,False,100,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,159
01011000,000,False,100,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,160
11000010,000,False,100,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,161
01010010,000,False,100,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,162
10001010,000,False,100,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,163
00011010,000,False,100,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,164
11001000,000,False,010,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,165
01011000,000,False,010,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,166
11000010,000,False,010,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,167
01010010,000,False,010,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,168
10001010,000,False,010,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,169
00011010,000,False,010,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,170
11001000,000,False,110,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,171
01011000,000,False,110,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,172
11000010,000,False,110,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,173
01010010,000,False,110,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,174
10001010,000,False,110,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,175
00011010,000,False,110,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,176
11001000,000,False,001,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,177
01011000,000,False,001,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,178
11000010,000,False,001,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,179
01010010,000,False,001,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,180
10001010,000,False,001,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,181
00011010,000,False,001,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,182
11001000,000,False,101,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,183
01011000,000,False,101,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,184
11000010,000,False,101,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,185
01010010,000,False,101,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,186
10001010,000,False,101,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,187
00011010,000,False,101,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,188
11001000,000,False,011,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,189
01011000,000,False,011,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,190
11000010,000,False,011,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,191
01010010,000,False,011,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,192
10001010,000,False,011,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,193
00011010,000,False,011,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,194
11001000,000,False,111,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,195
01011000,000,False,111,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,196
11000010,000,False,111,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,197
01010010,000,False,111,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,198
10001010,000,False,111,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,199
00011010,000,False,111,True,0.38742,0.61258,81.759472,101.333333,24.50318,7.595986,200
