medicine_id,width_mm,type_id,spacing_mm,redundancy_mm
446,31,8,37.0,2.0
447,35,9,43.0,4.0
448,29,7,34.0,1.0
449,19,2,23.0,0.0
450,47,11,52.0,1.0
451,26,6,31.0,1.0
452,40,10,49.0,5.0
453,18,2,23.0,1.0
454,18,2,23.0,1.0
455,43,10,49.0,2.0
456,14,1,21.0,3.0
457,43,10,49.0,2.0
458,42,10,49.0,3.0
459,21,3,25.0,0.0
460,25,5,29.0,0.0
461,17,1,21.0,0.0
462,38,9,43.0,1.0
463,31,8,37.0,2.0
464,20,3,25.0,1.0
465,40,10,49.0,5.0
466,28,7,34.0,2.0
467,50,12,60.0,6.0
468,33,8,37.0,0.0
469,27,6,31.0,0.0
470,40,10,49.0,5.0
471,13,1,21.0,4.0
472,16,1,21.0,1.0
473,20,3,25.0,1.0
474,32,8,37.0,1.0
475,21,3,25.0,0.0
476,14,1,21.0,3.0
477,48,12,60.0,8.0
478,24,5,29.0,1.0
479,49,12,60.0,7.0
480,30,7,34.0,0.0
481,30,7,34.0,0.0
482,35,9,43.0,4.0
483,25,5,29.0,0.0
484,43,10,49.0,2.0
485,18,2,23.0,1.0
486,26,6,31.0,1.0
487,43,10,49.0,2.0
488,28,7,34.0,2.0
489,27,6,31.0,0.0
490,18,2,23.0,1.0
491,46,11,52.0,2.0
492,45,10,49.0,0.0
493,27,6,31.0,0.0
494,20,3,25.0,1.0
495,31,8,37.0,2.0
496,20,3,25.0,1.0
497,34,9,43.0,5.0
498,21,3,25.0,0.0
499,45,10,49.0,0.0
500,37,9,43.0,2.0
501,45,10,49.0,0.0
502,21,3,25.0,0.0
503,25,5,29.0,0.0
504,29,7,34.0,1.0
505,15,1,21.0,2.0
506,23,5,29.0,2.0
507,19,2,23.0,0.0
508,49,12,60.0,7.0
509,55,12,60.0,1.0
510,23,5,29.0,2.0
511,51,12,60.0,5.0
512,17,1,21.0,0.0
513,18,2,23.0,1.0
514,46,11,52.0,2.0
515,16,1,21.0,1.0
516,20,3,25.0,1.0
517,19,2,23.0,0.0
518,17,1,21.0,0.0
519,47,11,52.0,1.0
520,15,1,21.0,2.0
521,16,1,21.0,1.0
522,25,5,29.0,0.0
523,20,3,25.0,1.0
524,21,3,25.0,0.0
525,16,1,21.0,1.0
526,19,2,23.0,0.0
527,14,1,21.0,3.0
528,23,5,29.0,2.0
529,45,10,49.0,0.0
530,19,2,23.0,0.0
531,25,5,29.0,0.0
532,25,5,29.0,0.0
533,25,5,29.0,0.0
534,25,5,29.0,0.0
535,25,5,29.0,0.0
536,25,5,29.0,0.0
537,21,3,25.0,0.0
538,20,3,25.0,1.0
539,15,1,21.0,2.0
540,21,3,25.0,0.0
541,21,3,25.0,0.0
542,20,3,25.0,1.0
543,19,2,23.0,0.0
544,21,3,25.0,0.0
545,30,7,34.0,0.0
546,18,2,23.0,1.0
547,49,12,60.0,7.0
548,20,3,25.0,1.0
549,21,3,25.0,0.0
550,23,5,29.0,2.0
551,21,3,25.0,0.0
552,20,3,25.0,1.0
553,43,10,49.0,2.0
554,25,5,29.0,0.0
555,18,2,23.0,1.0
556,55,12,60.0,1.0
557,15,1,21.0,2.0
558,30,7,34.0,0.0
559,30,7,34.0,0.0
560,30,7,34.0,0.0
561,30,7,34.0,0.0
562,30,7,34.0,0.0
563,30,7,34.0,0.0
564,21,3,25.0,0.0
565,27,6,31.0,0.0
566,34,9,43.0,5.0
567,30,7,34.0,0.0
568,38,9,43.0,1.0
569,19,2,23.0,0.0
570,15,1,21.0,2.0
571,15,1,21.0,2.0
572,15,1,21.0,2.0
573,45,10,49.0,0.0
574,25,5,29.0,0.0
575,28,7,34.0,2.0
576,16,1,21.0,1.0
577,18,2,23.0,1.0
578,35,9,43.0,4.0
579,30,7,34.0,0.0
580,23,5,29.0,2.0
581,35,9,43.0,4.0
582,21,3,25.0,0.0
583,23,5,29.0,2.0
584,37,9,43.0,2.0
585,40,10,49.0,5.0
586,32,8,37.0,1.0
587,32,8,37.0,1.0
588,40,10,49.0,5.0
589,40,10,49.0,5.0
590,27,6,31.0,0.0
591,35,9,43.0,4.0
592,26,6,31.0,1.0
593,19,2,23.0,0.0
594,30,7,34.0,0.0
595,19,2,23.0,0.0
596,17,1,21.0,0.0
597,27,6,31.0,0.0
598,38,9,43.0,1.0
599,45,10,49.0,0.0
600,41,10,49.0,4.0
601,18,2,23.0,1.0
602,47,11,52.0,1.0
603,14,1,21.0,3.0
604,30,7,34.0,0.0
605,21,4,27.0,2.0
606,18,2,23.0,1.0
607,20,3,25.0,1.0
608,42,10,49.0,3.0
609,15,1,21.0,2.0
610,21,4,27.0,2.0
611,38,9,43.0,1.0
612,14,1,21.0,3.0
613,40,10,49.0,5.0
614,41,10,49.0,4.0
615,43,10,49.0,2.0
616,22,4,27.0,1.0
617,19,2,23.0,0.0
618,23,5,29.0,2.0
619,17,1,21.0,0.0
620,15,1,21.0,2.0
621,30,7,34.0,0.0
622,35,9,43.0,4.0
623,51,12,60.0,5.0
624,19,2,23.0,0.0
625,21,4,27.0,2.0
626,25,5,29.0,0.0
627,26,6,31.0,1.0
628,44,10,49.0,1.0
629,36,9,43.0,3.0
630,35,9,43.0,4.0
631,20,3,25.0,1.0
632,21,4,27.0,2.0
633,19,2,23.0,0.0
634,44,10,49.0,1.0
635,25,5,29.0,0.0
636,47,11,52.0,1.0
637,20,3,25.0,1.0
638,20,3,25.0,1.0
639,52,12,60.0,4.0
640,45,11,52.0,3.0
641,17,1,21.0,0.0
642,37,9,43.0,2.0
643,51,12,60.0,5.0
644,30,7,34.0,0.0
645,44,10,49.0,1.0
646,43,10,49.0,2.0
647,19,2,23.0,0.0
648,45,11,52.0,3.0
649,43,10,49.0,2.0
650,20,3,25.0,1.0
651,30,7,34.0,0.0
652,22,4,27.0,1.0
653,23,5,29.0,2.0
654,26,6,31.0,1.0
655,45,11,52.0,3.0
656,30,7,34.0,0.0
657,33,8,37.0,0.0
658,38,9,43.0,1.0
659,32,8,37.0,1.0
660,39,9,43.0,0.0
661,21,4,27.0,2.0
662,20,3,25.0,1.0
663,25,5,29.0,0.0
664,23,5,29.0,2.0
665,19,2,23.0,0.0
666,35,9,43.0,4.0
667,26,6,31.0,1.0
668,12,1,21.0,5.0
669,10,1,21.0,7.0
670,21,4,27.0,2.0
671,37,9,43.0,2.0
672,39,9,43.0,0.0
673,18,2,23.0,1.0
674,20,3,25.0,1.0
675,23,5,29.0,2.0
676,30,7,34.0,0.0
677,30,7,34.0,0.0
678,38,9,43.0,1.0
679,18,2,23.0,1.0
680,18,2,23.0,1.0
681,22,4,27.0,1.0
682,21,4,27.0,2.0
683,20,3,25.0,1.0
684,17,1,21.0,0.0
685,16,1,21.0,1.0
686,15,1,21.0,2.0
687,15,1,21.0,2.0
688,40,10,49.0,5.0
689,25,5,29.0,0.0
690,48,12,60.0,8.0
691,19,2,23.0,0.0
692,19,2,23.0,0.0
693,19,2,23.0,0.0
694,19,2,23.0,0.0
695,19,2,23.0,0.0
696,17,1,21.0,0.0
697,16,1,21.0,1.0
698,20,3,25.0,1.0
699,15,1,21.0,2.0
700,17,1,21.0,0.0
701,35,9,43.0,4.0
702,15,1,21.0,2.0
703,45,11,52.0,3.0
704,19,2,23.0,0.0
705,22,4,27.0,1.0
706,23,5,29.0,2.0
707,19,2,23.0,0.0
708,25,5,29.0,0.0
709,47,11,52.0,1.0
710,21,4,27.0,2.0
711,53,12,60.0,3.0
712,20,3,25.0,1.0
713,20,3,25.0,1.0
714,20,3,25.0,1.0
715,22,4,27.0,1.0
716,24,5,29.0,1.0
717,16,1,21.0,1.0
718,16,1,21.0,1.0
719,41,10,49.0,4.0
720,32,8,37.0,1.0
721,24,5,29.0,1.0
722,22,4,27.0,1.0
723,15,1,21.0,2.0
724,17,1,21.0,0.0
725,16,1,21.0,1.0
726,24,5,29.0,1.0
727,23,5,29.0,2.0
728,23,5,29.0,2.0
729,24,5,29.0,1.0
730,22,4,27.0,1.0
731,15,1,21.0,2.0
732,28,7,34.0,2.0
733,18,2,23.0,1.0
734,17,1,21.0,0.0
735,19,2,23.0,0.0
736,48,12,60.0,8.0
737,19,2,23.0,0.0
738,25,5,29.0,0.0
739,34,9,43.0,5.0
740,27,6,31.0,0.0
741,25,5,29.0,0.0
742,20,3,25.0,1.0
743,17,2,23.0,2.0
744,54,12,60.0,2.0
745,20,3,25.0,1.0
746,30,7,34.0,0.0
747,41,10,49.0,4.0
748,26,6,31.0,1.0
749,42,10,49.0,3.0
750,40,10,49.0,5.0
751,24,5,29.0,1.0
752,21,4,27.0,2.0
753,19,2,23.0,0.0
754,23,5,29.0,2.0
755,43,10,49.0,2.0
756,25,5,29.0,0.0
757,21,4,27.0,2.0
758,18,2,23.0,1.0
759,45,11,52.0,3.0
760,34,9,43.0,5.0
761,19,2,23.0,0.0
762,23,5,29.0,2.0
763,50,12,60.0,6.0
764,23,5,29.0,2.0
765,20,3,25.0,1.0
766,19,2,23.0,0.0
767,23,5,29.0,2.0
768,23,5,29.0,2.0
769,18,2,23.0,1.0
770,19,2,23.0,0.0
771,20,3,25.0,1.0
772,46,11,52.0,2.0
773,17,2,23.0,2.0
774,10,1,21.0,7.0
775,15,1,21.0,2.0
776,27,6,31.0,0.0
777,28,7,34.0,2.0
778,22,4,27.0,1.0
779,18,2,23.0,1.0
780,16,1,21.0,1.0
781,22,4,27.0,1.0
782,26,6,31.0,1.0
783,30,7,34.0,0.0
784,16,1,21.0,1.0
785,43,10,49.0,2.0
786,20,3,25.0,1.0
787,20,3,25.0,1.0
788,20,3,25.0,1.0
789,45,11,52.0,3.0
790,20,3,25.0,1.0
791,20,3,25.0,1.0
792,18,2,23.0,1.0
793,23,5,29.0,2.0
794,17,2,23.0,2.0
795,22,4,27.0,1.0
796,22,4,27.0,1.0
797,18,2,23.0,1.0
798,18,2,23.0,1.0
799,46,11,52.0,2.0
800,45,11,52.0,3.0
801,17,2,23.0,2.0
802,24,5,29.0,1.0
803,32,8,37.0,1.0
804,26,6,31.0,1.0
805,45,11,52.0,3.0
806,16,1,21.0,1.0
807,50,12,60.0,6.0
808,47,11,52.0,1.0
809,25,6,31.0,2.0
810,27,6,31.0,0.0
811,27,7,34.0,3.0
812,30,7,34.0,0.0
813,24,5,29.0,1.0
814,46,11,52.0,2.0
815,20,3,25.0,1.0
816,20,3,25.0,1.0
817,39,9,43.0,0.0
818,36,9,43.0,3.0
819,39,9,43.0,0.0
820,41,10,49.0,4.0
821,16,1,21.0,1.0
822,43,10,49.0,2.0
823,19,2,23.0,0.0
824,41,10,49.0,4.0
825,44,10,49.0,1.0
826,18,2,23.0,1.0
827,21,4,27.0,2.0
828,15,1,21.0,2.0
829,22,4,27.0,1.0
830,48,12,60.0,8.0
831,19,2,23.0,0.0
832,18,2,23.0,1.0
833,16,1,21.0,1.0
834,15,1,21.0,2.0
835,16,1,21.0,1.0
836,44,10,49.0,1.0
837,25,6,31.0,2.0
838,20,3,25.0,1.0
839,21,4,27.0,2.0
840,17,2,23.0,2.0
841,31,8,37.0,2.0
842,43,10,49.0,2.0
843,47,11,52.0,1.0
844,27,7,34.0,3.0
845,35,9,43.0,4.0
846,20,3,25.0,1.0
847,42,10,49.0,3.0
848,18,2,23.0,1.0
849,20,3,25.0,1.0
850,29,7,34.0,1.0
851,16,1,21.0,1.0
852,19,2,23.0,0.0
853,16,1,21.0,1.0
854,41,10,49.0,4.0
855,16,1,21.0,1.0
856,21,4,27.0,2.0
857,16,1,21.0,1.0
858,41,10,49.0,4.0
859,40,10,49.0,5.0
860,40,10,49.0,5.0
861,19,2,23.0,0.0
862,16,1,21.0,1.0
863,21,4,27.0,2.0
864,22,4,27.0,1.0
865,45,11,52.0,3.0
866,16,1,21.0,1.0
867,35,9,43.0,4.0
868,26,6,31.0,1.0
869,18,2,23.0,1.0
870,17,2,23.0,2.0
871,16,1,21.0,1.0
872,15,1,21.0,2.0
873,35,9,43.0,4.0
874,29,7,34.0,1.0
875,15,1,21.0,2.0
876,22,4,27.0,1.0
877,18,2,23.0,1.0
878,19,2,23.0,0.0
879,17,2,23.0,2.0
880,17,2,23.0,2.0
881,14,1,21.0,3.0
882,31,8,37.0,2.0
883,26,6,31.0,1.0
884,51,12,60.0,5.0
885,38,9,43.0,1.0
886,20,3,25.0,1.0
887,26,6,31.0,1.0
888,34,9,43.0,5.0
889,46,11,52.0,2.0
890,16,1,21.0,1.0
891,16,1,21.0,1.0
892,31,8,37.0,2.0
893,39,9,43.0,0.0
894,21,4,27.0,2.0
895,51,12,60.0,5.0
896,37,9,43.0,2.0
897,43,10,49.0,2.0
898,43,10,49.0,2.0
899,17,2,23.0,2.0
900,46,11,52.0,2.0
901,47,11,52.0,1.0
902,17,2,23.0,2.0
903,47,11,52.0,1.0
904,40,10,49.0,5.0
905,21,4,27.0,2.0
906,34,9,43.0,5.0
907,39,9,43.0,0.0
908,50,12,60.0,6.0
909,11,1,21.0,6.0
910,19,2,23.0,0.0
911,18,2,23.0,1.0
912,19,2,23.0,0.0
913,20,3,25.0,1.0
914,50,12,60.0,6.0
915,35,9,43.0,4.0
916,38,9,43.0,1.0
917,22,4,27.0,1.0
918,48,12,60.0,8.0
919,31,8,37.0,2.0
920,50,12,60.0,6.0
921,17,2,23.0,2.0
922,16,1,21.0,1.0
923,14,1,21.0,3.0
924,30,7,34.0,0.0
925,33,8,37.0,0.0
926,27,7,34.0,3.0
927,16,1,21.0,1.0
928,15,1,21.0,2.0
929,30,7,34.0,0.0
930,41,10,49.0,4.0
931,31,8,37.0,2.0
932,43,10,49.0,2.0
933,43,10,49.0,2.0
934,15,1,21.0,2.0
935,45,11,52.0,3.0
936,17,2,23.0,2.0
937,45,11,52.0,3.0
938,34,9,43.0,5.0
939,21,4,27.0,2.0
940,52,12,60.0,4.0
941,41,10,49.0,4.0
942,20,3,25.0,1.0
943,20,3,25.0,1.0
944,47,11,52.0,1.0
945,46,11,52.0,2.0
946,25,6,31.0,2.0
947,56,12,60.0,0.0
948,45,11,52.0,3.0
949,23,5,29.0,2.0
950,16,1,21.0,1.0
951,21,4,27.0,2.0
952,21,4,27.0,2.0
953,16,1,21.0,1.0
954,16,1,21.0,1.0
955,50,12,60.0,6.0
956,45,11,52.0,3.0
957,36,9,43.0,3.0
958,36,9,43.0,3.0
959,48,12,60.0,8.0
960,30,7,34.0,0.0
961,27,7,34.0,3.0
962,15,1,21.0,2.0
963,31,8,37.0,2.0
964,40,10,49.0,5.0
965,43,10,49.0,2.0
966,41,10,49.0,4.0
967,19,2,23.0,0.0
968,35,9,43.0,4.0
969,20,3,25.0,1.0
970,30,7,34.0,0.0
971,17,2,23.0,2.0
972,52,12,60.0,4.0
973,51,12,60.0,5.0
974,48,12,60.0,8.0
975,13,1,21.0,4.0
976,21,4,27.0,2.0
977,20,3,25.0,1.0
978,25,6,31.0,2.0
979,39,9,43.0,0.0
980,27,7,34.0,3.0
981,36,9,43.0,3.0
982,35,9,43.0,4.0
983,35,9,43.0,4.0
984,31,8,37.0,2.0
985,41,10,49.0,4.0
986,28,7,34.0,2.0
987,20,3,25.0,1.0
988,35,9,43.0,4.0
989,39,9,43.0,0.0
990,17,2,23.0,2.0
991,21,4,27.0,2.0
992,26,6,31.0,1.0
993,26,6,31.0,1.0
994,28,7,34.0,2.0
995,45,11,52.0,3.0
