supplier_id,material,importance_score,rank,total_supplied_m3,total_product_equivalent_m3,robust_weekly_supply_m3,robust_weekly_product_m3,fulfillment_ratio,reliability_score,stability_score,active_week_ratio,unit_raw_cost_index,raw_per_product_m3
S348,A,0.544689,29,92421.0,154035.0,347.372745,578.954575,0.553058,0.844882,0.140583,0.808333,1.2,0.6
S346,B,0.529847,30,23240.0,35212.121212,99.0,150.0,0.94051,0.926898,0.848717,1.0,1.1,0.66
S189,A,0.529428,31,8892.0,14820.0,2.453642,4.089404,1.022422,0.87179,0.722391,0.629167,1.2,0.6
S067,C,0.522348,32,233.0,323.611111,1.062747,1.476037,1.28022,0.849112,0.695177,0.704167,1.0,0.72
S314,C,0.517673,33,1670.0,2319.444444,7.0,9.722222,0.542208,0.756952,0.534736,0.979167,1.0,0.72
S307,A,0.517195,34,78196.0,130326.666667,374.25,623.75,0.766755,0.807471,0.209008,0.7125,1.2,0.6
S040,B,0.510112,35,31905.0,48340.909091,132.9375,201.420455,0.985939,0.941111,0.641664,1.0,1.1,0.66
S003,C,0.509403,36,13138.0,18247.222222,50.155977,69.66108,0.920092,0.838689,0.463869,0.795833,1.0,0.72
S213,C,0.505098,37,246.0,341.666667,1.006135,1.39741,1.315508,0.799699,0.68746,0.679167,1.0,0.72
S076,C,0.503757,38,376.0,522.222222,2.0,2.777778,1.35,0.717946,0.672396,0.820833,1.0,0.72
S395,A,0.499705,39,75843.0,126405.0,213.521959,355.869932,0.719327,0.87626,0.397394,0.308333,1.2,0.6
S005,A,0.499255,40,6912.0,11520.0,79.0,131.666667,1.057204,0.869644,0.721165,0.445833,1.2,0.6
S374,C,0.496516,41,49224.0,68366.666667,977.541667,1357.696759,1.012569,0.762638,0.102809,1.0,1.0,0.72
S139,B,0.496113,42,151862.0,230093.939394,655.625,993.371212,0.854367,0.742157,0.237884,0.925,1.1,0.66
S367,B,0.49605,43,26335.0,39901.515152,148.2,224.545455,0.952786,0.916019,0.623035,1.0,1.1,0.66
S007,A,0.493661,44,6948.0,11580.0,29.583333,49.305556,1.034544,0.650576,0.494584,1.0,1.2,0.6
S364,B,0.491751,45,28763.0,43580.30303,121.020833,183.364899,0.990803,0.937389,0.544244,1.0,1.1,0.66
S037,C,0.490495,46,50686.0,70397.222222,195.049628,270.902262,0.74894,0.825648,0.295476,0.654167,1.0,0.72
S114,A,0.489907,47,10931.0,18218.333333,45.744723,76.241206,0.749571,0.791808,0.253812,0.954167,1.2,0.6
S046,A,0.488525,48,197.0,328.333333,1.0,1.666667,0.887387,0.786897,0.694196,0.583333,1.2,0.6
S269,A,0.480813,49,211.0,351.666667,1.0,1.666667,0.35,0.764868,0.666909,0.595833,1.2,0.6
S211,A,0.47785,50,58.0,96.666667,0.313272,0.522119,0.35,0.89388,0.803968,0.225,1.2,0.6
S239,C,0.477494,51,430.0,597.222222,1.54454,2.145195,0.820611,0.771424,0.62455,0.604167,1.0,0.72
S295,A,0.477426,52,56.0,93.333333,0.166667,0.277778,0.35,0.769576,1.0,0.233333,1.2,0.6
S291,A,0.475855,53,7984.0,13306.666667,36.229167,60.381944,0.592901,0.77103,0.255805,0.9125,1.2,0.6
S339,C,0.474858,54,44.0,61.111111,0.145833,0.202546,0.35,0.78938,1.0,0.183333,1.0,0.72
S150,A,0.470207,55,1806.0,3010.0,7.525,12.541667,0.35,0.770687,0.171847,1.0,1.2,0.6
S362,C,0.469875,56,91.0,126.388889,0.384662,0.534253,1.1375,0.928095,0.63116,0.2875,1.0,0.72
S086,C,0.468292,57,17949.0,24929.166667,87.708333,121.81713,0.59562,0.750805,0.247406,0.858333,1.0,0.72
S025,C,0.464634,58,375.0,520.833333,2.0,2.777778,1.213592,0.75597,0.644041,0.525,1.0,0.72
S066,A,0.458108,59,388.0,646.666667,2.0,3.333333,0.412327,0.71826,0.637891,0.55,1.2,0.6
S273,A,0.457293,60,9484.0,15806.666667,139.55,232.583333,0.882397,0.846158,0.534482,0.375,1.2,0.6
S351,C,0.457129,61,44.0,61.111111,0.173423,0.240866,1.128205,0.884615,0.752248,0.154167,1.0,0.72
S221,A,0.456971,62,392.0,653.333333,2.0,3.333333,1.328814,0.733056,0.643122,0.5125,1.2,0.6
S113,C,0.456268,63,385.0,534.722222,1.46412,2.033501,1.237942,0.74969,0.598682,0.525,1.0,0.72
S110,C,0.455363,64,426.0,591.666667,2.0,2.777778,1.004717,0.70378,0.660608,0.533333,1.0,0.72
S064,A,0.454156,65,397.0,661.666667,2.0,3.333333,0.35,0.715157,0.641654,0.525,1.2,0.6
S263,C,0.453269,66,427.0,593.055556,2.0,2.777778,0.904661,0.702177,0.632647,0.55,1.0,0.72
S078,A,0.452847,67,8553.0,14255.0,26.46349,44.105817,0.843741,0.832784,0.48742,0.420833,1.2,0.6
S299,A,0.451779,68,62.0,103.333333,0.208333,0.347222,0.35,0.651962,1.0,0.258333,1.2,0.6
S152,A,0.448941,69,398.0,663.333333,3.0,5.0,1.102493,0.702702,0.63597,0.516667,1.2,0.6
S186,C,0.448801,70,377.0,523.611111,2.0,2.777778,0.35,0.713825,0.625389,0.508333,1.0,0.72
S237,A,0.446931,71,328.0,546.666667,2.0,3.333333,1.296443,0.712377,0.62774,0.495833,1.2,0.6
S115,A,0.446215,72,398.0,663.333333,2.0,3.333333,0.503161,0.689302,0.652631,0.504167,1.2,0.6
S059,C,0.446193,73,47.0,65.277778,0.166667,0.231481,0.35,0.667211,1.0,0.195833,1.0,0.72
S292,A,0.44613,74,9160.0,15266.666667,39.333333,65.555556,0.82806,0.765852,0.596038,0.375,1.2,0.6
S129,C,0.445454,75,1525.0,2118.055556,7.354167,10.21412,0.633832,0.723899,0.288323,0.8,1.0,0.72
S074,C,0.443994,76,13051.0,18126.388889,41.340887,57.417899,0.399871,0.727192,0.297448,0.7125,1.0,0.72
S055,B,0.443747,77,24041.0,36425.757576,100.170833,151.77399,0.74766,0.881938,0.344863,1.0,1.1,0.66
S157,A,0.443455,78,395.0,658.333333,2.0,3.333333,0.35,0.675123,0.662051,0.5,1.2,0.6
S270,C,0.438834,79,92.0,127.777778,0.297414,0.413075,1.010989,0.896745,0.522304,0.241667,1.0,0.72
S075,A,0.438037,80,390.0,650.0,2.0,3.333333,1.18541,0.724033,0.523614,0.520833,1.2,0.6
S304,A,0.437351,81,156.0,260.0,0.369318,0.61553,0.45614,0.752381,0.627497,0.366667,1.2,0.6
S234,C,0.427224,82,45.0,62.5,0.25,0.347222,0.35,0.596339,1.0,0.1875,1.0,0.72
S245,C,0.427024,83,386.0,536.111111,1.534265,2.130924,0.670139,0.796421,0.217499,0.633333,1.0,0.72
S126,C,0.426905,84,47540.0,66027.777778,87.069597,120.929996,0.359376,0.788081,0.226397,0.379167,1.0,0.72
S165,A,0.424371,85,75.0,125.0,0.248016,0.41336,0.35,0.743835,0.659907,0.2625,1.2,0.6
S210,C,0.423625,86,15694.0,21797.222222,112.729167,156.568287,0.453544,0.719356,0.381067,0.491667,1.0,0.72
S154,A,0.421134,87,7634.0,12723.333333,140.0,233.333333,0.746674,0.759921,0.503485,0.320833,1.2,0.6
S267,C,0.419522,88,82.0,113.888889,0.330645,0.459229,0.35,0.770523,0.587311,0.258333,1.0,0.72
S397,B,0.416281,89,52.0,78.787879,0.166667,0.252525,0.866667,0.935028,1.0,0.216667,1.1,0.66
S180,B,0.414868,90,52.0,78.787879,0.208333,0.315657,0.852459,0.929379,1.0,0.216667,1.1,0.66
S253,C,0.411686,91,223.0,309.722222,0.888174,1.233575,1.252809,0.751398,0.541172,0.283333,1.0,0.72
S106,A,0.41157,92,77.0,128.333333,0.043356,0.07226,1.262295,0.786752,0.611359,0.154167,1.2,0.6
S053,A,0.411196,93,77.0,128.333333,0.051747,0.086246,1.283333,0.820123,0.57825,0.129167,1.2,0.6
S203,A,0.410856,94,36.0,60.0,0.104167,0.173611,1.058824,0.815476,0.617327,0.095833,1.2,0.6
S149,C,0.410177,95,251.0,348.611111,1.229167,1.707176,1.22439,0.712477,0.579166,0.3,1.0,0.72
S033,C,0.409577,96,30.0,41.666667,0.0,0.0,1.071429,0.840351,0.59242,0.070833,1.0,0.72
S318,A,0.408414,97,346.0,576.666667,3.645833,6.076389,1.157191,0.805427,0.299095,0.4125,1.2,0.6
S098,B,0.408365,98,413.0,625.757576,2.0,3.030303,1.24024,0.744146,0.621541,0.858333,1.1,0.66
S331,C,0.406932,99,70.0,97.222222,0.291667,0.405093,0.35,0.76089,0.569499,0.208333,1.0,0.72
S201,A,0.404619,100,81989.0,136648.333333,0.0,0.0,0.35,0.622653,0.337424,0.116667,1.2,0.6
S366,B,0.403324,101,49.0,74.242424,0.1875,0.284091,0.777778,0.89071,1.0,0.204167,1.1,0.66
S044,C,0.400302,102,30.0,41.666667,0.0,0.0,1.111111,0.764706,0.669159,0.058333,1.0,0.72
S065,A,0.398734,103,189.0,315.0,0.604167,1.006944,0.875,0.798879,0.392341,0.266667,1.2,0.6
S023,C,0.398688,104,1631.0,2265.277778,5.876096,8.161245,0.35,0.652698,0.340475,0.554167,1.0,0.72
S219,A,0.39843,105,36.0,60.0,0.12,0.2,0.35,0.726944,0.673708,0.104167,1.2,0.6
S016,A,0.39833,106,37.0,61.666667,0.045343,0.075572,0.973684,0.821537,0.548715,0.070833,1.2,0.6
S342,C,0.398126,107,224.0,311.111111,0.416667,0.578704,1.272727,0.762279,0.553468,0.1625,1.0,0.72
S021,A,0.397451,108,80.0,133.333333,0.041667,0.069444,0.35,0.710551,0.623382,0.175,1.2,0.6
S208,A,0.397186,109,8757.0,14595.0,0.0,0.0,0.588192,0.692581,0.39451,0.375,1.2,0.6
S178,A,0.395354,110,163.0,271.666667,1.1875,1.979167,1.336066,0.721064,0.578835,0.1875,1.2,0.6
S337,A,0.393891,111,36.0,60.0,0.041667,0.069444,1.0,0.730556,0.649928,0.091667,1.2,0.6
S265,A,0.390603,112,141.0,235.0,0.79661,1.327684,0.35,0.765278,0.41528,0.245833,1.2,0.6
S301,C,0.38956,113,89.0,123.611111,0.059812,0.083072,1.059524,0.771824,0.514522,0.129167,1.0,0.72
S070,C,0.388923,114,46.0,63.888889,0.073718,0.102386,0.494624,0.731513,0.598534,0.108333,1.0,0.72
S296,A,0.387685,115,62.0,103.333333,0.078283,0.130471,0.925373,0.710476,0.596017,0.1375,1.2,0.6
S305,C,0.38713,116,28.0,38.888889,0.0,0.0,1.12,0.7125,0.660032,0.066667,1.0,0.72
S133,C,0.386142,117,71.0,98.611111,0.0625,0.086806,1.163934,0.707698,0.619544,0.108333,1.0,0.72
S338,B,0.385263,118,30109.0,45619.69697,141.875,214.962121,0.788772,0.777151,0.243347,0.85,1.1,0.66
S128,A,0.383599,119,133.0,221.666667,0.05433,0.09055,1.055556,0.731422,0.458404,0.2125,1.2,0.6
S349,C,0.383502,120,42.0,58.333333,0.076087,0.105676,0.875,0.70068,0.626305,0.095833,1.0,0.72
S014,A,0.383392,121,28.0,46.666667,0.036458,0.060764,0.875,0.697531,0.660032,0.066667,1.2,0.6
S224,B,0.383063,122,108.0,163.636364,0.416667,0.631313,0.367347,0.833738,0.767865,0.395833,1.1,0.66
S236,C,0.382439,123,28.0,38.888889,0.036458,0.050637,0.875,0.72,0.616257,0.066667,1.0,0.72
S379,C,0.382331,124,249.0,345.833333,0.144097,0.200135,1.136986,0.835269,0.338882,0.15,1.0,0.72
S026,A,0.382301,125,28.0,46.666667,0.0,0.0,1.217391,0.718627,0.625933,0.058333,1.2,0.6
S206,C,0.382198,126,31.0,43.055556,0.0,0.0,1.347826,0.723333,0.617415,0.058333,1.0,0.72
S274,A,0.381605,127,77.0,128.333333,0.083333,0.138889,0.430168,0.683876,0.603886,0.133333,1.2,0.6
S027,A,0.380536,128,81.0,135.0,0.083333,0.138889,0.975904,0.696074,0.584737,0.125,1.2,0.6
S359,C,0.380244,129,86.0,119.444444,0.054293,0.075407,0.464865,0.712077,0.543683,0.1375,1.0,0.72
S060,C,0.378918,130,86.0,119.444444,0.358333,0.497685,0.966292,0.634958,0.759205,0.041667,1.0,0.72
S279,C,0.378773,131,89.0,123.611111,0.0625,0.086806,0.35,0.710249,0.524407,0.15,1.0,0.72
S052,A,0.37832,132,54.0,90.0,0.09,0.15,0.857143,0.681111,0.615912,0.104167,1.2,0.6
S132,A,0.378315,133,63.0,105.0,0.125,0.208333,0.84,0.71181,0.552157,0.116667,1.2,0.6
S122,A,0.377976,134,73.0,121.666667,0.049059,0.081765,1.057971,0.658307,0.626501,0.129167,1.2,0.6
S011,C,0.377893,135,85.0,118.055556,0.145833,0.202546,1.011905,0.724953,0.510722,0.133333,1.0,0.72
S087,A,0.376244,136,64.0,106.666667,0.049383,0.082305,0.744186,0.700239,0.561798,0.1125,1.2,0.6
S309,A,0.375891,137,37.0,61.666667,0.042824,0.071373,0.35,0.682382,0.626877,0.075,1.2,0.6
S035,A,0.375016,138,144.0,240.0,0.763636,1.272727,0.637168,0.712484,0.416006,0.229167,1.2,0.6
S260,B,0.374829,139,184.0,278.787879,1.0,1.515152,0.35,0.773942,0.674674,0.533333,1.1,0.66
S312,A,0.374274,140,77.0,128.333333,0.10026,0.167101,0.578947,0.656335,0.600919,0.133333,1.2,0.6
S357,C,0.373331,141,220.0,305.555556,0.25463,0.353652,1.067961,0.734091,0.372673,0.225,1.0,0.72
S030,A,0.371543,142,162.0,270.0,0.0,0.0,1.285714,0.749672,0.443253,0.116667,1.2,0.6
S102,A,0.371515,143,131.0,218.333333,0.109167,0.181944,0.35,0.647947,0.521144,0.208333,1.2,0.6
S002,A,0.371144,144,273.0,455.0,1.5,2.5,0.883495,0.720128,0.309942,0.295833,1.2,0.6
S377,C,0.371023,145,71.0,98.611111,0.0,0.0,0.835294,0.662719,0.572886,0.129167,1.0,0.72
S383,C,0.369804,146,147.0,204.166667,0.0,0.0,1.020833,0.731704,0.466033,0.1125,1.0,0.72
S176,B,0.369491,147,51.0,77.272727,0.125,0.189394,0.35,0.750371,1.0,0.2125,1.1,0.66
S094,C,0.368141,148,41.0,56.944444,0.071181,0.098862,0.35,0.656644,0.593131,0.1,1.0,0.72
S013,C,0.367517,149,44.0,61.111111,0.045833,0.063657,1.0,0.703065,0.528251,0.083333,1.0,0.72
S049,A,0.367054,150,38.0,63.333333,0.083333,0.138889,0.716981,0.647287,0.622286,0.079167,1.2,0.6
S099,A,0.366934,151,60.0,100.0,0.0,0.0,0.35,0.63297,0.620204,0.104167,1.2,0.6
S138,B,0.365547,152,411.0,622.727273,1.55,2.348485,0.35,0.716302,0.649176,0.591667,1.1,0.66
S032,C,0.365259,153,71.0,98.611111,0.049306,0.06848,0.731959,0.647898,0.56333,0.125,1.0,0.72
S091,A,0.365085,154,73.0,121.666667,0.166667,0.277778,0.579365,0.654081,0.555938,0.120833,1.2,0.6
S214,B,0.36452,155,52.0,78.787879,0.125,0.189394,0.35,0.727985,1.0,0.216667,1.1,0.66
S271,C,0.36445,156,247.0,343.055556,1.155187,1.604426,0.76947,0.700201,0.390629,0.204167,1.0,0.72
S255,A,0.363647,157,36.0,60.0,0.041667,0.069444,0.75,0.649537,0.6,0.075,1.2,0.6
S370,A,0.363159,158,58.0,96.666667,0.0,0.0,0.35,0.650699,0.565497,0.104167,1.2,0.6
S041,C,0.361371,159,71.0,98.611111,0.0625,0.086806,0.35,0.604726,0.617697,0.116667,1.0,0.72
S116,A,0.361276,160,75.0,125.0,0.083333,0.138889,0.862069,0.6372,0.583668,0.095833,1.2,0.6
S092,B,0.361055,161,398.0,603.030303,2.0,3.030303,1.236025,0.744759,0.638546,0.525,1.1,0.66
S392,B,0.360889,162,412.0,624.242424,3.0,4.545455,1.218935,0.73396,0.642849,0.5375,1.1,0.66
S175,B,0.360803,163,366.0,554.545455,2.0,3.030303,1.345588,0.730001,0.611652,0.575,1.1,0.66
S056,A,0.360078,164,28.0,46.666667,0.034314,0.05719,0.509091,0.635606,0.603646,0.070833,1.2,0.6
S336,A,0.359956,165,144.0,240.0,0.0,0.0,1.125,0.719614,0.403725,0.129167,1.2,0.6
S250,A,0.359634,166,35.0,58.333333,0.0,0.0,0.35,0.621473,0.645026,0.05,1.2,0.6
S381,A,0.359587,167,201.0,335.0,0.299107,0.498512,0.975728,0.725609,0.403394,0.116667,1.2,0.6
S196,A,0.359477,168,40.0,66.666667,0.041667,0.069444,0.677966,0.639931,0.579855,0.083333,1.2,0.6
S217,A,0.359247,169,139.0,231.666667,0.583333,0.972222,0.720207,0.602369,0.640269,0.083333,1.2,0.6
S398,C,0.359178,170,41.0,56.944444,0.053385,0.074146,0.35,0.628978,0.612821,0.066667,1.0,0.72
S382,C,0.358851,171,28.0,38.888889,0.0,0.0,0.35,0.626261,0.619405,0.0625,1.0,0.72
S223,C,0.35884,172,28.0,38.888889,0.0,0.0,0.35,0.623107,0.616257,0.070833,1.0,0.72
S038,A,0.358831,173,36.0,60.0,0.068182,0.113636,0.382979,0.5725,0.679623,0.091667,1.2,0.6
S171,C,0.358011,174,72.0,100.0,0.103448,0.143678,0.72,0.626606,0.554657,0.120833,1.0,0.72
S360,B,0.357517,175,405.0,613.636364,2.0,3.030303,0.935335,0.706539,0.657784,0.545833,1.1,0.66
S174,B,0.356662,176,346.0,524.242424,2.0,3.030303,1.35,0.730184,0.638022,0.520833,1.1,0.66
S072,A,0.356421,177,28.0,46.666667,0.0,0.0,0.35,0.620978,0.603646,0.070833,1.2,0.6
S172,B,0.356146,178,356.0,539.393939,1.27474,1.931424,1.223368,0.712154,0.652078,0.533333,1.1,0.66
S216,B,0.355884,179,425.0,643.939394,3.0,4.545455,1.115486,0.709409,0.650327,0.5375,1.1,0.66
S332,A,0.355386,180,305.0,508.333333,0.276268,0.460447,0.794271,0.753686,0.252908,0.191667,1.2,0.6
S020,C,0.355269,181,72.0,100.0,0.045455,0.063131,0.393443,0.600836,0.562657,0.1375,1.0,0.72
S317,A,0.355264,182,29.0,48.333333,0.166667,0.277778,0.35,0.574563,0.656617,0.0875,1.2,0.6
S256,B,0.354486,183,411.0,622.727273,1.601118,2.425936,1.09893,0.767821,0.568737,0.5125,1.1,0.66
S202,B,0.354429,184,400.0,606.060606,2.0,3.030303,0.35,0.703238,0.659391,0.529167,1.1,0.66
S156,A,0.354261,185,28.0,46.666667,0.0,0.0,0.35,0.581006,0.660032,0.066667,1.2,0.6
S252,C,0.354208,186,48.0,66.666667,0.0,0.0,0.35,0.61391,0.571429,0.1,1.0,0.72
S090,C,0.354001,187,145.0,201.388889,0.0,0.0,0.591837,0.681691,0.435714,0.120833,1.0,0.72
S258,B,0.35362,188,414.0,627.272727,2.0,3.030303,0.672078,0.721079,0.632516,0.520833,1.1,0.66
S300,A,0.353535,189,299.0,498.333333,0.0,0.0,0.776623,0.661902,0.551916,0.033333,1.2,0.6
S088,B,0.353513,190,425.0,643.939394,2.0,3.030303,0.740418,0.700503,0.607698,0.579167,1.1,0.66
S341,A,0.353313,191,63.0,105.0,0.0625,0.104167,0.35,0.603897,0.569499,0.1125,1.2,0.6
S145,A,0.353287,192,63.0,105.0,0.09375,0.15625,0.35,0.614817,0.546959,0.116667,1.2,0.6
S107,C,0.353237,193,69.0,95.833333,0.083333,0.115741,0.35,0.564988,0.625545,0.120833,1.0,0.72
S205,A,0.353073,194,60.0,100.0,0.083333,0.138889,0.35,0.594834,0.570525,0.125,1.2,0.6
S220,C,0.352771,195,70.0,97.222222,0.052083,0.072338,0.35,0.589058,0.586482,0.116667,1.0,0.72
S278,A,0.351665,196,62.0,103.333333,0.049679,0.082799,0.35,0.586235,0.592121,0.108333,1.2,0.6
S085,C,0.351618,197,46.0,63.888889,0.041667,0.05787,0.46,0.643856,0.508429,0.095833,1.0,0.72
S136,C,0.351605,198,42.0,58.333333,0.0,0.0,0.35,0.617321,0.569256,0.079167,1.0,0.72
S324,B,0.351425,199,424.0,642.424242,2.0,3.030303,1.250737,0.701791,0.645799,0.525,1.1,0.66
S082,A,0.351193,200,58.0,96.666667,0.044753,0.074588,0.58,0.605335,0.552998,0.1125,1.2,0.6
S169,B,0.351101,201,359.0,543.939394,2.55,3.863636,1.344569,0.711963,0.660413,0.491667,1.1,0.66
S288,A,0.350969,202,30.0,50.0,0.0,0.0,0.652174,0.620202,0.585248,0.054167,1.2,0.6
S325,C,0.350662,203,73.0,101.388889,0.0625,0.086806,0.35,0.600139,0.549769,0.120833,1.0,0.72
S243,A,0.350617,204,63.0,105.0,0.083333,0.138889,0.484615,0.593111,0.569499,0.1125,1.2,0.6
S061,C,0.350369,205,84.0,116.666667,0.0625,0.086806,0.35,0.575558,0.584554,0.125,1.0,0.72
S109,A,0.350261,206,36.0,60.0,0.039474,0.065789,0.35,0.605536,0.579927,0.079167,1.2,0.6
S207,C,0.349392,207,154.0,213.888889,0.072917,0.101273,0.35,0.596308,0.484742,0.183333,1.0,0.72
S242,A,0.348984,208,79.0,131.666667,0.0625,0.104167,0.35,0.61458,0.514394,0.120833,1.2,0.6
S159,A,0.348862,209,215.0,358.333333,0.095301,0.158836,0.849802,0.640323,0.394781,0.195833,1.2,0.6
S376,B,0.34882,210,358.0,542.424242,2.0,3.030303,0.477971,0.68365,0.679894,0.504167,1.1,0.66
S163,A,0.348535,211,252.0,420.0,0.228261,0.380435,0.35,0.648531,0.382844,0.191667,1.2,0.6
S063,C,0.348145,212,30.0,41.666667,0.083333,0.115741,0.35,0.553917,0.643594,0.0875,1.0,0.72
S083,A,0.34813,213,28.0,46.666667,0.041667,0.069444,0.35,0.600651,0.594748,0.058333,1.2,0.6
S254,A,0.348085,214,161.0,268.333333,0.0,0.0,1.052288,0.666414,0.433971,0.108333,1.2,0.6
S187,A,0.347638,215,74.0,123.333333,0.0625,0.104167,0.4625,0.590122,0.558716,0.108333,1.2,0.6
S141,B,0.347634,216,420.0,636.363636,2.55,3.863636,1.22807,0.713159,0.626604,0.5,1.1,0.66
S396,A,0.347076,217,38.0,63.333333,0.031667,0.052778,0.35,0.548853,0.628157,0.104167,1.2,0.6
S185,A,0.346914,218,64.0,106.666667,0.104167,0.173611,0.35,0.581156,0.568902,0.108333,1.2,0.6
S310,B,0.346758,219,406.0,615.151515,2.0,3.030303,1.226586,0.691787,0.635635,0.520833,1.1,0.66
S184,A,0.346283,220,73.0,121.666667,0.0625,0.104167,0.35,0.655498,0.440732,0.108333,1.2,0.6
S043,A,0.346047,221,39.0,65.0,0.045139,0.075231,0.35,0.559561,0.632609,0.075,1.2,0.6
S302,A,0.34513,222,59.0,98.333333,0.098333,0.163889,0.35,0.523339,0.657568,0.104167,1.2,0.6
S130,A,0.345033,223,60.0,100.0,0.125,0.208333,0.35,0.557539,0.587414,0.116667,1.2,0.6
S191,B,0.34482,224,351.0,531.818182,2.0,3.030303,0.35,0.685817,0.657995,0.495833,1.1,0.66
S391,C,0.344456,225,70.0,97.222222,0.047043,0.065338,0.35,0.543878,0.59385,0.129167,1.0,0.72
S227,A,0.343748,226,254.0,423.333333,0.0,0.0,0.582569,0.693991,0.341818,0.125,1.2,0.6
S290,C,0.343588,227,31.0,43.055556,0.0,0.0,0.35,0.566654,0.600313,0.079167,1.0,0.72
S197,B,0.342969,228,354.0,536.363636,2.0,3.030303,0.603066,0.698536,0.624439,0.495833,1.1,0.66
S121,A,0.342791,229,137.0,228.333333,0.0,0.0,0.744565,0.654056,0.41943,0.108333,1.2,0.6
S320,C,0.342707,230,42.0,58.333333,0.0,0.0,0.35,0.550193,0.617647,0.083333,1.0,0.72
S158,A,0.342239,231,37.0,61.666667,0.038542,0.064236,0.35,0.554344,0.607597,0.083333,1.2,0.6
S198,A,0.341867,232,54.0,90.0,0.051136,0.085227,0.35,0.553012,0.598893,0.091667,1.2,0.6
S226,A,0.34165,233,200.0,333.333333,0.245098,0.408497,0.803213,0.639096,0.403012,0.141667,1.2,0.6
S363,A,0.341597,234,56.0,93.333333,0.0,0.0,0.583333,0.632757,0.47667,0.079167,1.2,0.6
S096,A,0.341533,235,73.0,121.666667,0.054315,0.090526,0.35,0.560676,0.558764,0.116667,1.2,0.6
S195,A,0.341389,236,36.0,60.0,0.0,0.0,0.35,0.55374,0.615443,0.070833,1.2,0.6
S313,C,0.340819,237,384.0,533.333333,0.421053,0.584795,0.37684,0.592761,0.457243,0.158333,1.0,0.72
