date,discount_intensity,weighted_discount_rate,discount_revenue_share,promotion_revenue_share
2017-02-19,0.140932,0.10032,0.353542,0.0
2017-02-20,0.090311,0.05868,0.246173,0.0
2017-02-21,0.137292,0.094053,0.357275,0.0
2017-02-22,0.093892,0.061085,0.255661,0.0
2017-02-23,0.118541,0.087178,0.28758,0.0
2017-02-24,0.137004,0.107719,0.308002,0.0
2017-02-25,0.149632,0.102926,0.38792,0.0
2017-02-26,0.110826,0.077483,0.282939,0.0
2017-02-27,0.135241,0.109333,0.293538,0.0
2017-02-28,0.096222,0.052074,0.298852,0.0
2017-03-01,0.141566,0.106153,0.336291,0.0
2017-03-02,0.151999,0.109668,0.376158,0.0
2017-03-03,0.099242,0.074732,0.234648,0.0
2017-03-04,0.114869,0.078861,0.298333,0.0
2017-03-05,0.129474,0.092424,0.323886,0.0
2017-03-06,0.140188,0.099017,0.354379,0.0
2017-03-07,0.127148,0.097141,0.295744,0.0
2017-03-08,0.112934,0.087064,0.259947,0.0
2017-03-09,0.209491,0.184535,0.401581,0.0
2017-03-10,0.150766,0.101054,0.400142,0.0
2017-03-11,0.169211,0.125553,0.40662,0.0
2017-03-12,0.156775,0.107092,0.409055,0.0
2017-03-13,0.170595,0.133532,0.385614,0.0
2017-03-14,0.161705,0.113634,0.410809,0.0
2017-03-15,0.111138,0.070953,0.307353,0.0
2017-03-16,0.108648,0.073398,0.286348,0.0
2017-03-17,0.129633,0.087263,0.342745,0.0
2017-03-18,0.126487,0.087587,0.325879,0.0
2017-03-19,0.149542,0.102602,0.388602,0.0
2017-03-20,0.152466,0.108942,0.381031,0.0
2017-03-21,0.112748,0.074116,0.304333,0.0
2017-03-22,0.150429,0.117605,0.340528,0.0
2017-03-23,0.112367,0.063813,0.338493,0.0
2017-03-24,0.139741,0.090898,0.38056,0.0
2017-03-25,0.113744,0.069771,0.324523,0.0
2017-03-26,0.135236,0.090546,0.359269,0.0
2017-03-27,0.099615,0.065475,0.268912,0.0
2017-03-28,0.173814,0.117698,0.457127,0.0
2017-03-29,0.140945,0.093476,0.377559,0.0
2017-03-30,0.100385,0.061633,0.286209,0.0
2017-03-31,0.137389,0.088878,0.375874,0.0
2017-04-01,0.098948,0.063093,0.273914,0.0
2017-04-02,0.110207,0.073838,0.292603,0.0
2017-04-03,0.118191,0.07397,0.31977,0.024581
2017-04-04,0.135512,0.08419,0.382896,0.0
2017-04-05,0.145317,0.094522,0.395754,0.0
2017-04-06,0.135314,0.097137,0.336589,0.0
2017-04-07,0.137097,0.088198,0.376789,0.0
2017-04-08,0.185277,0.135133,0.453422,0.0
2017-04-09,0.115786,0.075531,0.31457,0.0
2017-04-10,0.163264,0.098769,0.470627,0.0
2017-04-11,0.182706,0.122947,0.483215,0.0
2017-04-12,0.138904,0.082891,0.4044,0.0
2017-04-13,0.145026,0.104118,0.360716,0.0
2017-04-14,0.131319,0.088389,0.347231,0.0
2017-04-15,0.202763,0.172247,0.384875,0.052152
2017-04-16,0.153209,0.116083,0.359755,0.0
2017-04-17,0.126287,0.081769,0.345244,0.0
2017-04-18,0.115882,0.073806,0.321088,0.0
2017-04-19,0.152466,0.118189,0.348668,0.0
2017-04-20,0.114404,0.077145,0.30201,0.0
2017-04-21,0.127413,0.086858,0.332675,0.000783
2017-04-22,0.129621,0.082695,0.358096,0.001153
2017-04-23,0.133515,0.086541,0.364679,0.0
2017-04-24,0.130819,0.086338,0.351914,0.0
2017-04-25,0.107764,0.07218,0.286189,0.0
2017-04-26,0.16424,0.110147,0.435685,0.0
2017-04-27,0.115831,0.07605,0.312979,0.0
2017-04-28,0.089798,0.05645,0.251417,0.0
2017-04-29,0.088712,0.057578,0.242037,0.0
2017-04-30,0.087472,0.055219,0.244093,0.0
2017-05-01,0.106092,0.080079,0.250185,0.0
2017-05-02,0.06484,0.043075,0.173436,0.0
2017-05-03,0.095735,0.061925,0.26091,0.002058
2017-05-04,0.139124,0.097233,0.355305,0.0
2017-05-05,0.134288,0.082575,0.351447,0.061955
2017-05-06,0.139693,0.090549,0.339123,0.084845
2017-05-07,0.13486,0.08635,0.364223,0.01571
2017-05-08,0.126307,0.078702,0.354386,0.003379
2017-05-09,0.127289,0.075387,0.372591,0.0
2017-05-10,0.090696,0.054929,0.2577,0.00705
2017-05-11,0.131577,0.085958,0.357029,0.0
2017-05-12,0.129791,0.096995,0.309046,0.000851
2017-05-13,0.130598,0.095777,0.309301,0.016938
2017-05-14,0.122614,0.088554,0.296553,0.013153
2017-05-15,0.122765,0.086808,0.309058,0.001882
2017-05-16,0.123435,0.082102,0.329105,0.00143
2017-05-17,0.106784,0.069275,0.29125,0.000414
2017-05-18,0.123338,0.082101,0.329338,0.0
2017-05-19,0.143106,0.096513,0.374624,0.00622
2017-05-20,0.138092,0.093154,0.364262,0.000319
2017-05-21,0.138013,0.096429,0.347937,0.009254
2017-05-22,0.131974,0.08973,0.345816,0.0
2017-05-23,0.136873,0.095401,0.347179,0.006563
2017-05-24,0.113221,0.075556,0.301659,0.0
2017-05-25,0.149274,0.100446,0.376195,0.037231
2017-05-26,0.143301,0.104245,0.344428,0.014439
2017-05-27,0.14766,0.100209,0.354158,0.066826
2017-05-28,0.126558,0.0858,0.315375,0.034228
2017-05-29,0.149641,0.099682,0.381349,0.035937
2017-05-30,0.124628,0.084734,0.324869,0.003406
2017-05-31,0.180001,0.122287,0.472003,0.0
2017-06-01,0.121993,0.082919,0.318252,0.002994
2017-06-02,0.128425,0.08513,0.336694,0.01495
2017-06-03,0.152357,0.105776,0.374137,0.03486
2017-06-04,0.157567,0.107871,0.392709,0.035159
2017-06-05,0.131644,0.093422,0.323587,0.015313
2017-06-06,0.147473,0.096614,0.396382,0.005669
2017-06-07,0.157706,0.101869,0.431664,0.000644
2017-06-08,0.145998,0.097495,0.386712,0.00409
2017-06-09,0.124205,0.088004,0.30771,0.010603
2017-06-10,0.152946,0.106424,0.391264,0.001963
2017-06-11,0.149585,0.104038,0.381514,0.004555
2017-06-12,0.16765,0.101376,0.47629,0.014294
2017-06-13,0.117513,0.073269,0.331124,0.0
2017-06-14,0.123959,0.073514,0.362189,0.000612
2017-06-15,0.166013,0.117013,0.420519,0.0
2017-06-16,0.182315,0.129095,0.436246,0.046993
2017-06-17,0.160075,0.110734,0.403971,0.017666
2017-06-18,0.183275,0.130286,0.433778,0.053195
2017-06-19,0.155802,0.110703,0.383394,0.016311
2017-06-20,0.150408,0.101601,0.392756,0.007363
2017-06-21,0.163276,0.111546,0.423888,0.004166
2017-06-22,0.163748,0.112019,0.425259,0.002829
2017-06-23,0.140838,0.094087,0.374294,0.001182
2017-06-24,0.164854,0.116248,0.416701,0.001405
2017-06-25,0.130183,0.090287,0.333034,0.00375
2017-06-26,0.145099,0.099189,0.377794,0.001083
2017-06-27,0.118656,0.083687,0.295142,0.010469
2017-06-28,0.120427,0.084408,0.305162,0.003084
2017-06-29,0.156515,0.111462,0.39246,0.0
2017-06-30,0.132856,0.086234,0.36068,0.003563
2017-07-01,0.14132,0.096424,0.366213,0.005809
2017-07-02,0.139528,0.100777,0.344718,0.000406
2017-07-03,0.128022,0.087397,0.333647,0.001147
2017-07-04,0.121195,0.087301,0.29787,0.005106
2017-07-05,0.130206,0.09436,0.316492,0.00855
2017-07-06,0.096394,0.066032,0.247332,0.007052
2017-07-07,0.128829,0.096813,0.289921,0.030756
2017-07-08,0.112062,0.081802,0.268178,0.011646
2017-07-09,0.105309,0.076183,0.25555,0.008705
2017-07-10,0.124505,0.089354,0.305672,0.008232
2017-07-11,0.123237,0.089995,0.298169,0.006069
2017-07-12,0.14801,0.110854,0.3498,0.004524
2017-07-13,0.125965,0.087853,0.301198,0.042288
2017-07-14,0.133262,0.087796,0.339514,0.039014
2017-07-15,0.111001,0.071471,0.283028,0.043657
2017-07-16,0.141557,0.102295,0.326428,0.046642
2017-07-17,0.115133,0.082361,0.2844,0.006002
2017-07-18,0.12968,0.09021,0.326173,0.012978
2017-07-19,0.146452,0.104989,0.360216,0.00916
2017-07-20,0.141583,0.092877,0.365974,0.033737
2017-07-21,0.168669,0.115175,0.426879,0.026709
2017-07-22,0.184449,0.137621,0.43199,0.017163
2017-07-23,0.149,0.10211,0.378211,0.018808
2017-07-24,0.143144,0.097546,0.365569,0.017482
2017-07-25,0.130849,0.090292,0.33136,0.013729
2017-07-26,0.159266,0.115973,0.385467,0.009918
2017-07-27,0.180975,0.126654,0.459731,0.003713
2017-07-28,0.155241,0.115408,0.364353,0.015855
2017-07-29,0.168099,0.117424,0.415994,0.027032
2017-07-30,0.145651,0.102242,0.358675,0.023466
2017-07-31,0.153572,0.110679,0.37311,0.014745
2017-08-01,0.143494,0.095137,0.358462,0.052055
2017-08-02,0.164682,0.123665,0.385676,0.009815
2017-08-03,0.156539,0.123224,0.325359,0.052102
2017-08-04,0.110949,0.078127,0.276897,0.008811
2017-08-05,0.140968,0.097886,0.347568,0.029345
2017-08-06,0.124522,0.085629,0.31629,0.013236
2017-08-07,0.154111,0.110825,0.36079,0.043756
2017-08-08,0.225961,0.147752,0.50867,0.208006
2017-08-09,0.134097,0.093661,0.336891,0.011562
2017-08-10,0.169737,0.11848,0.420518,0.026976
2017-08-11,0.139278,0.092927,0.36306,0.016166
2017-08-12,0.14948,0.101286,0.369144,0.047511
2017-08-13,0.147318,0.105126,0.359536,0.018224
2017-08-14,0.120054,0.086824,0.296385,0.0
2017-08-15,0.151574,0.105047,0.390206,0.0
2017-08-16,0.127047,0.088927,0.32399,0.0
2017-08-17,0.138356,0.092489,0.368067,0.0
2017-08-18,0.144266,0.103461,0.350711,0.017014
2017-08-19,0.197996,0.136627,0.50715,0.009275
2017-08-20,0.118983,0.079033,0.3149,0.006799
2017-08-21,0.143963,0.106693,0.344286,0.004209
2017-08-22,0.126324,0.088528,0.321774,0.0
2017-08-23,0.152336,0.106418,0.389216,0.0
2017-08-24,0.131756,0.089637,0.341655,0.006785
2017-08-25,0.084708,0.056892,0.224351,0.000129
2017-08-26,0.155632,0.120707,0.341442,0.028491
2017-08-27,0.161006,0.118507,0.373655,0.033205
2017-08-28,0.155647,0.113794,0.367878,0.024157
2017-08-29,0.131667,0.092706,0.332291,0.003148
2017-08-30,0.109395,0.077658,0.273342,0.003663
2017-08-31,0.133763,0.089177,0.351357,0.010676
2017-09-01,0.09766,0.066746,0.242442,0.024491
2017-09-02,0.150937,0.111315,0.352289,0.025584
2017-09-03,0.156653,0.108421,0.376574,0.054439
2017-09-04,0.149568,0.110723,0.358429,0.003765
2017-09-05,0.143577,0.103562,0.355419,0.0
2017-09-06,0.129918,0.089284,0.334666,0.004855
2017-09-07,0.169085,0.11834,0.374822,0.112822
2017-09-08,0.181116,0.139913,0.369879,0.092007
2017-09-09,0.17829,0.126485,0.400114,0.097277
2017-09-10,0.212767,0.153333,0.459572,0.13519
2017-09-11,0.147131,0.107991,0.333296,0.048778
2017-09-12,0.176707,0.134714,0.37193,0.08022
2017-09-13,0.171641,0.124499,0.39543,0.054052
2017-09-14,0.151412,0.102627,0.369619,0.056495
2017-09-15,0.177792,0.120601,0.419258,0.095203
2017-09-16,0.151849,0.106826,0.36766,0.035392
2017-09-17,0.159141,0.111472,0.37444,0.062225
2017-09-18,0.150473,0.099132,0.385516,0.039777
2017-09-19,0.138322,0.089783,0.345794,0.063152
2017-09-20,0.151198,0.100468,0.373022,0.062659
2017-09-21,0.174915,0.127986,0.393459,0.066334
2017-09-22,0.183424,0.134364,0.416498,0.060694
2017-09-23,0.194627,0.133673,0.464558,0.081447
2017-09-24,0.135981,0.089426,0.324249,0.085326
2017-09-25,0.136457,0.094339,0.328164,0.047867
2017-09-26,0.151908,0.105576,0.348165,0.083718
2017-09-27,0.129953,0.086243,0.321447,0.052934
2017-09-28,0.18406,0.142214,0.419336,0.006426
2017-09-29,0.18867,0.134606,0.455063,0.03433
2017-09-30,0.162169,0.13045,0.343486,0.021562
2017-10-01,0.124695,0.089586,0.298058,0.023732
2017-10-02,0.136098,0.093723,0.347864,0.0092
2017-10-03,0.135563,0.089084,0.356552,0.018939
2017-10-04,0.152439,0.10958,0.369229,0.018871
2017-10-05,0.131205,0.08529,0.354676,0.005665
2017-10-06,0.120153,0.079689,0.321856,0.0
2017-10-07,0.132274,0.086044,0.349998,0.020433
2017-10-08,0.125421,0.089242,0.313443,0.002625
2017-10-09,0.128548,0.096889,0.303628,0.0
2017-10-10,0.137681,0.094792,0.356632,0.0
2017-10-11,0.153668,0.112618,0.374176,0.0
2017-10-12,0.161781,0.117844,0.394628,0.003646
2017-10-13,0.146698,0.103627,0.36907,0.003445
2017-10-14,0.148458,0.108742,0.356435,0.010518
2017-10-15,0.167183,0.12997,0.355913,0.050214
2017-10-16,0.120173,0.08941,0.28784,0.000179
2017-10-17,0.124385,0.093262,0.290303,0.010412
2017-10-18,0.117369,0.091067,0.26746,0.001302
2017-10-19,0.1118,0.078185,0.281122,0.008459
2017-10-20,0.186676,0.129056,0.429366,0.104631
2017-10-21,0.173492,0.12302,0.396435,0.08091
2017-10-22,0.175683,0.127422,0.385943,0.092987
2017-10-23,0.110751,0.079451,0.271004,0.00935
2017-10-24,0.171117,0.122597,0.402612,0.047768
2017-10-25,0.181396,0.133,0.407407,0.068144
2017-10-26,0.1652,0.12782,0.339534,0.078193
2017-10-27,0.203487,0.161948,0.390204,0.12083
2017-10-28,0.175206,0.135382,0.35899,0.086412
2017-10-29,0.164985,0.12431,0.364538,0.050608
2017-10-30,0.152997,0.112535,0.366653,0.008922
2017-10-31,0.138817,0.104551,0.326268,0.003777
2017-11-01,0.156022,0.113514,0.38243,0.00077
2017-11-02,0.105408,0.075152,0.258524,0.01097
2017-11-03,0.094452,0.067185,0.237114,0.0
2017-11-04,0.113738,0.086307,0.260336,0.012562
2017-11-05,0.107289,0.07615,0.256225,0.027392
2017-11-06,0.119229,0.083445,0.30409,0.0
2017-11-07,0.11139,0.077556,0.282166,0.006673
2017-11-08,0.102103,0.068826,0.265841,0.007562
2017-11-09,0.109613,0.075793,0.268672,0.028241
2017-11-10,0.162819,0.118999,0.354663,0.085868
2017-11-11,0.196425,0.137676,0.40653,0.187456
2017-11-12,0.12861,0.090536,0.302947,0.046455
2017-11-13,0.112959,0.078985,0.28835,0.0
2017-11-14,0.139254,0.094578,0.365247,0.0
2017-11-15,0.107512,0.082151,0.250033,0.0
2017-11-16,0.119528,0.086229,0.285199,0.021282
2017-11-17,0.121889,0.086999,0.29465,0.020596
2017-11-18,0.140959,0.097598,0.344351,0.037708
2017-11-19,0.162505,0.114322,0.393445,0.037901
2017-11-20,0.129395,0.088991,0.328308,0.014393
2017-11-21,0.133611,0.089424,0.344646,0.020852
2017-11-22,0.12446,0.080218,0.334547,0.013977
2017-11-23,0.123816,0.086242,0.312163,0.010146
2017-11-24,0.139365,0.100493,0.329511,0.031179
2017-11-25,0.131858,0.092932,0.318499,0.031054
2017-11-26,0.130807,0.094207,0.314888,0.018845
2017-11-27,0.139959,0.094117,0.370388,0.0
2017-11-28,0.132713,0.094594,0.331431,0.00211
2017-11-29,0.101312,0.068807,0.265737,0.0
2017-11-30,0.114979,0.076433,0.307377,0.0
2017-12-01,0.159808,0.116844,0.374898,0.030371
2017-12-02,0.156807,0.115878,0.361769,0.033391
2017-12-03,0.153045,0.108104,0.360381,0.052955
2017-12-04,0.175714,0.128429,0.392791,0.072561
2017-12-05,0.15929,0.112093,0.374269,0.059707
2017-12-06,0.147441,0.105172,0.355497,0.027215
2017-12-07,0.188592,0.133472,0.422099,0.107415
2017-12-08,0.176886,0.123568,0.404623,0.094633
2017-12-09,0.214323,0.145707,0.51017,0.102945
2017-12-10,0.188446,0.132958,0.432566,0.088623
2017-12-11,0.206056,0.137557,0.501954,0.09375
2017-12-12,0.237531,0.164728,0.53895,0.144312
2017-12-13,0.164181,0.113916,0.384954,0.074491
2017-12-14,0.113987,0.075148,0.293582,0.026672
2017-12-15,0.192608,0.135346,0.469738,0.039186
2017-12-16,0.159068,0.103099,0.415797,0.037398
2017-12-17,0.169331,0.10817,0.452507,0.031103
2017-12-18,0.122623,0.081877,0.319593,0.013908
2017-12-19,0.15365,0.103739,0.400788,0.008749
2017-12-20,0.13493,0.082298,0.377283,0.018645
2017-12-21,0.157539,0.108516,0.388063,0.039649
2017-12-22,0.208697,0.144692,0.522351,0.029425
2017-12-23,0.195208,0.124496,0.519367,0.041874
2017-12-24,0.16318,0.101458,0.442827,0.035941
2017-12-25,0.153273,0.097053,0.418364,0.016633
2017-12-26,0.207098,0.123774,0.582898,0.038767
2017-12-27,0.164346,0.114841,0.409268,0.02103
2017-12-28,0.122251,0.077181,0.337674,0.006889
2017-12-29,0.134478,0.083176,0.375812,0.010926
2017-12-30,0.130178,0.081682,0.353151,0.023705
2017-12-31,0.127584,0.084379,0.318761,0.047669
2018-01-01,0.134308,0.099679,0.305193,0.034936
2018-01-02,0.174485,0.119501,0.418061,0.072215
2018-01-03,0.170596,0.117173,0.412604,0.06054
2018-01-04,0.159304,0.11579,0.370392,0.041722
2018-01-05,0.251451,0.173789,0.558551,0.180886
2018-01-06,0.230497,0.164277,0.503248,0.148537
2018-01-07,0.234553,0.174323,0.477959,0.169353
2018-01-08,0.152313,0.100194,0.404157,0.013453
2018-01-09,0.148229,0.100783,0.374179,0.028456
2018-01-10,0.123427,0.087751,0.297293,0.025431
2018-01-11,0.14706,0.098993,0.360162,0.057326
2018-01-12,0.196546,0.136111,0.441786,0.129115
2018-01-13,0.259497,0.180628,0.53901,0.252552
2018-01-14,0.214895,0.146593,0.478718,0.165362
2018-01-15,0.194917,0.130718,0.454753,0.124634
2018-01-16,0.193407,0.129174,0.459306,0.111241
2018-01-17,0.177288,0.115801,0.441776,0.078721
2018-01-18,0.171055,0.117799,0.409983,0.065987
2018-01-19,0.236517,0.151403,0.580616,0.144123
2018-01-20,0.227082,0.133916,0.60091,0.131586
2018-01-21,0.20326,0.132346,0.498934,0.108306
2018-01-22,0.157082,0.100298,0.392467,0.083795
2018-01-23,0.194475,0.127053,0.487695,0.079984
2018-01-24,0.147761,0.102694,0.323328,0.112097
2018-01-25,0.166805,0.106422,0.446937,0.029222
2018-01-26,0.201663,0.124295,0.509361,0.127844
2018-01-27,0.160618,0.100391,0.379926,0.143594
2018-01-28,0.189871,0.116815,0.478985,0.123039
2018-01-29,0.114559,0.074282,0.293424,0.03877
2018-01-30,0.146431,0.094194,0.350845,0.103264
2018-01-31,0.116131,0.070806,0.308994,0.047681
2018-02-01,0.177157,0.10974,0.443356,0.116675
2018-02-02,0.147555,0.095031,0.353236,0.103864
2018-02-03,0.165254,0.100662,0.419038,0.109827
2018-02-04,0.184439,0.114059,0.482752,0.080474
2018-02-05,0.188678,0.121051,0.480004,0.079416
2018-02-06,0.162759,0.108103,0.400743,0.069384
2018-02-07,0.165323,0.101775,0.410745,0.119319
2018-02-08,0.172489,0.111321,0.422846,0.099956
2018-02-09,0.196072,0.132336,0.443177,0.148016
2018-02-10,0.201536,0.142556,0.431982,0.153504
2018-02-11,0.201814,0.141292,0.450367,0.128359
2018-02-12,0.181836,0.116262,0.468175,0.068174
2018-02-13,0.145658,0.091536,0.358577,0.098671
2018-02-14,0.135508,0.087898,0.340378,0.059036
2018-02-15,0.122081,0.081365,0.31589,0.019471
2018-02-16,0.107918,0.067688,0.278437,0.048486
2018-02-17,0.182066,0.121087,0.445969,0.081109
2018-02-18,0.110595,0.077134,0.280175,0.005658
2018-02-19,0.16318,0.110694,0.373639,0.109661
2018-02-20,0.117542,0.073143,0.310102,0.043213
2018-02-21,0.133494,0.089396,0.322312,0.06454
2018-02-22,0.159573,0.108187,0.386944,0.064535
2018-02-23,0.161231,0.123039,0.359379,0.032277
2018-02-24,0.178551,0.124846,0.415689,0.080218
2018-02-25,0.181671,0.123914,0.432157,0.084998
2018-02-26,0.143987,0.109309,0.331125,0.012453
2018-02-27,0.119118,0.090379,0.260291,0.037949
2018-02-28,0.131362,0.097627,0.293088,0.044056
2018-03-01,0.179777,0.125215,0.425674,0.069915
2018-03-02,0.123077,0.091854,0.274874,0.038047
2018-03-03,0.174389,0.130328,0.372899,0.085792
2018-03-04,0.169661,0.122327,0.386754,0.066821
2018-03-05,0.148782,0.104449,0.364709,0.027264
2018-03-06,0.16453,0.122264,0.358896,0.071662
2018-03-07,0.173952,0.12544,0.402948,0.055551
2018-03-08,0.173033,0.123486,0.386235,0.093458
2018-03-09,0.189239,0.130845,0.431221,0.114036
2018-03-10,0.173107,0.121965,0.380544,0.116228
2018-03-11,0.150068,0.105183,0.344553,0.075295
2018-03-12,0.133498,0.090546,0.314893,0.071374
2018-03-13,0.171756,0.124372,0.375505,0.095948
2018-03-14,0.201976,0.134303,0.508974,0.061684
2018-03-15,0.17138,0.122972,0.386477,0.080046
2018-03-16,0.136787,0.09825,0.308323,0.063472
2018-03-17,0.20274,0.141567,0.473316,0.089797
2018-03-18,0.197367,0.136571,0.467682,0.082312
2018-03-19,0.210206,0.155996,0.456954,0.096182
2018-03-20,0.199129,0.139665,0.46927,0.075091
2018-03-21,0.184477,0.127374,0.430872,0.091403
2018-03-22,0.218536,0.156871,0.525678,0.035907
2018-03-23,0.190654,0.13825,0.46886,0.001077
2018-03-24,0.213938,0.156602,0.521375,0.000416
2018-03-25,0.17094,0.124855,0.41749,0.000433
2018-03-26,0.192597,0.146308,0.450387,0.001042
2018-03-27,0.176717,0.125658,0.443782,0.0
2018-03-28,0.133901,0.097679,0.327158,0.00094
2018-03-29,0.143452,0.11211,0.324873,0.0
2018-03-30,0.148302,0.115012,0.338553,0.000827
2018-03-31,0.177249,0.128183,0.437417,0.000378
2018-04-01,0.187786,0.13629,0.461565,0.000698
2018-04-02,0.165059,0.123675,0.391994,0.000872
2018-04-03,0.175408,0.126763,0.433017,0.000704
2018-04-04,0.150875,0.112924,0.359144,0.0
2018-04-05,0.159456,0.118699,0.381836,0.0
2018-04-06,0.198979,0.152205,0.462179,0.0
2018-04-07,0.184816,0.141715,0.427829,0.000493
2018-04-08,0.19392,0.150362,0.443332,0.0
2018-04-09,0.194325,0.145609,0.461995,0.0
2018-04-10,0.167989,0.126271,0.397688,0.000614
2018-04-11,0.182611,0.133427,0.444981,0.002163
2018-04-12,0.17157,0.128885,0.406752,0.0
2018-04-13,0.222883,0.175631,0.499351,0.000711
2018-04-14,0.228364,0.176661,0.523509,0.0
2018-04-15,0.266117,0.209317,0.597598,0.000754
2018-04-16,0.220731,0.165659,0.523845,0.0
2018-04-17,0.191575,0.143842,0.454427,0.0
2018-04-18,0.205856,0.163616,0.456625,0.0
2018-04-19,0.152569,0.112289,0.369833,0.0
2018-04-20,0.181773,0.142732,0.409304,0.0
2018-04-21,0.218705,0.183343,0.451825,0.0
2018-04-22,0.192118,0.150522,0.433763,0.0
2018-04-23,0.176653,0.154229,0.343461,0.0
2018-04-24,0.167834,0.121803,0.412864,0.0
2018-04-25,0.148901,0.106848,0.370538,0.0
2018-04-26,0.159164,0.106599,0.422724,0.0
2018-04-27,0.158764,0.119703,0.374858,0.0
2018-04-28,0.188167,0.141607,0.445212,0.0
2018-04-29,0.152612,0.114056,0.363863,0.0
2018-04-30,0.146773,0.112343,0.340664,0.0
2018-05-01,0.163456,0.122295,0.38925,0.0
2018-05-02,0.158104,0.121265,0.366091,0.0
2018-05-03,0.135902,0.097898,0.336869,0.0
2018-05-04,0.097363,0.072633,0.232599,0.0
2018-05-05,0.088219,0.063003,0.220583,0.0
2018-05-06,0.107515,0.077836,0.265148,0.0
