plate,count,unique_intersections,duration_min,scenic_count,first,last
AFF47EF7,295,9,4994.27,41,2024-05-01 06:05:07,2024-05-04 17:19:23
AF3578DK,294,12,6367.07,35,2024-05-01 07:42:45,2024-05-05 17:49:49
AF7D6E9K,292,12,6420.73,34,2024-05-01 10:31:21,2024-05-05 21:32:05
AFJ99CL,292,12,6410.0,51,2024-05-01 07:25:17,2024-05-05 18:15:17
AF794BF,291,12,6492.28,18,2024-05-01 08:55:16,2024-05-05 21:07:33
AFF35EE7,290,9,5260.85,41,2024-05-01 06:17:00,2024-05-04 21:57:51
AF3O96DK,289,12,5993.03,36,2024-05-01 17:38:53,2024-05-05 21:31:55
AF4965CK,287,12,6624.37,17,2024-05-01 07:15:39,2024-05-05 21:40:01
AF5Q78FK,286,12,6631.53,32,2024-05-01 07:27:05,2024-05-05 21:58:37
AF945D9K,286,11,6533.62,30,2024-05-01 06:44:20,2024-05-05 19:37:57
AF3N979K,280,12,6877.12,25,2024-05-01 01:43:47,2024-05-05 20:20:54
AF89A5FK,279,11,6719.32,35,2024-05-01 07:04:52,2024-05-05 23:04:11
AF89D66K,278,12,6437.6,33,2024-05-01 06:59:14,2024-05-05 18:16:50
AF18A5J,276,12,6559.07,26,2024-05-01 07:35:54,2024-05-05 20:54:58
AF4JDBBK,275,11,7098.47,38,2024-05-01 00:02:36,2024-05-05 22:21:04
AF3DCDC,275,11,6515.62,31,2024-05-01 06:27:41,2024-05-05 19:03:18
AFAWCA5,274,11,6614.15,19,2024-05-01 08:42:20,2024-05-05 22:56:29
AFF4DDD7,274,10,6341.85,39,2024-05-01 07:05:32,2024-05-05 16:47:23
AF7DCEBK,273,11,6602.62,11,2024-05-01 05:29:52,2024-05-05 19:32:29
AF456P6,270,12,6886.68,27,2024-05-01 00:00:10,2024-05-05 18:46:51
AF5F9BEK,270,12,6624.17,23,2024-05-01 07:56:55,2024-05-05 22:21:05
AFL9C6J,269,12,7174.73,15,2024-05-01 00:04:55,2024-05-05 23:39:39
AF9F779K,268,11,6493.42,36,2024-05-01 08:38:12,2024-05-05 20:51:37
AF8TDDFK,267,12,7102.02,24,2024-05-01 00:41:48,2024-05-05 23:03:49
AF9ICC8K,265,12,6580.62,17,2024-05-01 07:19:49,2024-05-05 21:00:26
AF3O776K,264,12,6746.65,27,2024-05-01 05:05:54,2024-05-05 21:32:33
AF2KDD7K,263,12,6573.08,23,2024-05-01 07:19:19,2024-05-05 20:52:24
AFA24EFK,262,12,7069.27,16,2024-05-01 01:13:56,2024-05-05 23:03:12
AFA9A8EK,261,10,6793.62,14,2024-05-01 06:33:14,2024-05-05 23:46:51
AF939ACK,261,11,6713.25,18,2024-05-01 04:04:37,2024-05-05 19:57:52
AF2JD9FK,261,11,6289.75,38,2024-05-01 09:00:32,2024-05-05 17:50:17
AF8C4BEM,259,11,7123.45,38,2024-05-01 01:03:38,2024-05-05 23:47:05
AFAQCA7K,259,11,6441.13,10,2024-05-01 06:23:40,2024-05-05 17:44:48
AF34589K,258,12,7160.6,17,2024-05-01 00:05:41,2024-05-05 23:26:17
AFW4C6W,258,12,7057.17,17,2024-05-01 02:19:47,2024-05-05 23:56:57
AF76CE6K,258,11,6574.9,22,2024-05-01 10:20:17,2024-05-05 23:55:11
AFM445W,258,11,6451.85,24,2024-05-01 07:16:02,2024-05-05 18:47:53
AF75D8DK,257,12,6407.45,24,2024-05-01 07:11:49,2024-05-05 17:59:16
AFBA5BFK,256,12,7168.63,28,2024-05-01 00:18:03,2024-05-05 23:46:41
AFF3BED7,256,5,6426.42,0,2024-05-01 06:36:58,2024-05-05 17:43:23
AFBP4E9K,254,11,6491.05,36,2024-05-01 07:46:54,2024-05-05 19:57:57
AF2568EK,253,12,6632.7,13,2024-05-01 08:10:45,2024-05-05 22:43:27
AF834A9K,253,12,6497.52,31,2024-05-01 07:47:24,2024-05-05 20:04:55
AF78757K,253,12,6278.93,21,2024-05-01 13:47:17,2024-05-05 22:26:13
AF555CDK,252,12,6456.05,20,2024-05-01 06:53:32,2024-05-05 18:29:35
AF53D8EK,252,11,6336.63,24,2024-05-01 08:33:31,2024-05-05 18:10:09
AF5I7DDK,251,12,6520.47,20,2024-05-01 05:48:58,2024-05-05 18:29:26
AF7MC6BK,250,12,6528.8,23,2024-05-01 10:54:03,2024-05-05 23:42:51
AFV6A7R,250,11,6510.37,38,2024-05-01 08:03:16,2024-05-05 20:33:38
AF76967K,249,12,6767.78,20,2024-05-01 06:57:20,2024-05-05 23:45:07
AF5M979K,249,12,6659.43,17,2024-05-01 07:34:48,2024-05-05 22:34:14
AF3368BK,249,12,6472.02,34,2024-05-01 07:46:03,2024-05-05 19:38:04
AF435EDK,249,12,6462.45,16,2024-05-01 07:02:54,2024-05-05 18:45:21
AF5EBBBK,248,12,6143.3,19,2024-05-01 07:48:53,2024-05-05 14:12:11
AF8X4EQ,247,12,7194.95,21,2024-05-01 00:02:09,2024-05-05 23:57:06
AFB44AFK,246,12,6907.53,26,2024-05-01 00:03:04,2024-05-05 19:10:36
AF96DDDK,246,12,6335.45,24,2024-05-01 08:19:32,2024-05-05 17:54:59
AFU6D7H,245,12,6598.95,32,2024-05-01 07:22:09,2024-05-05 21:21:06
AFBN9D9K,244,12,7194.42,15,2024-05-01 00:00:59,2024-05-05 23:55:24
AF79A6EK,244,12,6618.52,28,2024-05-01 06:53:38,2024-05-05 21:12:09
AF49AE9K,244,10,6560.2,17,2024-05-01 07:56:50,2024-05-05 21:17:02
AF7O6BEK,241,12,6443.12,27,2024-05-01 09:18:18,2024-05-05 20:41:25
AF3SCD8K,240,12,6529.4,27,2024-05-01 08:39:53,2024-05-05 21:29:17
AF5E75FK,238,12,6720.03,18,2024-05-01 07:49:08,2024-05-05 23:49:10
AF9BCC9K,237,12,6561.83,25,2024-05-01 08:46:52,2024-05-05 22:08:42
AF7MDBBK,236,12,6540.92,29,2024-05-01 08:37:58,2024-05-05 21:38:53
AF189E4,235,12,6532.58,34,2024-05-01 07:20:27,2024-05-05 20:13:02
AF2WC72,235,12,6349.17,23,2024-05-01 13:31:18,2024-05-05 23:20:28
AF3SDAFK,235,11,6336.92,19,2024-05-01 12:20:10,2024-05-05 21:57:05
AF8HA78K,234,11,6729.17,21,2024-05-01 07:21:49,2024-05-05 23:30:59
AFBF5BFK,234,12,6637.3,25,2024-05-01 07:25:28,2024-05-05 22:02:46
AF4JB56K,233,11,6643.45,18,2024-05-01 08:37:08,2024-05-05 23:20:35
AF45AEEK,232,12,6478.02,15,2024-05-01 06:58:11,2024-05-05 18:56:12
AF287BEK,232,12,6387.62,12,2024-05-01 08:30:23,2024-05-05 18:58:00
AF8MDD6K,231,12,6588.77,28,2024-05-01 06:13:54,2024-05-05 20:02:40
AF3M686K,231,12,6480.05,20,2024-05-01 07:58:26,2024-05-05 19:58:29
AF5ECB9K,231,11,6350.07,19,2024-05-01 06:46:40,2024-05-05 16:36:44
AFB476FM,230,12,6691.8,16,2024-05-01 00:39:13,2024-05-05 16:11:01
AF9MB5BK,230,12,6353.27,19,2024-05-01 06:14:13,2024-05-05 16:07:29
AFACBAFM,230,12,6290.28,29,2024-05-01 10:12:32,2024-05-05 19:02:49
AF9EC69K,230,12,5010.75,42,2024-05-02 08:57:11,2024-05-05 20:27:56
AF554C9K,229,11,6420.03,28,2024-05-01 09:49:35,2024-05-05 20:49:37
AF8A9BCK,226,12,6415.45,36,2024-05-01 07:23:22,2024-05-05 18:18:49
AFBHA5BK,225,12,7186.95,24,2024-05-01 00:02:56,2024-05-05 23:49:53
AF8D6D8K,225,12,6541.05,20,2024-05-01 09:35:34,2024-05-05 22:36:37
AFAD46FK,224,11,6645.73,27,2024-05-01 08:05:41,2024-05-05 22:51:25
AFAKBDFK,224,12,6512.55,10,2024-05-01 04:13:42,2024-05-05 16:46:15
AF5TADCK,224,12,6457.98,16,2024-05-01 05:49:44,2024-05-05 17:27:43
AF9I9E6K,224,12,6324.22,18,2024-05-01 07:29:16,2024-05-05 16:53:29
AF8AA6EK,223,11,6426.18,23,2024-05-01 08:02:30,2024-05-05 19:08:41
AF4G9DBK,222,11,6330.77,31,2024-05-01 10:19:40,2024-05-05 19:50:26
AF4F4C6K,220,12,6731.92,28,2024-05-01 07:28:10,2024-05-05 23:40:05
AFBI47CK,219,11,6775.12,18,2024-05-01 05:32:16,2024-05-05 22:27:23
AF8G5BFK,219,11,6598.15,18,2024-05-01 08:59:47,2024-05-05 22:57:56
AF43CCDK,219,11,6490.72,20,2024-05-01 07:40:26,2024-05-05 19:51:09
AF7B9EFK,219,11,6256.33,23,2024-05-01 14:32:15,2024-05-05 22:48:35
AF29CECK,218,11,6640.63,12,2024-05-01 05:14:06,2024-05-05 19:54:44
AF6NADCK,216,12,7178.38,31,2024-05-01 00:03:13,2024-05-05 23:41:36
AF7B6HB,216,12,6827.8,18,2024-05-01 00:38:41,2024-05-05 18:26:29
AF58556K,216,12,6494.18,24,2024-05-01 07:44:34,2024-05-05 19:58:45
AFF6DBC7,216,6,6406.02,55,2024-05-01 06:57:26,2024-05-05 17:43:27
AF2KB76K,215,11,7022.83,23,2024-05-01 00:35:32,2024-05-05 21:38:22
AF3FC5CK,215,10,6697.4,18,2024-05-01 01:24:08,2024-05-05 17:01:32
AF595E7K,215,11,6498.95,12,2024-05-01 08:11:33,2024-05-05 20:30:30
AFFA76E7,215,9,6407.33,25,2024-05-01 06:50:55,2024-05-05 17:38:15
AFH9A7M,214,12,6825.65,23,2024-05-01 00:49:54,2024-05-05 18:35:33
AFW3CBL,214,12,6671.65,16,2024-05-01 07:36:26,2024-05-05 22:48:05
AF58QE9,214,12,6602.43,22,2024-05-01 08:58:23,2024-05-05 23:00:49
AF88ABDK,213,12,6630.55,17,2024-05-01 00:36:57,2024-05-05 15:07:30
AF249D8K,213,12,6246.38,27,2024-05-01 12:54:31,2024-05-05 21:00:54
AF83CE9K,213,12,6162.43,18,2024-05-01 09:44:30,2024-05-05 16:26:56
AFBK9A9K,213,12,6099.97,25,2024-05-01 09:31:56,2024-05-05 15:11:54
AF93BJD,212,12,7124.63,12,2024-05-01 00:10:03,2024-05-05 22:54:41
AFA5887K,212,12,6659.87,17,2024-05-01 06:45:52,2024-05-05 21:45:44
AFAN976K,211,12,7109.57,17,2024-05-01 01:30:11,2024-05-05 23:59:45
AF4366DK,211,12,7108.07,16,2024-05-01 00:00:29,2024-05-05 22:28:33
AF5E78BK,211,12,6547.17,18,2024-05-01 10:30:02,2024-05-05 23:37:12
AF警ADD6,210,12,7137.62,21,2024-05-01 00:01:06,2024-05-05 22:58:43
AFAPDB6K,210,9,6580.18,22,2024-05-01 10:08:44,2024-05-05 23:48:55
AF8ED7CK,210,12,6183.52,44,2024-05-01 10:34:36,2024-05-05 17:38:07
AFA67B9K,209,12,6390.53,16,2024-05-01 07:41:49,2024-05-05 18:12:21
AFB316F,209,12,6248.75,19,2024-05-01 09:25:00,2024-05-05 17:33:45
AF2CBECM,208,12,6552.35,20,2024-05-01 10:27:57,2024-05-05 23:40:18
AFBJCEDK,208,12,6408.73,16,2024-05-01 08:58:15,2024-05-05 19:46:59
AFGB55W,207,11,6973.75,13,2024-05-01 00:24:16,2024-05-05 20:38:01
AFAG46CK,206,11,6396.05,16,2024-05-01 07:40:27,2024-05-05 18:16:30
AF79CDBK,206,11,6363.53,9,2024-05-01 03:08:31,2024-05-05 13:12:03
AFBF778K,206,12,6361.68,32,2024-05-01 11:10:30,2024-05-05 21:12:11
AF75ACBK,205,12,6690.33,21,2024-05-01 05:55:26,2024-05-05 21:25:46
AFX84SE,205,12,6176.0,25,2024-05-01 12:29:23,2024-05-05 19:25:23
AF86B6EK,204,12,7120.58,9,2024-05-01 00:09:10,2024-05-05 22:49:45
AF7IDB6K,204,12,6525.97,18,2024-05-01 07:47:04,2024-05-05 20:33:02
AF8HA6EK,204,12,6429.07,30,2024-05-01 07:43:52,2024-05-05 18:52:56
AF5K46BK,204,11,6401.3,21,2024-05-01 08:51:24,2024-05-05 19:32:42
AFR4BCV,204,12,6058.25,18,2024-05-01 05:48:18,2024-05-05 10:46:33
AFECA83,203,12,7144.42,13,2024-05-01 00:32:47,2024-05-05 23:37:12
AF警B756,203,9,7093.75,17,2024-05-01 01:40:56,2024-05-05 23:54:41
AF5CVEB,203,12,6450.35,20,2024-05-01 07:55:03,2024-05-05 19:25:24
AF7DD8BK,203,12,6188.97,18,2024-05-01 13:33:44,2024-05-05 20:42:42
AF8AC58K,202,12,6635.8,14,2024-05-01 08:11:33,2024-05-05 22:47:21
AF9J6CCK,202,10,6407.75,15,2024-05-01 11:14:33,2024-05-05 22:02:18
AFM35CJ,200,11,6285.18,21,2024-05-01 11:51:37,2024-05-05 20:36:48
AFB9DCCK,200,12,6252.2,16,2024-05-01 08:20:55,2024-05-05 16:33:07
AF75D5DK,200,12,5045.8,18,2024-05-02 05:49:34,2024-05-05 17:55:22
AF8J759K,199,11,6785.25,22,2024-05-01 00:01:04,2024-05-05 17:06:19
AFBJ7C4,199,12,6421.78,24,2024-05-01 07:54:13,2024-05-05 18:56:00
AFW6ACS,199,11,6265.27,21,2024-05-01 10:45:23,2024-05-05 19:10:39
AF7966CK,198,12,6891.45,16,2024-05-01 00:24:00,2024-05-05 19:15:27
AF93CD8K,198,11,6737.88,13,2024-05-01 05:59:42,2024-05-05 22:17:35
AF3DB68K,198,12,6545.47,18,2024-05-01 07:57:53,2024-05-05 21:03:21
