batch_ewes,interval_days,base_ewes,rams,annual_output,max_pens,mean_pens,utilization,feasible_112_pens
217,12,4142,83,13020.0,1084.0,1067.227397,9.528816,False
224,12,4275,86,13440.0,1118.0,1101.145205,9.831654,False
231,12,4409,89,13860.0,1154.0,1136.071233,10.143493,False
238,12,4542,91,14280.0,1188.0,1169.989041,10.446331,False
245,12,4676,94,14700.0,1224.0,1205.243836,10.761106,False
252,12,4809,97,15120.0,1258.0,1238.832877,11.061008,False
259,12,4943,99,15540.0,1293.0,1273.668493,11.37204,False
266,12,5077,102,15960.0,1328.0,1307.342466,11.672701,False
273,12,5210,105,16380.0,1364.0,1342.849315,11.989726,False
280,12,5344,107,16800.0,1397.0,1375.767123,12.283635,False
14,13,247,5,784.0,66.0,64.073973,0.572089,True
21,13,370,8,1176.0,99.0,97.153425,0.867441,True
28,13,494,10,1568.0,131.0,127.534247,1.138699,False
35,13,617,13,1960.0,164.0,160.690411,1.434736,False
42,13,740,15,2352.0,196.0,190.994521,1.705308,False
49,13,864,18,2744.0,229.0,224.150685,2.001345,False
56,13,987,20,3136.0,260.0,253.994521,2.267808,False
63,13,1110,23,3528.0,294.0,287.610959,2.567955,False
70,13,1234,25,3920.0,326.0,317.991781,2.839212,False
77,13,1357,28,4312.0,359.0,351.147945,3.13525,False
84,13,1480,30,4704.0,391.0,381.452055,3.405822,False
91,13,1603,33,5096.0,424.0,414.608219,3.701859,False
98,13,1727,35,5488.0,456.0,444.989041,3.973116,False
105,13,1850,37,5880.0,489.0,478.068493,4.268469,False
112,13,1973,40,6272.0,520.0,507.912329,4.534932,False
119,13,2097,42,6664.0,554.0,541.605479,4.835763,False
126,13,2220,45,7056.0,586.0,571.909589,5.106336,False
133,13,2343,47,7448.0,618.0,604.528767,5.397578,False
140,13,2467,50,7840.0,651.0,635.446575,5.67363,False
147,13,2590,52,8232.0,684.0,668.526027,5.968982,False
154,13,2713,55,8624.0,716.0,698.906849,6.24024,False
161,13,2837,57,9016.0,749.0,732.063014,6.536277,False
168,13,2960,60,9408.0,780.0,761.830137,6.802055,False
175,13,3083,62,9800.0,814.0,795.523288,7.102886,False
182,13,3206,65,10192.0,846.0,825.90411,7.374144,False
189,13,3330,67,10584.0,878.0,858.446575,7.664702,False
196,13,3453,70,10976.0,911.0,889.364384,7.940753,False
203,13,3576,72,11368.0,944.0,922.520548,8.236791,False
210,13,3700,74,11760.0,975.0,952.287671,8.502568,False
217,13,3823,77,12152.0,1009.0,985.980822,8.8034,False
224,13,3946,79,12544.0,1040.0,1015.824658,9.069863,False
231,13,4070,82,12936.0,1074.0,1049.441096,9.37001,False
238,13,4193,84,13328.0,1106.0,1079.821918,9.641267,False
245,13,4316,87,13720.0,1138.0,1112.441096,9.93251,False
252,13,4440,89,14112.0,1171.0,1143.282192,10.207877,False
259,13,4563,92,14504.0,1204.0,1176.438356,10.503914,False
266,13,4686,94,14896.0,1235.0,1206.282192,10.770377,False
273,13,4809,97,15288.0,1269.0,1239.89863,11.070523,False
280,13,4933,99,15680.0,1300.0,1269.742466,11.336986,False
14,14,229,5,728.0,60.0,59.857534,0.534442,True
21,14,344,7,1092.0,91.0,90.145205,0.804868,True
28,14,458,10,1456.0,119.0,118.715068,1.059956,False
35,14,573,12,1820.0,151.0,149.646575,1.33613,False
42,14,687,14,2184.0,178.0,177.358904,1.583562,False
49,14,802,17,2548.0,210.0,208.860274,1.864824,False
56,14,916,19,2912.0,237.0,236.216438,2.109075,False
63,14,1031,21,3276.0,268.0,266.575342,2.380137,False
70,14,1145,23,3640.0,297.0,296.073973,2.643518,False
77,14,1260,26,4004.0,327.0,325.789041,2.908831,False
84,14,1374,28,4368.0,356.0,354.361644,3.163943,False
91,14,1489,30,4732.0,387.0,385.290411,3.440093,False
98,14,1603,33,5096.0,415.0,413.575342,3.692637,False
105,14,1718,35,5460.0,446.0,443.934247,3.963699,False
112,14,1832,37,5824.0,474.0,472.432877,4.218151,False
119,14,1947,39,6188.0,505.0,502.791781,4.489212,False
126,14,2061,42,6552.0,534.0,531.720548,4.747505,False
133,14,2176,44,6916.0,564.0,562.005479,5.017906,False
140,14,2290,46,7280.0,592.0,590.005479,5.267906,False
147,14,2405,49,7644.0,624.0,620.936986,5.54408,False
154,14,2519,51,8008.0,652.0,649.219178,5.7966,False
161,14,2634,53,8372.0,683.0,680.150685,6.072774,False
168,14,2748,55,8736.0,710.0,707.506849,6.317025,False
175,14,2863,58,9100.0,742.0,739.008219,6.598288,False
182,14,2977,60,9464.0,770.0,767.364384,6.851468,False
189,14,3092,62,9828.0,800.0,797.079452,7.116781,False
196,14,3206,65,10192.0,829.0,826.221918,7.376981,False
203,14,3321,67,10556.0,860.0,856.580822,7.648043,False
210,14,3435,69,10920.0,888.0,884.865753,7.900587,False
217,14,3550,71,11284.0,919.0,915.367123,8.172921,False
224,14,3664,74,11648.0,947.0,943.723288,8.426101,False
231,14,3779,76,12012.0,978.0,974.082192,8.697162,False
238,14,3893,78,12376.0,1007.0,1003.153425,8.956727,False
245,14,4008,81,12740.0,1037.0,1033.29589,9.225856,False
252,14,4122,83,13104.0,1066.0,1061.868493,9.480969,False
259,14,4237,85,13468.0,1097.0,1092.369863,9.753302,False
266,14,4351,88,13832.0,1125.0,1121.082192,10.009662,False
273,14,4466,90,14196.0,1156.0,1151.441096,10.280724,False
280,14,4580,92,14560.0,1183.0,1178.939726,10.526248,False
14,15,214,5,672.0,56.0,55.865753,0.498801,True
21,15,321,7,1008.0,86.0,84.775342,0.756923,True
28,15,428,9,1344.0,111.0,110.8,0.989286,True
35,15,535,11,1680.0,140.0,139.052055,1.241536,False
42,15,642,13,2016.0,167.0,165.983562,1.481996,False
49,15,749,15,2352.0,196.0,194.575342,1.73728,False
56,15,855,18,2688.0,222.0,220.849315,1.971869,False
63,15,962,20,3024.0,251.0,249.10137,2.224119,False
70,15,1069,22,3360.0,278.0,276.372603,2.467613,False
77,15,1176,24,3696.0,307.0,304.967123,2.722921,False
84,15,1283,26,4032.0,332.0,330.309589,2.949193,False
91,15,1390,28,4368.0,362.0,359.558904,3.210347,False
98,15,1497,30,4704.0,388.0,385.832877,3.444936,False
105,15,1603,33,5040.0,418.0,415.084932,3.706115,False
112,15,1710,35,5376.0,443.0,440.69863,3.934809,False
119,15,1817,37,5712.0,472.0,468.950685,4.18706,False
126,15,1924,39,6048.0,499.0,496.224658,4.430577,False
133,15,2031,41,6384.0,528.0,524.816438,4.685861,False
140,15,2138,43,6720.0,554.0,550.816438,4.918004,False
147,15,2245,45,7056.0,583.0,579.068493,5.170254,False
154,15,2352,48,7392.0,610.0,606.682192,5.416805,False
161,15,2458,50,7728.0,639.0,634.934247,5.669056,False
168,15,2565,52,8064.0,664.0,660.208219,5.894716,False
175,15,2672,54,8400.0,694.0,689.8,6.158929,False
182,15,2779,56,8736.0,720.0,716.073973,6.393518,False
189,15,2886,58,9072.0,749.0,744.326027,6.645768,False
196,15,2993,60,9408.0,775.0,770.665753,6.880944,False
203,15,3100,62,9744.0,804.0,799.260274,7.136252,False
210,15,3206,65,10080.0,831.0,826.191781,7.376712,False
217,15,3313,67,10416.0,860.0,854.783562,7.631996,False
224,15,3420,69,10752.0,886.0,881.057534,7.866585,False
231,15,3527,71,11088.0,915.0,909.309589,8.118836,False
238,15,3634,73,11424.0,941.0,935.923288,8.356458,False
245,15,3741,75,11760.0,971.0,964.832877,8.614579,False
252,15,3848,77,12096.0,996.0,990.517808,8.843909,False
259,15,3955,80,12432.0,1026.0,1019.767123,9.105064,False
266,15,4061,82,12768.0,1052.0,1046.041096,9.339653,False
273,15,4168,84,13104.0,1081.0,1074.635616,9.594961,False
280,15,4275,86,13440.0,1107.0,1100.906849,9.829525,False
14,16,201,5,644.0,54.0,52.378082,0.467661,True
21,16,301,7,966.0,80.0,79.558904,0.710347,True
28,16,401,9,1288.0,108.0,104.441096,0.93251,True
35,16,501,11,1610.0,134.0,130.873973,1.168518,False
42,16,602,13,1932.0,160.0,156.063014,1.39342,False
49,16,702,15,2254.0,187.0,183.0,1.633929,False
56,16,802,17,2576.0,213.0,207.441096,1.852153,False
63,16,902,19,2898.0,239.0,233.873973,2.08816,False
70,16,1002,21,3220.0,266.0,258.819178,2.310886,False
77,16,1103,23,3542.0,292.0,286.0,2.553571,False
84,16,1203,25,3864.0,319.0,310.378082,2.771233,False
91,16,1303,27,4186.0,346.0,337.315068,3.011742,False
98,16,1403,29,4508.0,372.0,362.50411,3.236644,False
105,16,1503,31,4830.0,398.0,388.936986,3.472652,False
112,16,1603,33,5152.0,425.0,413.882192,3.695377,False
119,16,1704,35,5474.0,451.0,440.315068,3.931385,False
126,16,1804,37,5796.0,477.0,464.756164,4.149609,False
133,16,1904,39,6118.0,504.0,492.441096,4.396795,False
140,16,2004,41,6440.0,531.0,516.819178,4.614457,False
147,16,2104,43,6762.0,557.0,543.252055,4.850465,False
154,16,2205,45,7084.0,584.0,568.945205,5.079868,False
161,16,2305,47,7406.0,610.0,595.378082,5.315876,False
168,16,2405,49,7728.0,636.0,619.819178,5.5341,False
175,16,2505,51,8050.0,663.0,646.756164,5.774609,False
182,16,2605,53,8372.0,689.0,671.19726,5.992833,False
189,16,2706,55,8694.0,715.0,698.378082,6.235519,False
196,16,2806,57,9016.0,743.0,723.260274,6.457681,False
203,16,2906,59,9338.0,769.0,749.693151,6.693689,False
210,16,3006,61,9660.0,795.0,774.882192,6.918591,False
217,16,3106,63,9982.0,822.0,801.819178,7.1591,False
224,16,3206,65,10304.0,848.0,826.260274,7.377324,False
231,16,3307,67,10626.0,874.0,852.693151,7.613332,False
238,16,3407,69,10948.0,901.0,877.638356,7.836057,False
245,16,3507,71,11270.0,927.0,904.819178,8.078743,False
252,16,3607,73,11592.0,954.0,929.19726,8.296404,False
259,16,3707,75,11914.0,981.0,956.134247,8.536913,False
266,16,3808,77,12236.0,1007.0,981.323288,8.761815,False
273,16,3908,79,12558.0,1033.0,1007.756164,8.997823,False
280,16,4008,81,12880.0,1060.0,1032.70137,9.220548,False
14,17,189,4,616.0,51.0,49.29863,0.440166,True
21,17,283,6,924.0,76.0,74.117808,0.661766,True
28,17,378,8,1232.0,102.0,98.424658,0.878792,True
35,17,472,10,1540.0,127.0,123.416438,1.101932,False
42,17,566,12,1848.0,152.0,147.068493,1.313112,False
49,17,661,14,2156.0,178.0,172.542466,1.540558,False
56,17,755,16,2464.0,201.0,194.59726,1.737476,False
63,17,849,17,2772.0,226.0,219.416438,1.959075,False
70,17,943,19,3080.0,252.0,243.89589,2.177642,False
77,17,1038,21,3388.0,277.0,268.715068,2.399242,False
84,17,1132,23,3696.0,302.0,292.367123,2.610421,False
91,17,1226,25,4004.0,328.0,317.841096,2.837867,False
98,17,1321,27,4312.0,352.0,340.838356,3.0432,False
105,17,1415,29,4620.0,378.0,366.484932,3.272187,False
112,17,1509,31,4928.0,402.0,389.194521,3.474951,False
119,17,1603,33,5236.0,427.0,414.013699,3.696551,False
126,17,1698,34,5544.0,452.0,437.665753,3.90773,False
133,17,1792,36,5852.0,478.0,463.312329,4.136717,False
140,17,1886,38,6160.0,502.0,486.136986,4.340509,False
147,17,1981,40,6468.0,528.0,511.783562,4.569496,False
154,17,2075,42,6776.0,553.0,535.263014,4.779134,False
161,17,2169,44,7084.0,578.0,560.254795,5.002275,False
168,17,2264,46,7392.0,602.0,583.136986,5.20658,False
175,17,2358,48,7700.0,628.0,608.610959,5.434026,False
182,17,2452,50,8008.0,653.0,632.263014,5.645205,False
189,17,2546,51,8316.0,678.0,657.082192,5.866805,False
196,17,2641,53,8624.0,703.0,680.734247,6.077984,False
203,17,2735,55,8932.0,728.0,705.553425,6.299584,False
210,17,2829,57,9240.0,753.0,729.205479,6.510763,False
217,17,2924,59,9548.0,779.0,754.679452,6.738209,False
224,17,3018,61,9856.0,803.0,777.734247,6.944056,False
231,17,3112,63,10164.0,828.0,802.553425,7.165656,False
238,17,3206,65,10472.0,853.0,826.032877,7.375294,False
245,17,3301,67,10780.0,879.0,851.679452,7.604281,False
252,17,3395,68,11088.0,903.0,874.50411,7.808072,False
259,17,3489,70,11396.0,929.0,900.150685,8.03706,False
266,17,3584,72,11704.0,954.0,923.80274,8.248239,False
273,17,3678,74,12012.0,979.0,948.621918,8.469839,False
280,17,3772,76,12320.0,1003.0,971.331507,8.672603,False
14,18,179,4,560.0,48.0,46.547945,0.415607,True
21,18,268,6,840.0,72.0,69.942466,0.624486,True
28,18,357,8,1120.0,96.0,92.986301,0.830235,True
35,18,446,9,1400.0,120.0,116.380822,1.039114,False
42,18,535,11,1680.0,142.0,137.873973,1.231018,False
49,18,624,13,1960.0,168.0,162.928767,1.454721,False
56,18,713,15,2240.0,189.0,184.035616,1.643175,False
63,18,802,17,2520.0,213.0,207.430137,1.852055,False
70,18,891,18,2800.0,237.0,230.473973,2.057803,False
77,18,980,20,3080.0,261.0,253.978082,2.267661,False
84,18,1069,22,3360.0,283.0,275.361644,2.458586,False
91,18,1158,24,3640.0,309.0,300.416438,2.68229,False
98,18,1247,25,3920.0,331.0,321.8,2.873214,False
105,18,1336,27,4200.0,355.0,345.194521,3.082094,False
112,18,1425,29,4480.0,378.0,368.071233,3.28635,False
119,18,1514,31,4760.0,402.0,391.465753,3.49523,False
126,18,1603,33,5040.0,424.0,412.849315,3.686155,False
133,18,1693,34,5320.0,449.0,437.013699,3.901908,False
140,18,1782,36,5600.0,472.0,459.287671,4.100783,False
147,18,1871,38,5880.0,496.0,482.791781,4.310641,False
154,18,1960,40,6160.0,520.0,505.835616,4.516389,False
161,18,2049,41,6440.0,544.0,529.230137,4.725269,False
168,18,2138,43,6720.0,565.0,550.336986,4.913723,False
175,18,2227,45,7000.0,590.0,574.50137,5.129477,False
182,18,2316,47,7280.0,613.0,596.884932,5.32933,False
189,18,2405,49,7560.0,637.0,620.279452,5.538209,False
196,18,2494,50,7840.0,660.0,642.432877,5.736008,False
203,18,2583,52,8120.0,685.0,666.717808,5.952838,False
210,18,2672,54,8400.0,707.0,688.10137,6.143762,False
217,18,2761,56,8680.0,732.0,712.375342,6.360494,False
224,18,2850,57,8960.0,754.0,734.372603,6.556898,False
231,18,2939,59,9240.0,778.0,757.767123,6.765778,False
238,18,3028,61,9520.0,801.0,779.920548,6.963576,False
245,18,3117,63,9800.0,826.0,804.205479,7.180406,False
252,18,3206,65,10080.0,848.0,825.69863,7.372309,False
259,18,3296,66,10360.0,873.0,849.863014,7.588063,False
266,18,3385,68,10640.0,896.0,872.136986,7.786937,False
273,18,3474,70,10920.0,920.0,895.531507,7.995817,False
280,18,3563,72,11200.0,942.0,917.408219,8.191145,False
14,19,169,4,532.0,47.0,44.263014,0.395205,True
21,19,254,6,798.0,69.0,66.369863,0.592588,True
28,19,338,7,1064.0,92.0,88.315068,0.788527,True
35,19,422,9,1330.0,114.0,110.421918,0.98591,False
42,19,507,11,1596.0,137.0,130.578082,1.165876,False
49,19,591,12,1862.0,160.0,153.578082,1.371233,False
56,19,675,14,2128.0,182.0,174.630137,1.559198,False
63,19,760,16,2394.0,205.0,196.89589,1.757999,False
70,19,844,17,2660.0,228.0,217.893151,1.945475,False
77,19,929,19,2926.0,250.0,240.947945,2.151321,False
84,19,1013,21,3192.0,273.0,261.10411,2.331287,False
91,19,1097,22,3458.0,296.0,284.10411,2.536644,False
98,19,1182,24,3724.0,318.0,305.156164,2.724609,False
105,19,1266,26,3990.0,340.0,327.263014,2.921991,False
112,19,1350,27,4256.0,363.0,348.260274,3.109467,False
119,19,1435,29,4522.0,386.0,370.526027,3.308268,False
126,19,1519,31,4788.0,409.0,391.630137,3.496698,False
133,19,1603,33,5054.0,432.0,414.630137,3.702055,False
140,19,1688,34,5320.0,454.0,434.734247,3.881556,False
147,19,1772,36,5586.0,476.0,457.789041,4.087402,False
154,19,1857,38,5852.0,499.0,478.786301,4.274878,False
161,19,1941,39,6118.0,521.0,500.893151,4.47226,False
168,19,2025,41,6384.0,544.0,521.99726,4.66069,False
175,19,2110,43,6650.0,568.0,545.156164,4.867466,False
182,19,2194,44,6916.0,590.0,565.260274,5.046967,False
189,19,2278,46,7182.0,612.0,587.367123,5.244349,False
196,19,2363,48,7448.0,635.0,609.312329,5.440289,False
203,19,2447,49,7714.0,657.0,631.419178,5.637671,False
210,19,2532,51,7980.0,680.0,651.575342,5.817637,False
217,19,2616,53,8246.0,703.0,675.523288,6.031458,False
224,19,2700,54,8512.0,725.0,695.627397,6.210959,False
231,19,2785,56,8778.0,748.0,717.893151,6.40976,False
238,19,2869,58,9044.0,771.0,739.838356,6.6057,False
245,19,2953,60,9310.0,794.0,761.99726,6.803547,False
252,19,3038,61,9576.0,816.0,782.10137,6.983048,False
259,19,3122,63,9842.0,839.0,805.10137,7.188405,False
266,19,3206,65,10108.0,861.0,826.153425,7.37637,False
273,19,3291,66,10374.0,883.0,848.260274,7.573752,False
280,19,3375,68,10640.0,906.0,869.257534,7.761228,False
14,20,161,4,504.0,43.0,42.457534,0.379085,True
21,20,241,5,756.0,64.0,63.408219,0.566145,True
28,20,321,7,1008.0,85.0,84.358904,0.753205,True
35,20,401,9,1260.0,106.0,105.309589,0.940264,True
42,20,481,10,1512.0,125.0,124.260274,1.109467,False
49,20,562,12,1764.0,147.0,146.210959,1.305455,False
56,20,642,13,2016.0,167.0,166.161644,1.483586,False
63,20,722,15,2268.0,189.0,187.668493,1.675612,False
70,20,802,17,2520.0,209.0,207.619178,1.853743,False
77,20,882,18,2772.0,230.0,228.569863,2.040802,False
84,20,962,20,3024.0,250.0,248.520548,2.218933,False
91,20,1042,21,3276.0,272.0,270.471233,2.414922,False
98,20,1123,23,3528.0,291.0,289.421918,2.584124,False
105,20,1203,25,3780.0,313.0,311.372603,2.780113,False
112,20,1283,26,4032.0,333.0,331.323288,2.958244,False
119,20,1363,28,4284.0,355.0,352.830137,3.150269,False
126,20,1443,29,4536.0,374.0,371.780822,3.319472,False
133,20,1523,31,4788.0,397.0,394.731507,3.524388,False
140,20,1603,33,5040.0,416.0,413.682192,3.693591,False
147,20,1684,34,5292.0,437.0,434.632877,3.880651,False
154,20,1764,36,5544.0,458.0,455.583562,4.06771,False
161,20,1844,37,5796.0,479.0,476.534247,4.25477,False
168,20,1924,39,6048.0,498.0,495.484932,4.423973,False
175,20,2004,41,6300.0,521.0,517.991781,4.624927,False
182,20,2084,42,6552.0,541.0,537.942466,4.803058,False
189,20,2165,44,6804.0,562.0,558.893151,4.990117,False
196,20,2245,45,7056.0,582.0,578.843836,5.168249,False
203,20,2325,47,7308.0,603.0,599.794521,5.355308,False
210,20,2405,49,7560.0,623.0,619.745205,5.533439,False
217,20,2485,50,7812.0,645.0,641.69589,5.729428,False
224,20,2565,52,8064.0,664.0,660.646575,5.89863,False
231,20,2645,53,8316.0,686.0,682.153425,6.090656,False
238,20,2726,55,8568.0,707.0,703.10411,6.277715,False
245,20,2806,57,8820.0,728.0,724.054795,6.464775,False
252,20,2886,58,9072.0,747.0,743.005479,6.633977,False
259,20,2966,60,9324.0,770.0,765.956164,6.838894,False
266,20,3046,61,9576.0,789.0,784.906849,7.008097,False
273,20,3126,63,9828.0,810.0,805.857534,7.195157,False
280,20,3206,65,10080.0,831.0,826.808219,7.382216,False
14,21,153,4,476.0,41.0,40.810959,0.364384,True
21,21,229,5,714.0,61.0,60.761644,0.542515,True
28,21,306,7,952.0,81.0,80.621918,0.719839,True
35,21,382,8,1190.0,101.0,100.526027,0.897554,True
42,21,458,10,1428.0,119.0,118.572603,1.058684,False
49,21,535,11,1666.0,140.0,139.476712,1.245328,False
56,21,611,13,1904.0,159.0,158.476712,1.414971,False
63,21,687,14,2142.0,180.0,179.287671,1.600783,False
70,21,764,16,2380.0,199.0,198.194521,1.769594,False
77,21,840,17,2618.0,219.0,218.145205,1.947725,False
84,21,916,19,2856.0,238.0,237.09863,2.116952,False
91,21,993,20,3094.0,259.0,258.00274,2.303596,False
98,21,1069,22,3332.0,277.0,276.049315,2.464726,False
105,21,1145,23,3570.0,297.0,295.953425,2.642441,False
112,21,1222,25,3808.0,317.0,315.860274,2.820181,False
119,21,1298,26,4046.0,338.0,336.671233,3.005993,False
126,21,1374,28,4284.0,356.0,354.671233,3.166707,False
133,21,1451,30,4522.0,377.0,375.621918,3.353767,False
140,21,1527,31,4760.0,396.0,394.575342,3.522994,False
147,21,1603,33,4998.0,416.0,414.526027,3.701125,False
154,21,1680,34,5236.0,435.0,433.432877,3.869936,False
161,21,1756,36,5474.0,455.0,453.336986,4.047652,False
168,21,1832,37,5712.0,474.0,472.336986,4.217295,False
175,21,1909,39,5950.0,496.0,494.147945,4.412035,False
182,21,1985,40,6188.0,514.0,512.147945,4.57275,False
189,21,2061,42,6426.0,534.0,532.09863,4.750881,False
196,21,2138,43,6664.0,554.0,551.958904,4.928205,False
203,21,2214,45,6902.0,574.0,571.909589,5.106336,False
210,21,2290,46,7140.0,592.0,589.909589,5.26705,False
217,21,2367,48,7378.0,613.0,610.813699,5.453694,False
224,21,2443,49,7616.0,632.0,629.813699,5.623337,False
231,21,2519,51,7854.0,653.0,650.624658,5.809149,False
238,21,2596,52,8092.0,672.0,669.531507,5.97796,False
245,21,2672,54,8330.0,692.0,689.482192,6.156091,False
