trait,date,global_sequence,gap_from_previous,current_run_length,violation,high_cost_gap
four_drive,2018-09-18,758,55,1,False,False
four_drive,2018-09-18,823,64,1,False,False
four_drive,2018-09-18,867,43,1,False,False
four_drive,2018-09-18,870,2,1,True,False
four_drive,2018-09-18,871,0,2,True,False
four_drive,2018-09-18,872,0,3,True,False
four_drive,2018-09-18,873,0,4,True,False
four_drive,2018-09-18,874,0,5,True,False
four_drive,2018-09-18,891,16,1,False,False
four_drive,2018-09-18,906,14,1,False,False
four_drive,2018-09-18,914,7,1,False,True
four_drive,2018-09-18,915,0,2,True,False
four_drive,2018-09-18,916,0,3,True,False
four_drive,2018-09-18,917,0,4,True,False
four_drive,2018-09-18,918,0,5,True,False
four_drive,2018-09-18,919,0,6,True,False
four_drive,2018-09-18,920,0,7,True,False
four_drive,2018-09-19,967,46,1,False,False
four_drive,2018-09-19,984,16,1,False,False
four_drive,2018-09-19,999,14,1,False,False
four_drive,2018-09-19,1072,72,1,False,False
four_drive,2018-09-19,1073,0,2,True,False
four_drive,2018-09-19,1093,19,1,False,False
four_drive,2018-09-19,1100,6,1,False,True
four_drive,2018-09-19,1101,0,2,True,False
four_drive,2018-09-19,1102,0,3,True,False
four_drive,2018-09-19,1103,0,4,True,False
four_drive,2018-09-19,1122,18,1,False,False
four_drive,2018-09-19,1138,15,1,False,False
four_drive,2018-09-19,1151,12,1,False,False
four_drive,2018-09-19,1152,0,2,True,False
four_drive,2018-09-19,1154,1,1,True,False
four_drive,2018-09-19,1155,0,2,True,False
four_drive,2018-09-19,1156,0,3,True,False
four_drive,2018-09-19,1157,0,4,True,False
four_drive,2018-09-19,1158,0,5,True,False
four_drive,2018-09-19,1159,0,6,True,False
four_drive,2018-09-19,1160,0,7,True,False
four_drive,2018-09-19,1208,47,1,False,False
four_drive,2018-09-19,1223,14,1,False,False
four_drive,2018-09-19,1235,11,1,False,False
four_drive,2018-09-19,1277,41,1,False,False
four_drive,2018-09-19,1306,28,1,False,False
four_drive,2018-09-19,1307,0,2,True,False
four_drive,2018-09-19,1330,22,1,False,False
four_drive,2018-09-19,1333,2,1,True,False
four_drive,2018-09-19,1351,17,1,False,False
four_drive,2018-09-19,1365,13,1,False,False
four_drive,2018-09-19,1374,8,1,False,True
four_drive,2018-09-19,1375,0,2,True,False
four_drive,2018-09-19,1376,0,3,True,False
four_drive,2018-09-19,1377,0,4,True,False
four_drive,2018-09-19,1378,0,5,True,False
four_drive,2018-09-19,1379,0,6,True,False
four_drive,2018-09-19,1380,0,7,True,False
four_drive,2018-09-20,1456,75,1,False,False
four_drive,2018-09-20,1472,15,1,False,False
four_drive,2018-09-20,1519,46,1,False,False
four_drive,2018-09-20,1543,23,1,False,False
four_drive,2018-09-20,1562,18,1,False,False
four_drive,2018-09-20,1565,2,1,True,False
four_drive,2018-09-20,1566,0,2,True,False
four_drive,2018-09-20,1567,0,3,True,False
four_drive,2018-09-20,1568,0,4,True,False
four_drive,2018-09-20,1569,0,5,True,False
four_drive,2018-09-20,1570,0,6,True,False
four_drive,2018-09-20,1590,19,1,False,False
four_drive,2018-09-20,1604,13,1,False,False
four_drive,2018-09-20,1618,13,1,False,False
four_drive,2018-09-20,1623,4,1,True,False
four_drive,2018-09-20,1624,0,2,True,False
four_drive,2018-09-20,1625,0,3,True,False
four_drive,2018-09-20,1626,0,4,True,False
four_drive,2018-09-20,1704,77,1,False,False
four_drive,2018-09-20,1753,48,1,False,False
four_drive,2018-09-20,1794,40,1,False,False
four_drive,2018-09-20,1795,0,2,True,False
four_drive,2018-09-20,1796,0,3,True,False
four_drive,2018-09-20,1797,0,4,True,False
four_drive,2018-09-20,1798,0,5,True,False
four_drive,2018-09-20,1818,19,1,False,False
four_drive,2018-09-20,1830,11,1,False,False
four_drive,2018-09-20,1838,7,1,False,True
four_drive,2018-09-20,1839,0,2,True,False
four_drive,2018-09-20,1840,0,3,True,False
four_drive,2018-09-21,2031,190,1,False,False
four_drive,2018-09-21,2033,1,1,True,False
four_drive,2018-09-21,2034,0,2,True,False
four_drive,2018-09-21,2048,13,1,False,False
four_drive,2018-09-21,2078,29,1,False,False
four_drive,2018-09-21,2079,0,2,True,False
four_drive,2018-09-21,2080,0,3,True,False
four_drive,2018-09-21,2245,164,1,False,False
four_drive,2018-09-21,2262,16,1,False,False
four_drive,2018-09-21,2277,14,1,False,False
four_drive,2018-09-21,2299,21,1,False,False
four_drive,2018-09-21,2300,0,2,True,False
four_drive,2018-09-22,2367,66,1,False,False
four_drive,2018-09-22,2486,118,1,False,False
four_drive,2018-09-22,2488,1,1,True,False
four_drive,2018-09-22,2506,17,1,False,False
four_drive,2018-09-22,2533,26,1,False,False
four_drive,2018-09-22,2537,3,1,True,False
four_drive,2018-09-22,2539,1,1,True,False
four_drive,2018-09-22,2609,69,1,False,False
four_drive,2018-09-22,2678,68,1,False,False
four_drive,2018-09-22,2743,64,1,False,False
four_drive,2018-09-22,2755,11,1,False,False
four_drive,2018-09-22,2760,4,1,True,False
four_drive,2018-09-23,2828,67,1,False,False
four_drive,2018-09-23,2947,118,1,False,False
four_drive,2018-09-23,2948,0,2,True,False
four_drive,2018-09-23,2979,30,1,False,False
four_drive,2018-09-23,2991,11,1,False,False
four_drive,2018-09-23,2997,5,1,False,True
four_drive,2018-09-23,3067,69,1,False,False
four_drive,2018-09-23,3137,69,1,False,False
four_drive,2018-09-23,3204,66,1,False,False
four_drive,2018-09-23,3215,10,1,False,False
four_drive,2018-09-23,3220,4,1,True,False
diesel,2018-09-17,207,,1,False,False
diesel,2018-09-17,220,12,1,False,False
diesel,2018-09-17,436,215,1,False,False
diesel,2018-09-17,449,12,1,False,False
diesel,2018-09-18,597,147,1,False,False
diesel,2018-09-18,666,68,1,False,False
diesel,2018-09-18,679,12,1,False,False
diesel,2018-09-18,692,12,1,False,False
diesel,2018-09-18,699,6,1,False,True
diesel,2018-09-18,700,0,2,True,False
diesel,2018-09-18,701,0,3,True,False
diesel,2018-09-18,702,0,4,True,False
diesel,2018-09-18,827,124,1,False,False
diesel,2018-09-18,895,67,1,False,False
diesel,2018-09-18,907,11,1,False,False
diesel,2018-09-18,914,6,1,False,True
diesel,2018-09-18,919,4,1,True,False
diesel,2018-09-18,920,0,2,True,False
diesel,2018-09-19,971,50,1,False,False
diesel,2018-09-19,985,13,1,False,False
diesel,2018-09-19,1127,141,1,False,False
diesel,2018-09-19,1146,18,1,False,False
diesel,2018-09-19,1153,6,1,False,True
diesel,2018-09-19,1154,0,2,True,False
diesel,2018-09-19,1157,2,1,True,False
diesel,2018-09-19,1158,0,2,True,False
diesel,2018-09-19,1159,0,3,True,False
diesel,2018-09-19,1160,0,4,True,False
diesel,2018-09-19,1211,50,1,False,False
diesel,2018-09-19,1224,12,1,False,False
diesel,2018-09-19,1371,146,1,False,False
diesel,2018-09-19,1378,6,1,False,True
diesel,2018-09-19,1379,0,2,True,False
diesel,2018-09-19,1380,0,3,True,False
diesel,2018-09-20,1587,206,1,False,False
diesel,2018-09-20,1602,14,1,False,False
diesel,2018-09-20,1622,19,1,False,False
diesel,2018-09-20,1816,193,1,False,False
diesel,2018-09-21,2079,262,1,False,False
diesel,2018-09-21,2299,219,1,False,False
diesel,2018-09-22,2506,206,1,False,False
diesel,2018-09-22,2517,10,1,False,False
diesel,2018-09-22,2532,14,1,False,False
diesel,2018-09-22,2536,3,1,True,False
diesel,2018-09-22,2538,1,1,True,False
diesel,2018-09-22,2540,1,1,True,False
diesel,2018-09-22,2541,0,2,True,False
diesel,2018-09-22,2737,195,1,False,False
diesel,2018-09-22,2754,16,1,False,False
diesel,2018-09-22,2758,3,1,True,False
diesel,2018-09-22,2759,0,2,True,False
diesel,2018-09-22,2760,0,3,True,False
diesel,2018-09-23,2971,210,1,False,False
diesel,2018-09-23,2990,18,1,False,False
diesel,2018-09-23,2995,4,1,True,False
diesel,2018-09-23,2996,0,2,True,False
diesel,2018-09-23,2997,0,3,True,False
diesel,2018-09-23,2998,0,4,True,False
diesel,2018-09-23,2999,0,5,True,False
diesel,2018-09-23,3198,198,1,False,False
diesel,2018-09-23,3214,15,1,False,False
diesel,2018-09-23,3218,3,1,True,False
diesel,2018-09-23,3219,0,2,True,False
diesel,2018-09-23,3220,0,3,True,False
