时间(s),温度(摄氏度)
237.0,232.088346
237.5,232.513397
238.0,232.936501
238.5,233.357665
239.0,233.776899
239.5,234.194212
240.0,234.609612
240.5,235.023108
241.0,235.434709
241.5,235.844423
242.0,236.25226
242.5,236.658228
243.0,237.062335
243.5,237.464589
244.0,237.865001
244.5,238.263577
245.0,238.660326
245.5,239.055257
246.0,239.448378
246.5,239.839697
247.0,240.229223
247.5,240.616963
248.0,241.002926
248.5,241.387121
249.0,241.769554
249.5,242.150235
250.0,242.529171
250.5,242.90637
251.0,243.281841
251.5,243.65559
252.0,244.027627
252.5,244.397959
253.0,244.766593
253.5,245.133538
254.0,245.498801
254.5,245.86239
255.0,246.224312
255.5,246.584576
256.0,246.943188
256.5,247.300157
257.0,247.65549
257.5,248.009195
258.0,248.361278
258.5,248.711748
259.0,249.060611
259.5,249.407875
260.0,249.753548
260.5,250.097637
261.0,250.440148
261.5,250.78109
262.0,250.996793
262.5,251.032865
263.0,250.890128
263.5,250.569402
264.0,250.071504
264.5,249.397244
265.0,248.547431
265.5,247.522871
266.0,246.503006
266.5,245.487815
267.0,244.477277
267.5,243.471371
268.0,242.470074
268.5,241.473367
269.0,240.481228
269.5,239.493637
270.0,238.510571
270.5,237.532011
271.0,236.557936
271.5,235.588326
272.0,234.623159
272.5,233.662416
273.0,232.706076
273.5,231.754119
274.0,230.806526
274.5,229.863275
275.0,228.924347
275.5,227.989723
276.0,227.059382
276.5,226.133305
277.0,225.211473
277.5,224.293865
278.0,223.380463
278.5,222.471247
279.0,221.566199
279.5,220.665298
280.0,219.768527
280.5,218.875865
281.0,217.987295
281.5,217.102797
282.0,216.222353
282.5,215.345944
283.0,214.473552
283.5,213.605159
284.0,212.740745
284.5,211.880293
285.0,211.023785
285.5,210.171203
286.0,209.322527
286.5,208.477742
287.0,207.636828
287.5,206.799769
288.0,205.966545
288.5,205.137141
289.0,204.311538
289.5,203.489719
290.0,202.671666
290.5,201.857363
291.0,201.046792
291.5,200.239936
292.0,199.436777
292.5,198.6373
293.0,197.841487
293.5,197.049321
294.0,196.260786
294.5,195.475865
295.0,194.694542
295.5,193.916799
296.0,193.142621
296.5,192.371991
297.0,191.604893
297.5,190.841311
298.0,190.081229
298.5,189.32463
299.0,188.571498
299.5,187.821819
300.0,187.075575
300.5,186.332752
301.0,185.593333
301.5,184.857303
302.0,184.124646
302.5,183.395348
303.0,182.669391
303.5,181.946762
304.0,181.227445
304.5,180.511425
305.0,179.798686
305.5,179.089214
306.0,178.382994
306.5,177.68001
307.0,176.980248
307.5,176.283694
308.0,175.590331
308.5,174.900147
309.0,174.213126
309.5,173.529254
310.0,172.848516
310.5,172.170897
311.0,171.496385
311.5,170.824964
312.0,170.15662
312.5,169.49134
313.0,168.829108
313.5,168.169912
314.0,167.513737
314.5,166.860569
315.0,166.210395
315.5,165.5632
316.0,164.918972
316.5,164.277697
317.0,163.63936
317.5,163.00395
318.0,162.371451
318.5,161.741851
319.0,161.115137
319.5,160.491295
320.0,159.870313
320.5,159.252176
321.0,158.636873
321.5,158.02439
322.0,157.414713
322.5,156.807831
323.0,156.203731
323.5,155.602399
324.0,155.003823
324.5,154.407991
325.0,153.814889
325.5,153.224506
326.0,152.636828
326.5,152.051844
327.0,151.469541
327.5,150.889907
328.0,150.312929
328.5,149.738596
329.0,149.166895
329.5,148.597815
330.0,148.031342
330.5,147.467466
331.0,146.906174
331.5,146.347455
332.0,145.791296
332.5,145.237686
333.0,144.686614
333.5,144.138067
334.0,143.592035
334.5,143.048505
335.0,142.507466
