MatchID,OpponentID,Outcome,team_success_non_loss,OwnScore,OpponentScore,goal_diff,Side,CoachID,passes,opponent_passes,pass_advantage,players_involved,network_density,network_reciprocity,weighted_clustering,triadic_configurations,pass_type_entropy,top_pair_share,contribution_gini,average_pass_length,forward_pass_share,attacking_third_share,shot_count,duel_count,foul_count,home_side,origin_defense_share,origin_midfield_share,origin_forward_share,origin_goalkeeper_share
14,Opponent14,win,1,4,0,4,home,Coach2,347,347,0,14,0.565934,0.757282,0.24066,140,0.609062,0.037464,0.352203,24.215852,0.527378,0.25072,6,265,17,1,0.389049,0.383285,0.190202,0.037464
15,Opponent15,win,1,2,0,2,home,Coach3,271,224,47,14,0.576923,0.742857,0.249986,132,0.83488,0.02583,0.287032,23.274957,0.557196,0.343173,6,284,12,1,0.391144,0.369004,0.180812,0.059041
16,Opponent16,tie,1,1,1,0,away,Coach3,80,605,-525,13,0.365385,0.385965,0.180029,57,0.861882,0.05,0.186538,23.087729,0.6375,0.275,1,213,11,0,0.3,0.425,0.2,0.075
17,Opponent17,win,1,1,0,1,away,Coach3,304,362,-58,14,0.505495,0.804348,0.135698,111,0.529132,0.046053,0.43468,24.607785,0.519737,0.190789,7,234,11,0,0.411184,0.4375,0.128289,0.023026
18,Opponent18,win,1,3,1,2,home,Coach3,312,302,10,13,0.634615,0.787879,0.199054,143,0.496588,0.032051,0.350099,22.771931,0.528846,0.195513,10,202,11,1,0.423077,0.435897,0.115385,0.025641
19,Opponent3,tie,1,0,0,0,home,Coach3,248,498,-250,14,0.576923,0.72381,0.168256,138,0.864067,0.03629,0.282258,23.925284,0.592742,0.282258,4,240,8,1,0.439516,0.395161,0.096774,0.068548
20,Opponent19,tie,1,0,0,0,away,Coach3,230,230,0,14,0.543956,0.727273,0.187747,127,0.818202,0.043478,0.350932,23.550214,0.591304,0.369565,5,236,13,0,0.469565,0.447826,0.030435,0.052174
21,Opponent6,loss,0,1,2,-1,away,Coach3,366,204,162,14,0.664835,0.727273,0.201719,192,0.750101,0.027322,0.315769,23.893764,0.587432,0.245902,7,262,12,0,0.418033,0.423497,0.090164,0.068306
22,Opponent5,loss,0,0,2,-2,home,Coach3,239,476,-237,14,0.532967,0.659794,0.149237,150,0.630855,0.046025,0.31052,22.64599,0.585774,0.380753,10,216,11,1,0.334728,0.456067,0.167364,0.041841
23,Opponent4,loss,0,0,4,-4,away,Coach3,236,473,-237,14,0.543956,0.686869,0.139089,133,0.801022,0.04661,0.329298,21.650758,0.559322,0.233051,5,239,15,0,0.347458,0.461864,0.135593,0.055085
24,Opponent19,tie,1,1,1,0,home,Coach3,320,186,134,14,0.60989,0.810811,0.163097,141,0.623577,0.03125,0.242857,22.333939,0.5875,0.315625,8,317,16,1,0.440625,0.33125,0.1875,0.040625
25,Opponent10,win,1,2,1,1,home,Coach3,249,273,-24,13,0.570513,0.741573,0.217706,134,1.008533,0.036145,0.309546,23.532223,0.626506,0.285141,11,216,10,1,0.409639,0.281124,0.236948,0.072289
26,Opponent9,loss,0,1,5,-4,away,Coach3,287,423,-136,14,0.60989,0.720721,0.158684,185,0.683064,0.038328,0.348681,24.718687,0.567944,0.376307,11,211,8,0,0.491289,0.355401,0.101045,0.052265
27,Opponent12,win,1,3,1,2,home,Coach3,283,220,63,14,0.576923,0.704762,0.175532,161,0.611759,0.045936,0.286976,25.785546,0.60424,0.367491,8,208,14,1,0.448763,0.24735,0.268551,0.035336
28,Opponent11,loss,0,0,1,-1,away,Coach3,238,260,-22,14,0.554945,0.712871,0.190027,141,0.888564,0.033613,0.342137,24.603624,0.642857,0.327731,4,266,10,0,0.386555,0.302521,0.268908,0.042017
29,Opponent7,loss,0,1,2,-1,away,Coach3,220,255,-35,14,0.571429,0.711538,0.204545,164,0.862389,0.036364,0.241958,23.513832,0.609091,0.322727,10,268,11,0,0.363636,0.277273,0.331818,0.027273
30,Opponent8,win,1,2,0,2,home,Coach3,312,172,140,14,0.549451,0.78,0.211634,133,0.630563,0.035256,0.35989,23.585722,0.541667,0.349359,12,239,10,1,0.445513,0.217949,0.291667,0.044872
31,Opponent1,win,1,2,1,1,away,Coach3,329,215,114,14,0.576923,0.72381,0.185553,165,0.645303,0.033435,0.392749,22.506476,0.544073,0.288754,15,190,11,0,0.458967,0.209726,0.285714,0.045593
32,Opponent2,loss,0,1,3,-2,home,Coach3,109,877,-768,14,0.368132,0.537313,0.138957,67,0.744595,0.06422,0.37156,25.077641,0.522936,0.357798,5,129,9,1,0.513761,0.284404,0.165138,0.036697
33,Opponent16,tie,1,0,0,0,home,Coach3,207,446,-239,14,0.532967,0.742268,0.133829,113,0.592549,0.048309,0.34472,25.925902,0.536232,0.36715,6,227,12,1,0.492754,0.280193,0.207729,0.019324
34,Opponent18,tie,1,1,1,0,away,Coach3,336,293,43,14,0.576923,0.704762,0.153794,162,0.751094,0.041667,0.35119,24.626352,0.565476,0.3125,10,230,11,0,0.419643,0.327381,0.190476,0.0625
35,Opponent17,win,1,1,0,1,home,Coach3,347,240,107,14,0.604396,0.8,0.157425,178,0.570095,0.04611,0.32454,23.36801,0.579251,0.224784,7,242,10,1,0.466859,0.279539,0.201729,0.051873
36,Opponent15,win,1,2,0,2,away,Coach3,302,298,4,14,0.598901,0.788991,0.148301,160,0.876951,0.043046,0.364711,24.016293,0.596026,0.288079,6,234,8,0,0.387417,0.380795,0.192053,0.039735
37,Opponent13,tie,1,1,1,0,home,Coach3,293,246,47,14,0.571429,0.711538,0.201208,150,0.563952,0.030717,0.332765,25.228539,0.573379,0.293515,6,268,14,1,0.47099,0.416382,0.061433,0.051195
38,Opponent14,loss,0,1,3,-2,away,Coach3,275,355,-80,14,0.56044,0.72549,0.208742,145,0.680926,0.032727,0.358701,22.520185,0.603636,0.305455,13,160,12,0,0.356364,0.469091,0.145455,0.029091
