date,beijing_time,latitude_deg,longitude_deg,solar_altitude_deg,shadow_x_m,shadow_y_m,shadow_length_m
2015-10-22,12:35:00,39.90722222,116.39138889,37.301246,0.76931,3.862008,3.937885
2015-10-22,12:40:00,39.90722222,116.39138889,37.10151,0.877398,3.868235,3.966494
2015-10-22,12:45:00,39.90722222,116.39138889,36.877145,0.986644,3.87532,3.998946
2015-10-22,12:50:00,39.90722222,116.39138889,36.628472,1.097205,3.883283,4.035313
2015-10-22,12:55:00,39.90722222,116.39138889,36.355839,1.209246,3.892152,4.075674
2015-10-22,13:00:00,39.90722222,116.39138889,36.059619,1.322941,3.901954,4.120123
2015-10-22,13:05:00,39.90722222,116.39138889,35.740213,1.438472,3.912722,4.168765
2015-10-22,13:10:00,39.90722222,116.39138889,35.398038,1.556032,3.924494,4.221716
2015-10-22,13:15:00,39.90722222,116.39138889,35.033536,1.675824,3.937309,4.279111
2015-10-22,13:20:00,39.90722222,116.39138889,34.647162,1.798066,3.951214,4.341098
2015-10-22,13:25:00,39.90722222,116.39138889,34.239387,1.922991,3.966258,4.407845
2015-10-22,13:30:00,39.90722222,116.39138889,33.810693,2.050846,3.982498,4.479538
2015-10-22,13:35:00,39.90722222,116.39138889,33.361576,2.181901,3.999994,4.556385
2015-10-22,13:40:00,39.90722222,116.39138889,32.892534,2.316442,4.018816,4.638619
2015-10-22,13:45:00,39.90722222,116.39138889,32.404075,2.454784,4.03904,4.7265
2015-10-22,13:50:00,39.90722222,116.39138889,31.896711,2.597266,4.060749,4.820318
2015-10-22,13:55:00,39.90722222,116.39138889,31.370953,2.744257,4.084037,4.920396
2015-10-22,14:00:00,39.90722222,116.39138889,30.827315,2.896162,4.109007,5.027096
2015-10-22,14:05:00,39.90722222,116.39138889,30.26631,3.053426,4.135775,5.140822
2015-10-22,14:10:00,39.90722222,116.39138889,29.688447,3.216535,4.16447,5.262025
2015-10-22,14:15:00,39.90722222,116.39138889,29.094233,3.38603,4.195233,5.391213
2015-10-22,14:20:00,39.90722222,116.39138889,28.484167,3.562507,4.228226,5.528956
2015-10-22,14:25:00,39.90722222,116.39138889,27.858746,3.74663,4.263628,5.675893
2015-10-22,14:30:00,39.90722222,116.39138889,27.218457,3.93914,4.30164,5.832746
2015-10-22,14:35:00,39.90722222,116.39138889,26.563781,4.140866,4.34249,6.000333
2015-10-22,14:40:00,39.90722222,116.39138889,25.895189,4.352742,4.386434,6.179577
2015-10-22,14:45:00,39.90722222,116.39138889,25.213145,4.575819,4.433765,6.37153
2015-10-22,14:50:00,39.90722222,116.39138889,24.518103,4.811292,4.484813,6.577391
2015-10-22,14:55:00,39.90722222,116.39138889,23.810507,5.060519,4.539957,6.798534
2015-10-22,15:00:00,39.90722222,116.39138889,23.090789,5.325056,4.599632,7.036536
