turbine_id,maintenance_no,start_date,end_date,crew,duration_days,estimated_lost_energy_mwh
91,2,2015-09-28,2015-09-29,A组,2,7.177419
92,1,2015-04-01,2015-04-02,B组,2,41.163306
92,2,2015-09-28,2015-09-29,B组,2,7.177419
93,1,2015-04-03,2015-04-04,C组,2,11.364919
93,2,2015-09-30,2015-10-01,C组,2,8.21371
94,1,2015-04-03,2015-04-04,D组,2,11.364919
94,2,2015-09-30,2015-10-01,D组,2,8.21371
95,1,2015-04-05,2015-04-06,A组,2,3.899194
95,2,2015-10-02,2015-10-03,A组,2,6.356855
96,1,2015-04-05,2015-04-06,B组,2,3.899194
96,2,2015-10-02,2015-10-03,B组,2,6.356855
97,1,2015-04-07,2015-04-08,C组,2,16.915323
97,2,2015-10-04,2015-10-05,C组,2,13.038306
98,1,2015-04-07,2015-04-08,D组,2,16.915323
98,2,2015-10-04,2015-10-05,D组,2,13.038306
99,1,2015-04-09,2015-04-10,A组,2,10.881048
99,2,2015-10-06,2015-10-07,A组,2,7.717742
100,1,2015-04-09,2015-04-10,B组,2,10.881048
100,2,2015-10-06,2015-10-07,B组,2,7.717742
101,1,2015-04-11,2015-04-12,C组,2,29.201613
101,2,2015-10-08,2015-10-09,C组,2,12.225806
102,1,2015-04-11,2015-04-12,D组,2,29.201613
102,2,2015-10-08,2015-10-09,D组,2,12.225806
103,1,2015-04-13,2015-04-14,A组,2,10.3125
103,2,2015-10-10,2015-10-11,A组,2,6.483871
104,1,2015-04-13,2015-04-14,B组,2,10.3125
104,2,2015-10-10,2015-10-11,B组,2,6.483871
105,1,2015-04-15,2015-04-16,C组,2,33.02621
105,2,2015-10-12,2015-10-13,C组,2,12.87379
106,1,2015-04-15,2015-04-16,D组,2,33.02621
106,2,2015-10-12,2015-10-13,D组,2,12.87379
107,1,2015-04-17,2015-04-18,A组,2,25.389113
107,2,2015-10-14,2015-10-15,A组,2,16.032258
108,1,2015-04-17,2015-04-18,B组,2,25.389113
108,2,2015-10-14,2015-10-15,B组,2,16.032258
109,1,2015-04-19,2015-04-20,C组,2,8.508065
109,2,2015-10-16,2015-10-17,C组,2,18.721774
110,1,2015-04-19,2015-04-20,D组,2,8.508065
110,2,2015-10-16,2015-10-17,D组,2,18.721774
111,1,2015-04-21,2015-04-22,A组,2,13.707661
111,2,2015-10-18,2015-10-19,A组,2,19.324597
112,1,2015-04-21,2015-04-22,B组,2,13.707661
112,2,2015-10-18,2015-10-19,B组,2,19.324597
113,1,2015-04-23,2015-04-24,C组,2,9.764113
113,2,2015-10-20,2015-10-21,C组,2,14.328629
114,1,2015-04-23,2015-04-24,D组,2,9.764113
114,2,2015-10-20,2015-10-21,D组,2,14.328629
115,1,2015-04-25,2015-04-26,A组,2,11.814516
115,2,2015-10-22,2015-10-23,A组,2,1.28629
116,1,2015-04-25,2015-04-26,B组,2,11.814516
116,2,2015-10-22,2015-10-23,B组,2,1.28629
117,1,2015-04-27,2015-04-28,C组,2,6.631048
117,2,2015-10-24,2015-10-25,C组,2,14.604274
118,1,2015-04-27,2015-04-28,D组,2,6.631048
118,2,2015-10-24,2015-10-25,D组,2,14.604274
119,1,2015-04-29,2015-04-30,A组,2,29.679435
119,2,2015-10-26,2015-10-27,A组,2,12.048387
120,1,2015-04-29,2015-04-30,B组,2,29.679435
120,2,2015-10-26,2015-10-27,B组,2,12.048387
121,1,2015-05-01,2015-05-02,C组,2,31.921371
121,2,2015-10-28,2015-10-29,C组,2,4.485887
122,1,2015-05-01,2015-05-02,D组,2,31.921371
122,2,2015-10-28,2015-10-29,D组,2,4.485887
123,1,2015-05-03,2015-05-04,A组,2,18.368952
123,2,2015-10-30,2015-10-31,A组,2,13.336694
124,1,2015-05-03,2015-05-04,B组,2,18.368952
124,2,2015-10-30,2015-10-31,B组,2,13.336694
