date,crew,task,turbines,work_flag
2015-02-22,D组,维护,54,1
2015-02-23,A组,休息,,0
2015-02-23,B组,值班,,1
2015-02-23,C组,维护,53,1
2015-02-23,D组,维护,54,1
2015-02-24,A组,维护,55,1
2015-02-24,B组,维护,56,1
2015-02-24,C组,值班,,1
2015-02-24,D组,休息,,0
2015-02-25,A组,维护,55,1
2015-02-25,B组,维护,56,1
2015-02-25,C组,休息,,0
2015-02-25,D组,值班,,1
2015-02-26,A组,值班,,1
2015-02-26,B组,休息,,0
2015-02-26,C组,维护,57,1
2015-02-26,D组,维护,58,1
2015-02-27,A组,休息,,0
2015-02-27,B组,值班,,1
2015-02-27,C组,维护,57,1
2015-02-27,D组,维护,58,1
2015-02-28,A组,维护,59,1
2015-02-28,B组,维护,60,1
2015-02-28,C组,值班,,1
2015-02-28,D组,休息,,0
2015-03-01,A组,维护,59,1
2015-03-01,B组,维护,60,1
2015-03-01,C组,休息,,0
2015-03-01,D组,值班,,1
2015-03-02,A组,值班,,1
2015-03-02,B组,休息,,0
2015-03-02,C组,维护,61,1
2015-03-02,D组,维护,62,1
2015-03-03,A组,休息,,0
2015-03-03,B组,值班,,1
2015-03-03,C组,维护,61,1
2015-03-03,D组,维护,62,1
2015-03-04,A组,维护,63,1
2015-03-04,B组,维护,64,1
2015-03-04,C组,值班,,1
2015-03-04,D组,休息,,0
2015-03-05,A组,维护,63,1
2015-03-05,B组,维护,64,1
2015-03-05,C组,休息,,0
2015-03-05,D组,值班,,1
2015-03-06,A组,值班,,1
2015-03-06,B组,休息,,0
2015-03-06,C组,维护,65,1
2015-03-06,D组,维护,66,1
2015-03-07,A组,休息,,0
2015-03-07,B组,值班,,1
2015-03-07,C组,维护,65,1
2015-03-07,D组,维护,66,1
2015-03-08,A组,维护,67,1
2015-03-08,B组,维护,68,1
2015-03-08,C组,值班,,1
2015-03-08,D组,休息,,0
2015-03-09,A组,维护,67,1
2015-03-09,B组,维护,68,1
2015-03-09,C组,休息,,0
2015-03-09,D组,值班,,1
2015-03-10,A组,值班,,1
2015-03-10,B组,休息,,0
2015-03-10,C组,维护,69,1
2015-03-10,D组,维护,70,1
2015-03-11,A组,休息,,0
2015-03-11,B组,值班,,1
2015-03-11,C组,维护,69,1
2015-03-11,D组,维护,70,1
2015-03-12,A组,维护,71,1
2015-03-12,B组,维护,72,1
2015-03-12,C组,值班,,1
2015-03-12,D组,休息,,0
2015-03-13,A组,维护,71,1
2015-03-13,B组,维护,72,1
2015-03-13,C组,休息,,0
2015-03-13,D组,值班,,1
2015-03-14,A组,值班,,1
2015-03-14,B组,休息,,0
2015-03-14,C组,维护,73,1
2015-03-14,D组,维护,74,1
2015-03-15,A组,休息,,0
2015-03-15,B组,值班,,1
2015-03-15,C组,维护,73,1
2015-03-15,D组,维护,74,1
2015-03-16,A组,维护,75,1
2015-03-16,B组,维护,76,1
2015-03-16,C组,值班,,1
2015-03-16,D组,休息,,0
2015-03-17,A组,维护,75,1
2015-03-17,B组,维护,76,1
2015-03-17,C组,休息,,0
2015-03-17,D组,值班,,1
2015-03-18,A组,值班,,1
2015-03-18,B组,休息,,0
2015-03-18,C组,维护,77,1
2015-03-18,D组,维护,78,1
2015-03-19,A组,休息,,0
2015-03-19,B组,值班,,1
2015-03-19,C组,维护,77,1
2015-03-19,D组,维护,78,1
2015-03-20,A组,维护,79,1
2015-03-20,B组,维护,80,1
2015-03-20,C组,值班,,1
2015-03-20,D组,休息,,0
2015-03-21,A组,维护,79,1
2015-03-21,B组,维护,80,1
2015-03-21,C组,休息,,0
2015-03-21,D组,值班,,1
2015-03-22,A组,值班,,1
2015-03-22,B组,休息,,0
2015-03-22,C组,维护,81,1
2015-03-22,D组,维护,82,1
2015-03-23,A组,休息,,0
2015-03-23,B组,值班,,1
2015-03-23,C组,维护,81,1
2015-03-23,D组,维护,82,1
2015-03-24,A组,维护,83,1
2015-03-24,B组,维护,84,1
2015-03-24,C组,值班,,1
2015-03-24,D组,休息,,0
2015-03-25,A组,维护,83,1
2015-03-25,B组,维护,84,1
2015-03-25,C组,休息,,0
2015-03-25,D组,值班,,1
2015-03-26,A组,值班,,1
2015-03-26,B组,休息,,0
2015-03-26,C组,维护,85,1
2015-03-26,D组,维护,86,1
2015-03-27,A组,休息,,0
2015-03-27,B组,值班,,1
2015-03-27,C组,维护,85,1
2015-03-27,D组,维护,86,1
2015-03-28,A组,维护,87,1
2015-03-28,B组,维护,88,1
2015-03-28,C组,值班,,1
2015-03-28,D组,休息,,0
2015-03-29,A组,维护,87,1
2015-03-29,B组,维护,88,1
2015-03-29,C组,休息,,0
2015-03-29,D组,值班,,1
2015-03-30,A组,值班,,1
2015-03-30,B组,休息,,0
2015-03-30,C组,维护,89,1
2015-03-30,D组,维护,90,1
2015-03-31,A组,休息,,0
2015-03-31,B组,值班,,1
2015-03-31,C组,维护,89,1
2015-03-31,D组,维护,90,1
2015-04-01,A组,维护,91,1
2015-04-01,B组,维护,92,1
2015-04-01,C组,值班,,1
2015-04-01,D组,休息,,0
2015-04-02,A组,维护,91,1
2015-04-02,B组,维护,92,1
2015-04-02,C组,休息,,0
2015-04-02,D组,值班,,1
2015-04-03,A组,值班,,1
2015-04-03,B组,休息,,0
2015-04-03,C组,维护,93,1
2015-04-03,D组,维护,94,1
2015-04-04,A组,休息,,0
2015-04-04,B组,值班,,1
2015-04-04,C组,维护,93,1
2015-04-04,D组,维护,94,1
2015-04-05,A组,维护,95,1
2015-04-05,B组,维护,96,1
2015-04-05,C组,值班,,1
2015-04-05,D组,休息,,0
2015-04-06,A组,维护,95,1
2015-04-06,B组,维护,96,1
2015-04-06,C组,休息,,0
2015-04-06,D组,值班,,1
2015-04-07,A组,值班,,1
2015-04-07,B组,休息,,0
2015-04-07,C组,维护,97,1
2015-04-07,D组,维护,98,1
2015-04-08,A组,休息,,0
2015-04-08,B组,值班,,1
2015-04-08,C组,维护,97,1
2015-04-08,D组,维护,98,1
2015-04-09,A组,维护,99,1
2015-04-09,B组,维护,100,1
2015-04-09,C组,值班,,1
2015-04-09,D组,休息,,0
2015-04-10,A组,维护,99,1
2015-04-10,B组,维护,100,1
2015-04-10,C组,休息,,0
2015-04-10,D组,值班,,1
2015-04-11,A组,值班,,1
2015-04-11,B组,休息,,0
2015-04-11,C组,维护,101,1
2015-04-11,D组,维护,102,1
2015-04-12,A组,休息,,0
2015-04-12,B组,值班,,1
2015-04-12,C组,维护,101,1
2015-04-12,D组,维护,102,1
2015-04-13,A组,维护,103,1
2015-04-13,B组,维护,104,1
2015-04-13,C组,值班,,1
2015-04-13,D组,休息,,0
2015-04-14,A组,维护,103,1
2015-04-14,B组,维护,104,1
2015-04-14,C组,休息,,0
2015-04-14,D组,值班,,1
2015-04-15,A组,值班,,1
2015-04-15,B组,休息,,0
2015-04-15,C组,维护,105,1
2015-04-15,D组,维护,106,1
2015-04-16,A组,休息,,0
2015-04-16,B组,值班,,1
2015-04-16,C组,维护,105,1
2015-04-16,D组,维护,106,1
2015-04-17,A组,维护,107,1
2015-04-17,B组,维护,108,1
2015-04-17,C组,值班,,1
2015-04-17,D组,休息,,0
2015-04-18,A组,维护,107,1
2015-04-18,B组,维护,108,1
2015-04-18,C组,休息,,0
2015-04-18,D组,值班,,1
2015-04-19,A组,值班,,1
2015-04-19,B组,休息,,0
2015-04-19,C组,维护,109,1
2015-04-19,D组,维护,110,1
2015-04-20,A组,休息,,0
2015-04-20,B组,值班,,1
2015-04-20,C组,维护,109,1
2015-04-20,D组,维护,110,1
2015-04-21,A组,维护,111,1
2015-04-21,B组,维护,112,1
2015-04-21,C组,值班,,1
2015-04-21,D组,休息,,0
2015-04-22,A组,维护,111,1
2015-04-22,B组,维护,112,1
2015-04-22,C组,休息,,0
2015-04-22,D组,值班,,1
2015-04-23,A组,值班,,1
2015-04-23,B组,休息,,0
2015-04-23,C组,维护,113,1
2015-04-23,D组,维护,114,1
2015-04-24,A组,休息,,0
2015-04-24,B组,值班,,1
2015-04-24,C组,维护,113,1
2015-04-24,D组,维护,114,1
2015-04-25,A组,维护,115,1
2015-04-25,B组,维护,116,1
2015-04-25,C组,值班,,1
2015-04-25,D组,休息,,0
2015-04-26,A组,维护,115,1
2015-04-26,B组,维护,116,1
2015-04-26,C组,休息,,0
2015-04-26,D组,值班,,1
2015-04-27,A组,值班,,1
2015-04-27,B组,休息,,0
2015-04-27,C组,维护,117,1
2015-04-27,D组,维护,118,1
2015-04-28,A组,休息,,0
2015-04-28,B组,值班,,1
2015-04-28,C组,维护,117,1
2015-04-28,D组,维护,118,1
2015-04-29,A组,维护,119,1
2015-04-29,B组,维护,120,1
2015-04-29,C组,值班,,1
2015-04-29,D组,休息,,0
2015-04-30,A组,维护,119,1
2015-04-30,B组,维护,120,1
2015-04-30,C组,休息,,0
2015-04-30,D组,值班,,1
2015-05-01,A组,值班,,1
2015-05-01,B组,休息,,0
2015-05-01,C组,维护,121,1
2015-05-01,D组,维护,122,1
2015-05-02,A组,休息,,0
2015-05-02,B组,值班,,1
2015-05-02,C组,维护,121,1
2015-05-02,D组,维护,122,1
2015-05-03,A组,维护,123,1
2015-05-03,B组,维护,124,1
2015-05-03,C组,值班,,1
2015-05-03,D组,休息,,0
2015-05-04,A组,维护,123,1
2015-05-04,B组,维护,124,1
2015-05-04,C组,休息,,0
2015-05-04,D组,值班,,1
2015-05-05,A组,值班,,1
2015-05-05,B组,休息,,0
2015-05-05,C组,休息,,0
2015-05-05,D组,休息,,0
2015-05-06,A组,休息,,0
2015-05-06,B组,值班,,1
2015-05-06,C组,休息,,0
2015-05-06,D组,休息,,0
2015-05-07,A组,休息,,0
2015-05-07,B组,休息,,0
2015-05-07,C组,值班,,1
2015-05-07,D组,休息,,0
2015-05-08,A组,休息,,0
2015-05-08,B组,休息,,0
2015-05-08,C组,休息,,0
2015-05-08,D组,值班,,1
2015-05-09,A组,值班,,1
2015-05-09,B组,休息,,0
2015-05-09,C组,休息,,0
2015-05-09,D组,休息,,0
2015-05-10,A组,休息,,0
2015-05-10,B组,值班,,1
2015-05-10,C组,休息,,0
2015-05-10,D组,休息,,0
2015-05-11,A组,休息,,0
2015-05-11,B组,休息,,0
2015-05-11,C组,值班,,1
2015-05-11,D组,休息,,0
2015-05-12,A组,休息,,0
2015-05-12,B组,休息,,0
2015-05-12,C组,休息,,0
2015-05-12,D组,值班,,1
2015-05-13,A组,值班,,1
2015-05-13,B组,休息,,0
2015-05-13,C组,休息,,0
2015-05-13,D组,休息,,0
2015-05-14,A组,休息,,0
2015-05-14,B组,值班,,1
2015-05-14,C组,休息,,0
2015-05-14,D组,休息,,0
2015-05-15,A组,休息,,0
2015-05-15,B组,休息,,0
2015-05-15,C组,值班,,1
2015-05-15,D组,休息,,0
2015-05-16,A组,休息,,0
2015-05-16,B组,休息,,0
2015-05-16,C组,休息,,0
2015-05-16,D组,值班,,1
2015-05-17,A组,值班,,1
2015-05-17,B组,休息,,0
2015-05-17,C组,休息,,0
2015-05-17,D组,休息,,0
2015-05-18,A组,休息,,0
2015-05-18,B组,值班,,1
2015-05-18,C组,休息,,0
2015-05-18,D组,休息,,0
2015-05-19,A组,休息,,0
2015-05-19,B组,休息,,0
2015-05-19,C组,值班,,1
2015-05-19,D组,休息,,0
2015-05-20,A组,休息,,0
2015-05-20,B组,休息,,0
2015-05-20,C组,休息,,0
2015-05-20,D组,值班,,1
2015-05-21,A组,值班,,1
2015-05-21,B组,休息,,0
2015-05-21,C组,休息,,0
2015-05-21,D组,休息,,0
2015-05-22,A组,休息,,0
2015-05-22,B组,值班,,1
2015-05-22,C组,休息,,0
2015-05-22,D组,休息,,0
2015-05-23,A组,休息,,0
2015-05-23,B组,休息,,0
2015-05-23,C组,值班,,1
2015-05-23,D组,休息,,0
2015-05-24,A组,休息,,0
2015-05-24,B组,休息,,0
2015-05-24,C组,休息,,0
2015-05-24,D组,值班,,1
2015-05-25,A组,值班,,1
2015-05-25,B组,休息,,0
2015-05-25,C组,休息,,0
2015-05-25,D组,休息,,0
2015-05-26,A组,休息,,0
2015-05-26,B组,值班,,1
2015-05-26,C组,休息,,0
2015-05-26,D组,休息,,0
2015-05-27,A组,休息,,0
2015-05-27,B组,休息,,0
2015-05-27,C组,值班,,1
2015-05-27,D组,休息,,0
2015-05-28,A组,休息,,0
2015-05-28,B组,休息,,0
2015-05-28,C组,休息,,0
2015-05-28,D组,值班,,1
2015-05-29,A组,值班,,1
2015-05-29,B组,休息,,0
2015-05-29,C组,休息,,0
2015-05-29,D组,休息,,0
2015-05-30,A组,休息,,0
2015-05-30,B组,值班,,1
2015-05-30,C组,休息,,0
2015-05-30,D组,休息,,0
2015-05-31,A组,休息,,0
2015-05-31,B组,休息,,0
2015-05-31,C组,值班,,1
2015-05-31,D组,休息,,0
2015-06-01,A组,休息,,0
2015-06-01,B组,休息,,0
2015-06-01,C组,休息,,0
2015-06-01,D组,值班,,1
2015-06-02,A组,值班,,1
2015-06-02,B组,休息,,0
2015-06-02,C组,休息,,0
2015-06-02,D组,休息,,0
2015-06-03,A组,休息,,0
2015-06-03,B组,值班,,1
2015-06-03,C组,休息,,0
2015-06-03,D组,休息,,0
2015-06-04,A组,休息,,0
2015-06-04,B组,休息,,0
2015-06-04,C组,值班,,1
2015-06-04,D组,休息,,0
2015-06-05,A组,休息,,0
2015-06-05,B组,休息,,0
2015-06-05,C组,休息,,0
2015-06-05,D组,值班,,1
2015-06-06,A组,值班,,1
2015-06-06,B组,休息,,0
2015-06-06,C组,休息,,0
2015-06-06,D组,休息,,0
2015-06-07,A组,休息,,0
2015-06-07,B组,值班,,1
2015-06-07,C组,休息,,0
2015-06-07,D组,休息,,0
2015-06-08,A组,休息,,0
2015-06-08,B组,休息,,0
2015-06-08,C组,值班,,1
2015-06-08,D组,休息,,0
2015-06-09,A组,休息,,0
2015-06-09,B组,休息,,0
2015-06-09,C组,休息,,0
2015-06-09,D组,值班,,1
2015-06-10,A组,值班,,1
2015-06-10,B组,休息,,0
2015-06-10,C组,休息,,0
2015-06-10,D组,休息,,0
2015-06-11,A组,休息,,0
2015-06-11,B组,值班,,1
2015-06-11,C组,休息,,0
2015-06-11,D组,休息,,0
2015-06-12,A组,休息,,0
2015-06-12,B组,休息,,0
2015-06-12,C组,值班,,1
2015-06-12,D组,休息,,0
2015-06-13,A组,休息,,0
2015-06-13,B组,休息,,0
2015-06-13,C组,休息,,0
2015-06-13,D组,值班,,1
2015-06-14,A组,值班,,1
2015-06-14,B组,休息,,0
2015-06-14,C组,休息,,0
2015-06-14,D组,休息,,0
2015-06-15,A组,休息,,0
2015-06-15,B组,值班,,1
2015-06-15,C组,休息,,0
2015-06-15,D组,休息,,0
2015-06-16,A组,休息,,0
2015-06-16,B组,休息,,0
2015-06-16,C组,值班,,1
2015-06-16,D组,休息,,0
2015-06-17,A组,休息,,0
2015-06-17,B组,休息,,0
2015-06-17,C组,休息,,0
2015-06-17,D组,值班,,1
2015-06-18,A组,值班,,1
2015-06-18,B组,休息,,0
2015-06-18,C组,休息,,0
2015-06-18,D组,休息,,0
2015-06-19,A组,休息,,0
2015-06-19,B组,值班,,1
2015-06-19,C组,休息,,0
2015-06-19,D组,休息,,0
2015-06-20,A组,休息,,0
2015-06-20,B组,休息,,0
2015-06-20,C组,值班,,1
2015-06-20,D组,休息,,0
2015-06-21,A组,休息,,0
2015-06-21,B组,休息,,0
2015-06-21,C组,休息,,0
2015-06-21,D组,值班,,1
2015-06-22,A组,值班,,1
2015-06-22,B组,休息,,0
2015-06-22,C组,休息,,0
2015-06-22,D组,休息,,0
2015-06-23,A组,休息,,0
2015-06-23,B组,值班,,1
2015-06-23,C组,休息,,0
2015-06-23,D组,休息,,0
2015-06-24,A组,休息,,0
2015-06-24,B组,休息,,0
2015-06-24,C组,值班,,1
2015-06-24,D组,休息,,0
2015-06-25,A组,休息,,0
2015-06-25,B组,休息,,0
2015-06-25,C组,休息,,0
2015-06-25,D组,值班,,1
2015-06-26,A组,值班,,1
2015-06-26,B组,休息,,0
2015-06-26,C组,休息,,0
2015-06-26,D组,休息,,0
2015-06-27,A组,休息,,0
2015-06-27,B组,值班,,1
2015-06-27,C组,休息,,0
2015-06-27,D组,休息,,0
2015-06-28,A组,休息,,0
2015-06-28,B组,休息,,0
2015-06-28,C组,值班,,1
2015-06-28,D组,休息,,0
2015-06-29,A组,休息,,0
2015-06-29,B组,休息,,0
2015-06-29,C组,休息,,0
2015-06-29,D组,值班,,1
2015-06-30,A组,值班,,1
2015-06-30,B组,休息,,0
2015-06-30,C组,维护,1,1
2015-06-30,D组,维护,2,1
2015-07-01,A组,休息,,0
2015-07-01,B组,值班,,1
2015-07-01,C组,维护,1,1
2015-07-01,D组,维护,2,1
2015-07-02,A组,维护,3,1
2015-07-02,B组,维护,4,1
2015-07-02,C组,值班,,1
2015-07-02,D组,休息,,0
2015-07-03,A组,维护,3,1
2015-07-03,B组,维护,4,1
2015-07-03,C组,休息,,0
2015-07-03,D组,值班,,1
2015-07-04,A组,值班,,1
2015-07-04,B组,休息,,0
2015-07-04,C组,维护,5,1
2015-07-04,D组,维护,6,1
2015-07-05,A组,休息,,0
2015-07-05,B组,值班,,1
2015-07-05,C组,维护,5,1
2015-07-05,D组,维护,6,1
2015-07-06,A组,维护,7,1
2015-07-06,B组,维护,8,1
2015-07-06,C组,值班,,1
2015-07-06,D组,休息,,0
2015-07-07,A组,维护,7,1
2015-07-07,B组,维护,8,1
2015-07-07,C组,休息,,0
2015-07-07,D组,值班,,1
2015-07-08,A组,值班,,1
2015-07-08,B组,休息,,0
2015-07-08,C组,维护,9,1
2015-07-08,D组,维护,10,1
2015-07-09,A组,休息,,0
2015-07-09,B组,值班,,1
2015-07-09,C组,维护,9,1
2015-07-09,D组,维护,10,1
2015-07-10,A组,维护,11,1
2015-07-10,B组,维护,12,1
2015-07-10,C组,值班,,1
2015-07-10,D组,休息,,0
2015-07-11,A组,维护,11,1
2015-07-11,B组,维护,12,1
2015-07-11,C组,休息,,0
2015-07-11,D组,值班,,1
2015-07-12,A组,值班,,1
2015-07-12,B组,休息,,0
2015-07-12,C组,维护,13,1
2015-07-12,D组,维护,14,1
2015-07-13,A组,休息,,0
2015-07-13,B组,值班,,1
2015-07-13,C组,维护,13,1
2015-07-13,D组,维护,14,1
2015-07-14,A组,维护,15,1
2015-07-14,B组,维护,16,1
2015-07-14,C组,值班,,1
2015-07-14,D组,休息,,0
2015-07-15,A组,维护,15,1
2015-07-15,B组,维护,16,1
2015-07-15,C组,休息,,0
2015-07-15,D组,值班,,1
2015-07-16,A组,值班,,1
2015-07-16,B组,休息,,0
2015-07-16,C组,维护,17,1
2015-07-16,D组,维护,18,1
2015-07-17,A组,休息,,0
2015-07-17,B组,值班,,1
2015-07-17,C组,维护,17,1
2015-07-17,D组,维护,18,1
2015-07-18,A组,维护,19,1
2015-07-18,B组,维护,20,1
2015-07-18,C组,值班,,1
2015-07-18,D组,休息,,0
2015-07-19,A组,维护,19,1
2015-07-19,B组,维护,20,1
2015-07-19,C组,休息,,0
2015-07-19,D组,值班,,1
2015-07-20,A组,值班,,1
2015-07-20,B组,休息,,0
2015-07-20,C组,维护,21,1
2015-07-20,D组,维护,22,1
2015-07-21,A组,休息,,0
2015-07-21,B组,值班,,1
2015-07-21,C组,维护,21,1
2015-07-21,D组,维护,22,1
2015-07-22,A组,维护,23,1
2015-07-22,B组,维护,24,1
2015-07-22,C组,值班,,1
2015-07-22,D组,休息,,0
2015-07-23,A组,维护,23,1
2015-07-23,B组,维护,24,1
2015-07-23,C组,休息,,0
2015-07-23,D组,值班,,1
2015-07-24,A组,值班,,1
2015-07-24,B组,休息,,0
2015-07-24,C组,维护,25,1
2015-07-24,D组,维护,26,1
2015-07-25,A组,休息,,0
2015-07-25,B组,值班,,1
2015-07-25,C组,维护,25,1
2015-07-25,D组,维护,26,1
2015-07-26,A组,维护,27,1
2015-07-26,B组,维护,28,1
2015-07-26,C组,值班,,1
2015-07-26,D组,休息,,0
2015-07-27,A组,维护,27,1
2015-07-27,B组,维护,28,1
2015-07-27,C组,休息,,0
2015-07-27,D组,值班,,1
2015-07-28,A组,值班,,1
2015-07-28,B组,休息,,0
2015-07-28,C组,维护,29,1
2015-07-28,D组,维护,30,1
2015-07-29,A组,休息,,0
2015-07-29,B组,值班,,1
2015-07-29,C组,维护,29,1
2015-07-29,D组,维护,30,1
2015-07-30,A组,维护,31,1
2015-07-30,B组,维护,32,1
2015-07-30,C组,值班,,1
2015-07-30,D组,休息,,0
2015-07-31,A组,维护,31,1
2015-07-31,B组,维护,32,1
2015-07-31,C组,休息,,0
2015-07-31,D组,值班,,1
2015-08-01,A组,值班,,1
2015-08-01,B组,休息,,0
2015-08-01,C组,维护,33,1
2015-08-01,D组,维护,34,1
2015-08-02,A组,休息,,0
