turbine_id,maintenance_no,start_date,estimated_lost_energy_mwh
36,2,2015-08-03,12.568548
37,1,2015-02-06,15.018145
37,2,2015-08-05,7.133065
38,1,2015-02-06,15.018145
38,2,2015-08-05,7.133065
39,1,2015-02-08,15.018145
39,2,2015-08-07,7.022177
40,1,2015-02-08,15.018145
40,2,2015-08-07,7.022177
41,1,2015-02-10,34.824597
41,2,2015-08-09,18.072581
42,1,2015-02-10,34.824597
42,2,2015-08-09,18.072581
43,1,2015-02-12,38.209677
43,2,2015-08-11,9.127016
44,1,2015-02-12,38.209677
44,2,2015-08-11,9.127016
45,1,2015-02-14,34.318548
45,2,2015-08-13,12.556452
46,1,2015-02-14,34.318548
46,2,2015-08-13,12.556452
47,1,2015-02-16,10.885081
47,2,2015-08-15,21.274194
48,1,2015-02-16,10.885081
48,2,2015-08-15,21.274194
49,1,2015-02-18,30.159274
49,2,2015-08-17,6.064516
50,1,2015-02-18,30.159274
50,2,2015-08-17,6.064516
51,1,2015-02-20,24.377016
51,2,2015-08-19,6.862903
52,1,2015-02-20,24.377016
52,2,2015-08-19,6.862903
53,1,2015-02-22,14.612903
53,2,2015-08-21,2.836694
54,1,2015-02-22,14.612903
54,2,2015-08-21,2.836694
55,1,2015-02-24,16.52621
55,2,2015-08-23,3.219758
56,1,2015-02-24,16.52621
56,2,2015-08-23,3.219758
57,1,2015-02-26,22.985887
57,2,2015-08-25,6.808468
58,1,2015-02-26,22.985887
58,2,2015-08-25,6.808468
59,1,2015-02-28,28.010081
59,2,2015-08-27,3.165323
60,1,2015-02-28,28.010081
60,2,2015-08-27,3.165323
61,1,2015-03-02,36.308468
61,2,2015-08-29,6.8125
62,1,2015-03-02,36.308468
62,2,2015-08-29,6.8125
63,1,2015-03-04,5.528226
63,2,2015-08-31,6.881048
64,1,2015-03-04,5.528226
64,2,2015-08-31,6.881048
65,1,2015-03-06,6.83871
65,2,2015-09-02,21.323589
66,1,2015-03-06,6.83871
66,2,2015-09-02,21.323589
67,1,2015-03-08,6.429435
67,2,2015-09-04,22.431452
68,1,2015-03-08,6.429435
68,2,2015-09-04,22.431452
69,1,2015-03-10,13.981855
69,2,2015-09-06,5.393145
70,1,2015-03-10,13.981855
70,2,2015-09-06,5.393145
71,1,2015-03-12,18.558468
71,2,2015-09-08,15.296371
72,1,2015-03-12,18.558468
72,2,2015-09-08,15.296371
73,1,2015-03-14,15.659274
73,2,2015-09-10,15.907056
74,1,2015-03-14,15.659274
74,2,2015-09-10,15.907056
75,1,2015-03-16,11.921371
75,2,2015-09-12,4.13006
76,1,2015-03-16,11.921371
76,2,2015-09-12,4.13006
77,1,2015-03-18,5.770161
77,2,2015-09-14,15.52621
78,1,2015-03-18,5.770161
78,2,2015-09-14,15.52621
79,1,2015-03-20,14.566532
79,2,2015-09-16,7.495968
80,1,2015-03-20,14.566532
80,2,2015-09-16,7.495968
81,1,2015-03-22,8.143145
81,2,2015-09-18,10.155242
82,1,2015-03-22,8.143145
82,2,2015-09-18,10.155242
83,1,2015-03-24,22.405242
83,2,2015-09-20,19.409274
84,1,2015-03-24,22.405242
84,2,2015-09-20,19.409274
85,1,2015-03-26,26.90121
85,2,2015-09-22,11.800403
86,1,2015-03-26,26.90121
86,2,2015-09-22,11.800403
87,1,2015-03-28,37.118952
87,2,2015-09-24,12.354839
88,1,2015-03-28,37.118952
88,2,2015-09-24,12.354839
89,1,2015-03-30,10.467742
89,2,2015-09-26,12.41129
90,1,2015-03-30,10.467742
90,2,2015-09-26,12.41129
91,1,2015-04-01,41.163306
91,2,2015-09-28,7.177419
92,1,2015-04-01,41.163306
92,2,2015-09-28,7.177419
93,1,2015-04-03,11.364919
93,2,2015-09-30,8.21371
94,1,2015-04-03,11.364919
94,2,2015-09-30,8.21371
95,1,2015-04-05,3.899194
95,2,2015-10-02,6.356855
96,1,2015-04-05,3.899194
96,2,2015-10-02,6.356855
97,1,2015-04-07,16.915323
97,2,2015-10-04,13.038306
98,1,2015-04-07,16.915323
98,2,2015-10-04,13.038306
99,1,2015-04-09,10.881048
99,2,2015-10-06,7.717742
100,1,2015-04-09,10.881048
100,2,2015-10-06,7.717742
101,1,2015-04-11,29.201613
101,2,2015-10-08,12.225806
102,1,2015-04-11,29.201613
102,2,2015-10-08,12.225806
103,1,2015-04-13,10.3125
103,2,2015-10-10,6.483871
104,1,2015-04-13,10.3125
104,2,2015-10-10,6.483871
105,1,2015-04-15,33.02621
105,2,2015-10-12,12.87379
106,1,2015-04-15,33.02621
106,2,2015-10-12,12.87379
107,1,2015-04-17,25.389113
107,2,2015-10-14,16.032258
108,1,2015-04-17,25.389113
108,2,2015-10-14,16.032258
109,1,2015-04-19,8.508065
109,2,2015-10-16,18.721774
110,1,2015-04-19,8.508065
110,2,2015-10-16,18.721774
111,1,2015-04-21,13.707661
111,2,2015-10-18,19.324597
112,1,2015-04-21,13.707661
112,2,2015-10-18,19.324597
113,1,2015-04-23,9.764113
113,2,2015-10-20,14.328629
114,1,2015-04-23,9.764113
114,2,2015-10-20,14.328629
115,1,2015-04-25,11.814516
115,2,2015-10-22,1.28629
116,1,2015-04-25,11.814516
116,2,2015-10-22,1.28629
117,1,2015-04-27,6.631048
117,2,2015-10-24,14.604274
118,1,2015-04-27,6.631048
118,2,2015-10-24,14.604274
119,1,2015-04-29,29.679435
119,2,2015-10-26,12.048387
120,1,2015-04-29,29.679435
120,2,2015-10-26,12.048387
121,1,2015-05-01,31.921371
121,2,2015-10-28,4.485887
122,1,2015-05-01,31.921371
122,2,2015-10-28,4.485887
123,1,2015-05-03,18.368952
123,2,2015-10-30,13.336694
124,1,2015-05-03,18.368952
124,2,2015-10-30,13.336694
