企业代号,企业名称,inferred_rating,risk_score,base_risk,business_scale,gross_margin_proxy,invalid_ratio,negative_ratio,top_partner_share,growth_proxy
E147,***装饰工程有限责任公司,B,0.253493,0.253493,278461634.058,0.211998,0.064764,0.010683,0.171401,53.795072
E148,***商贸有限公司,C,0.433089,0.433089,98542681.234,0.636551,0.064103,0.003663,0.68372,0.049946
E149,***建筑劳务有限公司,C,0.383606,0.383606,104426245.66,0.967216,0.064437,0.026101,0.387812,-0.691176
E150,***建设工程有限公司,B,0.298441,0.298441,164514027.35,0.271757,0.116379,0.004735,0.150512,132.367521
E151,***路桥工程有限公司,C,0.372012,0.372012,108595205.456,0.899533,0.054054,0.001248,0.436115,21.524478
E152,***运贸有限责任公司,C,0.405808,0.405808,124230689.844,0.941879,0.024262,0.025219,0.834261,24.035627
E153,个体经营E153 ,C,0.362357,0.362357,241874868.926,0.996335,0.211268,0.002817,0.662589,13.14421
E154,***汽车销售服务有限公司,C,0.473386,0.473386,151533205.776,-0.649715,0.055642,0.02003,0.586616,3.870468
E155,个体经营E155 ,C,0.418573,0.418573,124048598.78,0.054999,0.045564,0.021583,0.250332,2.991986
E156,个体经营E156 ,C,0.374789,0.374789,174312496.208,0.877083,0.135135,0.065315,0.443783,0.605734
E157,***环境设备工程有限公司,C,0.440904,0.440904,102922020.42,0.260164,0.081081,0.075075,0.455277,-0.405501
E158,***装饰工程有限公司,C,0.491936,0.491936,117211879.608,0.207749,0.128803,0.011073,0.917359,7.802789
E159,个体经营E159 ,B,0.329624,0.329624,144597625.52,0.352747,0.079051,0.007905,0.146353,0.103895
E160,***钢结构工程有限公司,B,0.322904,0.322904,322082973.806,0.313589,0.166716,0.033758,0.418608,-0.899462
E161,***建筑劳务有限责任公司,B,0.3567,0.3567,157340616.296,0.975815,0.176471,0.010381,0.320479,11.142762
E162,***网络信息安全有限公司,B,0.293306,0.293306,248603940.426,0.021505,0.078278,0.058708,0.14105,0.168819
E163,***物流有限公司,C,0.431204,0.431204,179133787.942,0.414866,0.150183,0.008242,0.732163,-0.951807
E164,个体经营E164 ,C,0.386208,0.386208,165007612.828,0.404973,0.125226,0.012643,0.451502,0.960691
E165,***文化传媒股份有限公司,B,0.339865,0.339865,173003311.62,0.229069,0.09977,0.044513,0.235784,2.818878
E166,***建筑工程有限公司,C,0.392907,0.392907,103249150.434,0.735926,0.111323,0.164122,0.572729,1201.581965
E167,***体育文化股份有限公司,B,0.324025,0.324025,204727593.296,-0.15797,0.067684,0.018678,0.26389,-0.962075
E168,***建材有限公司,B,0.350293,0.350293,91026841.328,0.984907,0.038554,0.0,0.590249,2290.65303
E169,***建筑设计有限公司,B,0.312313,0.312313,162339991.082,0.337751,0.053691,0.020134,0.120713,-0.144421
E170,***建筑劳务有限公司,C,0.405209,0.405209,93086335.236,0.540091,0.062406,0.041353,0.293051,-0.33553
E171,***质量检验测试站,B,0.304594,0.304594,133491209.654,0.5566,0.06593,0.015051,0.238984,-0.3267
E172,***物流有限公司,C,0.402549,0.402549,99686514.468,0.449076,0.080126,0.010616,0.215792,-0.119388
E173,***贸易有限责任公司,C,0.401985,0.401985,171721194.36,0.008279,0.052379,0.012395,0.476143,4.312249
E174,***工程技术有限公司,C,0.407123,0.407123,137192550.028,0.169624,0.080865,0.004003,0.404326,0.105036
E175,***食品集团有限公司,C,0.401521,0.401521,124279020.15,-0.05781,0.076867,0.016373,0.613179,-0.023056
E176,***科技有限公司,B,0.344556,0.344556,88146120.36,0.925954,0.10706,0.030918,0.265942,-0.876515
E177,***电力工程有限公司,C,0.382121,0.382121,143939182.686,0.26984,0.139175,0.019588,0.307045,2.510317
E178,***贸易有限公司,C,0.441053,0.441053,128084766.31,-0.019611,0.086918,0.019713,0.374258,-0.69793
E179,***园林有限公司,C,0.398048,0.398048,83790761.362,0.387985,0.108075,0.031056,0.133769,6.320718
E180,***电气有限公司,C,0.443467,0.443467,112382073.704,0.147939,0.041232,0.008438,0.865939,-0.955475
E181,***食品有限公司,C,0.450759,0.450759,129018010.204,-0.12293,0.061108,0.010499,0.718524,28.829251
E182,***新材料科技有限公司,C,0.419363,0.419363,121393444.722,0.053964,0.026902,0.0,0.362364,9.348009
E183,***建设工程有限公司,C,0.441569,0.441569,81619857.224,0.601428,0.098249,0.008898,0.848215,45.308137
E184,***建筑装饰工程有限公司,C,0.406797,0.406797,77949998.692,0.274506,0.028162,0.031963,0.31033,14.198356
E185,***生态魔芋有限公司,C,0.369487,0.369487,97527334.784,0.986201,0.014706,0.029412,0.433931,4.873596
E186,***建筑劳务有限公司,C,0.438963,0.438963,85387496.608,0.964901,0.048534,0.011122,0.86365,2.5253
E187,个体经营E187 ,D,0.657674,0.657674,47783166.552,-20.622477,0.909091,0.010825,0.361373,10.036454
E188,***硬质合金有限公司,C,0.382282,0.382282,128084117.512,0.029805,0.039388,0.004171,0.190285,4.126753
E189,***石油工程技术服务有限公司,C,0.390045,0.390045,69438074.906,0.412913,0.054602,0.020281,0.320934,11.040837
E190,***劳务有限公司,C,0.380227,0.380227,126973492.164,0.939737,0.142145,0.034913,0.44973,33.549543
E191,***商贸有限责任公司,B,0.299618,0.299618,412683230.652,-0.018491,0.048763,0.003306,0.526112,-0.875117
E192,***建设工程有限公司,C,0.430446,0.430446,54057607.904,0.573956,0.209302,0.027027,0.562923,1602.396725
E193,个体经营E193 ,B,0.291919,0.291919,133626369.452,0.853448,0.069141,0.011389,0.315824,-0.238321
E194,***文化传播有限公司,B,0.306293,0.306293,99938449.252,0.836715,0.058598,0.033472,0.265294,-0.925906
E195,***医药有限公司,B,0.341232,0.341232,156493677.402,0.310999,0.04756,0.020548,0.208998,-0.96271
E196,***地质制图印刷厂,C,0.388658,0.388658,100231528.204,0.403946,0.069885,0.029372,0.345466,-0.946778
E197,***医疗设备有限公司,B,0.258806,0.258806,245004670.424,0.437478,0.062283,0.01204,0.285459,0.886467
E198,***商贸有限公司,C,0.408196,0.408196,97617321.96,-0.008468,0.100124,0.067985,0.261751,75.990189
E199,***建筑劳务有限公司,C,0.42716,0.42716,68409549.57,0.869746,0.020833,0.109756,0.466364,-0.281453
E200,个体经营E200 ,C,0.462919,0.462919,76607656.026,-0.006368,0.079935,0.019576,0.358345,3.200098
E201,***物流有限责任公司,C,0.385075,0.385075,71825237.128,0.182968,0.101906,0.014085,0.296279,575.149485
E202,个体经营E202 ,C,0.459012,0.459012,105547872.006,0.895364,0.09901,0.00495,0.949246,-0.191938
E203,***建设工程有限公司,C,0.385914,0.385914,61784826.646,0.508791,0.092622,0.00314,0.523463,3058.809315
E204,***科技发展有限公司,B,0.32969,0.32969,128936564.134,0.369176,0.202976,0.020833,0.078541,1.017221
E205,个体经营E205 ,C,0.438597,0.438597,89809755.01,0.671665,0.092715,0.008929,0.57433,1.333586
E206,***建设工程有限公司,B,0.348805,0.348805,139965976.27,0.240122,0.051921,0.002175,0.293427,-0.583114
E207,个体经营E207 ,C,0.423808,0.423808,165297980.384,0.400281,0.044582,0.006859,0.761934,-0.340983
E208,个体经营E208 ,C,0.471691,0.471691,122833946.006,-0.003994,0.127432,0.019455,0.524392,-0.057953
E209,***工程检测有限公司,B,0.349928,0.349928,95977377.972,0.312391,0.170847,0.042034,0.113642,-0.508157
E210,***建筑工程有限公司,C,0.467479,0.467479,57262075.646,0.890929,0.067002,0.005455,0.879783,1.59744
E211,个体经营E211 ,C,0.464844,0.464844,62772351.284,0.547852,0.101467,0.009169,0.64264,4.824618
E212,***建电管理咨询有限公司,C,0.385462,0.385462,77947484.086,0.985657,0.109459,0.011898,0.268358,-0.804898
E213,***科技有限公司,C,0.389462,0.389462,86362027.696,0.210471,0.096063,0.01811,0.174849,5.086192
E214,***建筑工程有限公司,C,0.402272,0.402272,86719396.89,0.431693,0.178571,0.017281,0.190572,23.968356
E215,***建筑工程有限公司,C,0.40621,0.40621,67632638.678,0.996793,0.092437,0.0,0.408018,0.558247
E216,***建设工程有限公司,C,0.407455,0.407455,78731164.722,0.427333,0.114987,0.00646,0.287023,-0.508452
E217,个体经营E217 ,D,0.741229,0.741229,34182496.948,-20.737306,0.954606,0.010681,0.300387,-0.520937
E218,***建设工程有限公司,C,0.544822,0.544822,63875979.836,-0.037464,0.409483,0.003623,0.71075,40.435455
E219,***品牌营销策划有限公司,C,0.444008,0.444008,59733150.68,-0.000915,0.211878,0.05297,0.178045,12.127905
E220,***文化传播有限公司,C,0.360107,0.360107,113963810.076,0.311433,0.049345,0.008481,0.544855,9.953324
E221,***测绘服务有限公司,C,0.37502,0.37502,67064411.184,0.266237,0.060519,0.020173,0.201435,0.387277
E222,***数码科技有限公司,C,0.41516,0.41516,96896821.718,0.162828,0.256541,0.025929,0.191954,-0.950477
E223,***科技有限公司,C,0.473573,0.473573,55926526.622,-0.219411,0.098299,0.039698,0.443407,3.711442
E224,***纸业有限公司,C,0.403346,0.403346,156367712.4,-0.026038,0.047431,0.01331,0.238766,3.443402
E225,***物业服务有限责任公司***分公司,C,0.384186,0.384186,96086516.114,0.359112,0.062782,0.011835,0.422463,-0.795513
E226,***建设工程有限公司,C,0.440052,0.440052,73978367.126,-0.02996,0.068592,0.027698,0.655514,124.204082
E227,***安全技术有限公司,C,0.390054,0.390054,86877126.47,0.090997,0.074124,0.008086,0.117632,16.622603
E228,***文化发展有限公司,C,0.389003,0.389003,86730248.02,0.439607,0.155612,0.088435,0.114614,6.573639
E229,***家贸易有限公司,C,0.513029,0.513029,88867291.158,-0.032242,0.103248,0.004935,0.823389,2.653971
E230,***建筑劳务有限公司,C,0.466716,0.466716,51336880.9,0.959502,0.12426,0.029586,0.811968,16.748793
E231,***建筑科技有限公司,C,0.460081,0.460081,54814186.828,-0.070526,0.093137,0.0,0.394094,49.48498
E232,***投资发展有限责任公司,C,0.513684,0.513684,78668827.298,0.228314,0.055556,0.076271,0.879382,0.380934
E233,***劳务有限公司,C,0.423236,0.423236,20229478.714,0.979921,0.063025,0.0,0.921569,174.654797
E234,***机电设备商贸有限公司,C,0.396675,0.396675,42943183.556,0.877441,0.039735,0.006623,0.324963,-0.49513
E235,个体经营E235 ,C,0.468316,0.468316,48750603.212,0.644137,0.069034,0.003945,0.759346,1.224068
E236,个体经营E236 ,C,0.450743,0.450743,48802754.3,0.865869,0.223388,0.01949,0.409357,0.693886
E237,个体经营E237 ,C,0.454911,0.454911,32617057.902,0.135849,0.250847,0.053691,0.432283,159.004495
E238,个体经营E238 ,B,0.342213,0.342213,70359543.294,0.666661,0.06852,0.046756,0.309766,1.046201
E239,个体经营E239 ,C,0.423057,0.423057,42078607.852,0.014846,0.12069,0.013193,0.273235,2149.413159
E240,个体经营E240 ,D,0.70174,0.70174,35029350.756,-0.764157,0.83871,0.024194,0.978026,14.424531
E241,个体经营E241 ,C,0.466501,0.466501,41677557.698,0.838294,0.09194,0.006297,0.724072,0.347118
E242,个体经营E242 ,D,0.743811,0.743811,12682075.678,-11.250837,0.931559,0.026616,0.387391,4.415366
E243,***科技有限公司,C,0.423351,0.423351,34847484.344,0.857008,0.04782,0.002869,0.418498,-0.802552
E244,个体经营E244 ,C,0.482266,0.482266,44387466.56,0.583312,0.173507,0.024254,0.575803,-0.098254
E245,***建筑劳务有限公司,C,0.424318,0.424318,26900742.88,0.933514,0.124646,0.050992,0.266145,5.166774
E246,***物业服务有限公司,C,0.39779,0.39779,35990880.598,0.775338,0.096502,0.018094,0.263531,9.390767
E247,***石化有限公司,C,0.500484,0.500484,29083157.728,0.434249,0.072423,0.007423,0.746543,-0.792476
E248,***智能科技有限公司,C,0.445709,0.445709,29464994.176,0.335746,0.128395,0.014815,0.23548,4.386209
E249,***建筑工程有限公司,C,0.520851,0.520851,68213528.736,0.473248,0.137691,0.001391,0.986129,-0.54388
E250,***塑料厂,C,0.446686,0.446686,38916439.928,0.706008,0.151671,0.029563,0.376061,-0.897366
E251,***医疗器械有限责任公司,C,0.440516,0.440516,19522613.78,0.270466,0.130159,0.044444,0.30228,46.398273
E252,***印务有限公司,C,0.430533,0.430533,55797362.402,0.325861,0.055324,0.018484,0.20776,-0.967774
E253,***钢结构工程有限公司,C,0.436431,0.436431,34926350.728,0.223743,0.165354,0.007874,0.294112,50.627271
E254,***设备安装工程有限公司,C,0.429271,0.429271,39264887.908,0.910181,0.075051,0.004057,0.435722,-0.567415
E255,个体经营E255 ,C,0.453504,0.453504,47117465.39,0.679978,0.062598,0.046948,0.611354,-0.070189
E256,***物资有限公司,C,0.404394,0.404394,36195598.006,0.654857,0.035714,0.010714,0.190772,-0.946073
E257,***门窗安装有限公司,C,0.453049,0.453049,33750279.922,0.353254,0.121884,0.030471,0.200953,0.218879
E258,***国际货运有限公司,C,0.388357,0.388357,78231636.854,0.766383,0.046092,0.021242,0.352395,-0.976998
E259,***文化传媒有限公司,C,0.399874,0.399874,43729771.854,0.407026,0.135697,0.023227,0.060305,-0.852462
E260,***广告有限公司,C,0.432288,0.432288,33311016.272,0.191946,0.115239,0.015113,0.117751,-0.859629
E261,***医疗器械有限公司,C,0.480847,0.480847,21368081.46,0.453897,0.116925,0.015504,0.736509,19.54596
E262,个体经营E262 ,C,0.460685,0.460685,34473104.952,0.329169,0.052023,0.013006,0.420269,0.065088
E263,***通信工程有限公司,C,0.482892,0.482892,35618132.542,0.439869,0.185484,0.038306,0.412491,-0.958333
E264,个体经营E264 ,D,0.73836,0.73836,15554156.004,-19.07392,0.943262,0.044917,0.699737,-0.478044
E265,***净化工程有限公司,C,0.468618,0.468618,38020551.72,0.091787,0.155789,0.033684,0.294949,-0.531243
E266,***煤矿机械有限公司,C,0.478058,0.478058,27711758.186,0.929225,0.070248,0.018595,0.809057,-0.527341
E267,***林园艺场,C,0.459073,0.459073,18411232.254,0.925164,0.110132,0.022026,0.524328,-0.715706
E268,***建筑劳务有限公司,C,0.399074,0.399074,29953171.266,0.746483,0.106383,0.025,0.456386,4853.286621
E269,***节能服务有限公司,C,0.496003,0.496003,31141452.732,0.95242,0.130045,0.049327,0.856186,-0.986795
E270,个体经营E270 ,C,0.487634,0.487634,23972518.198,0.693921,0.192771,0.028916,0.551851,0.889788
E271,***科技有限公司,C,0.446658,0.446658,48442266.506,0.125541,0.210054,0.028725,0.13047,-0.029985
E272,个体经营E272 ,C,0.434257,0.434257,17994253.784,0.617211,0.089076,0.055462,0.250658,1.162801
E273,个体经营E273 ,C,0.397856,0.397856,29379706.756,0.565254,0.055627,0.011643,0.586941,-0.243394
E274,***建筑劳务有限公司,C,0.46965,0.46965,11852092.482,0.988789,0.116883,0.012987,0.638714,5.24821
E275,***网络工程有限公司,C,0.443472,0.443472,23468972.872,0.845839,0.190476,0.054422,0.245516,-0.855253
E276,***体育设施工程有限公司,C,0.482172,0.482172,15215780.436,0.636423,0.20283,0.037736,0.454513,-0.712368
E277,***消防设备制造有限公司,C,0.527944,0.527944,25728556.61,0.307123,0.062731,0.005988,0.87245,0.468218
E278,***贸易有限公司,C,0.477698,0.477698,19817884.488,0.149876,0.067227,0.008403,0.324763,-0.720593
E279,***环保包装有限公司,C,0.537723,0.537723,35330954.744,0.248487,0.04943,0.062738,0.900723,-0.680002
E280,个体经营E280 ,C,0.443721,0.443721,24549394.17,0.282003,0.066327,0.006803,0.190269,0.667126
E281,***商业管理有限责任公司,C,0.518132,0.518132,28140099.124,-0.201453,0.056497,0.005164,0.539679,-0.879568
E282,***影城有限公司***分公司,C,0.513222,0.513222,28718469.558,0.426524,0.277388,0.023899,0.705404,-0.937317
E283,***机械铸造有限责任公司,C,0.446093,0.446093,28764388.446,0.226376,0.044335,0.0,0.249462,12.975381
E284,***成焊科技有限公司,C,0.487561,0.487561,22476767.21,0.331198,0.079399,0.004726,0.559329,-0.919676
E285,个体经营E285 ,C,0.443875,0.443875,40397896.804,0.461338,0.187943,0.012411,0.199658,0.21342
E286,***印务有限公司,C,0.507968,0.507968,19146523.344,0.06747,0.228682,0.01938,0.257167,-0.897439
E287,***鞋材有限公司,C,0.480854,0.480854,23746833.096,0.050588,0.135922,0.006494,0.241143,8.423152
E288,个体经营E288 ,C,0.498846,0.498846,24268832.85,0.172865,0.220779,0.012987,0.315913,0.897175
E289,***运业有限公司***分公司,C,0.410837,0.410837,25515767.16,0.653007,0.066706,0.014294,0.269191,-0.770899
E290,***机电有限公司,C,0.442072,0.442072,20259655.402,0.678753,0.121778,0.016889,0.339178,-0.986323
E291,***文业建设工程有限公司,D,0.627619,0.627619,21468988.236,-0.493502,0.203704,0.022901,0.975003,2.732014
E292,***物流有限公司,C,0.404167,0.404167,15718062.748,0.410577,0.035821,0.001519,0.394562,769.112157
E293,***物资有限公司,C,0.555809,0.555809,12203049.678,0.024005,0.08547,0.0,0.811368,0.807848
E294,个体经营E294 ,C,0.417786,0.417786,25205510.518,0.815822,0.13649,0.004614,0.220428,0.038063
E295,***电器设备制造有限公司,C,0.474579,0.474579,20532618.302,0.180851,0.179283,0.011952,0.229042,5.087787
E296,***装饰设计工程有限公司,C,0.495737,0.495737,17750330.848,0.491171,0.130952,0.075397,0.61787,1.374358
E297,***建筑机械租赁有限公司,C,0.474935,0.474935,19824180.75,0.245422,0.114754,0.0,0.747607,1957.528954
E298,***电器维护服务有限公司,C,0.461306,0.461306,19672531.528,0.657209,0.134021,0.011376,0.499498,5.743119
E299,***压缩天然气有限责任公司,C,0.527367,0.527367,34832794.474,-0.223296,0.091743,0.011009,0.63177,-0.907719
E300,***建设工程有限公司,C,0.463352,0.463352,27796900.342,0.200812,0.093496,0.01626,0.312965,8.551943
E301,***企业管理咨询有限公司,C,0.394188,0.394188,17945265.458,0.737312,0.065502,0.017467,0.29466,0.913265
E302,***机电设备有限公司,C,0.435498,0.435498,11352590.044,0.661011,0.096886,0.008377,0.258375,-0.938085
E303,***图书发行有限公司,C,0.448933,0.448933,17655425.256,0.866752,0.125,0.002778,0.440208,-0.855101
E304,***环保科技有限公司,C,0.524839,0.524839,19466771.436,-0.792613,0.075802,0.001647,0.416076,43.646841
E305,***劳务有限公司,C,0.460977,0.460977,59783029.164,0.590509,0.10585,0.005571,0.587341,-0.984768
E306,个体经营E306 ,C,0.442016,0.442016,15076368.412,0.694021,0.138743,0.020942,0.351959,4.834241
E307,***通信工程有限公司,C,0.505788,0.505788,7983572.148,0.498219,0.147826,0.0,0.630657,5.382431
E308,***餐饮文化服务有限公司,B,0.351579,0.351579,16977352.904,0.309998,0.199504,0.01751,0.128682,84.224109
E309,个体经营E309 ,C,0.457312,0.457312,16692513.154,0.496334,0.184834,0.014199,0.21535,0.632745
E310,***律师事务所,C,0.381346,0.381346,13939806.422,0.64676,0.059178,0.03009,0.110798,-0.134414
E311,***律师事务所,C,0.403534,0.403534,12512613.036,0.767177,0.119914,0.040685,0.161032,18.86234
E312,***家居用品有限公司,C,0.525733,0.525733,57408952.71,-4.828696,0.047077,0.021962,0.409372,21.173559
E313,***物流有限公司,C,0.464682,0.464682,17836680.276,0.452712,0.060606,0.026936,0.361904,-0.850825
E314,***房地产营销策划有限公司,C,0.484349,0.484349,9342415.8,0.587089,0.133858,0.031225,0.529286,1.877298
E315,***轮胎有限公司,C,0.422603,0.422603,12787592.876,0.81167,0.030928,0.010309,0.331937,-0.946298
E316,个体经营E316 ,C,0.488954,0.488954,12775178.352,0.73739,0.114035,0.028509,0.698428,2.624847
E317,***科技有限公司,C,0.4453,0.4453,7000828.156,0.677517,0.181818,0.047847,0.193526,18.697939
E318,***商贸有限公司,C,0.459897,0.459897,11929610.194,0.891089,0.146699,0.006667,0.440647,-0.705454
E319,个体经营E319 ,C,0.433641,0.433641,17970946.696,0.462295,0.068733,0.008086,0.174189,0.337578
E320,***建筑设计有限公司,C,0.532167,0.532167,12517173.896,0.212093,0.061224,0.0,0.795927,2.428378
E321,***生物流有限公司,C,0.526752,0.526752,14741653.7,0.530816,0.145199,0.015873,0.82042,-0.836519
E322,***装饰工程设计有限公司,C,0.492096,0.492096,17096120.45,0.08643,0.054545,0.05,0.425528,3.244651
E323,***建筑装饰工程有限公司,C,0.520412,0.520412,8015479.508,0.271034,0.290909,0.007984,0.520598,31.083136
E324,***汽贸有限公司,D,0.633079,0.633079,61633657.702,-4.686512,0.185096,0.014423,0.643674,2.4063
E325,***通讯器材有限公司,C,0.569848,0.569848,30371113.144,-1.698225,0.042823,0.022642,0.754261,-0.941505
E326,***包装材料有限公司,C,0.487055,0.487055,16373064.836,0.203504,0.085859,0.0,0.37607,-0.962636
E327,个体经营E327 ,C,0.532013,0.532013,24461354.086,0.402652,0.073801,0.00369,0.921862,-0.431277
E328,***科技有限公司,C,0.448491,0.448491,10111533.174,0.692281,0.121951,0.02439,0.343345,15.470734
E329,***园艺有限责任公司,C,0.43109,0.43109,11071357.234,0.999887,0.03876,0.0,0.422002,-0.102364
E330,***酒店管理有限公司,C,0.376644,0.376644,9943195.26,0.673063,0.021834,0.004367,0.448126,-0.802393
E331,***广告有限公司,C,0.460436,0.460436,6870017.394,0.787282,0.073684,0.031579,0.46483,0.492591
E332,***商贸有限公司,C,0.499247,0.499247,40973892.934,0.468512,0.025773,0.007732,0.884939,-0.956907
E333,***房地产营销策划有限公司,C,0.486356,0.486356,7922798.21,0.813987,0.072993,0.007299,0.766237,-0.865762
E334,***机械科技有限公司,C,0.533361,0.533361,10934115.442,0.271291,0.060914,0.030457,0.769658,-0.914307
E335,***挖掘机租赁经营部,C,0.519991,0.519991,7400748.486,0.404871,0.2,0.0,0.567401,0.505863
E336,***猕猴桃专业合作社,C,0.483264,0.483264,3034126.75,0.9089,0.09434,0.0,0.996124,68.089225
E337,个体经营E337 ,C,0.446417,0.446417,11593662.206,0.965395,0.100796,0.009284,0.477253,-0.456974
E338,***商贸有限公司,C,0.446067,0.446067,7703212.708,0.92243,0.078652,0.007937,0.448144,-0.666718
E339,***居益卫浴家俬厂,C,0.47835,0.47835,5775388.15,0.249294,0.045455,0.022727,0.316998,-0.991465
E340,***物流有限公司,C,0.535945,0.535945,7758135.422,0.878265,0.164634,0.067073,0.954112,-0.634258
E341,***纺织品有限公司,C,0.534293,0.534293,4239586.32,0.575336,0.08,0.0,0.944502,0.013975
E342,***裕华机械厂,C,0.496889,0.496889,6283370.09,0.544529,0.169811,0.006289,0.491682,-0.823923
E343,***五金工具经营部,C,0.515413,0.515413,2616950.37,0.97504,0.073903,0.023095,1.0,-0.629931
E344,***机械有限公司,C,0.480596,0.480596,3442021.974,0.355135,0.053763,0.053763,0.356031,-0.992417
E345,***科技有限公司,C,0.457124,0.457124,2597874.646,0.740951,0.137931,0.0,0.339924,-0.799439
E346,个体经营E346 ,C,0.47897,0.47897,3831544.85,0.042082,0.062016,0.014113,0.229919,0.163872
E347,***不锈钢材料有限公司,C,0.464452,0.464452,2701893.804,0.539625,0.190476,0.0,0.177436,-0.736034
E348,***酒店管理有限公司,C,0.400551,0.400551,2758596.57,0.650637,0.0513,0.025,0.277497,-0.803856
E349,***营销策划广告有限公司,C,0.44647,0.44647,3333200.976,0.997933,0.0,0.0,0.57713,1.188985
E350,***演艺设备有限公司,C,0.455609,0.455609,1733692.7,0.715694,0.133333,0.016667,0.315673,-0.302072
E351,***文化传播有限公司,C,0.506541,0.506541,1237188.184,0.718297,0.133333,0.009901,0.701502,-0.449211
E352,***居装饰工程有限公司,C,0.597451,0.597451,11143718.288,-4.183687,0.096154,0.016151,0.232372,-0.442134
E353,***税务师事务所有限公司,C,0.445498,0.445498,3076796.278,0.838254,0.15,0.05,0.229897,-0.638919
E354,***广告有限公司,C,0.484756,0.484756,2634185.794,0.71355,0.092879,0.021672,0.574966,-0.634719
E355,***地毯经营部,C,0.510094,0.510094,1497509.4,0.576927,0.25,0.0,0.998954,570.864651
E356,***建材装饰部,C,0.497299,0.497299,1517560.0,0.989303,0.010471,0.0,0.967244,-0.570352
E357,***家居经营部,C,0.497691,0.497691,1367706.342,0.953072,0.064935,0.1,0.755708,-0.038685
E358,***五金经营部,C,0.550244,0.550244,1908268.56,0.84055,0.139535,0.112957,1.0,-0.40047
E359,***厨房用品经营部,C,0.514459,0.514459,1206926.8,0.98643,0.078189,0.012346,1.0,-0.67728
E360,***建筑劳务有限公司,C,0.529523,0.529523,2610850.39,0.999696,0.171429,0.0,1.0,-0.798887
E361,***勘察设计工程有限公司,C,0.512088,0.512088,6850806.39,0.337145,0.237288,0.0,0.383916,-0.904859
E362,***建材有限公司,C,0.451207,0.451207,4685322.99,0.857611,0.095238,0.038095,0.369463,-0.931142
E363,***建筑工程设计有限公司,C,0.499766,0.499766,1193995.96,0.812165,0.230769,0.040404,0.521292,0.685563
E364,***电子有限公司,C,0.452416,0.452416,2337297.928,0.771667,0.080597,0.035714,0.342808,-0.978987
E365,***信息技术有限公司,C,0.531516,0.531516,4567347.648,0.464926,0.136364,0.007692,0.761111,-0.903788
E366,***房地产经纪有限公司,C,0.46507,0.46507,1647210.064,0.747138,0.05,0.0,0.990038,406.2235
E367,***电子商务有限公司,C,0.461733,0.461733,2231095.786,0.844549,0.08,0.046512,0.929732,211.708469
E368,***通信科技有限责任公司,C,0.530491,0.530491,1092799.282,0.565924,0.3125,0.03125,0.510571,0.471318
