node_id,actuator_stroke_m
A51,0.159094
A52,0.161973
A53,0.170159
A54,0.181963
A55,0.194041
B46,0.204725
B47,0.194021
B48,0.181895
B49,0.170065
B50,0.161903
B51,0.159015
B52,0.16187
B53,0.170056
B54,0.181876
B55,0.193937
C46,0.204646
C47,0.193926
C48,0.18187
C49,0.170042
C50,0.161858
C51,0.15898
C52,0.16177
C53,0.16994
C54,0.181861
C55,0.193826
D46,0.204601
D47,0.193826
D48,0.181861
D49,0.16994
D50,0.16177
D51,0.15898
D52,0.161858
D53,0.170042
D54,0.18187
D55,0.193926
E46,0.204646
E47,0.193937
E48,0.181876
E49,0.170056
E50,0.16187
E51,0.159015
E52,0.161903
E53,0.170065
E54,0.181895
E55,0.194021
A46,0.204725
A57,0.209051
A58,0.203862
A59,0.197143
A60,0.190603
A61,0.186906
A62,0.186906
A63,0.190603
A64,0.197143
A65,0.203862
A66,0.209051
B56,0.209305
B57,0.209044
B58,0.203893
B59,0.197191
B60,0.190528
B61,0.186817
B62,0.186814
B63,0.190499
B64,0.19714
B65,0.203854
B66,0.209034
C56,0.209252
C57,0.209022
C58,0.203824
C59,0.197141
C60,0.190436
C61,0.186716
C62,0.186812
C63,0.190452
C64,0.197105
C65,0.203812
C66,0.209017
D56,0.209274
D57,0.209017
D58,0.203812
D59,0.197105
D60,0.190452
D61,0.186812
D62,0.186716
D63,0.190436
D64,0.197141
D65,0.203824
D66,0.209022
E56,0.209252
E57,0.209034
E58,0.203854
E59,0.19714
E60,0.190499
E61,0.186814
E62,0.186817
E63,0.190528
E64,0.197191
E65,0.203893
E66,0.209044
A56,0.209305
A68,0.204561
A69,0.209631
A70,0.209693
A71,0.207713
A72,0.20548
A73,0.204582
A74,0.20548
A75,0.207713
A76,0.209693
A77,0.209631
A78,0.204561
B67,0.190387
B68,0.204643
B69,0.209723
B70,0.209686
B71,0.207738
B72,0.205405
B73,0.204475
B74,0.205391
B75,0.207684
B76,0.209637
B77,0.209606
B78,0.204545
C67,0.190388
C68,0.204486
C69,0.209608
C70,0.20962
C71,0.207596
C72,0.205371
C73,0.204408
C74,0.205355
C75,0.207626
C76,0.209539
C77,0.209604
C78,0.204531
D67,0.19039
D68,0.204531
D69,0.209604
D70,0.209539
D71,0.207626
D72,0.205355
D73,0.204408
D74,0.205371
D75,0.207596
D76,0.20962
D77,0.209608
D78,0.204486
E67,0.190388
E68,0.204545
E69,0.209606
E70,0.209637
E71,0.207684
E72,0.205391
E73,0.204475
E74,0.205405
E75,0.207738
E76,0.209686
E77,0.209723
E78,0.204643
A67,0.190387
A80,0.173094
A81,0.192614
A82,0.203055
A83,0.207655
A84,0.209514
A85,0.20998
A86,0.20998
A87,0.209514
A88,0.207655
A89,0.203055
A90,0.192614
A91,0.173094
B79,0.140547
B80,0.173184
B81,0.192564
B82,0.202972
B83,0.207631
B84,0.209402
B85,0.209928
B86,0.20994
B87,0.209414
B88,0.207593
B89,0.202926
B90,0.192555
B91,0.173037
C79,0.140453
C80,0.173029
C81,0.192567
C82,0.202921
C83,0.20754
C84,0.20933
C85,0.209921
C86,0.209827
C87,0.209294
C88,0.207587
C89,0.202768
C90,0.192486
C91,0.173071
D79,0.140524
D80,0.173071
D81,0.192486
D82,0.202768
D83,0.207587
D84,0.209294
D85,0.209827
D86,0.209921
D87,0.20933
D88,0.20754
D89,0.202921
D90,0.192567
D91,0.173029
E79,0.140453
E80,0.173037
E81,0.192555
E82,0.202916
E83,0.207593
E84,0.209414
E85,0.20994
E86,0.209928
E87,0.209402
E88,0.207631
E89,0.202972
E90,0.192564
E91,0.173184
A79,0.140547
A93,0.107502
A94,0.145193
A95,0.169909
A96,0.184878
A97,0.193443
A98,0.197768
A99,0.199166
A100,0.197768
A101,0.193443
A102,0.184878
A103,0.169909
A104,0.145193
A105,0.107502
B92,0.051352
B93,0.107502
B94,0.145144
B95,0.169832
B96,0.184737
B97,0.193389
B98,0.197702
B99,0.199033
B100,0.197645
B101,0.193332
B102,0.184728
B103,0.169751
B104,0.145073
B105,0.107387
C92,0.05118
C93,0.107359
C94,0.14503
C95,0.169743
C96,0.184633
C97,0.193341
C98,0.197574
C99,0.198911
C100,0.197549
C101,0.193231
C102,0.184672
C103,0.169629
C104,0.145024
C105,0.107329
D92,0.051076
D93,0.107329
D94,0.145024
D95,0.169629
D96,0.184672
D97,0.193231
D98,0.197549
D99,0.198911
D100,0.197574
D101,0.193341
D102,0.184633
D103,0.169743
D104,0.14503
D105,0.107359
E92,0.05118
E93,0.107387
E94,0.145073
E95,0.169751
E96,0.184728
E97,0.193332
E98,0.197645
E99,0.199033
E100,0.197702
E101,0.193389
E102,0.184737
E103,0.169832
E104,0.145144
E105,0.107502
A92,0.051352
A107,-0.001779
A108,0.059661
A109,0.10259
A110,0.131799
A111,0.150542
A112,0.161565
A113,0.166753
A114,0.166753
A115,0.161565
A116,0.150542
A117,0.131799
A118,0.10259
A119,0.059661
A120,-0.001779
B106,-0.087066
B107,-0.001737
B108,0.059583
B109,0.102459
B110,0.131819
B111,0.150419
B112,0.161529
B113,0.166717
B114,0.166711
B115,0.161531
B116,0.150434
B117,0.131759
B118,0.102398
B119,0.059524
B120,-0.001925
C106,-0.087255
C107,-0.001895
C108,0.059486
C109,0.102334
C110,0.131737
C111,0.150405
C112,0.161467
C113,0.166553
C114,0.166599
C115,0.161379
C116,0.150431
C117,0.131696
C118,0.102381
C119,0.059385
C120,-0.002085
D106,-0.087426
D107,-0.002085
D108,0.059385
D109,0.102381
D110,0.131696
D111,0.150431
D112,0.161379
D113,0.166599
D114,0.166553
D115,0.161467
D116,0.150405
D117,0.131737
D118,0.102334
D119,0.059486
D120,-0.001895
E106,-0.087255
E107,-0.001925
E108,0.059524
E109,0.102398
E110,0.131759
E111,0.150434
E112,0.161531
E113,0.166711
E114,0.166717
E115,0.161529
E116,0.150419
E117,0.131819
E118,0.102459
E119,0.059583
E120,-0.001737
A106,-0.087066
A123,-0.073966
A124,-0.007321
A125,0.040231
A126,0.073085
A127,0.094332
A128,0.106273
A129,0.109937
A130,0.106273
A131,0.094332
A132,0.073085
A133,0.040231
A134,-0.007321
A135,-0.073966
B123,-0.073943
B124,-0.007295
B125,0.040216
B126,0.073084
B127,0.094306
B128,0.106169
B129,0.109988
B130,0.106155
B131,0.094316
B132,0.07305
B133,0.040216
B134,-0.007411
B135,-0.073989
C123,-0.073977
C124,-0.007414
C125,0.040114
C126,0.072931
C127,0.094277
C128,0.106013
C129,0.1098
C130,0.106132
C131,0.094244
C132,0.073027
C133,0.040147
C134,-0.007541
C135,-0.07404
D123,-0.07404
D124,-0.007541
D125,0.040147
D126,0.073027
D127,0.094244
D128,0.106132
D129,0.1098
D130,0.106013
D131,0.094277
D132,0.072931
D133,0.040114
D134,-0.007414
D135,-0.073977
E123,-0.073989
E124,-0.007411
E125,0.040216
E126,0.07305
E127,0.094295
E128,0.106155
E129,0.109988
E130,0.106169
E131,0.094306
E132,0.073084
E133,0.040216
E134,-0.007295
E135,-0.073943
A142,-0.075303
A143,-0.03705
A144,-0.013176
A145,-0.001392
A146,-0.001346
A147,-0.013176
A148,-0.03705
A149,-0.075303
B142,-0.075325
B143,-0.037179
B144,-0.013177
B145,-0.001515
B146,-0.001473
B147,-0.013125
B148,-0.037167
B149,-0.075318
C142,-0.075388
C143,-0.037287
C144,-0.013232
C145,-0.001562
C146,-0.001569
C147,-0.013146
C148,-0.037358
C149,-0.07551
D142,-0.07551
D143,-0.037358
D144,-0.013146
D145,-0.001614
D146,-0.001517
D147,-0.013232
D148,-0.037287
D149,-0.075388
E142,-0.075318
E143,-0.037167
E144,-0.013125
E145,-0.001518
E146,-0.001469
E147,-0.013177
E148,-0.037179
E149,-0.075325
