企业代号,企业名称,credit_rating,defaulted,inferred_rating,risk_score,base_risk,business_scale,gross_margin_proxy,invalid_ratio,negative_ratio,top_partner_share,growth_proxy
E47,***控制设备有限责任公司,C,0,C,0.38057,0.397958,74867320.93,0.165251,0.046049,0.005969,0.366383,2.583567
E48,***化工有限公司,A,0,A,0.295194,0.404563,57732326.194,0.747126,0.055118,0.005906,0.331566,-0.656264
E49,***地球环保科技有限公司,C,0,C,0.387339,0.407628,51644715.516,0.361911,0.101365,0.025341,0.275731,-0.515912
E50,***建筑劳务有限公司,C,0,C,0.419095,0.452993,21787535.01,0.838772,0.105263,0.063158,0.679057,60.724763
E51,***物流有限公司,B,0,B,0.334264,0.41752,40127459.476,0.263465,0.068156,0.00883,0.500596,115.086671
E52,***商贸有限公司,D,1,D,0.93,0.538218,28695976.69,0.131186,0.245383,0.013193,0.628133,8.637798
E53,***文化传媒有限公司,C,0,C,0.461828,0.514039,55825363.14,0.091992,0.127753,0.008811,0.654793,1.46951
E54,***新技术开发有限公司,A,0,A,0.242758,0.329655,38637512.452,0.770451,0.081691,0.012165,0.1091,-0.824598
E55,***集团有限公司***电力设备分公司,C,0,C,0.437905,0.479865,36474978.206,0.440424,0.249153,0.125424,0.197238,0.169342
E56,***家居材料***有限公司,C,0,C,0.436836,0.478337,41489224.358,0.064541,0.074747,0.016162,0.378007,-0.65115
E57,***机械设备有限公司,B,0,B,0.373937,0.474195,49504969.022,0.125468,0.118721,0.020548,0.789107,14823.162668
E58,***油气工程建设有限责任公司,B,0,B,0.367114,0.464448,27067601.296,0.68812,0.268041,0.015464,0.376658,1.992373
E59,***商贸有限公司,A,0,A,0.315229,0.433184,37717163.866,0.314953,0.038157,0.001821,0.234579,-0.904535
E60,***机械租赁有限公司,B,0,B,0.389724,0.496749,10869181.992,0.405094,0.173489,0.001949,0.45188,-0.102945
E61,***调味品有限公司,B,0,B,0.332599,0.415141,17788560.536,0.929982,0.018574,0.02008,0.320443,-0.910061
E62,***工程造价咨询有限公司***分公司,B,0,B,0.371813,0.471161,11682690.136,0.757452,0.127854,0.109589,0.412754,-1.086015
E63,***科技有限公司,B,0,B,0.393918,0.502741,69487277.302,0.243379,0.071322,0.0178,0.870491,-0.986623
E64,***图书有限责任公司,A,0,A,0.328904,0.452721,8937384.816,0.990213,0.066909,0.0,0.612945,-0.926076
E65,***商贸有限公司,B,0,B,0.416914,0.535592,10138219.554,0.406726,0.061856,0.014433,0.906663,-0.834971
E66,***快递有限公司,B,0,B,0.427924,0.55132,7816759.804,-0.062854,0.07511,0.008837,0.899047,29.839253
E67,***信息技术有限公司,B,0,B,0.34192,0.428457,6471366.134,0.766899,0.106977,0.013953,0.220416,3.399997
E68,***花木总公司,C,0,C,0.443159,0.48737,5867828.086,0.999881,0.109589,0.0,0.756758,-0.561853
E69,***电子器材经营部,C,0,C,0.474464,0.532091,3990568.234,0.911596,0.109029,0.068143,1.0,0.182386
E70,***科技有限公司,B,0,B,0.378686,0.480979,12704867.446,0.416982,0.188581,0.024221,0.327415,-0.941664
E71,***农业科技有限公司,B,0,B,0.381446,0.484923,18829036.992,0.189739,0.042891,0.01112,0.614121,-0.465436
E72,***图书有限公司,C,0,C,0.477947,0.537067,5468430.832,0.675543,0.290323,0.017094,0.743109,6.09807
E73,***商贸有限责任公司,C,0,C,0.430516,0.469309,6910122.09,0.8333,0.055085,0.029661,0.626275,-0.95209
E74,***蔬菜专业合作社,B,0,B,0.327033,0.40719,4269787.476,0.897293,0.077477,0.025225,0.5471,455.209259
E75,***酒店管理有限公司,C,0,C,0.362008,0.37144,7994261.854,0.603192,0.068284,0.003623,0.283922,-0.95231
E76,***信息科技有限公司,B,0,B,0.344317,0.431881,4563340.14,0.783597,0.089796,0.005714,0.249068,-0.99538
E77,***机电设备有限公司,C,0,C,0.464123,0.517319,4860662.326,0.818279,0.023256,0.023256,1.0,-0.637659
E78,个体经营E78,C,0,C,0.439911,0.48273,11180701.538,0.651902,0.074627,0.0,0.601,-0.875804
E79,***鞋业有限公司,B,0,B,0.427278,0.550397,5042048.848,0.112341,0.139535,0.0,0.713373,-0.826365
E80,***实业有限责任公司,C,0,C,0.43696,0.478515,5092004.84,0.318416,0.020833,0.0,0.460247,0.911146
E81,***机械设备有限公司,A,0,A,0.364877,0.50411,4609456.93,0.418585,0.061633,0.014218,0.664571,-0.976058
E82,***商贸有限公司,D,1,D,0.93,0.533832,3832287.208,0.494299,0.023324,0.009524,0.976719,-0.130394
E83,***社会福利院（***社会福利社会化服务中心）,B,0,B,0.437852,0.565502,24483051.888,-9.297664,0.080737,0.019031,0.174704,-0.964727
E84,***建材有限公司,A,0,A,0.320285,0.440408,5773514.6,0.691318,0.106426,0.012048,0.187681,-0.844331
E85,***安防科技有限公司,B,0,B,0.352924,0.444178,2904743.972,0.846433,0.156997,0.004367,0.240169,-0.28538
E86,***地质工程勘察院***分院,C,0,C,0.478017,0.537168,4791276.52,0.115271,0.136364,0.272727,0.579684,65.340283
E87,***实业有限责任公司,C,1,C,0.86,0.468292,4846740.214,0.604598,0.040541,0.0,0.492899,-0.740981
E88,***贸易有限公司,A,0,A,0.341951,0.471358,2949860.826,0.733139,0.09,0.01,0.510311,-0.596835
E89,***物资有限公司,A,0,A,0.435161,0.604516,3415861.538,-0.388802,0.040698,0.0,0.988688,-0.680875
E90,***文化传媒有限责任公司,C,0,C,0.45507,0.504385,3805063.824,0.747981,0.283525,0.022989,0.481261,-0.743129
E91,***科技实业有限公司,A,0,A,0.341058,0.470083,3132171.326,0.441824,0.050847,0.007752,0.380105,-0.92114
E92,***地质灾害防治有限公司,C,0,C,0.438271,0.480387,2421100.96,0.883773,0.076923,0.051282,0.643982,-0.466273
E93,***电脑设计事务所,B,0,B,0.35799,0.451415,1693895.976,0.783499,0.047297,0.033784,0.397002,-0.834583
E94,***汽车美容有限公司,C,0,C,0.464533,0.517904,1149008.662,0.911072,0.091837,0.045918,0.94024,0.793745
E95,***兰花店,B,0,B,0.381655,0.485221,2311401.408,0.999535,0.053669,0.0,1.0,-0.847515
E96,***土地整理有限公司,C,0,C,0.538279,0.623255,2829604.712,-0.612428,0.1,0.0,0.996499,19.502267
E97,***美工装饰部,B,0,B,0.395607,0.505153,994119.66,0.969251,0.034091,0.015152,0.985916,-0.807938
E98,***文化传播有限公司,B,0,B,0.376921,0.478458,1615599.51,0.805307,0.130719,0.039216,0.487095,-0.950318
E99,***建筑工程有限责任公司,D,1,D,0.93,0.711295,3726045.314,-2.498304,0.375,0.0125,0.741559,1.988384
E100,***装饰工程有限公司,D,1,D,0.93,0.448824,808681.36,0.816892,0.010101,0.151515,0.286662,-0.868274
E101,***灯饰工程有限公司,D,1,D,0.93,0.56894,368086.642,0.865209,0.492063,0.0,0.759962,-0.74683
E102,***大药房有限责任公司,D,1,D,0.93,0.645529,2325028.108,-6.863795,0.146893,0.016949,0.547048,-0.943923
E103,***科技有限公司,D,1,D,0.93,0.491073,2124427.298,0.594656,0.15625,0.03125,0.459361,1.281476
E104,***管理咨询有限责任公司,C,0,C,0.476925,0.535606,321255.6,0.817153,0.095238,0.047619,1.0,0.906578
E105,***建材经营部,C,0,C,0.434965,0.475665,955331.032,0.964782,0.008197,0.032787,0.772306,-0.79742
E106,***财务管理有限公司,B,0,B,0.36803,0.465757,638191.772,0.88112,0.098039,0.026144,0.517501,-0.681704
E107,***科技有限公司,D,1,D,0.93,0.552039,849574.818,0.867007,0.37037,0.0,0.806,-0.49387
E108,***商贸有限公司,D,1,D,0.93,0.451921,251348.858,0.481395,0.0,0.030303,0.425735,30.772738
E109,***服饰有限公司,D,1,D,0.93,0.467386,444721.234,0.992641,0.30303,0.0,0.291942,1.632429
E110,***通讯器材经营部,C,0,C,0.48297,0.544242,197497.894,0.995103,0.253012,0.0,1.0,-0.813915
E111,***科技有限公司,D,1,D,0.93,0.525207,3140681.968,0.086688,0.184,0.112,0.302459,-0.190331
E112,***机械设备有限公司,D,1,D,0.93,0.615724,1499403.848,0.142555,0.272727,0.045455,0.995486,-0.528382
E113,***美居科技有限公司,D,1,D,0.93,0.701269,1057542.426,-3.548735,0.340426,0.0,0.682661,-0.72277
E114,***食品有限责任公司,D,1,D,0.93,0.615729,564129.97,-1.547282,0.12,0.013333,0.284223,-0.848791
E115,***装饰工程有限公司,D,1,D,0.93,0.511685,55850.96,0.990469,0.333333,0.0,0.611888,2.525236
E116,***门窗有限公司,D,1,D,0.93,0.420639,232991.062,0.988736,0.085106,0.0,0.219988,-0.540173
E117,***人力资源管理咨询有限公司,D,1,D,0.93,0.569654,527376.584,0.987179,0.409091,0.0,1.0,6.838976
E118,***体育用品有限公司,D,1,D,0.93,0.460996,310572.544,0.770492,0.068966,0.006944,0.478612,-0.054666
E119,***药房,D,1,D,0.93,0.612869,167535.798,-5.159857,0.142857,0.003175,0.241881,1.427835
E120,***陈列广告有限公司,D,1,D,0.93,0.576812,201542.546,0.904987,0.689655,0.0,0.559823,-0.305191
E121,***药业连锁有限公司***药店,D,1,D,0.93,0.69694,746912.218,-9.580083,0.123656,0.02,0.984853,-0.388463
E122,***商贸有限责任公司,D,1,D,0.93,0.531153,94167.82,0.135518,0.135593,0.067797,0.482216,-0.975821
E123,***创科技有限责任公司,D,1,D,0.93,0.547787,200711.32,0.996037,0.492308,0.0,0.666667,0.569915
