shift,worker_id,sequence,event_type,point,point_no,cycle_minutes,depart_center,arrive_point,service_start,service_end,return_center,depart_minute,service_start_minute,return_minute,path_to,path_back,travel_minutes,service_minutes,note
B1:00:00-08:00,B1-W02,6,inspection,XJ-0012,12,35.0,02:06,02:24,02:24,02:26,02:44,126.0,144.0,164.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,7,inspection,XJ-0008,8,35.0,02:47,02:56,02:56,02:59,03:08,167.0,176.0,188.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0017->XJ-0008,XJ-0008->XJ-0017->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,8,inspection,XJ-0012,12,35.0,03:10,03:28,03:28,03:30,03:48,190.0,208.0,228.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,9,inspection,XJ-0026,26,35.0,03:50,04:00,04:00,04:02,04:12,230.0,240.0,252.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,10,inspection,XJ-0012,12,35.0,04:14,04:32,04:32,04:34,04:52,254.0,272.0,292.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,11,inspection,XJ-0008,8,35.0,04:55,05:04,05:04,05:07,05:16,295.0,304.0,316.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0017->XJ-0008,XJ-0008->XJ-0017->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,12,inspection,XJ-0012,12,35.0,05:18,05:36,05:36,05:38,05:56,318.0,336.0,356.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,13,inspection,XJ-0008,8,35.0,05:59,06:08,06:08,06:11,06:20,359.0,368.0,380.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0017->XJ-0008,XJ-0008->XJ-0017->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,14,inspection,XJ-0012,12,35.0,06:22,06:40,06:40,06:42,07:00,382.0,400.0,420.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,15,inspection,XJ-0008,8,35.0,07:03,07:12,07:12,07:15,07:24,423.0,432.0,444.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0017->XJ-0008,XJ-0008->XJ-0017->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W02,16,inspection,XJ-0012,12,35.0,07:26,07:44,07:44,07:46,08:04,446.0,464.0,484.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,1,inspection,XJ-0016,16,35.0,00:00,00:19,00:19,00:22,00:41,0.0,19.0,41.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,2,inspection,XJ-0003,3,35.0,00:41,00:48,00:48,00:51,00:58,41.0,48.0,58.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003,XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,14.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,3,inspection,XJ-0002,2,50.0,00:59,01:05,01:05,01:07,01:13,59.454545,65.454545,73.454545,XJ-0022->XJ-0021->XJ-0004->XJ-0002,XJ-0002->XJ-0004->XJ-0021->XJ-0022,12.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,4,inspection,XJ-0009,9,35.0,01:16,01:20,01:20,01:24,01:28,76.0,80.0,88.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009,XJ-0009->XJ-0024->XJ-0023->XJ-0022,8.0,4.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,5,inspection,XJ-0007,7,80.0,01:33,01:43,01:43,01:45,01:55,92.857143,102.857143,114.857143,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0005->XJ-0007,XJ-0007->XJ-0005->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,6,inspection,XJ-0018,18,35.0,02:06,02:24,02:24,02:26,02:44,126.0,144.0,164.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,7,inspection,XJ-0014,14,35.0,02:47,02:56,02:56,02:59,03:08,167.0,176.0,188.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0014,XJ-0014->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,8,inspection,XJ-0018,18,35.0,03:10,03:28,03:28,03:30,03:48,190.0,208.0,228.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,9,inspection,XJ-0008,8,35.0,03:51,04:00,04:00,04:03,04:12,231.0,240.0,252.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0017->XJ-0008,XJ-0008->XJ-0017->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,10,inspection,XJ-0018,18,35.0,04:14,04:32,04:32,04:34,04:52,254.0,272.0,292.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,11,inspection,XJ-0014,14,35.0,04:55,05:04,05:04,05:07,05:16,295.0,304.0,316.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0014,XJ-0014->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,12,inspection,XJ-0018,18,35.0,05:18,05:36,05:36,05:38,05:56,318.0,336.0,356.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,13,inspection,XJ-0014,14,35.0,05:59,06:08,06:08,06:11,06:20,359.0,368.0,380.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0014,XJ-0014->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,14,inspection,XJ-0018,18,35.0,06:22,06:40,06:40,06:42,07:00,382.0,400.0,420.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,15,inspection,XJ-0014,14,35.0,07:03,07:12,07:12,07:15,07:24,423.0,432.0,444.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0014,XJ-0014->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W03,16,inspection,XJ-0018,18,35.0,07:26,07:44,07:44,07:46,08:04,446.0,464.0,484.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,1,inspection,XJ-0018,18,35.0,00:00,00:18,00:18,00:20,00:38,0.0,18.0,38.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,2,inspection,XJ-0008,8,35.0,00:39,00:48,00:48,00:51,01:00,39.0,48.0,60.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0017->XJ-0008,XJ-0008->XJ-0017->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,3,inspection,XJ-0012,12,35.0,01:02,01:20,01:20,01:22,01:40,62.0,80.0,100.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0012,XJ-0012->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,4,inspection,XJ-0008,8,35.0,01:43,01:52,01:52,01:55,02:04,103.0,112.0,124.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0017->XJ-0008,XJ-0008->XJ-0017->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,5,inspection,XJ-0015,15,35.0,02:08,02:24,02:24,02:26,02:42,128.0,144.0,162.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015,XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,32.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,6,inspection,XJ-0001,1,35.0,02:48,02:56,02:56,02:59,03:07,168.0,176.0,187.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0001,XJ-0001->XJ-0002->XJ-0004->XJ-0021->XJ-0022,16.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,7,inspection,XJ-0002,2,50.0,03:10,03:16,03:16,03:18,03:24,190.363636,196.363636,204.363636,XJ-0022->XJ-0021->XJ-0004->XJ-0002,XJ-0002->XJ-0004->XJ-0021->XJ-0022,12.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,8,inspection,XJ-0004,4,35.0,03:25,03:28,03:28,03:30,03:33,205.0,208.0,213.0,XJ-0022->XJ-0021->XJ-0004,XJ-0004->XJ-0021->XJ-0022,6.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,9,inspection,XJ-0016,16,35.0,03:41,04:00,04:00,04:03,04:22,221.0,240.0,262.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,10,inspection,XJ-0026,26,35.0,04:22,04:32,04:32,04:34,04:44,262.0,272.0,284.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,11,inspection,XJ-0016,16,35.0,04:45,05:04,05:04,05:07,05:26,285.0,304.0,326.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,12,inspection,XJ-0026,26,35.0,05:26,05:36,05:36,05:38,05:48,326.0,336.0,348.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,13,inspection,XJ-0016,16,35.0,05:49,06:08,06:08,06:11,06:30,349.0,368.0,390.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,14,inspection,XJ-0026,26,35.0,06:30,06:40,06:40,06:42,06:52,390.0,400.0,412.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,15,inspection,XJ-0016,16,35.0,06:53,07:12,07:12,07:15,07:34,413.0,432.0,454.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013->XJ-0016,XJ-0016->XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,38.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W04,16,inspection,XJ-0026,26,35.0,07:34,07:44,07:44,07:46,07:56,454.0,464.0,476.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026,XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,20.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,1,inspection,XJ-0011,11,35.0,00:01,00:16,00:16,00:19,00:34,1.0,16.0,34.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011,XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,30.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,2,inspection,XJ-0014,14,35.0,00:39,00:48,00:48,00:51,01:00,39.0,48.0,60.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0014,XJ-0014->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,3,inspection,XJ-0018,18,35.0,01:02,01:20,01:20,01:22,01:40,62.0,80.0,100.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015->XJ-0018,XJ-0018->XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,36.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,4,inspection,XJ-0014,14,35.0,01:43,01:52,01:52,01:55,02:04,103.0,112.0,124.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0014,XJ-0014->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,18.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,5,inspection,XJ-0011,11,35.0,02:09,02:24,02:24,02:27,02:42,129.0,144.0,162.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011,XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,30.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,6,inspection,XJ-0006,6,35.0,02:48,02:56,02:56,02:59,03:07,168.0,176.0,187.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006,XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,16.0,3.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,7,inspection,XJ-0015,15,35.0,03:12,03:28,03:28,03:30,03:46,192.0,208.0,226.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015,XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,32.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,8,inspection,XJ-0010,10,120.0,03:47,04:00,04:00,04:02,04:15,227.0,240.0,255.0,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010,XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,26.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,9,inspection,XJ-0015,15,35.0,04:16,04:32,04:32,04:34,04:50,256.0,272.0,290.0,XJ-0022->XJ-0023->XJ-0024->XJ-0009->XJ-0025->XJ-0026->XJ-0015,XJ-0015->XJ-0026->XJ-0025->XJ-0009->XJ-0024->XJ-0023->XJ-0022,32.0,2.0,中心往返巡检任务
B1:00:00-08:00,B1-W05,10,inspection,XJ-0013,13,80.0,04:52,05:09,05:09,05:14,05:31,291.571429,308.571429,330.571429,XJ-0022->XJ-0021->XJ-0004->XJ-0002->XJ-0003->XJ-0006->XJ-0010->XJ-0011->XJ-0013,XJ-0013->XJ-0011->XJ-0010->XJ-0006->XJ-0003->XJ-0002->XJ-0004->XJ-0021->XJ-0022,34.0,5.0,中心往返巡检任务
