origin,destination,origin_position,destination_position,pass_count
Huskies_M6,Huskies_D4,M,D,50
Huskies_D3,Huskies_F2,D,F,50
Huskies_M4,Huskies_F2,M,F,50
Huskies_F2,Huskies_M4,F,M,50
Huskies_D2,Huskies_D3,D,D,49
Huskies_D7,Huskies_M1,D,M,49
Huskies_D1,Huskies_F2,D,F,49
Huskies_G1,Huskies_D3,G,D,49
Huskies_D8,Huskies_F6,D,F,49
Huskies_D2,Huskies_D5,D,D,47
Huskies_D3,Huskies_M1,D,M,47
Huskies_M1,Huskies_D8,M,D,46
Huskies_M3,Huskies_D2,M,D,46
Huskies_D2,Huskies_M1,D,M,46
Huskies_M3,Huskies_D7,M,D,44
Huskies_D2,Huskies_M3,D,M,44
Huskies_M3,Huskies_M6,M,M,44
Huskies_D6,Huskies_G1,D,G,43
Huskies_D5,Huskies_F1,D,F,42
Huskies_D8,Huskies_D3,D,D,42
Huskies_D3,Huskies_D8,D,D,42
Huskies_M4,Huskies_D7,M,D,41
Huskies_F2,Huskies_D8,F,D,41
Huskies_F2,Huskies_D6,F,D,41
Huskies_M6,Huskies_F1,M,F,40
Huskies_D5,Huskies_D2,D,D,40
Huskies_D2,Huskies_D4,D,D,39
Huskies_D7,Huskies_M8,D,M,39
Huskies_F6,Huskies_D8,F,D,37
Huskies_M1,Huskies_F4,M,F,36
Huskies_D7,Huskies_F1,D,F,36
Huskies_D5,Huskies_D1,D,D,36
Huskies_D3,Huskies_D2,D,D,35
Huskies_D4,Huskies_D3,D,D,35
Huskies_M1,Huskies_F1,M,F,34
Huskies_D1,Huskies_D7,D,D,34
Huskies_D6,Huskies_D2,D,D,34
Huskies_M4,Huskies_M6,M,M,34
Huskies_F2,Huskies_D2,F,D,33
Huskies_D4,Huskies_F5,D,F,33
Huskies_D4,Huskies_M4,D,M,33
Huskies_D6,Huskies_M1,D,M,32
Huskies_D7,Huskies_M4,D,M,32
Huskies_F2,Huskies_D7,F,D,32
Huskies_D7,Huskies_G1,D,G,31
Huskies_M1,Huskies_F6,M,F,31
Huskies_M8,Huskies_D7,M,D,31
Huskies_F2,Huskies_F1,F,F,30
Huskies_D4,Huskies_M6,D,M,30
Huskies_M4,Huskies_D1,M,D,30
Huskies_D6,Huskies_M3,D,M,30
Huskies_F1,Huskies_M1,F,M,30
Huskies_D3,Huskies_M4,D,M,30
Huskies_D4,Huskies_D2,D,D,30
Huskies_G1,Huskies_D2,G,D,29
Huskies_D5,Huskies_M4,D,M,29
Huskies_D7,Huskies_F2,D,F,29
Huskies_D6,Huskies_F2,D,F,28
Huskies_D6,Huskies_F1,D,F,28
Huskies_M3,Huskies_D6,M,D,28
Huskies_M6,Huskies_M3,M,M,28
Huskies_M4,Huskies_D4,M,D,28
Huskies_M3,Huskies_M12,M,M,28
Huskies_D8,Huskies_M4,D,M,28
Huskies_F1,Huskies_F2,F,F,27
Huskies_D5,Huskies_F4,D,F,27
Huskies_F1,Huskies_M6,F,M,27
Huskies_M3,Huskies_M4,M,M,27
Huskies_D5,Huskies_G1,D,G,27
Huskies_G1,Huskies_D6,G,D,27
Huskies_M4,Huskies_D2,M,D,26
Huskies_D2,Huskies_D7,D,D,26
Huskies_D1,Huskies_M4,D,M,26
Huskies_M4,Huskies_M3,M,M,26
Huskies_F6,Huskies_M4,F,M,25
Huskies_D4,Huskies_F1,D,F,25
Huskies_D1,Huskies_D6,D,D,25
Huskies_D6,Huskies_D7,D,D,25
Huskies_M1,Huskies_M8,M,M,25
Huskies_M4,Huskies_D8,M,D,25
Huskies_D4,Huskies_F4,D,F,25
Huskies_D4,Huskies_G1,D,G,25
Huskies_M6,Huskies_M4,M,M,24
Huskies_M12,Huskies_D4,M,D,24
Huskies_M6,Huskies_F4,M,F,24
Huskies_D7,Huskies_D6,D,D,24
Huskies_G1,Huskies_M1,G,M,24
Huskies_F5,Huskies_F2,F,F,23
Huskies_F2,Huskies_F6,F,F,23
Huskies_D1,Huskies_D8,D,D,23
Huskies_D1,Huskies_F1,D,F,23
Huskies_M4,Huskies_D5,M,D,23
Huskies_D3,Huskies_M6,D,M,23
Huskies_D5,Huskies_M12,D,M,23
Huskies_F1,Huskies_M4,F,M,22
Huskies_M3,Huskies_D8,M,D,22
Huskies_D8,Huskies_M1,D,M,22
Huskies_M12,Huskies_D5,M,D,22
Huskies_G1,Huskies_F2,G,F,22
Huskies_G1,Huskies_D5,G,D,22
Huskies_D2,Huskies_M4,D,M,22
Huskies_F6,Huskies_F2,F,F,22
Huskies_D7,Huskies_F6,D,F,22
Huskies_D7,Huskies_M3,D,M,21
Huskies_M3,Huskies_F1,M,F,21
Huskies_D3,Huskies_F6,D,F,21
Huskies_D1,Huskies_M6,D,M,21
Huskies_D3,Huskies_F1,D,F,21
Huskies_M1,Huskies_M12,M,M,20
Huskies_M4,Huskies_F1,M,F,20
Huskies_M1,Huskies_G1,M,G,20
Huskies_M8,Huskies_M1,M,M,20
Huskies_F4,Huskies_M6,F,M,20
Huskies_D4,Huskies_F6,D,F,20
Huskies_M6,Huskies_D7,M,D,20
Huskies_F5,Huskies_D4,F,D,20
Huskies_D4,Huskies_M12,D,M,19
Huskies_G1,Huskies_M3,G,M,19
Huskies_D6,Huskies_M4,D,M,19
Huskies_D8,Huskies_F2,D,F,19
Huskies_F6,Huskies_M1,F,M,19
Huskies_D1,Huskies_F5,D,F,19
Huskies_D1,Huskies_F4,D,F,19
Huskies_M4,Huskies_D3,M,D,18
Huskies_D7,Huskies_D1,D,D,18
Huskies_D3,Huskies_D7,D,D,18
Huskies_D7,Huskies_M6,D,M,18
Huskies_G1,Huskies_D7,G,D,18
Huskies_D1,Huskies_F6,D,F,18
Huskies_F6,Huskies_F5,F,F,18
Huskies_F1,Huskies_D4,F,D,18
Huskies_F2,Huskies_M12,F,M,18
Huskies_M8,Huskies_F2,M,F,18
Huskies_D8,Huskies_F5,D,F,18
Huskies_F1,Huskies_D5,F,D,17
Huskies_D7,Huskies_D2,D,D,17
Huskies_F5,Huskies_F6,F,F,17
Huskies_M4,Huskies_F6,M,F,16
Huskies_M3,Huskies_F6,M,F,16
Huskies_F5,Huskies_M6,F,M,16
Huskies_D7,Huskies_F4,D,F,16
Huskies_M6,Huskies_D1,M,D,16
Huskies_F6,Huskies_F4,F,F,16
Huskies_G1,Huskies_F4,G,F,15
Huskies_F5,Huskies_M4,F,M,15
Huskies_D5,Huskies_D3,D,D,15
Huskies_F2,Huskies_M8,F,M,15
Huskies_F4,Huskies_M1,F,M,15
Huskies_M9,Huskies_M6,M,M,15
Huskies_M6,Huskies_M9,M,M,15
Huskies_F2,Huskies_M9,F,M,15
Huskies_F6,Huskies_D7,F,D,15
Huskies_F2,Huskies_F5,F,F,15
Huskies_M6,Huskies_M8,M,M,15
Huskies_F1,Huskies_M3,F,M,14
Huskies_M9,Huskies_D6,M,D,14
Huskies_M6,Huskies_F5,M,F,14
Huskies_D3,Huskies_M8,D,M,14
Huskies_D8,Huskies_G1,D,G,14
Huskies_M12,Huskies_F5,M,F,14
Huskies_G1,Huskies_D4,G,D,14
Huskies_D3,Huskies_D5,D,D,14
Huskies_M8,Huskies_F1,M,F,14
Huskies_D3,Huskies_F5,D,F,14
Huskies_M4,Huskies_M8,M,M,14
Huskies_M6,Huskies_F6,M,F,14
Huskies_M1,Huskies_F5,M,F,13
Huskies_M6,Huskies_D2,M,D,13
Huskies_M3,Huskies_F4,M,F,13
Huskies_D2,Huskies_F1,D,F,13
Huskies_D1,Huskies_M12,D,M,13
Huskies_D2,Huskies_M6,D,M,12
Huskies_M6,Huskies_M12,M,M,12
Huskies_D7,Huskies_D3,D,D,12
Huskies_D5,Huskies_D6,D,D,12
Huskies_M13,Huskies_D7,M,D,12
Huskies_F1,Huskies_M8,F,M,12
Huskies_F1,Huskies_D7,F,D,12
Huskies_M3,Huskies_F5,M,F,12
Huskies_D8,Huskies_D1,D,D,12
Huskies_M13,Huskies_M3,M,M,12
Huskies_M6,Huskies_D3,M,D,12
Huskies_D6,Huskies_D1,D,D,12
Huskies_M2,Huskies_D4,M,D,12
Huskies_F4,Huskies_M4,F,M,12
Huskies_M3,Huskies_G1,M,G,12
Huskies_G1,Huskies_M12,G,M,12
Huskies_M2,Huskies_M3,M,M,12
Huskies_M4,Huskies_F4,M,F,12
Huskies_F2,Huskies_F4,F,F,12
Huskies_M9,Huskies_M1,M,M,11
Huskies_D8,Huskies_F4,D,F,11
Huskies_F6,Huskies_M6,F,M,11
Huskies_M3,Huskies_M9,M,M,11
Huskies_M3,Huskies_M8,M,M,11
Huskies_F3,Huskies_F2,F,F,11
Huskies_F5,Huskies_M12,F,M,11
Huskies_D5,Huskies_M9,D,M,11
Huskies_M12,Huskies_F2,M,F,11
Huskies_M4,Huskies_D6,M,D,10
Huskies_F4,Huskies_F6,F,F,10
Huskies_D4,Huskies_F3,D,F,10
Huskies_D8,Huskies_M12,D,M,10
Huskies_M1,Huskies_M9,M,M,10
Huskies_F5,Huskies_D8,F,D,10
Huskies_F6,Huskies_M3,F,M,10
Huskies_M9,Huskies_D4,M,D,10
Huskies_D9,Huskies_D5,D,D,10
Huskies_D10,Huskies_D3,D,D,10
Huskies_M1,Huskies_M2,M,M,10
Huskies_M9,Huskies_D5,M,D,10
Huskies_G1,Huskies_M6,G,M,10
Huskies_D3,Huskies_M9,D,M,9
Huskies_M10,Huskies_D7,M,D,9
Huskies_D3,Huskies_M12,D,M,9
Huskies_M1,Huskies_F3,M,F,9
Huskies_D6,Huskies_M9,D,M,9
Huskies_D6,Huskies_M6,D,M,9
Huskies_M9,Huskies_F2,M,F,9
Huskies_D5,Huskies_M13,D,M,9
Huskies_F5,Huskies_M1,F,M,9
Huskies_F1,Huskies_F4,F,F,9
Huskies_M12,Huskies_M3,M,M,9
Huskies_G1,Huskies_D9,G,D,9
Huskies_M8,Huskies_D3,M,D,9
Huskies_D3,Huskies_D10,D,D,9
Huskies_D8,Huskies_M3,D,M,9
Huskies_D4,Huskies_M2,D,M,9
Huskies_F4,Huskies_F2,F,F,9
Huskies_M1,Huskies_M10,M,M,8
Huskies_G1,Huskies_F5,G,F,8
Huskies_F3,Huskies_M6,F,M,8
Huskies_D6,Huskies_D5,D,D,8
Huskies_M4,Huskies_M4,M,M,8
Huskies_F6,Huskies_D1,F,D,8
Huskies_D3,Huskies_F4,D,F,8
Huskies_D4,Huskies_M5,D,M,8
Huskies_D8,Huskies_M9,D,M,8
Huskies_M3,Huskies_M13,M,M,8
Huskies_M12,Huskies_F4,M,F,8
Huskies_M12,Huskies_M1,M,M,8
Huskies_D2,Huskies_F4,D,F,8
Huskies_D2,Huskies_F6,D,F,8
Huskies_M11,Huskies_F2,M,F,8
Huskies_D2,Huskies_D9,D,D,8
Huskies_M12,Huskies_D7,M,D,8
Huskies_F2,Huskies_M2,F,M,8
Huskies_D10,Huskies_D4,D,D,8
Huskies_M9,Huskies_M3,M,M,8
Huskies_D9,Huskies_G1,D,G,8
Huskies_M2,Huskies_M6,M,M,8
Huskies_M3,Huskies_M2,M,M,7
Huskies_M5,Huskies_F2,M,F,7
Huskies_D9,Huskies_D2,D,D,7
Huskies_D9,Huskies_D1,D,D,7
Huskies_F5,Huskies_D5,F,D,7
Huskies_M9,Huskies_D7,M,D,7
Huskies_F1,Huskies_D3,F,D,7
Huskies_D4,Huskies_M9,D,M,7
Huskies_G1,Huskies_D8,G,D,7
Huskies_F5,Huskies_F1,F,F,7
Huskies_M1,Huskies_M1,M,M,7
Huskies_D6,Huskies_M12,D,M,7
Huskies_F4,Huskies_D8,F,D,7
Huskies_F6,Huskies_D4,F,D,7
Huskies_M4,Huskies_M12,M,M,7
Huskies_M11,Huskies_D3,M,D,7
Huskies_D7,Huskies_M11,D,M,7
Huskies_M11,Huskies_D7,M,D,7
Huskies_G1,Huskies_M4,G,M,7
Huskies_F4,Huskies_D5,F,D,7
Huskies_D5,Huskies_M8,D,M,7
Huskies_M11,Huskies_M4,M,M,7
Huskies_M8,Huskies_M4,M,M,7
Huskies_M11,Huskies_M3,M,M,7
Huskies_M9,Huskies_D8,M,D,7
Huskies_M4,Huskies_M10,M,M,6
Huskies_D3,Huskies_D6,D,D,6
Huskies_F6,Huskies_F1,F,F,6
Huskies_M2,Huskies_M1,M,M,6
Huskies_M9,Huskies_M4,M,M,6
Huskies_M13,Huskies_M6,M,M,6
Huskies_M1,Huskies_M11,M,M,6
Huskies_D5,Huskies_F5,D,F,6
Huskies_M12,Huskies_M6,M,M,6
Huskies_G1,Huskies_D10,G,D,6
Huskies_F6,Huskies_M12,F,M,6
Huskies_M13,Huskies_D5,M,D,6
Huskies_G1,Huskies_F6,G,F,6
Huskies_D5,Huskies_F3,D,F,6
Huskies_D10,Huskies_G1,D,G,6
Huskies_D5,Huskies_D5,D,D,6
Huskies_M3,Huskies_D10,M,D,6
Huskies_M4,Huskies_F5,M,F,6
Huskies_D1,Huskies_M9,D,M,6
Huskies_M8,Huskies_M3,M,M,6
Huskies_D6,Huskies_F6,D,F,6
Huskies_F6,Huskies_D3,F,D,6
Huskies_M6,Huskies_F3,M,F,6
Huskies_D7,Huskies_M12,D,M,6
Huskies_D7,Huskies_F5,D,F,6
Huskies_D9,Huskies_M3,D,M,6
Huskies_F2,Huskies_M11,F,M,6
Huskies_F4,Huskies_D4,F,D,6
Huskies_D7,Huskies_M10,D,M,6
Huskies_D6,Huskies_M8,D,M,6
Huskies_F2,Huskies_G1,F,G,6
Huskies_D1,Huskies_D9,D,D,6
Huskies_F2,Huskies_F3,F,F,6
Huskies_F6,Huskies_D2,F,D,6
Huskies_F4,Huskies_F1,F,F,5
Huskies_M4,Huskies_G1,M,G,5
Huskies_M13,Huskies_D2,M,D,5
Huskies_F4,Huskies_F5,F,F,5
Huskies_M13,Huskies_M9,M,M,5
Huskies_G1,Huskies_M8,G,M,5
Huskies_F1,Huskies_D1,F,D,5
Huskies_D3,Huskies_M2,D,M,5
Huskies_D1,Huskies_F3,D,F,5
Huskies_F2,Huskies_M5,F,M,5
Huskies_F3,Huskies_M1,F,M,5
Huskies_D8,Huskies_M2,D,M,5
Huskies_D3,Huskies_D3,D,D,5
Huskies_F3,Huskies_D5,F,D,5
Huskies_D2,Huskies_M9,D,M,5
Huskies_M13,Huskies_M1,M,M,5
Huskies_M9,Huskies_M13,M,M,5
Huskies_M7,Huskies_M1,M,M,5
Huskies_G1,Huskies_F3,G,F,5
Huskies_F2,Huskies_F2,F,F,5
Huskies_F4,Huskies_M3,F,M,5
Huskies_F5,Huskies_M9,F,M,5
Huskies_D10,Huskies_M3,D,M,5
Huskies_M2,Huskies_F2,M,F,5
Huskies_D6,Huskies_D3,D,D,5
Huskies_M2,Huskies_M4,M,M,5
Huskies_M11,Huskies_M1,M,M,5
Huskies_D8,Huskies_F1,D,F,5
Huskies_D6,Huskies_F4,D,F,5
Huskies_D7,Huskies_M9,D,M,5
Huskies_M4,Huskies_M9,M,M,5
Huskies_M8,Huskies_D5,M,D,5
Huskies_M11,Huskies_F1,M,F,4
Huskies_M12,Huskies_F6,M,F,4
Huskies_M13,Huskies_F2,M,F,4
Huskies_M5,Huskies_D7,M,D,4
Huskies_M6,Huskies_M7,M,M,4
Huskies_M13,Huskies_D6,M,D,4
Huskies_M8,Huskies_F4,M,F,4
Huskies_D7,Huskies_F3,D,F,4
Huskies_M12,Huskies_D1,M,D,4
Huskies_D8,Huskies_D2,D,D,4
Huskies_M11,Huskies_M6,M,M,4
Huskies_F1,Huskies_F3,F,F,4
Huskies_D1,Huskies_M7,D,M,4
Huskies_D2,Huskies_M11,D,M,4
Huskies_D7,Huskies_M13,D,M,4
Huskies_D2,Huskies_F5,D,F,4
Huskies_D5,Huskies_D9,D,D,4
Huskies_F3,Huskies_F1,F,F,4
Huskies_M9,Huskies_F1,M,F,4
Huskies_M4,Huskies_M5,M,M,4
Huskies_M9,Huskies_D3,M,D,4
Huskies_D9,Huskies_M1,D,M,4
Huskies_M5,Huskies_M4,M,M,4
Huskies_F5,Huskies_D7,F,D,4
Huskies_M6,Huskies_D6,M,D,4
Huskies_M9,Huskies_D1,M,D,4
Huskies_D6,Huskies_F5,D,F,4
Huskies_M5,Huskies_M8,M,M,4
Huskies_M2,Huskies_F1,M,F,4
Huskies_M3,Huskies_M10,M,M,4
Huskies_F4,Huskies_M12,F,M,4
Huskies_M8,Huskies_M5,M,M,4
Huskies_M1,Huskies_M13,M,M,4
Huskies_M9,Huskies_F4,M,F,4
Huskies_M5,Huskies_D4,M,D,4
Huskies_D3,Huskies_M5,D,M,4
Huskies_F1,Huskies_D2,F,D,4
Huskies_M9,Huskies_F5,M,F,4
Huskies_M6,Huskies_M11,M,M,4
Huskies_D3,Huskies_M11,D,M,4
Huskies_F1,Huskies_D6,F,D,4
Huskies_M6,Huskies_M2,M,M,4
Huskies_F3,Huskies_D7,F,D,4
Huskies_M6,Huskies_M13,M,M,4
Huskies_M3,Huskies_F3,M,F,4
Huskies_F1,Huskies_F5,F,F,3
Huskies_M3,Huskies_M5,M,M,3
Huskies_M13,Huskies_F5,M,F,3
Huskies_M7,Huskies_D1,M,D,3
Huskies_D1,Huskies_M8,D,M,3
Huskies_D9,Huskies_F6,D,F,3
Huskies_D9,Huskies_F4,D,F,3
Huskies_F1,Huskies_M12,F,M,3
Huskies_D10,Huskies_M1,D,M,3
Huskies_M2,Huskies_F4,M,F,3
Huskies_M5,Huskies_F1,M,F,3
Huskies_M2,Huskies_D8,M,D,3
Huskies_M7,Huskies_D3,M,D,3
Huskies_M7,Huskies_D6,M,D,3
Huskies_M2,Huskies_D2,M,D,3
Huskies_M2,Huskies_D5,M,D,3
Huskies_M2,Huskies_D3,M,D,3
Huskies_F1,Huskies_F6,F,F,3
Huskies_D9,Huskies_M4,D,M,3
Huskies_M13,Huskies_D1,M,D,3
Huskies_F1,Huskies_D8,F,D,3
Huskies_F6,Huskies_D5,F,D,3
Huskies_F1,Huskies_M9,F,M,3
Huskies_F3,Huskies_D4,F,D,3
Huskies_D3,Huskies_M13,D,M,3
Huskies_D3,Huskies_M7,D,M,3
Huskies_F3,Huskies_M3,F,M,3
Huskies_M1,Huskies_D10,M,D,3
Huskies_D4,Huskies_D10,D,D,3
Huskies_M3,Huskies_D9,M,D,3
Huskies_F4,Huskies_F4,F,F,3
Huskies_F4,Huskies_M2,F,M,3
Huskies_D4,Huskies_M11,D,M,3
Huskies_M8,Huskies_M6,M,M,3
Huskies_D9,Huskies_F2,D,F,3
Huskies_F4,Huskies_M9,F,M,3
Huskies_D5,Huskies_D7,D,D,3
Huskies_F6,Huskies_M2,F,M,3
Huskies_F6,Huskies_M13,F,M,3
Huskies_F5,Huskies_M13,F,M,3
Huskies_D5,Huskies_F6,D,F,3
Huskies_D5,Huskies_M10,D,M,3
Huskies_D5,Huskies_M2,D,M,3
Huskies_M1,Huskies_D9,M,D,3
Huskies_F3,Huskies_D3,F,D,3
Huskies_M5,Huskies_D3,M,D,3
Huskies_M6,Huskies_M6,M,M,3
Huskies_M12,Huskies_D6,M,D,3
Huskies_M8,Huskies_D6,M,D,3
Huskies_M12,Huskies_D3,M,D,3
Huskies_F2,Huskies_D9,F,D,3
Huskies_D1,Huskies_M2,D,M,3
Huskies_M11,Huskies_D8,M,D,3
Huskies_M4,Huskies_F3,M,F,3
Huskies_M5,Huskies_M1,M,M,3
Huskies_M10,Huskies_M6,M,M,3
Huskies_M10,Huskies_M4,M,M,3
Huskies_M10,Huskies_M3,M,M,3
Huskies_M10,Huskies_M1,M,M,3
Huskies_F2,Huskies_M13,F,M,3
Huskies_M4,Huskies_M11,M,M,3
Huskies_M4,Huskies_M2,M,M,3
Huskies_M10,Huskies_D1,M,D,3
Huskies_M8,Huskies_M13,M,M,3
Huskies_M1,Huskies_M7,M,M,3
Huskies_M1,Huskies_M5,M,M,3
Huskies_M10,Huskies_F4,M,F,3
Huskies_M7,Huskies_M6,M,M,2
Huskies_M5,Huskies_F3,M,F,2
Huskies_M5,Huskies_D2,M,D,2
Huskies_M4,Huskies_D9,M,D,2
Huskies_M9,Huskies_M8,M,M,2
Huskies_M9,Huskies_M11,M,M,2
Huskies_M9,Huskies_D2,M,D,2
Huskies_M8,Huskies_M9,M,M,2
Huskies_M6,Huskies_M10,M,M,2
Huskies_M7,Huskies_F2,M,F,2
Huskies_M7,Huskies_G1,M,G,2
Huskies_M8,Huskies_D2,M,D,2
Huskies_D1,Huskies_D1,D,D,2
Huskies_M5,Huskies_M9,M,M,2
Huskies_M2,Huskies_M2,M,M,2
Huskies_D2,Huskies_M7,D,M,2
Huskies_M10,Huskies_D3,M,D,2
Huskies_G1,Huskies_M9,G,M,2
Huskies_G1,Huskies_G1,G,G,2
Huskies_D8,Huskies_D6,D,D,2
Huskies_F5,Huskies_M3,F,M,2
Huskies_D4,Huskies_D4,D,D,2
Huskies_F5,Huskies_F4,F,F,2
Huskies_D1,Huskies_D10,D,D,2
Huskies_D4,Huskies_D8,D,D,2
Huskies_D5,Huskies_D8,D,D,2
Huskies_D5,Huskies_M5,D,M,2
Huskies_F4,Huskies_M8,F,M,2
Huskies_F4,Huskies_M10,F,M,2
Huskies_D6,Huskies_D6,D,D,2
Huskies_F4,Huskies_D9,F,D,2
Huskies_F4,Huskies_D7,F,D,2
Huskies_F4,Huskies_D6,F,D,2
Huskies_D6,Huskies_F3,D,F,2
Huskies_F3,Huskies_D6,F,D,2
Huskies_F3,Huskies_D2,F,D,2
Huskies_F3,Huskies_D1,F,D,2
Huskies_M2,Huskies_G1,M,G,2
Huskies_F1,Huskies_M5,F,M,2
Huskies_F1,Huskies_M13,F,M,2
Huskies_F1,Huskies_M11,F,M,2
Huskies_D6,Huskies_M2,D,M,2
Huskies_F1,Huskies_M10,F,M,2
Huskies_D7,Huskies_D5,D,D,2
Huskies_D7,Huskies_M5,D,M,2
Huskies_M10,Huskies_D5,M,D,2
Huskies_D8,Huskies_D5,D,D,2
Huskies_D2,Huskies_D8,D,D,2
Huskies_D2,Huskies_D2,D,D,2
Huskies_M13,Huskies_F1,M,F,2
Huskies_D1,Huskies_M13,D,M,2
Huskies_D1,Huskies_M11,D,M,2
Huskies_M13,Huskies_M12,M,M,2
Huskies_M12,Huskies_M4,M,M,2
Huskies_M12,Huskies_M12,M,M,2
Huskies_M12,Huskies_F1,M,F,2
Huskies_M12,Huskies_D8,M,D,2
Huskies_D10,Huskies_F6,D,F,2
Huskies_D10,Huskies_M4,D,M,2
Huskies_M2,Huskies_D1,M,D,2
Huskies_M13,Huskies_D3,M,D,2
Huskies_M11,Huskies_D4,M,D,2
Huskies_M2,Huskies_F3,M,F,2
Huskies_M11,Huskies_F3,M,F,2
Huskies_D2,Huskies_M12,D,M,2
Huskies_M11,Huskies_D6,M,D,2
Huskies_D1,Huskies_M10,D,M,2
Huskies_M8,Huskies_G1,M,G,1
Huskies_D7,Huskies_D7,D,D,1
Huskies_M8,Huskies_F5,M,F,1
Huskies_D6,Huskies_M13,D,M,1
Huskies_M5,Huskies_M6,M,M,1
Huskies_D6,Huskies_M11,D,M,1
Huskies_M5,Huskies_M5,M,M,1
Huskies_M8,Huskies_M10,M,M,1
Huskies_D7,Huskies_D4,D,D,1
Huskies_D6,Huskies_M7,D,M,1
Huskies_D2,Huskies_M5,D,M,1
Huskies_D10,Huskies_F5,D,F,1
Huskies_M5,Huskies_G1,M,G,1
Huskies_M8,Huskies_M8,M,M,1
Huskies_D2,Huskies_M13,D,M,1
Huskies_M9,Huskies_M10,M,M,1
Huskies_D3,Huskies_F3,D,F,1
Huskies_D2,Huskies_M10,D,M,1
Huskies_M9,Huskies_F6,M,F,1
Huskies_M5,Huskies_D1,M,D,1
Huskies_D4,Huskies_D5,D,D,1
Huskies_D2,Huskies_F3,D,F,1
Huskies_D4,Huskies_D7,D,D,1
Huskies_D5,Huskies_M11,D,M,1
Huskies_D6,Huskies_D4,D,D,1
Huskies_D2,Huskies_M8,D,M,1
Huskies_D6,Huskies_D8,D,D,1
Huskies_D10,Huskies_D1,D,D,1
Huskies_D6,Huskies_M10,D,M,1
Huskies_D3,Huskies_M10,D,M,1
Huskies_F1,Huskies_M7,F,M,1
Huskies_D8,Huskies_D8,D,D,1
Huskies_M11,Huskies_F5,M,F,1
Huskies_G1,Huskies_M13,G,M,1
Huskies_G1,Huskies_M5,G,M,1
Huskies_M10,Huskies_D4,M,D,1
Huskies_M10,Huskies_D6,M,D,1
Huskies_M10,Huskies_F1,M,F,1
Huskies_M10,Huskies_M11,M,M,1
Huskies_M10,Huskies_M9,M,M,1
Huskies_M11,Huskies_D2,M,D,1
Huskies_M11,Huskies_D5,M,D,1
Huskies_M11,Huskies_F4,M,F,1
Huskies_M11,Huskies_F6,M,F,1
Huskies_F6,Huskies_M11,F,M,1
Huskies_M11,Huskies_G1,M,G,1
Huskies_M11,Huskies_M9,M,M,1
Huskies_M4,Huskies_D10,M,D,1
Huskies_M12,Huskies_M8,M,M,1
Huskies_M12,Huskies_M9,M,M,1
Huskies_M13,Huskies_F4,M,F,1
Huskies_M13,Huskies_F6,M,F,1
Huskies_M13,Huskies_M13,M,M,1
Huskies_M3,Huskies_M11,M,M,1
Huskies_M2,Huskies_D6,M,D,1
Huskies_F6,Huskies_M9,F,M,1
Huskies_F5,Huskies_M2,F,M,1
Huskies_D8,Huskies_M11,D,M,1
Huskies_M6,Huskies_M5,M,M,1
Huskies_M8,Huskies_D4,M,D,1
