citizen_id,age,gender_group,education_level,workforce_group,household_type,innovation_role
39,29,nonbinary,bachelor,care_education_civic,family_with_children,producer
40,36,women,graduate,food_and_resource_producers,shared_household,producer
41,43,men,secondary,life_support_operators,single,innovator
42,50,nonbinary,technical,habitat_builders,couple_no_children,producer
43,57,women,bachelor,scientists_and_engineers,family_with_children,producer
44,27,men,graduate,care_education_civic,shared_household,producer
45,34,nonbinary,secondary,food_and_resource_producers,single,producer
46,41,women,technical,life_support_operators,couple_no_children,innovator
47,48,men,bachelor,habitat_builders,family_with_children,producer
48,55,nonbinary,graduate,scientists_and_engineers,shared_household,producer
49,25,women,secondary,care_education_civic,single,producer
50,32,men,technical,food_and_resource_producers,couple_no_children,producer
51,39,nonbinary,bachelor,life_support_operators,family_with_children,innovator
52,46,women,graduate,habitat_builders,shared_household,producer
53,53,men,secondary,scientists_and_engineers,single,producer
54,23,nonbinary,technical,care_education_civic,couple_no_children,producer
55,30,women,bachelor,food_and_resource_producers,family_with_children,producer
56,37,men,graduate,life_support_operators,shared_household,innovator
57,44,nonbinary,secondary,habitat_builders,single,producer
58,51,women,technical,scientists_and_engineers,couple_no_children,producer
59,58,men,bachelor,care_education_civic,family_with_children,producer
60,28,nonbinary,graduate,food_and_resource_producers,shared_household,producer
61,35,women,secondary,life_support_operators,single,innovator
62,42,men,technical,habitat_builders,couple_no_children,producer
63,49,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
64,56,women,graduate,care_education_civic,shared_household,producer
65,26,men,secondary,food_and_resource_producers,single,producer
66,33,nonbinary,technical,life_support_operators,couple_no_children,innovator
67,40,women,bachelor,habitat_builders,family_with_children,producer
68,47,men,graduate,scientists_and_engineers,shared_household,producer
69,54,nonbinary,secondary,care_education_civic,single,producer
70,24,women,technical,food_and_resource_producers,couple_no_children,producer
71,31,men,bachelor,life_support_operators,family_with_children,innovator
72,38,nonbinary,graduate,habitat_builders,shared_household,producer
73,45,women,secondary,scientists_and_engineers,single,producer
74,52,men,technical,care_education_civic,couple_no_children,producer
75,22,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
76,29,women,graduate,life_support_operators,shared_household,innovator
77,36,men,secondary,habitat_builders,single,producer
78,43,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
79,50,women,bachelor,care_education_civic,family_with_children,producer
80,57,men,graduate,food_and_resource_producers,shared_household,producer
81,27,nonbinary,secondary,life_support_operators,single,innovator
82,34,women,technical,habitat_builders,couple_no_children,producer
83,41,men,bachelor,scientists_and_engineers,family_with_children,producer
84,48,nonbinary,graduate,care_education_civic,shared_household,producer
85,55,women,secondary,food_and_resource_producers,single,producer
86,25,men,technical,life_support_operators,couple_no_children,innovator
87,32,nonbinary,bachelor,habitat_builders,family_with_children,producer
88,39,women,graduate,scientists_and_engineers,shared_household,producer
89,46,men,secondary,care_education_civic,single,producer
90,53,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
91,23,women,bachelor,life_support_operators,family_with_children,innovator
92,30,men,graduate,habitat_builders,shared_household,producer
93,37,nonbinary,secondary,scientists_and_engineers,single,producer
94,44,women,technical,care_education_civic,couple_no_children,producer
95,51,men,bachelor,food_and_resource_producers,family_with_children,producer
96,58,nonbinary,graduate,life_support_operators,shared_household,innovator
97,28,women,secondary,habitat_builders,single,producer
98,35,men,technical,scientists_and_engineers,couple_no_children,producer
99,42,nonbinary,bachelor,care_education_civic,family_with_children,producer
100,49,women,graduate,food_and_resource_producers,shared_household,producer
101,56,men,secondary,life_support_operators,single,innovator
102,26,nonbinary,technical,habitat_builders,couple_no_children,producer
103,33,women,bachelor,scientists_and_engineers,family_with_children,producer
104,40,men,graduate,care_education_civic,shared_household,producer
105,47,nonbinary,secondary,food_and_resource_producers,single,producer
106,54,women,technical,life_support_operators,couple_no_children,innovator
107,24,men,bachelor,habitat_builders,family_with_children,producer
108,31,nonbinary,graduate,scientists_and_engineers,shared_household,producer
109,38,women,secondary,care_education_civic,single,producer
110,45,men,technical,food_and_resource_producers,couple_no_children,producer
111,52,nonbinary,bachelor,life_support_operators,family_with_children,innovator
112,22,women,graduate,habitat_builders,shared_household,producer
113,29,men,secondary,scientists_and_engineers,single,producer
114,36,nonbinary,technical,care_education_civic,couple_no_children,producer
115,43,women,bachelor,food_and_resource_producers,family_with_children,producer
116,50,men,graduate,life_support_operators,shared_household,innovator
117,57,nonbinary,secondary,habitat_builders,single,producer
118,27,women,technical,scientists_and_engineers,couple_no_children,producer
119,34,men,bachelor,care_education_civic,family_with_children,producer
120,41,nonbinary,graduate,food_and_resource_producers,shared_household,producer
121,48,women,secondary,life_support_operators,single,innovator
122,55,men,technical,habitat_builders,couple_no_children,producer
123,25,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
124,32,women,graduate,care_education_civic,shared_household,producer
125,39,men,secondary,food_and_resource_producers,single,producer
126,46,nonbinary,technical,life_support_operators,couple_no_children,innovator
127,53,women,bachelor,habitat_builders,family_with_children,producer
128,23,men,graduate,scientists_and_engineers,shared_household,producer
129,30,nonbinary,secondary,care_education_civic,single,producer
130,37,women,technical,food_and_resource_producers,couple_no_children,producer
131,44,men,bachelor,life_support_operators,family_with_children,innovator
132,51,nonbinary,graduate,habitat_builders,shared_household,producer
133,58,women,secondary,scientists_and_engineers,single,producer
134,28,men,technical,care_education_civic,couple_no_children,producer
135,35,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
136,42,women,graduate,life_support_operators,shared_household,innovator
137,49,men,secondary,habitat_builders,single,producer
138,56,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
139,26,women,bachelor,care_education_civic,family_with_children,producer
140,33,men,graduate,food_and_resource_producers,shared_household,producer
141,40,nonbinary,secondary,life_support_operators,single,innovator
142,47,women,technical,habitat_builders,couple_no_children,producer
143,54,men,bachelor,scientists_and_engineers,family_with_children,producer
144,24,nonbinary,graduate,care_education_civic,shared_household,producer
145,31,women,secondary,food_and_resource_producers,single,producer
146,38,men,technical,life_support_operators,couple_no_children,innovator
147,45,nonbinary,bachelor,habitat_builders,family_with_children,producer
148,52,women,graduate,scientists_and_engineers,shared_household,producer
149,22,men,secondary,care_education_civic,single,producer
150,29,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
151,36,women,bachelor,life_support_operators,family_with_children,innovator
152,43,men,graduate,habitat_builders,shared_household,producer
153,50,nonbinary,secondary,scientists_and_engineers,single,producer
154,57,women,technical,care_education_civic,couple_no_children,producer
155,27,men,bachelor,food_and_resource_producers,family_with_children,producer
156,34,nonbinary,graduate,life_support_operators,shared_household,innovator
157,41,women,secondary,habitat_builders,single,producer
158,48,men,technical,scientists_and_engineers,couple_no_children,producer
159,55,nonbinary,bachelor,care_education_civic,family_with_children,producer
160,25,women,graduate,food_and_resource_producers,shared_household,producer
161,32,men,secondary,life_support_operators,single,innovator
162,39,nonbinary,technical,habitat_builders,couple_no_children,producer
163,46,women,bachelor,scientists_and_engineers,family_with_children,producer
164,53,men,graduate,care_education_civic,shared_household,producer
165,23,nonbinary,secondary,food_and_resource_producers,single,producer
166,30,women,technical,life_support_operators,couple_no_children,innovator
167,37,men,bachelor,habitat_builders,family_with_children,producer
168,44,nonbinary,graduate,scientists_and_engineers,shared_household,producer
169,51,women,secondary,care_education_civic,single,producer
170,58,men,technical,food_and_resource_producers,couple_no_children,producer
171,28,nonbinary,bachelor,life_support_operators,family_with_children,innovator
172,35,women,graduate,habitat_builders,shared_household,producer
173,42,men,secondary,scientists_and_engineers,single,producer
174,49,nonbinary,technical,care_education_civic,couple_no_children,producer
175,56,women,bachelor,food_and_resource_producers,family_with_children,producer
176,26,men,graduate,life_support_operators,shared_household,innovator
177,33,nonbinary,secondary,habitat_builders,single,producer
178,40,women,technical,scientists_and_engineers,couple_no_children,producer
179,47,men,bachelor,care_education_civic,family_with_children,producer
180,54,nonbinary,graduate,food_and_resource_producers,shared_household,producer
181,24,women,secondary,life_support_operators,single,innovator
182,31,men,technical,habitat_builders,couple_no_children,producer
183,38,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
184,45,women,graduate,care_education_civic,shared_household,producer
185,52,men,secondary,food_and_resource_producers,single,producer
186,22,nonbinary,technical,life_support_operators,couple_no_children,innovator
187,29,women,bachelor,habitat_builders,family_with_children,producer
188,36,men,graduate,scientists_and_engineers,shared_household,producer
189,43,nonbinary,secondary,care_education_civic,single,producer
190,50,women,technical,food_and_resource_producers,couple_no_children,producer
191,57,men,bachelor,life_support_operators,family_with_children,innovator
192,27,nonbinary,graduate,habitat_builders,shared_household,producer
193,34,women,secondary,scientists_and_engineers,single,producer
194,41,men,technical,care_education_civic,couple_no_children,producer
195,48,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
196,55,women,graduate,life_support_operators,shared_household,innovator
197,25,men,secondary,habitat_builders,single,producer
198,32,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
199,39,women,bachelor,care_education_civic,family_with_children,producer
200,46,men,graduate,food_and_resource_producers,shared_household,producer
201,53,nonbinary,secondary,life_support_operators,single,innovator
202,23,women,technical,habitat_builders,couple_no_children,producer
203,30,men,bachelor,scientists_and_engineers,family_with_children,producer
204,37,nonbinary,graduate,care_education_civic,shared_household,producer
205,44,women,secondary,food_and_resource_producers,single,producer
206,51,men,technical,life_support_operators,couple_no_children,innovator
207,58,nonbinary,bachelor,habitat_builders,family_with_children,producer
208,28,women,graduate,scientists_and_engineers,shared_household,producer
209,35,men,secondary,care_education_civic,single,producer
210,42,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
211,49,women,bachelor,life_support_operators,family_with_children,innovator
212,56,men,graduate,habitat_builders,shared_household,producer
213,26,nonbinary,secondary,scientists_and_engineers,single,producer
214,33,women,technical,care_education_civic,couple_no_children,producer
215,40,men,bachelor,food_and_resource_producers,family_with_children,producer
216,47,nonbinary,graduate,life_support_operators,shared_household,innovator
217,54,women,secondary,habitat_builders,single,producer
218,24,men,technical,scientists_and_engineers,couple_no_children,producer
219,31,nonbinary,bachelor,care_education_civic,family_with_children,producer
220,38,women,graduate,food_and_resource_producers,shared_household,producer
221,45,men,secondary,life_support_operators,single,innovator
222,52,nonbinary,technical,habitat_builders,couple_no_children,producer
223,22,women,bachelor,scientists_and_engineers,family_with_children,producer
224,29,men,graduate,care_education_civic,shared_household,producer
225,36,nonbinary,secondary,food_and_resource_producers,single,producer
226,43,women,technical,life_support_operators,couple_no_children,innovator
227,50,men,bachelor,habitat_builders,family_with_children,producer
228,57,nonbinary,graduate,scientists_and_engineers,shared_household,producer
229,27,women,secondary,care_education_civic,single,producer
230,34,men,technical,food_and_resource_producers,couple_no_children,producer
231,41,nonbinary,bachelor,life_support_operators,family_with_children,innovator
232,48,women,graduate,habitat_builders,shared_household,producer
233,55,men,secondary,scientists_and_engineers,single,producer
234,25,nonbinary,technical,care_education_civic,couple_no_children,producer
235,32,women,bachelor,food_and_resource_producers,family_with_children,producer
236,39,men,graduate,life_support_operators,shared_household,innovator
237,46,nonbinary,secondary,habitat_builders,single,producer
238,53,women,technical,scientists_and_engineers,couple_no_children,producer
239,23,men,bachelor,care_education_civic,family_with_children,producer
240,30,nonbinary,graduate,food_and_resource_producers,shared_household,producer
241,37,women,secondary,life_support_operators,single,innovator
242,44,men,technical,habitat_builders,couple_no_children,producer
243,51,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
244,58,women,graduate,care_education_civic,shared_household,producer
245,28,men,secondary,food_and_resource_producers,single,producer
246,35,nonbinary,technical,life_support_operators,couple_no_children,innovator
247,42,women,bachelor,habitat_builders,family_with_children,producer
248,49,men,graduate,scientists_and_engineers,shared_household,producer
249,56,nonbinary,secondary,care_education_civic,single,producer
250,26,women,technical,food_and_resource_producers,couple_no_children,producer
251,33,men,bachelor,life_support_operators,family_with_children,innovator
252,40,nonbinary,graduate,habitat_builders,shared_household,producer
253,47,women,secondary,scientists_and_engineers,single,producer
254,54,men,technical,care_education_civic,couple_no_children,producer
255,24,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
256,31,women,graduate,life_support_operators,shared_household,innovator
257,38,men,secondary,habitat_builders,single,producer
258,45,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
259,52,women,bachelor,care_education_civic,family_with_children,producer
260,22,men,graduate,food_and_resource_producers,shared_household,producer
261,29,nonbinary,secondary,life_support_operators,single,innovator
262,36,women,technical,habitat_builders,couple_no_children,producer
263,43,men,bachelor,scientists_and_engineers,family_with_children,producer
264,50,nonbinary,graduate,care_education_civic,shared_household,producer
265,57,women,secondary,food_and_resource_producers,single,producer
266,27,men,technical,life_support_operators,couple_no_children,innovator
267,34,nonbinary,bachelor,habitat_builders,family_with_children,producer
268,41,women,graduate,scientists_and_engineers,shared_household,producer
269,48,men,secondary,care_education_civic,single,producer
270,55,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
271,25,women,bachelor,life_support_operators,family_with_children,innovator
272,32,men,graduate,habitat_builders,shared_household,producer
273,39,nonbinary,secondary,scientists_and_engineers,single,producer
274,46,women,technical,care_education_civic,couple_no_children,producer
275,53,men,bachelor,food_and_resource_producers,family_with_children,producer
276,23,nonbinary,graduate,life_support_operators,shared_household,innovator
277,30,women,secondary,habitat_builders,single,producer
278,37,men,technical,scientists_and_engineers,couple_no_children,producer
279,44,nonbinary,bachelor,care_education_civic,family_with_children,producer
280,51,women,graduate,food_and_resource_producers,shared_household,producer
281,58,men,secondary,life_support_operators,single,innovator
282,28,nonbinary,technical,habitat_builders,couple_no_children,producer
283,35,women,bachelor,scientists_and_engineers,family_with_children,producer
284,42,men,graduate,care_education_civic,shared_household,producer
285,49,nonbinary,secondary,food_and_resource_producers,single,producer
286,56,women,technical,life_support_operators,couple_no_children,innovator
287,26,men,bachelor,habitat_builders,family_with_children,producer
288,33,nonbinary,graduate,scientists_and_engineers,shared_household,producer
289,40,women,secondary,care_education_civic,single,producer
290,47,men,technical,food_and_resource_producers,couple_no_children,producer
291,54,nonbinary,bachelor,life_support_operators,family_with_children,innovator
292,24,women,graduate,habitat_builders,shared_household,producer
293,31,men,secondary,scientists_and_engineers,single,producer
294,38,nonbinary,technical,care_education_civic,couple_no_children,producer
295,45,women,bachelor,food_and_resource_producers,family_with_children,producer
296,52,men,graduate,life_support_operators,shared_household,innovator
297,22,nonbinary,secondary,habitat_builders,single,producer
298,29,women,technical,scientists_and_engineers,couple_no_children,producer
299,36,men,bachelor,care_education_civic,family_with_children,producer
300,43,nonbinary,graduate,food_and_resource_producers,shared_household,producer
301,50,women,secondary,life_support_operators,single,innovator
302,57,men,technical,habitat_builders,couple_no_children,producer
303,27,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
304,34,women,graduate,care_education_civic,shared_household,producer
305,41,men,secondary,food_and_resource_producers,single,producer
306,48,nonbinary,technical,life_support_operators,couple_no_children,innovator
307,55,women,bachelor,habitat_builders,family_with_children,producer
308,25,men,graduate,scientists_and_engineers,shared_household,producer
309,32,nonbinary,secondary,care_education_civic,single,producer
310,39,women,technical,food_and_resource_producers,couple_no_children,producer
311,46,men,bachelor,life_support_operators,family_with_children,innovator
312,53,nonbinary,graduate,habitat_builders,shared_household,producer
313,23,women,secondary,scientists_and_engineers,single,producer
314,30,men,technical,care_education_civic,couple_no_children,producer
315,37,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
316,44,women,graduate,life_support_operators,shared_household,innovator
317,51,men,secondary,habitat_builders,single,producer
318,58,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
319,28,women,bachelor,care_education_civic,family_with_children,producer
320,35,men,graduate,food_and_resource_producers,shared_household,producer
321,42,nonbinary,secondary,life_support_operators,single,innovator
322,49,women,technical,habitat_builders,couple_no_children,producer
323,56,men,bachelor,scientists_and_engineers,family_with_children,producer
324,26,nonbinary,graduate,care_education_civic,shared_household,producer
325,33,women,secondary,food_and_resource_producers,single,producer
326,40,men,technical,life_support_operators,couple_no_children,innovator
327,47,nonbinary,bachelor,habitat_builders,family_with_children,producer
328,54,women,graduate,scientists_and_engineers,shared_household,producer
329,24,men,secondary,care_education_civic,single,producer
330,31,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
331,38,women,bachelor,life_support_operators,family_with_children,innovator
332,45,men,graduate,habitat_builders,shared_household,producer
333,52,nonbinary,secondary,scientists_and_engineers,single,producer
334,22,women,technical,care_education_civic,couple_no_children,producer
335,29,men,bachelor,food_and_resource_producers,family_with_children,producer
336,36,nonbinary,graduate,life_support_operators,shared_household,innovator
337,43,women,secondary,habitat_builders,single,producer
338,50,men,technical,scientists_and_engineers,couple_no_children,producer
339,57,nonbinary,bachelor,care_education_civic,family_with_children,producer
340,27,women,graduate,food_and_resource_producers,shared_household,producer
341,34,men,secondary,life_support_operators,single,innovator
342,41,nonbinary,technical,habitat_builders,couple_no_children,producer
343,48,women,bachelor,scientists_and_engineers,family_with_children,producer
344,55,men,graduate,care_education_civic,shared_household,producer
345,25,nonbinary,secondary,food_and_resource_producers,single,producer
346,32,women,technical,life_support_operators,couple_no_children,innovator
347,39,men,bachelor,habitat_builders,family_with_children,producer
348,46,nonbinary,graduate,scientists_and_engineers,shared_household,producer
349,53,women,secondary,care_education_civic,single,producer
350,23,men,technical,food_and_resource_producers,couple_no_children,producer
351,30,nonbinary,bachelor,life_support_operators,family_with_children,innovator
352,37,women,graduate,habitat_builders,shared_household,producer
353,44,men,secondary,scientists_and_engineers,single,producer
354,51,nonbinary,technical,care_education_civic,couple_no_children,producer
355,58,women,bachelor,food_and_resource_producers,family_with_children,producer
356,28,men,graduate,life_support_operators,shared_household,innovator
357,35,nonbinary,secondary,habitat_builders,single,producer
358,42,women,technical,scientists_and_engineers,couple_no_children,producer
359,49,men,bachelor,care_education_civic,family_with_children,producer
360,56,nonbinary,graduate,food_and_resource_producers,shared_household,producer
361,26,women,secondary,life_support_operators,single,innovator
362,33,men,technical,habitat_builders,couple_no_children,producer
363,40,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
364,47,women,graduate,care_education_civic,shared_household,producer
365,54,men,secondary,food_and_resource_producers,single,producer
366,24,nonbinary,technical,life_support_operators,couple_no_children,innovator
367,31,women,bachelor,habitat_builders,family_with_children,producer
368,38,men,graduate,scientists_and_engineers,shared_household,producer
369,45,nonbinary,secondary,care_education_civic,single,producer
370,52,women,technical,food_and_resource_producers,couple_no_children,producer
371,22,men,bachelor,life_support_operators,family_with_children,innovator
372,29,nonbinary,graduate,habitat_builders,shared_household,producer
373,36,women,secondary,scientists_and_engineers,single,producer
374,43,men,technical,care_education_civic,couple_no_children,producer
375,50,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
376,57,women,graduate,life_support_operators,shared_household,innovator
377,27,men,secondary,habitat_builders,single,producer
378,34,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
379,41,women,bachelor,care_education_civic,family_with_children,producer
380,48,men,graduate,food_and_resource_producers,shared_household,producer
381,55,nonbinary,secondary,life_support_operators,single,innovator
382,25,women,technical,habitat_builders,couple_no_children,producer
383,32,men,bachelor,scientists_and_engineers,family_with_children,producer
384,39,nonbinary,graduate,care_education_civic,shared_household,producer
385,46,women,secondary,food_and_resource_producers,single,producer
386,53,men,technical,life_support_operators,couple_no_children,innovator
387,23,nonbinary,bachelor,habitat_builders,family_with_children,producer
388,30,women,graduate,scientists_and_engineers,shared_household,producer
389,37,men,secondary,care_education_civic,single,producer
390,44,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
391,51,women,bachelor,life_support_operators,family_with_children,innovator
392,58,men,graduate,habitat_builders,shared_household,producer
393,28,nonbinary,secondary,scientists_and_engineers,single,producer
394,35,women,technical,care_education_civic,couple_no_children,producer
395,42,men,bachelor,food_and_resource_producers,family_with_children,producer
396,49,nonbinary,graduate,life_support_operators,shared_household,innovator
397,56,women,secondary,habitat_builders,single,producer
398,26,men,technical,scientists_and_engineers,couple_no_children,producer
399,33,nonbinary,bachelor,care_education_civic,family_with_children,producer
400,40,women,graduate,food_and_resource_producers,shared_household,producer
401,47,men,secondary,life_support_operators,single,innovator
402,54,nonbinary,technical,habitat_builders,couple_no_children,producer
403,24,women,bachelor,scientists_and_engineers,family_with_children,producer
404,31,men,graduate,care_education_civic,shared_household,producer
405,38,nonbinary,secondary,food_and_resource_producers,single,producer
406,45,women,technical,life_support_operators,couple_no_children,innovator
407,52,men,bachelor,habitat_builders,family_with_children,producer
408,22,nonbinary,graduate,scientists_and_engineers,shared_household,producer
409,29,women,secondary,care_education_civic,single,producer
410,36,men,technical,food_and_resource_producers,couple_no_children,producer
411,43,nonbinary,bachelor,life_support_operators,family_with_children,innovator
412,50,women,graduate,habitat_builders,shared_household,producer
413,57,men,secondary,scientists_and_engineers,single,producer
414,27,nonbinary,technical,care_education_civic,couple_no_children,producer
415,34,women,bachelor,food_and_resource_producers,family_with_children,producer
416,41,men,graduate,life_support_operators,shared_household,innovator
417,48,nonbinary,secondary,habitat_builders,single,producer
418,55,women,technical,scientists_and_engineers,couple_no_children,producer
419,25,men,bachelor,care_education_civic,family_with_children,producer
420,32,nonbinary,graduate,food_and_resource_producers,shared_household,producer
421,39,women,secondary,life_support_operators,single,innovator
422,46,men,technical,habitat_builders,couple_no_children,producer
423,53,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
424,23,women,graduate,care_education_civic,shared_household,producer
425,30,men,secondary,food_and_resource_producers,single,producer
426,37,nonbinary,technical,life_support_operators,couple_no_children,innovator
427,44,women,bachelor,habitat_builders,family_with_children,producer
428,51,men,graduate,scientists_and_engineers,shared_household,producer
429,58,nonbinary,secondary,care_education_civic,single,producer
430,28,women,technical,food_and_resource_producers,couple_no_children,producer
431,35,men,bachelor,life_support_operators,family_with_children,innovator
432,42,nonbinary,graduate,habitat_builders,shared_household,producer
433,49,women,secondary,scientists_and_engineers,single,producer
434,56,men,technical,care_education_civic,couple_no_children,producer
435,26,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
436,33,women,graduate,life_support_operators,shared_household,innovator
437,40,men,secondary,habitat_builders,single,producer
438,47,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
439,54,women,bachelor,care_education_civic,family_with_children,producer
440,24,men,graduate,food_and_resource_producers,shared_household,producer
441,31,nonbinary,secondary,life_support_operators,single,innovator
442,38,women,technical,habitat_builders,couple_no_children,producer
443,45,men,bachelor,scientists_and_engineers,family_with_children,producer
444,52,nonbinary,graduate,care_education_civic,shared_household,producer
445,22,women,secondary,food_and_resource_producers,single,producer
446,29,men,technical,life_support_operators,couple_no_children,innovator
447,36,nonbinary,bachelor,habitat_builders,family_with_children,producer
448,43,women,graduate,scientists_and_engineers,shared_household,producer
449,50,men,secondary,care_education_civic,single,producer
450,57,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
451,27,women,bachelor,life_support_operators,family_with_children,innovator
452,34,men,graduate,habitat_builders,shared_household,producer
453,41,nonbinary,secondary,scientists_and_engineers,single,producer
454,48,women,technical,care_education_civic,couple_no_children,producer
455,55,men,bachelor,food_and_resource_producers,family_with_children,producer
456,25,nonbinary,graduate,life_support_operators,shared_household,innovator
457,32,women,secondary,habitat_builders,single,producer
458,39,men,technical,scientists_and_engineers,couple_no_children,producer
459,46,nonbinary,bachelor,care_education_civic,family_with_children,producer
460,53,women,graduate,food_and_resource_producers,shared_household,producer
461,23,men,secondary,life_support_operators,single,innovator
462,30,nonbinary,technical,habitat_builders,couple_no_children,producer
463,37,women,bachelor,scientists_and_engineers,family_with_children,producer
464,44,men,graduate,care_education_civic,shared_household,producer
465,51,nonbinary,secondary,food_and_resource_producers,single,producer
466,58,women,technical,life_support_operators,couple_no_children,innovator
467,28,men,bachelor,habitat_builders,family_with_children,producer
468,35,nonbinary,graduate,scientists_and_engineers,shared_household,producer
469,42,women,secondary,care_education_civic,single,producer
470,49,men,technical,food_and_resource_producers,couple_no_children,producer
471,56,nonbinary,bachelor,life_support_operators,family_with_children,innovator
472,26,women,graduate,habitat_builders,shared_household,producer
473,33,men,secondary,scientists_and_engineers,single,producer
474,40,nonbinary,technical,care_education_civic,couple_no_children,producer
475,47,women,bachelor,food_and_resource_producers,family_with_children,producer
476,54,men,graduate,life_support_operators,shared_household,innovator
477,24,nonbinary,secondary,habitat_builders,single,producer
478,31,women,technical,scientists_and_engineers,couple_no_children,producer
479,38,men,bachelor,care_education_civic,family_with_children,producer
480,45,nonbinary,graduate,food_and_resource_producers,shared_household,producer
481,52,women,secondary,life_support_operators,single,innovator
482,22,men,technical,habitat_builders,couple_no_children,producer
483,29,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
484,36,women,graduate,care_education_civic,shared_household,producer
485,43,men,secondary,food_and_resource_producers,single,producer
486,50,nonbinary,technical,life_support_operators,couple_no_children,innovator
487,57,women,bachelor,habitat_builders,family_with_children,producer
488,27,men,graduate,scientists_and_engineers,shared_household,producer
489,34,nonbinary,secondary,care_education_civic,single,producer
490,41,women,technical,food_and_resource_producers,couple_no_children,producer
491,48,men,bachelor,life_support_operators,family_with_children,innovator
492,55,nonbinary,graduate,habitat_builders,shared_household,producer
493,25,women,secondary,scientists_and_engineers,single,producer
494,32,men,technical,care_education_civic,couple_no_children,producer
495,39,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
496,46,women,graduate,life_support_operators,shared_household,innovator
497,53,men,secondary,habitat_builders,single,producer
498,23,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
499,30,women,bachelor,care_education_civic,family_with_children,producer
500,37,men,graduate,food_and_resource_producers,shared_household,producer
501,44,nonbinary,secondary,life_support_operators,single,innovator
502,51,women,technical,habitat_builders,couple_no_children,producer
