time_s,handle,x_m,y_m,speed_m_s,theta_rad
4,第151节龙身前把手,10.705601,2.441059,1.0,125.439522
4,第201节龙身前把手,8.150566,-8.281293,1.0,132.740245
4,龙尾后把手,-8.7816,8.015605,1.0,135.828311
5,龙头前把手,7.367833,4.72014,1.0,99.961197
5,第1节龙身前把手,8.519793,2.116247,1.0,100.2875
5,第51节龙身前把手,-7.472922,-5.971889,1.0,109.281528
5,第101节龙身前把手,-2.246655,10.045064,1.0,117.589688
5,第151节龙身前把手,10.431547,3.402413,1.0,125.34842
5,第201节龙身前把手,8.826694,-7.544928,1.0,132.654157
5,龙尾后把手,-9.418259,7.244842,1.0,135.744182
6,龙头前把手,6.773421,5.523622,1.0,99.846853
6,第1节龙身前把手,8.214503,3.067938,1.0,100.173529
6,第51节龙身前把手,-6.802157,-6.712944,1.0,109.176946
6,第101节龙身前把手,-3.208121,9.771574,1.0,117.4925
6,第151节龙身前把手,10.071134,4.334835,1.0,125.257252
6,第201节龙身前把手,9.436978,-6.753136,1.0,132.568013
6,龙尾后把手,-9.987874,6.42329,1.0,135.66
7,龙头前把手,6.091161,6.253985,1.0,99.732378
7,第1节龙身前把手,7.802894,3.978704,1.0,100.059428
7,第51节龙身前把手,-6.057658,-7.379883,1.0,109.072263
7,第101节龙身前把手,-4.138494,9.406036,1.0,117.395232
7,第151节龙身前把手,9.627293,5.230554,1.0,125.166018
7,第201节龙身前把手,9.976848,-5.911755,1.0,132.481813
7,龙尾后把手,-10.486367,5.556737,1.0,135.575765
8,龙头前把手,5.329892,6.901577,1.0,99.617772
8,第1节龙身前把手,7.290203,4.836644,1.0,99.945197
8,第51节龙身前把手,-5.24751,-7.965329,1.0,108.967479
8,第101节龙身前把手,-5.028947,8.95183,1.0,117.297883
8,第151节龙身前把手,9.103658,6.082089,1.0,125.074717
8,第201节龙身前把手,10.442246,-5.027004,1.0,132.395557
8,龙尾后把手,-10.910157,4.651304,1.0,135.491479
9,龙头前把手,4.499519,7.4578,1.0,99.503033
9,第1节龙身前把手,6.683002,5.630506,1.0,99.830834
9,第51节龙身前把手,-4.380545,-8.462777,1.0,108.862595
9,第101节龙身前把手,-5.871012,8.413188,1.0,117.200453
9,第151节龙身前把手,8.504535,6.882311,1.0,124.983349
9,第201节龙身前把手,10.829663,-4.105436,1.0,132.309245
9,龙尾后把手,-11.256188,3.713396,1.0,135.40714
10,龙头前把手,3.610891,7.915229,1.0,99.388163
10,第1节龙身前把手,5.989124,6.349839,1.0,99.716341
10,第51节龙身前把手,-3.466242,-8.866672,1.0,108.757609
10,第101节龙身前把手,-6.656657,7.79515,1.0,117.102943
10,第151节龙身前把手,7.83487,7.624505,1.0,124.891915
10,第201节龙身前把手,11.136162,-3.153892,1.0,132.222876
10,龙尾后把手,-11.521951,2.749666,1.0,135.322748
11,龙头前把手,2.675664,8.267717,1.0,99.273159
11,第1节龙身前把手,5.217561,6.985131,1.0,99.601716
11,第51节龙身前把手,-2.51463,-9.172474,1.0,108.652522
11,第101节龙身前把手,-7.378366,7.103527,1.0,117.005351
11,第151节龙身前把手,7.100208,8.302424,1.0,124.800413
11,第201节龙身前把手,11.359405,-2.179449,1.0,132.136451
11,龙尾后把手,-11.705504,1.766958,1.0,135.238304
12,龙头前把手,1.706148,8.510483,1.0,99.158022
12,第1节龙身前把手,4.378359,7.527942,1.0,99.48696
12,第51节龙身前把手,-1.53618,-9.376712,1.0,108.547333
12,第101节龙身前把手,-8.029214,6.344843,1.0,116.907677
12,第151节龙身前把手,6.306652,8.910347,1.0,124.708845
12,第201节龙身前把手,11.49767,-1.189368,1.0,132.049969
12,龙尾后把手,-11.805486,0.772268,1.0,135.153807
13,龙头前把手,0.715153,8.640183,1.0,99.042751
13,第1节龙身前把手,3.482489,7.971019,1.0,99.37207
13,第51节龙身前把手,-0.541688,-9.47703,1.0,108.442042
13,第101节龙身前把手,-8.602936,5.526279,1.0,116.809922
13,第151节龙身前把手,5.460811,9.443125,1.0,124.617209
13,第201节龙身前把手,11.549868,-0.191044,1.0,131.963431
13,龙尾后把手,-11.821132,-0.227312,1.0,135.069257
14,龙头前把手,-0.284183,8.654963,1.0,98.927346
14,第1节龙身前把手,2.541707,8.308402,1.0,99.257048
14,第51节龙身前把手,0.457837,-9.472214,1.0,108.336649
14,第101节龙身前把手,-9.093984,4.655604,1.0,116.712085
14,第151节龙身前把手,4.569748,9.896232,1.0,124.525505
14,第201节龙身前把手,11.515552,0.808055,1.0,131.876836
14,龙尾后把手,-11.752277,-1.22464,1.0,134.984654
15,龙头前把手,-1.278564,8.554493,1.0,98.811806
15,第1节龙身前把手,1.568404,8.535506,1.0,99.141892
15,第51节龙身前把手,1.451303,-9.362217,1.0,108.231154
15,第101节龙身前把手,-9.497591,3.741109,1.0,116.614166
15,第151节龙身前把手,3.640921,10.265799,1.0,124.433735
15,第201节龙身前把手,11.394922,1.800437,1.0,131.790183
15,龙尾后把手,-11.599362,-2.212577,1.0,134.899999
16,龙头前把手,-2.254714,8.339981,1.0,98.696131
16,第1节龙身前把手,0.575445,8.649194,1.0,99.026602
16,第51节龙身前把手,2.427648,-9.148161,1.0,108.125555
16,第101节龙身前把手,-9.809815,2.791522,1.0,116.516164
16,第151节龙身前把手,2.682125,10.548653,1.0,124.341896
16,第201节龙身前把手,11.188827,2.778649,1.0,131.703474
16,龙尾后把手,-11.363429,-3.184038,1.0,134.81529
17,龙头前把手,-3.199555,8.014162,1.0,98.58032
17,第1节龙身前把手,-0.423999,8.647824,1.0,98.911178
17,第51节龙身前把手,3.375973,-8.832331,1.0,108.019853
17,第101节龙身前把手,-10.027582,1.815931,1.0,116.41808
17,第151节龙身前把手,1.701421,10.742345,1.0,124.24999
17,第201节龙身前把手,10.898762,3.735328,1.0,131.616708
17,龙尾后把手,-11.04612,-4.132045,1.0,134.730527
18,龙头前把手,-4.100383,7.581277,1.0,98.464372
18,第1节龙身前把手,-1.416624,8.53128,1.0,98.795619
18,第51节龙身前把手,4.285658,-8.418155,1.0,107.914048
18,第101节龙身前把手,-10.148717,0.8237,1.0,116.319914
18,第151节龙身前把手,0.707076,10.845174,1.0,124.158015
18,第201节龙身前把手,10.526853,4.663259,1.0,131.529885
18,龙尾后把手,-10.649662,-5.049771,1.0,134.645712
19,龙头前把手,-4.945038,7.047016,1.0,98.348289
19,第1节龙身前把手,-2.389172,8.300986,1.0,98.679925
19,第51节龙身前把手,5.146483,-7.910174,1.0,107.808139
19,第101节龙身前把手,-10.171973,-0.175627,1.0,116.221664
19,第151节龙身前把手,-0.29251,10.856202,1.0,124.065972
19,第201节龙身前把手,10.07585,5.555429,1.0,131.443004
19,龙尾后把手,-10.176858,-5.930598,1.0,134.560842
20,龙头前把手,-5.722077,6.418458,1.0,98.232068
20,第1节龙身前把手,-3.328606,7.959889,1.0,98.564095
20,第51节龙身前把手,5.948749,-7.313991,1.0,107.702125
20,第101节龙身前把手,-10.097042,-1.172412,1.0,116.123331
20,第151节龙身前把手,-1.288875,10.775269,1.0,123.973861
20,第201节龙身前把手,9.549105,6.405082,1.0,131.356066
20,龙尾后把手,-9.631064,-6.768159,1.0,134.47592
21,龙头前把手,-6.420928,5.70398,1.0,98.115709
21,第1节龙身前把手,-4.222286,7.512435,1.0,98.448129
21,第51节龙身前把手,6.683383,-6.636219,1.0,107.596008
21,第101节龙身前把手,-9.924567,-2.157016,1.0,116.024915
21,第151节龙身前把手,-2.273564,10.602993,1.0,123.881682
21,第201节龙身前把手,8.950549,7.205769,1.0,131.26907
21,龙尾后把手,-9.01617,-7.556387,1.0,134.390944
22,龙头前把手,-7.032041,4.913151,1.0,97.999212
22,第1节龙身前把手,-5.058146,6.964516,1.0,98.332026
22,第51节龙身前把手,7.342049,-5.884409,1.0,107.489785
22,第101节龙身前把手,-9.656135,-3.119895,1.0,115.926416
22,第151节龙身前把手,-3.238204,10.34077,1.0,123.789434
22,第201节龙身前把手,8.284662,7.951398,1.0,131.182017
22,龙尾后把手,-8.336571,-8.28956,1.0,134.305913
23,龙头前把手,-7.54702,4.056609,1.0,97.882577
23,第1节龙身前把手,-5.824853,6.323397,1.0,98.215786
23,第51节龙身前把手,7.917242,-5.066968,1.0,107.383457
23,第101节龙身前把手,-9.294268,-4.051691,1.0,115.827833
23,第151节龙身前把手,-4.174572,9.990764,1.0,123.697117
23,第201节龙身前把手,7.556446,8.636285,1.0,131.094905
23,龙尾后把手,-7.59714,-8.962345,1.0,134.22083
24,龙头前把手,-7.958748,3.145926,1.0,97.765802
24,第1节龙身前把手,-6.511971,5.597627,1.0,98.099408
24,第51节龙身前把手,8.40238,-4.19307,1.0,107.277024
24,第101节龙身前把手,-8.842404,-4.943323,1.0,115.729165
24,第151节龙身前把手,-5.07467,9.555893,1.0,123.604731
24,第201节龙身前把手,6.771385,9.255192,1.0,131.007736
24,龙尾后把手,-6.803191,-9.569832,1.0,134.135692
25,龙头前把手,-8.261491,2.193451,1.0,97.648888
25,第1节龙身前把手,-7.110102,4.796935,1.0,97.982892
25,第51节龙身前把手,8.791879,-3.272556,1.0,107.170486
25,第101节龙身前把手,-8.304865,-5.786079,1.0,115.630414
25,第151节龙身前把手,-5.930789,9.039803,1.0,123.512276
25,第201节龙身前把手,5.935405,9.803373,1.0,130.920509
25,龙尾后把手,-5.960444,-10.107579,1.0,134.0505
26,龙头前把手,-8.450982,1.21215,1.0,97.531834
26,第1节龙身前把手,-7.611024,3.932098,1.0,97.866237
26,第51节龙身前把手,9.081225,-2.315827,1.0,107.063841
26,第101节龙身前把手,-7.686817,-6.571702,1.0,115.531578
26,第151节龙身前把手,-6.735579,8.446846,1.0,123.419752
26,第201节龙身前把手,5.054831,10.276613,1.0,130.833223
26,龙尾后把手,-5.074981,-10.571638,1.0,133.965253
27,龙头前把手,-8.52449,0.21543,1.0,97.414639
27,第1节龙身前把手,-8.007807,3.014805,1.0,97.749443
27,第51节龙身前把手,9.267029,-1.333723,1.0,106.95709
27,第101节龙身前把手,-6.994229,-7.29247,1.0,115.432658
27,第151节龙身前把手,-7.482116,7.782038,1.0,123.327158
27,第201节龙身前把手,4.136343,10.671256,1.0,130.74588
27,龙尾后把手,-4.153211,-10.958592,1.0,133.879953
28,龙头前把手,-8.480868,-0.783044,1.0,97.297303
28,第1节龙身前把手,-8.294917,2.057502,1.0,97.632509
28,第51节龙身前把手,9.347071,-0.337409,1.0,106.850232
28,第101节龙身前把手,-6.233813,-7.941277,1.0,115.333652
28,第151节龙身前把手,-8.163954,7.051025,1.0,123.234495
28,第201节龙身前把手,3.186919,10.984239,1.0,130.658478
28,龙尾后把手,-3.201816,-11.265577,1.0,133.794598
29,龙头前把手,-8.320575,-1.769531,1.0,97.179825
29,第1节龙身前把手,-8.468298,1.073227,1.0,97.515435
29,第51节龙身前把手,9.320332,0.661757,1.0,106.743268
29,第101节龙身前把手,-5.412962,-8.511703,1.0,115.234562
29,第151节龙身前把手,-8.775194,6.260032,1.0,123.141762
29,第201节龙身前把手,2.213792,11.213118,1.0,130.571017
29,龙尾后把手,-2.227706,-11.490305,1.0,133.709189
30,龙头前把手,-8.045684,-2.730407,1.0,97.062205
30,第1节龙身前把手,-8.525441,0.075434,1.0,97.39822
30,第51节龙身前把手,9.187012,1.652348,1.0,106.636196
30,第101节龙身前把手,-4.539682,-8.998081,1.0,115.135386
30,第151节龙身前把手,-9.310527,5.415816,1.0,123.048959
30,第201节龙身前把手,1.224387,11.356087,1.0,130.483498
30,龙尾后把手,-1.237972,-11.631085,1.0,133.623725
31,龙头前把手,-7.659858,-3.652352,1.0,96.944442
31,第1节龙身前把手,-8.46542,-0.922188,1.0,97.280864
31,第51节龙身前把手,8.948533,2.623002,1.0,106.529016
31,第101节龙身前把手,-3.622517,-9.395556,1.0,115.036125
31,第151节龙身前把手,-9.765286,4.525605,1.0,122.956086
31,第201节龙身前把手,0.226271,11.411992,1.0,130.39592
31,龙尾后把手,-0.239833,-11.686835,1.0,133.538207
32,龙头前把手,-7.168311,-4.522538,1.0,96.826536
32,第1节龙身前把手,-8.288923,-1.905904,1.0,97.163367
32,第51节龙身前把手,8.607528,3.562554,1.0,106.421729
32,第101节龙身前把手,-2.670462,-9.700138,1.0,114.936778
32,第151节龙身前把手,-10.135489,3.597041,1.0,122.863143
32,第201节龙身前把手,-0.772908,11.380348,1.0,130.308283
32,龙尾后把手,0.759419,-11.657095,1.0,133.452633
33,龙头前把手,-6.577747,-5.328809,1.0,96.708487
33,第1节龙身前把手,-7.998244,-2.862122,1.0,97.045727
33,第51节龙身前把手,8.167818,4.460158,1.0,106.314333
33,第101节龙身前把手,-1.692883,-9.90874,1.0,114.837346
33,第151节龙身前把手,-10.417875,2.638116,1.0,122.77013
33,第201节龙身前把手,-1.765478,11.261338,1.0,130.220587
33,龙尾后把手,1.752469,-11.542026,1.0,133.367005
34,龙头前把手,-5.896274,-6.059857,1.0,96.590293
34,第1节龙身前把手,-7.597268,-3.77758,1.0,96.927944
34,第51节龙身前把手,7.634374,5.305424,1.0,106.206829
34,第101节龙身前把手,-0.69942,-10.019218,1.0,114.737827
34,第151节龙身前把手,-10.609935,1.657101,1.0,122.677046
34,第201节龙身前把手,-2.743803,11.055818,1.0,130.132833
34,龙尾后把手,2.732033,-11.342418,1.0,133.281322
35,龙头前把手,-5.133297,-6.705379,1.0,96.471954
35,第1节龙身前把手,-7.091422,-4.639532,1.0,96.810018
35,第51节龙身前把手,7.013266,6.088533,1.0,106.099216
35,第101节龙身前把手,0.300104,-10.030393,1.0,114.638221
35,第151节龙身前把手,-10.709938,0.662477,1.0,122.583891
35,第201节龙身前把手,-3.700341,10.765314,1.0,130.045019
35,龙尾后把手,3.690911,-11.059681,1.0,133.195583
36,龙头前把手,-4.299398,-7.256236,1.0,96.35347
36,第1节龙身前把手,-6.487612,-5.435932,1.0,96.691948
36,第51节龙身前把手,6.311595,6.800356,1.0,105.991493
36,第101节龙身前把手,1.295781,-9.942069,1.0,114.538529
36,第151节龙身前把手,-10.716946,-0.337136,1.0,122.490666
36,第201节龙身前把手,-4.627702,10.392007,1.0,129.957145
36,龙尾后把手,4.622044,-10.695842,1.0,133.10979
37,龙头前把手,-3.406194,-7.704581,1.0,96.234841
37,第1节龙身前把手,-5.794134,-6.155601,1.0,96.573734
37,第51节龙身前把手,5.53742,7.432562,1.0,105.883661
37,第101节龙身前把手,2.277712,-9.755037,1.0,114.438751
37,第151节龙身前把手,-10.630827,-1.333057,1.0,122.397369
37,第201节龙身前把手,-5.518708,9.938724,1.0,129.869212
37,龙尾后把手,5.51856,-10.253524,1.0,133.023941
38,龙头前把手,-2.466177,-8.043982,1.0,96.116064
38,第1节龙身前把手,-5.020565,-6.788392,1.0,96.455375
38,第51节龙身前把手,4.699668,7.977723,1.0,105.775719
38,第101节龙身前把手,3.236114,-9.471073,1.0,114.338885
38,第151节龙身前把手,-10.45226,-2.316616,1.0,122.304002
38,第201节龙身前把手,-6.366445,9.408916,1.0,129.78122
38,龙尾后把手,6.373831,-9.735937,1.0,132.938036
39,龙头前把手,-1.492547,-8.269517,1.0,95.997141
39,第1节龙身前把手,-4.177643,-7.325338,1.0,96.336871
39,第51节龙身前把手,3.808032,8.4294,1.0,105.667667
39,第101节龙身前把手,4.161409,-9.092924,1.0,114.238932
39,第151节龙身前把手,-10.182732,-3.27923,1.0,122.210563
39,第201节龙身前把手,-7.164321,8.806631,1.0,129.693168
39,龙尾后把手,7.18152,-9.146851,1.0,132.852076
40,龙头前把手,-0.499027,-8.377859,1.0,95.878071
40,第1节龙身前把手,-3.277114,-7.758785,1.0,96.218221
40,第51节龙身前把手,2.872864,8.782225,1.0,105.559504
40,第101节龙身前把手,5.044326,-8.624286,1.0,114.138891
40,第151节龙身前把手,-9.824526,-4.212483,1.0,122.117052
40,第201节龙身前把手,-7.906119,8.13649,1.0,129.605056
40,龙尾后把手,7.93563,-8.490573,1.0,132.766061
41,龙头前把手,0.500325,-8.367327,1.0,95.758852
41,第1节龙身前把手,-2.331583,-8.082505,1.0,96.099424
41,第51节龙身前把手,1.905057,9.031972,1.0,105.451231
41,第101节龙身前把手,5.875996,-8.069767,1.0,114.038762
41,第151节龙身前把手,-9.380706,-5.108191,1.0,122.02347
41,第201节龙身前把手,-8.586042,7.403648,1.0,129.516884
41,龙尾后把手,8.630548,-7.771913,1.0,132.679989
42,龙头前把手,1.491318,-8.237924,1.0,95.639485
42,第1节龙身前把手,-1.354332,-8.291796,1.0,95.98048
42,第51节龙身前把手,0.915921,9.175608,1.0,105.342846
42,第101节龙身前把手,6.648036,-7.434852,1.0,113.938546
42,第151节龙身前把手,-8.855092,-5.958485,1.0,121.929816
42,第201节龙身前把手,-9.198763,6.613759,1.0,129.428652
42,龙尾后把手,9.261088,-6.996154,1.0,132.593862
43,龙头前把手,2.459827,-7.991346,1.0,95.519968
43,第1节龙身前把手,-0.359145,-8.383558,1.0,95.861389
43,第51节龙身前把手,-0.08295,9.211338,1.0,105.234349
43,第101节龙身前把手,7.352643,-6.725845,1.0,113.838241
43,第151节龙身前把手,-8.252231,-6.755872,1.0,121.83609
43,第201节龙身前把手,-9.739468,5.772933,1.0,129.34036
43,龙尾后把手,9.822532,-6.169013,1.0,132.507679
44,龙头前把手,3.391994,-7.630968,1.0,95.400302
44,第1节龙身前把手,0.639892,-8.356346,1.0,95.742149
44,第51节龙身前把手,-1.07981,9.138631,1.0,105.12574
44,第101节龙身前把手,7.982669,-5.949812,1.0,113.737848
44,第151节龙身前把手,-7.577359,-7.49331,1.0,121.742292
44,第201节龙身前把手,-10.203893,4.887688,1.0,129.252008
44,龙尾后把手,10.310666,-5.2966,1.0,132.42144
45,龙头前把手,4.274429,-7.161808,1.0,95.280486
45,第1节龙身前把手,1.628584,-8.210398,1.0,95.622761
45,第51节龙身前把手,-2.062903,8.958233,1.0,105.017019
45,第101节龙身前把手,8.531703,-5.114515,1.0,113.637367
45,第151节龙身前把手,-6.836357,-8.164266,1.0,121.648422
45,第201节龙身前把手,-10.588362,3.964903,1.0,129.163595
45,龙尾后把手,10.721812,-4.385371,1.0,132.335144
46,龙头前把手,5.094408,-6.590462,1.0,95.160518
46,第1节龙身前把手,2.59283,-7.947646,1.0,95.503224
46,第51节龙身前把手,-3.020597,8.672165,1.0,104.908186
46,第101节龙身前把手,8.994129,-4.228333,1.0,113.536796
46,第151节龙身前把手,-6.035701,-8.762776,1.0,121.554479
46,第201节龙身前把手,-10.889815,3.011764,1.0,129.075121
46,龙尾后把手,11.05286,-3.442086,1.0,132.248792
47,龙头前把手,5.840054,-5.925022,1.0,95.0404
47,第1节龙身前把手,3.518828,-7.5717,1.0,95.383537
47,第51节龙身前把手,-3.941526,8.283704,1.0,104.799239
47,第101节龙身前把手,9.365196,-3.300181,1.0,113.436136
47,第151节龙身前把手,-5.182411,-9.283506,1.0,121.460464
47,第201节龙身前把手,-11.105837,2.03571,1.0,128.986587
47,龙尾后把手,11.301289,-2.473757,1.0,132.162384
48,龙头前把手,6.50052,-5.174969,1.0,94.920129
48,第1节龙身前把手,4.393268,-7.087801,1.0,95.263699
48,第51节龙身前把手,-4.814724,7.797356,1.0,104.690179
48,第101节龙身前把手,9.641064,-2.339426,1.0,113.335387
48,第151节龙身前把手,-4.283986,-9.721794,1.0,121.366375
48,第201节龙身前把手,-11.234676,1.044374,1.0,128.897992
48,龙尾后把手,11.46519,-1.487596,1.0,132.07592
49,龙头前把手,7.066147,-4.351041,1.0,94.799706
49,第1节龙身前把手,5.203533,-6.502762,1.0,95.143711
49,第51节龙身前把手,-5.629758,7.218801,1.0,104.581006
49,第101节龙身前把手,9.818849,-1.355787,1.0,113.234548
49,第151节龙身前把手,-3.348344,-10.073695,1.0,121.272214
49,第201节龙身前把手,-11.275262,0.045526,1.0,128.809336
49,龙尾后把手,11.543285,-0.490963,1.0,131.989398
50,龙头前把手,7.528618,-3.46509,1.0,94.679129
50,第1节龙身前把手,5.937881,-5.824876,1.0,95.023571
50,第51节龙身前把手,-6.376857,6.554837,1.0,104.471718
50,第101节龙身前把手,9.896658,-0.359245,1.0,113.133619
50,第151节龙身前把手,-2.383749,-10.336025,1.0,121.177979
50,第201节龙身前把手,-11.227214,-0.952991,1.0,128.72062
50,龙尾后把手,11.534931,0.50869,1.0,131.90282
51,龙头前把手,7.88108,-2.529913,1.0,94.558399
51,第1节龙身前把手,6.585622,-5.063806,1.0,94.903279
51,第51节龙身前把手,-7.04703,5.813304,1.0,104.362316
51,第101节龙身前把手,9.873609,0.640064,1.0,113.0326
51,第151节龙身前把手,-1.398744,-10.506385,1.0,121.083672
51,第201节龙身前把手,-11.090851,-1.943318,1.0,128.631841
51,龙尾后把手,11.440136,1.503872,1.0,131.816185
52,龙头前把手,8.118258,-1.559073,1.0,94.437515
52,第1节龙身前把手,7.137276,-4.230458,1.0,94.782834
52,第51节龙身前把手,-7.632177,5.002993,1.0,104.252799
52,第101节龙身前把手,9.749847,1.631947,1.0,112.931491
52,第151节龙身前把手,-0.40207,-10.583189,1.0,120.98929
52,第201节龙身前把手,-10.867186,-2.917647,1.0,128.543002
52,龙尾后把手,11.259553,2.487114,1.0,131.729493
53,龙头前把手,8.23654,-0.566708,1.0,94.316475
53,第1节龙身前把手,7.584723,-3.336825,1.0,94.662236
53,第51节龙身前把手,-8.125194,4.133549,1.0,104.143167
53,第101节龙身前把手,9.526548,2.606259,1.0,112.830291
53,第151节龙身前把手,0.597405,-10.56568,1.0,120.894835
53,第201节龙身前把手,-10.557924,-3.868278,1.0,128.454101
53,龙尾后把手,10.994484,3.451018,1.0,131.642744
54,龙头前把手,8.234044,0.432677,1.0,94.195281
54,第1节龙身前把手,7.921325,-2.395824,1.0,94.541485
54,第51节龙身前把手,-8.52006,3.215357,1.0,104.033419
54,第101节龙身前把手,9.205909,3.55301,1.0,112.729001
54,第151节龙身前把手,1.590768,-10.453941,1.0,120.800306
54,第201节龙身前把手,-10.16545,-4.787682,1.0,128.365139
54,龙尾后把手,10.646867,4.38832,1.0,131.555938
55,龙头前把手,8.110652,1.424416,1.0,94.07393
55,第1节龙身前把手,8.142036,-1.421109,1.0,94.420579
55,第51节龙身前把手,-8.811918,2.259421,1.0,103.923555
55,第101节龙身前把手,8.791133,4.462462,1.0,112.627619
55,第151节龙身前把手,2.56914,-10.248897,1.0,120.705704
55,第201节龙身前把手,-9.692811,-5.668564,1.0,128.276115
55,龙尾后把手,10.219268,5.291941,1.0,131.469074
56,龙头前把手,7.868024,2.393902,1.0,93.952422
56,第1节龙身前把手,8.243483,-0.426882,1.0,94.299518
56,第51节龙身前把手,-8.997138,1.277237,1.0,103.813576
56,第101节龙身前把手,8.286396,5.325238,1.0,112.526146
56,第151节龙身前把手,3.523754,-9.952309,1.0,120.611026
56,第201节龙身前把手,-9.143698,-6.503916,1.0,128.187029
56,龙尾后把手,9.714859,6.155041,1.0,131.382153
57,龙头前把手,7.50959,3.326796,1.0,93.830757
57,第1节龙身前把手,8.224028,0.572316,1.0,94.178301
57,第51节龙身前把手,-9.073367,0.280653,1.0,103.703479
57,第101节龙身前把手,7.696814,6.132415,1.0,112.424581
57,第151节龙身前把手,4.446038,-9.566764,1.0,120.516275
57,第201节龙身前把手,-8.522415,-7.287079,1.0,128.097881
57,龙尾后把手,9.137399,6.971074,1.0,131.295175
58,龙头前把手,7.040503,4.209248,1.0,93.708934
58,第1节龙身前把手,8.083802,1.561816,1.0,94.056928
58,第51节龙身前把手,-9.039568,-0.718269,1.0,103.593266
58,第101节龙身前把手,7.028391,6.875617,1.0,112.322925
58,第151节龙身前把手,5.327687,-9.095654,1.0,120.421449
58,第201节龙身前把手,-7.833847,-8.011794,1.0,128.008671
58,龙尾后把手,8.49121,7.733837,1.0,131.208139
59,龙头前把手,6.46758,5.028101,1.0,93.586952
59,第1节龙身前把手,7.824715,2.527033,1.0,93.935398
59,第51节龙身前把手,-8.896034,-1.707402,1.0,103.482935
59,第101节龙身前把手,6.287962,7.54711,1.0,112.221176
59,第151节龙身前把手,6.160744,-8.543145,1.0,120.326548
59,第201节龙身前把手,-7.083428,-8.672254,1.0,127.919399
59,龙尾后把手,7.781138,8.437518,1.0,131.121045
60,龙头前把手,5.799209,5.771092,1.0,93.464812
60,第1节龙身前把手,7.450441,3.453685,1.0,93.813711
60,第51节龙身前把手,-8.644395,-2.674698,1.0,103.372486
60,第101节龙身前把手,5.483125,8.139877,1.0,112.119335
60,第151节龙身前把手,6.93767,-7.91415,1.0,120.231573
60,第201节龙身前把手,-6.277094,-9.263151,1.0,127.830064
60,龙尾后把手,7.012527,9.07674,1.0,131.033893
61,龙头前把手,5.045232,6.427045,1.0,93.342511
61,第1节龙身前把手,6.966369,4.328007,1.0,93.691866
61,第51节龙身前把手,-8.287606,-3.608338,1.0,103.26192
61,第101节龙身前把手,4.622168,8.647703,1.0,112.017402
61,第151节龙身前把手,7.651414,-7.21428,1.0,120.136522
61,第201节龙身前把手,-5.421239,-9.779723,1.0,127.740667
61,龙尾后把手,6.191176,9.646607,1.0,130.946683
62,龙头前把手,4.216813,6.986036,1.0,93.22005
62,第1节龙身前把手,6.379544,5.136954,1.0,93.569862
62,第51节龙身前把手,-7.829915,-4.496875,1.0,103.151235
62,第101节龙身前把手,3.713982,9.065234,1.0,111.915375
62,第151节龙身前把手,8.295478,-6.449802,1.0,120.041396
62,第201节龙身前把手,-4.522667,-10.21779,1.0,127.651208
62,龙尾后把手,5.323295,10.142739,1.0,130.859415
63,龙头前把手,3.326272,7.439561,1.0,93.097428
63,第1节龙身前把手,5.698564,5.868407,1.0,93.447699
63,第51节龙身前把手,-7.27682,-5.329379,1.0,103.040431
63,第101节龙身前把手,2.767978,9.388044,1.0,111.813256
63,第151节龙身前把手,8.863982,-5.627581,1.0,119.946195
