inspect_part1,inspect_part2,inspect_product,disassemble_defective_product,market_good_probability,defective_to_market_probability,expected_profit,expected_revenue,expected_direct_cost,expected_replacement_loss,expected_salvage_net,case,rank
True,False,True,False,1.0,0.0,1.34,35.84,34.5,0.0,0.0,2,12
False,False,True,True,1.0,0.0,0.81472,28.672,31.0,0.0,3.14272,2,13
False,True,True,True,1.0,0.0,-0.2492,35.84,39.25,0.0,3.1608,2,14
False,False,True,False,1.0,0.0,-2.328,28.672,31.0,0.0,0.0,2,15
False,True,True,False,1.0,0.0,-3.41,35.84,39.25,0.0,0.0,2,16
False,False,False,True,0.729,0.271,22.00277,56.0,28.0,8.13,2.13277,3,1
True,False,False,True,0.81,0.19,21.178033,56.0,30.666667,5.7,1.5447,3,2
False,False,False,False,0.729,0.271,19.87,56.0,28.0,8.13,0.0,3,3
True,False,False,False,0.81,0.19,19.633333,56.0,30.666667,5.7,0.0,3,4
False,True,False,True,0.81,0.19,18.684267,56.0,33.333333,5.7,1.7176,3,5
True,True,False,True,0.9,0.1,17.93,56.0,36.0,3.0,0.93,3,6
True,True,False,False,0.9,0.1,17.0,56.0,36.0,3.0,0.0,3,7
False,True,False,False,0.81,0.19,16.966667,56.0,33.333333,5.7,0.0,3,8
True,False,True,True,1.0,0.0,13.238033,45.36,33.666667,0.0,1.5447,3,9
True,True,True,True,1.0,0.0,12.33,50.4,39.0,0.0,0.93,3,10
False,False,True,True,1.0,0.0,11.95677,40.824,31.0,0.0,2.13277,3,11
True,False,True,False,1.0,0.0,11.693333,45.36,33.666667,0.0,0.0,3,12
True,True,True,False,1.0,0.0,11.4,50.4,39.0,0.0,0.0,3,13
False,True,True,True,1.0,0.0,10.744267,45.36,36.333333,0.0,1.7176,3,14
False,False,True,False,1.0,0.0,9.824,40.824,31.0,0.0,0.0,3,15
False,True,True,False,1.0,0.0,9.026667,45.36,36.333333,0.0,0.0,3,16
True,False,False,True,0.64,0.36,17.4556,56.0,30.25,10.8,2.5056,4,1
False,False,False,True,0.512,0.488,16.50272,56.0,28.0,14.64,3.14272,4,2
True,True,False,True,0.8,0.2,15.86,56.0,36.0,6.0,1.86,4,3
True,False,False,False,0.64,0.36,14.95,56.0,30.25,10.8,0.0,4,4
False,True,False,True,0.64,0.36,14.6108,56.0,33.75,10.8,3.1608,4,5
True,True,False,False,0.8,0.2,14.0,56.0,36.0,6.0,0.0,4,6
False,False,False,False,0.512,0.488,13.36,56.0,28.0,14.64,0.0,4,7
False,True,False,False,0.64,0.36,11.45,56.0,33.75,10.8,0.0,4,8
True,True,True,True,1.0,0.0,8.66,44.8,38.0,0.0,1.86,4,9
True,True,True,False,1.0,0.0,6.8,44.8,38.0,0.0,0.0,4,10
True,False,True,True,1.0,0.0,6.0956,35.84,32.25,0.0,2.5056,4,11
True,False,True,False,1.0,0.0,3.59,35.84,32.25,0.0,0.0,4,12
False,True,True,True,1.0,0.0,3.2508,35.84,35.75,0.0,3.1608,4,13
False,False,True,True,1.0,0.0,1.81472,28.672,30.0,0.0,3.14272,4,14
False,True,True,False,1.0,0.0,0.09,35.84,35.75,0.0,0.0,4,15
False,False,True,False,1.0,0.0,-1.328,28.672,30.0,0.0,0.0,4,16
False,False,False,True,0.648,0.352,26.8384,56.0,28.0,3.52,2.3584,5,1
False,False,False,False,0.648,0.352,24.48,56.0,28.0,3.52,0.0,5,2
False,True,False,True,0.81,0.19,22.0676,56.0,33.75,1.9,1.7176,5,3
False,True,False,False,0.81,0.19,20.35,56.0,33.75,1.9,0.0,5,4
True,False,False,True,0.72,0.28,17.815467,56.0,37.333333,2.8,1.9488,5,5
True,False,False,False,0.72,0.28,15.866667,56.0,37.333333,2.8,0.0,5,6
True,True,False,True,0.9,0.1,12.846667,56.0,43.083333,1.0,0.93,5,7
True,True,False,False,0.9,0.1,11.916667,56.0,43.083333,1.0,0.0,5,8
False,True,True,True,1.0,0.0,11.3276,45.36,35.75,0.0,1.7176,5,9
False,True,True,False,1.0,0.0,9.61,45.36,35.75,0.0,0.0,5,10
False,False,True,True,1.0,0.0,8.6464,36.288,30.0,0.0,2.3584,5,11
False,False,True,False,1.0,0.0,6.288,36.288,30.0,0.0,0.0,5,12
True,True,True,True,1.0,0.0,6.246667,50.4,45.083333,0.0,0.93,5,13
True,True,True,False,1.0,0.0,5.316667,50.4,45.083333,0.0,0.0,5,14
True,False,True,True,1.0,0.0,2.935467,40.32,39.333333,0.0,1.9488,5,15
True,False,True,False,1.0,0.0,0.986667,40.32,39.333333,0.0,0.0,5,16
False,False,False,False,0.857375,0.142625,26.57375,56.0,28.0,1.42625,0.0,6,1
True,False,False,False,0.9025,0.0975,24.709211,56.0,30.315789,0.975,0.0,6,2
False,True,False,False,0.9025,0.0975,22.919737,56.0,32.105263,0.975,0.0,6,3
False,False,False,True,0.857375,0.142625,22.806311,56.0,28.0,1.42625,-3.767439,6,4
True,False,False,True,0.9025,0.0975,22.146423,56.0,30.315789,0.975,-2.562788,6,5
True,True,False,False,0.95,0.05,21.078947,56.0,34.421053,0.5,0.0,6,6
False,True,False,True,0.9025,0.0975,20.401312,56.0,32.105263,0.975,-2.518425,6,7
True,True,False,True,0.95,0.05,19.793947,56.0,34.421053,0.5,-1.285,6,8
True,False,True,False,1.0,0.0,17.224211,50.54,33.315789,0.0,0.0,6,9
False,False,True,False,1.0,0.0,17.013,48.013,31.0,0.0,0.0,6,10
True,True,True,False,1.0,0.0,15.778947,53.2,37.421053,0.0,0.0,6,11
False,True,True,False,1.0,0.0,15.434737,50.54,35.105263,0.0,0.0,6,12
True,False,True,True,1.0,0.0,14.661423,50.54,33.315789,0.0,-2.562788,6,13
True,True,True,True,1.0,0.0,14.493947,53.2,37.421053,0.0,-1.285,6,14
False,False,True,True,1.0,0.0,13.245561,48.013,31.0,0.0,-3.767439,6,15
False,True,True,True,1.0,0.0,12.916312,50.54,35.105263,0.0,-2.518425,6,16
