case,material_id,stage1_cnc,stage1_load_start_s,stage1_unload_start_s,stage2_cnc,stage2_load_start_s,stage2_unload_start_s
1,87,5,9177.0,9605.0,2,9872.0,10300.0
1,88,7,9225.0,9653.0,4,9951.0,10379.0
1,89,1,9416.0,9844.0,6,10002.0,10430.0
1,90,3,9495.0,9923.0,8,10109.0,10537.0
1,91,5,9605.0,10033.0,2,10300.0,10728.0
1,92,7,9653.0,10081.0,4,10379.0,10807.0
1,93,1,9844.0,10272.0,6,10430.0,10858.0
1,94,3,9923.0,10351.0,8,10537.0,10965.0
1,95,5,10033.0,10461.0,2,10728.0,11156.0
1,96,7,10081.0,10509.0,4,10807.0,11235.0
1,97,1,10272.0,10700.0,6,10858.0,11286.0
1,98,3,10351.0,10779.0,8,10965.0,11393.0
1,99,5,10461.0,10889.0,2,11156.0,11584.0
1,100,7,10509.0,10937.0,4,11235.0,11663.0
1,101,1,10700.0,11128.0,6,11286.0,11714.0
1,102,3,10779.0,11207.0,8,11393.0,11821.0
1,103,5,10889.0,11317.0,2,11584.0,12018.030141
1,104,7,10937.0,11365.0,4,11663.0,12097.030141
1,105,1,11128.0,11556.0,6,11714.0,12176.030141
1,107,5,11317.0,11745.0,2,12018.030141,12427.030141
1,108,7,11365.0,11793.0,4,12097.030141,12525.030141
1,109,1,11556.0,12049.030141,6,12176.030141,12604.030141
1,110,3,11635.0,12128.030141,2,12427.030141,12836.030141
1,111,5,11745.0,12207.030141,4,12525.030141,12953.030141
1,112,7,11793.0,12255.030141,6,12604.030141,13032.030141
1,114,3,12128.030141,12556.030141,2,12836.030141,13245.030141
1,115,5,12207.030141,12635.030141,4,12953.030141,13381.030141
1,116,7,12255.030141,12683.030141,6,13032.030141,13460.030141
1,117,1,12477.030141,12905.030141,2,13245.030141,13654.030141
1,118,3,12556.030141,12984.030141,4,13381.030141,13809.030141
1,119,5,12635.030141,13063.030141,6,13460.030141,13888.030141
1,120,7,12683.030141,13111.030141,8,13539.030141,13967.030141
1,121,1,12905.030141,13333.030141,2,13654.030141,14072.030141
1,122,3,12984.030141,13412.030141,4,13809.030141,14237.030141
1,123,5,13063.030141,13491.030141,6,13888.030141,14316.030141
1,124,7,13111.030141,13570.030141,8,13967.030141,14395.030141
1,125,1,13333.030141,13761.030141,2,14072.030141,14500.030141
1,126,3,13412.030141,13840.030141,4,14237.030141,14665.030141
1,127,5,13491.030141,13919.030141,6,14316.030141,14744.030141
1,128,7,13570.030141,13998.030141,8,14395.030141,14823.030141
1,129,1,13761.030141,14189.030141,2,14500.030141,14928.030141
1,130,3,13840.030141,14268.030141,4,14665.030141,15093.030141
1,131,5,13919.030141,14347.030141,6,14744.030141,15172.030141
1,132,7,13998.030141,14426.030141,8,14823.030141,15251.030141
1,133,1,14189.030141,14617.030141,2,14928.030141,15356.030141
1,134,3,14268.030141,14696.030141,4,15093.030141,15521.030141
1,135,5,14347.030141,14775.030141,6,15172.030141,15600.030141
1,136,7,14426.030141,14854.030141,8,15251.030141,15679.030141
1,137,1,14617.030141,15045.030141,2,15356.030141,15784.030141
1,138,3,14696.030141,15124.030141,4,15521.030141,15949.030141
1,139,5,14775.030141,15203.030141,6,15600.030141,16028.030141
1,140,7,14854.030141,15282.030141,8,15679.030141,16107.030141
1,141,1,15045.030141,15473.030141,2,15784.030141,16212.030141
1,142,3,15124.030141,15552.030141,4,15949.030141,16377.030141
1,143,5,15203.030141,15631.030141,6,16028.030141,16456.030141
1,144,7,15282.030141,15710.030141,8,16107.030141,16535.030141
1,145,1,15473.030141,15901.030141,2,16212.030141,16640.030141
1,146,3,15552.030141,15980.030141,4,16377.030141,16805.030141
1,147,5,15631.030141,16059.030141,6,16456.030141,16884.030141
1,148,7,15710.030141,16138.030141,8,16535.030141,16963.030141
1,149,1,15901.030141,16329.030141,2,16640.030141,17068.030141
1,150,3,15980.030141,16408.030141,4,16805.030141,17233.030141
1,151,5,16059.030141,16487.030141,6,16884.030141,17312.030141
1,152,7,16138.030141,16566.030141,8,16963.030141,17391.030141
1,153,1,16329.030141,16757.030141,2,17068.030141,17496.030141
1,154,3,16408.030141,16836.030141,4,17233.030141,17661.030141
1,155,5,16487.030141,16915.030141,6,17312.030141,17740.030141
1,156,7,16566.030141,16994.030141,8,17391.030141,17819.030141
1,157,1,16757.030141,17185.030141,2,17496.030141,17924.030141
1,158,3,16836.030141,17264.030141,4,17661.030141,18089.030141
1,159,5,16915.030141,17343.030141,6,17740.030141,18168.030141
1,160,7,16994.030141,17422.030141,8,17819.030141,18247.030141
1,161,1,17185.030141,17613.030141,2,17924.030141,18352.030141
1,162,3,17264.030141,17692.030141,4,18089.030141,18517.030141
1,163,5,17343.030141,17771.030141,6,18168.030141,18596.030141
1,164,7,17422.030141,17850.030141,8,18247.030141,18675.030141
1,165,1,17613.030141,18041.030141,2,18352.030141,18780.030141
1,166,3,17692.030141,18120.030141,4,18517.030141,18945.030141
1,167,5,17771.030141,18199.030141,6,18596.030141,19024.030141
1,168,7,17850.030141,18278.030141,8,18675.030141,19103.030141
1,169,1,18041.030141,18469.030141,2,18780.030141,19208.030141
1,170,3,18120.030141,18548.030141,4,18945.030141,19373.030141
1,171,5,18199.030141,18627.030141,6,19024.030141,19452.030141
1,172,7,18278.030141,18706.030141,8,19103.030141,19531.030141
1,173,1,18469.030141,18897.030141,2,19208.030141,19636.030141
1,174,3,18548.030141,18976.030141,4,19373.030141,19801.030141
1,175,5,18627.030141,19055.030141,6,19452.030141,19880.030141
1,176,7,18706.030141,19134.030141,8,19531.030141,19959.030141
1,177,1,18897.030141,19325.030141,2,19636.030141,20064.030141
1,178,3,18976.030141,19404.030141,4,19801.030141,20229.030141
1,179,5,19055.030141,19483.030141,6,19880.030141,20308.030141
1,180,7,19134.030141,19562.030141,8,19959.030141,20387.030141
1,181,1,19325.030141,19753.030141,2,20064.030141,20492.030141
1,182,3,19404.030141,19832.030141,4,20229.030141,20657.030141
1,183,5,19483.030141,19911.030141,6,20308.030141,20736.030141
1,184,7,19562.030141,19990.030141,8,20387.030141,20815.030141
1,185,1,19753.030141,20181.030141,2,20492.030141,20920.030141
1,186,3,19832.030141,20260.030141,4,20657.030141,21085.030141
1,187,5,19911.030141,20339.030141,6,20736.030141,21164.030141
1,188,7,19990.030141,20418.030141,8,20815.030141,21243.030141
1,189,1,20181.030141,20609.030141,2,20920.030141,21348.030141
1,190,3,20260.030141,20688.030141,4,21085.030141,21513.030141
1,191,5,20339.030141,20767.030141,6,21164.030141,21592.030141
1,192,7,20418.030141,20846.030141,8,21243.030141,21671.030141
1,193,1,20609.030141,21037.030141,2,21348.030141,21788.085011
1,195,5,20767.030141,21195.030141,6,21592.030141,22020.030141
1,196,7,20846.030141,21274.030141,8,21671.030141,22099.030141
1,198,3,21116.030141,21544.030141,6,22020.030141,22448.030141
1,199,5,21195.030141,21623.030141,8,22099.030141,22527.030141
1,200,7,21274.030141,21702.030141,6,22448.030141,22876.030141
1,201,1,21465.030141,21893.030141,8,22527.030141,22955.030141
1,202,3,21544.030141,21972.030141,4,22619.030141,23047.030141
1,203,5,21623.030141,22051.030141,6,22876.030141,23304.030141
1,204,7,21702.030141,22130.030141,8,22955.030141,23383.030141
1,205,1,21893.030141,22321.030141,4,23047.030141,23475.030141
1,206,3,21972.030141,22400.030141,2,23205.030141,23633.030141
1,207,5,22051.030141,22479.030141,6,23304.030141,23732.030141
1,208,7,22130.030141,22558.030141,8,23383.030141,23811.030141
1,209,1,22321.030141,22749.030141,4,23475.030141,23903.030141
1,210,3,22400.030141,22828.030141,2,23633.030141,24061.030141
1,211,5,22479.030141,22907.030141,6,23732.030141,24160.030141
1,212,7,22558.030141,22986.030141,8,23811.030141,24239.030141
1,213,1,22749.030141,23177.030141,4,23903.030141,24331.030141
1,214,3,22828.030141,23256.030141,2,24061.030141,24489.030141
1,215,5,22907.030141,23335.030141,6,24160.030141,24588.030141
1,216,7,22986.030141,23414.030141,8,24239.030141,24667.030141
1,217,1,23177.030141,23605.030141,4,24331.030141,24759.030141
1,218,3,23256.030141,23684.030141,2,24489.030141,24917.030141
1,219,5,23335.030141,23763.030141,6,24588.030141,25016.030141
1,220,7,23414.030141,23842.030141,8,24667.030141,25095.030141
1,221,1,23605.030141,24033.030141,4,24759.030141,25187.030141
1,222,3,23684.030141,24112.030141,2,24917.030141,25345.030141
1,223,5,23763.030141,24191.030141,6,25016.030141,25444.030141
1,224,7,23842.030141,24270.030141,8,25095.030141,25523.030141
1,225,1,24033.030141,24461.030141,4,25187.030141,25615.030141
1,226,3,24112.030141,24540.030141,2,25345.030141,25773.030141
1,227,5,24191.030141,24619.030141,6,25444.030141,25872.030141
1,228,7,24270.030141,24698.030141,8,25523.030141,25951.030141
1,229,1,24461.030141,24889.030141,4,25615.030141,26043.030141
1,230,3,24540.030141,24968.030141,2,25773.030141,26201.030141
1,231,5,24619.030141,25047.030141,6,25872.030141,26300.030141
1,232,7,24698.030141,25126.030141,8,25951.030141,26379.030141
1,233,1,24889.030141,25317.030141,4,26043.030141,26471.030141
1,234,3,24968.030141,25396.030141,2,26201.030141,26629.030141
1,235,5,25047.030141,25475.030141,6,26300.030141,26728.030141
1,236,7,25126.030141,25554.030141,8,26379.030141,26840.030141
1,238,3,25396.030141,25824.030141,2,26629.030141,27057.030141
1,239,5,25475.030141,25903.030141,6,26728.030141,27156.030141
1,240,7,25554.030141,25982.030141,8,26840.030141,27249.030141
1,241,1,25745.030141,26173.030141,2,27057.030141,27485.030141
1,242,3,25824.030141,26252.030141,6,27156.030141,27584.030141
1,243,5,25903.030141,26331.030141,8,27249.030141,27663.030141
1,244,7,25982.030141,26410.030141,2,27485.030141,27913.030141
1,245,1,26173.030141,26601.030141,6,27584.030141,28012.030141
1,246,3,26252.030141,26680.030141,8,27663.030141,28091.030141
1,247,5,26331.030141,26759.030141,4,27727.030141,28155.030141
1,248,7,26410.030141,26871.030141,2,27913.030141,28341.030141
1,249,1,26601.030141,27029.030141,6,28012.030141,28440.030141
1,250,3,26680.030141,27108.030141,8,28091.030141,28519.030141
1,251,5,26759.030141,27187.030141,4,28155.030141,28583.030141
1,252,7,26871.030141,27299.030141,2,28341.030141,28769.030141
2,1,1,0.0,310.0,3,403.0,933.0
2,2,2,30.0,345.0,4,433.0,968.0
2,3,7,124.0,509.0,5,597.0,1132.0
2,4,8,154.0,539.0,6,627.0,1162.0
2,5,1,310.0,703.0,3,933.0,1463.0
2,6,2,345.0,733.0,4,968.0,1503.0
2,7,7,509.0,827.0,5,1132.0,1667.0
2,8,8,539.0,857.0,6,1162.0,1697.0
2,9,1,703.0,1026.0,3,1463.0,2003.0
2,10,2,733.0,1056.0,4,1503.0,2038.0
2,11,7,827.0,1220.0,5,1667.0,2202.0
2,13,1,1026.0,1344.0,3,2003.0,2533.0
2,14,2,1056.0,1374.0,4,2038.0,2573.0
2,15,7,1220.0,1579.0,5,2202.0,2737.0
2,17,1,1344.0,1773.0,4,2573.0,3110.0
2,18,2,1374.0,1803.0,5,2737.0,3274.0
2,19,7,1579.0,1897.0,6,3052.0,3623.326307
2,20,8,1609.0,1927.0,4,3110.0,3681.326307
2,21,1,1773.0,2096.0,5,3274.0,3845.326307
2,22,2,1803.0,2126.0,3,3464.326307,3994.326307
2,23,7,1897.0,2255.0,6,3623.326307,4160.326307
2,24,8,1927.0,2285.0,4,3681.326307,4218.326307
2,25,1,2096.0,2406.0,5,3845.326307,4375.326307
2,26,2,2126.0,2441.0,3,3994.326307,4534.326307
2,27,7,2255.0,2649.0,6,4160.326307,4695.326307
2,28,8,2285.0,2679.0,4,4218.326307,4753.326307
2,29,1,2406.0,2808.0,5,4375.326307,4917.326307
2,30,2,2441.0,2838.0,3,4534.326307,5064.326307
2,31,7,2649.0,2959.0,6,4695.326307,5232.326307
2,32,8,2679.0,2994.0,4,4753.326307,5290.326307
2,33,1,2808.0,3168.0,5,4917.326307,5447.326307
2,34,2,2838.0,3198.0,3,5064.326307,5606.326307
2,35,7,2959.0,3327.0,6,5232.326307,5767.326307
2,36,8,2994.0,3357.0,4,5290.326307,5825.326307
2,37,1,3168.0,3517.326307,5,5447.326307,5989.326307
2,38,2,3198.0,3547.326307,3,5606.326307,6136.326307
2,39,7,3327.0,3757.326307,6,5767.326307,6304.326307
2,40,8,3357.0,3787.326307,4,5825.326307,6362.326307
2,42,2,3547.326307,3916.326307,5,5989.326307,6574.326307
2,43,7,3757.326307,4067.326307,3,6136.326307,6666.326307
2,44,8,3787.326307,4102.326307,6,6304.326307,6884.326307
2,45,2,3916.326307,4276.326307,4,6362.326307,6942.326307
2,46,7,4067.326307,4428.326307,5,6574.326307,7126.326307
2,47,8,4102.326307,4458.326307,3,6666.326307,7250.326307
2,48,2,4276.326307,4591.326307,6,6884.326307,7441.326307
2,49,7,4428.326307,4829.326307,4,6942.326307,7499.326307
2,50,8,4458.326307,4859.326307,5,7126.326307,7656.326307
2,51,2,4591.326307,4988.326307,3,7250.326307,7785.326307
2,52,7,4829.326307,5139.326307,6,7441.326307,7976.326307
2,53,8,4859.326307,5174.326307,4,7499.326307,8034.326307
2,54,2,4988.326307,5348.326307,5,7656.326307,8186.326307
2,55,7,5139.326307,5500.326307,3,7785.326307,8315.326307
2,56,8,5174.326307,5530.326307,6,7976.326307,8511.326307
2,57,2,5348.326307,5663.326307,4,8034.326307,8569.326307
2,58,7,5500.326307,5901.326307,5,8186.326307,8716.326307
2,59,8,5530.326307,5931.326307,3,8315.326307,8845.326307
2,60,2,5663.326307,6060.326307,6,8511.326307,9046.326307
2,61,7,5901.326307,6211.326307,4,8569.326307,9104.326307
2,62,8,5931.326307,6246.326307,5,8716.326307,9246.326307
2,63,2,6060.326307,6420.326307,3,8845.326307,9375.326307
2,64,7,6211.326307,6521.326307,6,9046.326307,9581.326307
2,66,2,6420.326307,6735.326307,4,9104.326307,9639.326307
2,67,7,6521.326307,6831.326307,5,9246.326307,9776.326307
2,68,2,6735.326307,7050.326307,3,9375.326307,9905.326307
2,69,7,6831.326307,7179.326307,6,9581.326307,10116.326307
2,70,2,7050.326307,7365.326307,4,9639.326307,10174.326307
2,71,7,7179.326307,7575.326307,5,9776.326307,10306.326307
2,72,2,7365.326307,7727.326307,3,9905.326307,10435.326307
2,73,7,7575.326307,7885.326307,6,10116.326307,10651.326307
2,74,2,7727.326307,8092.326307,4,10174.326307,10709.326307
2,75,7,7885.326307,8239.326307,5,10306.326307,10838.326307
2,76,2,8092.326307,8407.326307,3,10435.326307,10965.326307
2,77,7,8239.326307,8645.326307,6,10651.326307,11186.326307
2,78,2,8407.326307,8787.326307,4,10709.326307,11244.326307
2,79,7,8645.326307,8955.326307,5,10838.326307,11408.326307
2,80,2,8787.326307,9162.326307,3,10965.326307,11567.326307
2,81,7,8955.326307,9299.326307,6,11186.326307,11726.326307
2,82,2,9162.326307,9477.326307,4,11244.326307,11784.326307
2,83,7,9299.326307,9715.326307,5,11408.326307,11948.326307
2,84,2,9477.326307,9847.326307,3,11567.326307,12107.326307
2,85,7,9715.326307,10052.889665,6,11726.326307,12266.326307
2,87,7,10052.889665,10362.889665,4,11784.326307,12324.326307
2,88,7,10362.889665,10785.326307,5,11948.326307,12478.326307
2,89,7,10785.326307,11095.326307,3,12107.326307,12637.326307
2,90,7,11095.326307,11461.326307,6,12266.326307,12801.326307
2,91,1,11302.326307,11620.326307,4,12324.326307,12859.326307
2,92,2,11332.326307,11650.326307,5,12478.326307,13023.326307
2,93,7,11461.326307,11860.326307,3,12637.326307,13167.326307
2,94,8,11491.326307,11890.326307,6,12801.326307,13338.326307
2,95,1,11620.326307,12019.326307,4,12859.326307,13396.326307
2,96,2,11650.326307,12049.326307,5,13023.326307,13553.326307
2,97,7,11860.326307,12178.326307,3,13167.326307,13712.326307
2,98,8,11890.326307,12208.326307,6,13338.326307,13873.326307
2,100,2,12049.326307,12382.326307,4,13396.326307,13931.326307
2,101,7,12178.326307,12531.326307,5,13553.326307,14095.326307
2,102,8,12208.326307,12561.326307,3,13712.326307,14242.326307
2,103,2,12382.326307,12697.326307,6,13873.326307,14410.326307
2,104,7,12531.326307,12935.326307,4,13931.326307,14468.326307
2,105,8,12561.326307,12965.326307,5,14095.326307,14625.326307
2,106,2,12697.326307,13094.326307,3,14242.326307,14784.326307
2,107,7,12935.326307,13245.326307,6,14410.326307,14945.326307
2,108,8,12965.326307,13280.326307,4,14468.326307,15003.326307
2,109,2,13094.326307,13454.326307,5,14625.326307,15167.326307
2,110,7,13245.326307,13606.326307,3,14784.326307,15314.326307
2,111,8,13280.326307,13636.326307,6,14945.326307,15482.326307
2,112,2,13454.326307,13769.326307,4,15003.326307,15540.326307
2,113,7,13606.326307,14007.326307,5,15167.326307,15752.326307
2,114,8,13636.326307,14037.326307,3,15314.326307,15844.326307
2,115,2,13769.326307,14166.326307,6,15482.326307,16062.326307
2,116,7,14007.326307,14317.326307,4,15540.326307,16120.326307
2,117,8,14037.326307,14352.326307,5,15752.326307,16304.326307
2,118,2,14166.326307,14526.326307,3,15844.326307,16428.326307
2,119,7,14317.326307,14678.326307,6,16062.326307,16619.326307
2,120,8,14352.326307,14708.326307,4,16120.326307,16677.326307
2,121,2,14526.326307,14841.326307,5,16304.326307,16834.326307
2,122,7,14678.326307,15079.326307,3,16428.326307,16963.326307
2,123,8,14708.326307,15109.326307,6,16619.326307,17154.326307
2,124,2,14841.326307,15238.326307,4,16677.326307,17212.326307
2,125,7,15079.326307,15389.326307,5,16834.326307,17364.326307
2,126,8,15109.326307,15424.326307,3,16963.326307,17493.326307
2,127,2,15238.326307,15598.326307,6,17154.326307,17689.326307
2,128,7,15389.326307,15699.326307,4,17212.326307,17747.326307
2,130,2,15598.326307,15913.326307,5,17364.326307,17894.326307
2,131,7,15699.326307,16009.326307,3,17493.326307,18023.326307
2,132,2,15913.326307,16228.326307,6,17689.326307,18224.326307
2,133,7,16009.326307,16357.326307,4,17747.326307,18282.326307
2,134,2,16228.326307,16543.326307,5,17894.326307,18424.326307
2,135,7,16357.326307,16753.326307,3,18023.326307,18553.326307
2,136,2,16543.326307,16905.326307,6,18224.326307,18759.326307
2,137,7,16753.326307,17063.326307,4,18282.326307,18817.326307
2,138,2,16905.326307,17270.326307,5,18424.326307,18981.326307
2,139,7,17063.326307,17417.326307,3,18553.326307,19140.326307
2,140,2,17270.326307,17585.326307,6,18759.326307,19299.326307
2,141,7,17417.326307,17823.326307,4,18817.326307,19357.326307
2,142,2,17585.326307,17965.326307,5,18981.326307,19521.326307
2,143,7,17823.326307,18133.326307,3,19140.326307,19680.326307
2,144,2,17965.326307,18340.326307,6,19299.326307,19839.326307
2,145,7,18133.326307,18477.326307,4,19357.326307,19897.326307
2,146,2,18340.326307,18655.326307,5,19521.326307,20061.326307
2,147,7,18477.326307,18893.326307,3,19680.326307,20220.326307
2,148,1,18606.326307,19052.326307,6,19839.326307,20379.326307
2,149,2,18655.326307,19082.326307,4,19897.326307,20437.326307
2,150,7,18893.326307,19211.326307,5,20061.326307,20591.326307
2,151,8,18923.326307,19241.326307,3,20220.326307,20750.326307
2,152,1,19052.326307,19415.326307,6,20379.326307,20914.326307
2,153,2,19082.326307,19445.326307,4,20437.326307,20972.326307
2,154,7,19211.326307,19574.326307,5,20591.326307,21136.326307
2,155,8,19241.326307,19604.326307,3,20750.326307,21280.326307
2,156,1,19415.326307,19733.326307,6,20914.326307,21451.326307
2,157,2,19445.326307,19763.326307,4,20972.326307,21509.326307
2,158,7,19574.326307,19973.326307,5,21136.326307,21666.326307
2,159,8,19604.326307,20003.326307,3,21280.326307,21825.326307
2,160,1,19733.326307,20132.326307,6,21451.326307,21986.326307
2,161,2,19763.326307,20162.326307,4,21509.326307,22044.326307
2,162,7,19973.326307,20291.326307,5,21666.326307,22208.326307
2,163,8,20003.326307,20321.326307,3,21825.326307,22355.326307
2,165,2,20162.326307,20495.326307,6,21986.326307,22523.326307
2,166,7,20291.326307,20644.326307,4,22044.326307,22581.326307
2,167,8,20321.326307,20674.326307,5,22208.326307,22738.326307
2,168,2,20495.326307,20810.326307,3,22355.326307,22897.326307
2,169,7,20644.326307,21048.326307,6,22523.326307,23058.326307
2,170,8,20674.326307,21078.326307,4,22581.326307,23116.326307
2,171,2,20810.326307,21207.326307,5,22738.326307,23280.326307
2,172,7,21048.326307,21358.326307,3,22897.326307,23427.326307
2,173,8,21078.326307,21393.326307,6,23058.326307,23595.326307
2,174,2,21207.326307,21567.326307,4,23116.326307,23653.326307
2,175,7,21358.326307,21719.326307,5,23280.326307,23810.326307
2,176,8,21393.326307,21749.326307,3,23427.326307,23969.326307
2,177,2,21567.326307,21882.326307,6,23595.326307,24130.326307
2,178,7,21719.326307,22120.326307,4,23653.326307,24188.326307
2,179,8,21749.326307,22150.326307,5,23810.326307,24352.326307
2,180,2,21882.326307,22279.326307,3,23969.326307,24499.326307
2,181,7,22120.326307,22430.326307,6,24130.326307,24667.326307
2,182,8,22150.326307,22465.326307,4,24188.326307,24725.326307
2,183,2,22279.326307,22639.326307,5,24352.326307,24882.326307
2,184,7,22430.326307,22791.326307,3,24499.326307,25041.326307
2,185,8,22465.326307,22821.326307,6,24667.326307,25202.326307
2,186,2,22639.326307,22954.326307,4,24725.326307,25260.326307
2,187,7,22791.326307,23192.326307,5,24882.326307,25424.326307
2,188,8,22821.326307,23222.326307,3,25041.326307,25571.326307
2,189,2,22954.326307,23351.326307,6,25202.326307,25739.326307
2,190,7,23192.326307,23502.326307,4,25260.326307,25797.326307
2,191,8,23222.326307,23537.326307,5,25424.326307,25954.326307
2,192,2,23351.326307,23711.326307,3,25571.326307,26113.326307
2,193,7,23502.326307,23863.326307,6,25739.326307,26274.326307
2,194,8,23537.326307,23893.326307,4,25797.326307,26332.326307
2,195,2,23711.326307,24026.326307,5,25954.326307,26496.326307
2,196,7,23863.326307,24264.326307,3,26113.326307,26643.326307
2,197,8,23893.326307,24294.326307,6,26274.326307,26811.326307
2,198,2,24026.326307,24423.326307,4,26332.326307,26869.326307
2,199,7,24264.326307,24574.326307,5,26496.326307,27026.326307
2,200,8,24294.326307,24609.326307,3,26643.326307,27185.326307
2,202,7,24574.326307,24935.326307,4,26869.326307,27500.326307
2,203,8,24609.326307,24965.326307,5,27026.326307,27558.326307
2,204,2,24783.326307,25098.326307,3,27185.326307,27715.326307
2,205,7,24935.326307,25336.326307,4,27500.326307,28050.282589
2,206,8,24965.326307,25366.326307,5,27558.326307,28108.282589
2,207,2,25098.326307,25495.326307,3,27715.326307,28245.326307
2,208,7,25336.326307,25646.326307,6,27916.282589,28451.282589
2,209,8,25366.326307,25681.326307,4,28050.282589,28585.282589
2,210,2,25495.326307,25855.326307,5,28108.282589,28643.282589
2,211,7,25646.326307,26007.326307,3,28245.326307,28775.326307
3,1,2,0.0,487.0,1,519.0,732.0
3,2,5,64.0,578.0,3,655.0,896.0
3,3,6,91.0,605.0,4,682.0,923.0
3,4,8,141.0,805.0,7,837.0,1142.0
3,5,2,487.0,974.0,1,1006.0,1246.0
