case,material_id,cnc,load_start_s,unload_start_s
1,124,7,9118.0,9709.0
1,125,8,9146.0,9737.0
1,126,2,9223.0,9814.0
1,127,1,9408.0,9996.0
1,128,3,9515.0,10103.0
1,129,4,9579.0,10170.0
1,130,5,9630.0,10221.0
1,131,6,9658.0,10249.0
1,132,7,9709.0,10300.0
1,133,8,9737.0,10328.0
1,134,2,9814.0,10405.0
1,135,1,9996.0,10584.0
1,136,3,10103.0,10691.0
1,137,4,10170.0,10761.0
1,138,5,10221.0,10812.0
1,139,6,10249.0,10840.0
1,140,7,10300.0,10891.0
1,141,8,10328.0,10919.0
1,142,2,10405.0,10996.0
1,143,1,10584.0,11172.0
1,144,3,10691.0,11279.0
1,145,4,10761.0,11352.0
1,146,5,10812.0,11403.0
1,147,6,10840.0,11431.0
1,148,7,10891.0,11482.0
1,149,8,10919.0,11510.0
1,150,2,10996.0,11587.0
1,151,1,11172.0,11760.0
1,152,3,11279.0,11867.0
1,153,4,11352.0,11943.0
1,154,5,11403.0,11994.0
1,155,6,11431.0,12022.0
1,156,7,11482.0,12073.0
1,157,8,11510.0,12101.0
1,158,2,11587.0,12178.0
1,159,1,11760.0,12348.0
1,160,3,11867.0,12455.0
1,161,4,11943.0,12534.0
1,162,5,11994.0,12585.0
1,163,6,12022.0,12613.0
1,164,7,12073.0,12664.0
1,165,8,12101.0,12692.0
1,166,2,12178.0,12769.0
1,167,1,12348.0,12936.0
1,168,3,12455.0,13043.0
1,169,4,12534.0,13125.0
1,170,5,12585.0,13176.0
1,171,6,12613.0,13204.0
1,172,7,12664.0,13255.0
1,173,8,12692.0,13283.0
1,174,2,12769.0,13360.0
1,175,1,12936.0,13524.0
1,176,3,13043.0,13631.0
1,177,4,13125.0,13716.0
1,178,5,13176.0,13767.0
1,179,6,13204.0,13795.0
1,180,7,13255.0,13846.0
1,181,8,13283.0,13874.0
1,182,2,13360.0,13951.0
1,183,1,13524.0,14112.0
1,184,3,13631.0,14219.0
1,185,4,13716.0,14307.0
1,186,5,13767.0,14358.0
1,187,6,13795.0,14386.0
1,188,7,13846.0,14437.0
1,189,8,13874.0,14465.0
1,190,2,13951.0,14542.0
1,191,1,14112.0,14700.0
1,192,3,14219.0,14807.0
1,193,4,14307.0,14898.0
1,194,5,14358.0,14949.0
1,195,6,14386.0,14977.0
1,196,7,14437.0,15028.0
1,197,8,14465.0,15056.0
1,198,2,14542.0,15133.0
1,199,1,14700.0,15288.0
1,200,3,14807.0,15395.0
1,201,4,14898.0,15489.0
1,202,5,14949.0,15540.0
1,203,6,14977.0,15568.0
1,204,7,15028.0,15619.0
1,205,8,15056.0,15647.0
1,206,2,15133.0,15724.0
1,207,1,15288.0,15876.0
1,208,3,15395.0,15983.0
1,209,4,15489.0,16080.0
1,210,5,15540.0,16131.0
1,211,6,15568.0,16159.0
1,212,7,15619.0,16210.0
1,213,8,15647.0,16238.0
1,214,2,15724.0,16315.0
1,215,1,15876.0,16464.0
1,216,3,15983.0,16571.0
1,217,4,16080.0,16671.0
1,218,5,16131.0,16722.0
1,219,6,16159.0,16750.0
1,220,7,16210.0,16801.0
1,221,8,16238.0,16829.0
1,222,2,16315.0,16906.0
1,223,1,16464.0,17052.0
1,224,3,16571.0,17159.0
1,225,4,16671.0,17262.0
1,226,5,16722.0,17313.0
1,227,6,16750.0,17341.0
1,228,7,16801.0,17392.0
1,229,8,16829.0,17420.0
1,230,2,16906.0,17497.0
1,231,1,17052.0,17640.0
1,232,3,17159.0,17747.0
1,233,4,17262.0,17853.0
1,234,5,17313.0,17904.0
1,235,6,17341.0,17932.0
1,236,7,17392.0,17983.0
1,237,8,17420.0,18011.0
1,238,2,17497.0,18088.0
1,239,1,17640.0,18228.0
1,240,3,17747.0,18335.0
1,241,4,17853.0,18444.0
1,242,5,17904.0,18495.0
1,243,6,17932.0,18523.0
1,244,7,17983.0,18574.0
1,245,8,18011.0,18602.0
1,246,2,18088.0,18679.0
1,247,1,18228.0,18816.0
1,248,3,18335.0,18923.0
1,249,4,18444.0,19035.0
1,250,5,18495.0,19086.0
1,251,6,18523.0,19114.0
1,252,7,18574.0,19165.0
1,253,8,18602.0,19193.0
1,254,2,18679.0,19270.0
1,255,1,18816.0,19404.0
1,256,3,18923.0,19511.0
1,257,4,19035.0,19626.0
1,258,5,19086.0,19677.0
1,259,6,19114.0,19705.0
1,260,7,19165.0,19756.0
1,261,8,19193.0,19784.0
1,262,2,19270.0,19861.0
1,263,1,19404.0,19992.0
1,264,3,19511.0,20099.0
1,265,4,19626.0,20217.0
1,266,5,19677.0,20268.0
1,267,6,19705.0,20296.0
1,268,7,19756.0,20347.0
1,269,8,19784.0,20375.0
1,270,2,19861.0,20452.0
1,271,1,19992.0,20580.0
1,272,3,20099.0,20687.0
1,273,4,20217.0,20808.0
1,274,5,20268.0,20859.0
1,275,6,20296.0,20887.0
1,276,7,20347.0,20938.0
1,277,8,20375.0,20966.0
1,278,2,20452.0,21043.0
1,279,1,20580.0,21168.0
1,280,3,20687.0,21275.0
1,281,4,20808.0,21399.0
1,282,5,20859.0,21450.0
1,283,6,20887.0,21478.0
1,284,7,20938.0,21529.0
1,285,8,20966.0,21557.0
1,286,2,21043.0,21634.0
1,287,1,21168.0,21756.0
1,288,3,21275.0,21863.0
1,289,4,21399.0,21990.0
1,290,5,21450.0,22041.0
1,292,7,21529.0,22117.0
1,293,8,21557.0,22148.0
1,294,2,21634.0,22225.0
1,296,3,21863.0,22451.0
1,297,4,21990.0,22581.0
1,298,5,22041.0,22632.0
1,299,7,22117.0,22705.0
1,300,8,22148.0,22739.0
1,301,2,22225.0,22816.0
1,302,3,22451.0,23039.0
1,303,4,22581.0,23172.0
1,304,5,22632.0,23223.0
1,305,7,22705.0,23293.0
1,306,8,22739.0,23330.0
1,307,2,22816.0,23407.0
1,308,1,22859.870905,23447.870905
1,309,3,23039.0,23627.0
1,310,6,23087.0,23678.0
1,311,4,23172.0,23763.0
1,312,5,23223.0,23814.0
1,313,7,23293.0,23881.0
1,314,8,23330.0,23921.0
1,315,2,23407.0,23998.0
1,316,1,23447.870905,24035.870905
1,317,3,23627.0,24215.0
1,318,6,23678.0,24269.0
1,319,4,23763.0,24354.0
1,320,5,23814.0,24405.0
1,321,7,23881.0,24469.0
1,322,8,23921.0,24512.0
1,323,2,23998.0,24589.0
1,324,1,24035.870905,24623.870905
1,325,3,24215.0,24803.0
1,326,6,24269.0,24860.0
1,327,4,24354.0,24945.0
1,328,5,24405.0,24996.0
1,329,7,24469.0,25057.0
1,330,8,24512.0,25103.0
1,331,2,24589.0,25180.0
1,332,1,24623.870905,25211.870905
1,333,3,24803.0,25391.0
1,334,6,24860.0,25451.0
1,335,4,24945.0,25536.0
1,336,5,24996.0,25587.0
1,337,7,25057.0,25645.0
1,338,8,25103.0,25694.0
1,339,2,25180.0,25771.0
1,340,1,25211.870905,25802.0
1,341,3,25391.0,25979.0
1,342,6,25451.0,26042.0
1,343,4,25536.0,26127.0
1,344,5,25587.0,26178.0
1,345,7,25645.0,26233.0
1,346,8,25694.0,26285.0
1,347,2,25771.0,26362.0
1,348,1,25802.0,26393.0
1,349,3,25979.0,26567.0
1,350,6,26042.0,26633.0
1,351,4,26127.0,26718.0
1,352,5,26178.0,26769.0
1,353,7,26233.0,26821.0
1,354,8,26285.0,26876.0
1,355,2,26362.0,26953.0
1,356,1,26393.0,26984.0
1,357,3,26567.0,27155.0
1,358,6,26633.0,27224.0
1,359,4,26718.0,27309.0
1,360,5,26769.0,27360.0
1,361,7,26821.0,27409.0
1,362,8,26876.0,27467.0
1,363,2,26953.0,27544.0
1,364,1,26984.0,27575.0
1,365,3,27155.0,27743.0
1,366,6,27224.0,27815.0
1,367,4,27309.0,27900.0
1,368,5,27360.0,27951.0
1,369,7,27409.0,27999.0
1,370,8,27467.0,28058.0
1,371,2,27544.0,28135.0
1,372,1,27575.0,28166.0
1,373,3,27743.0,28331.0
1,374,6,27815.0,28406.0
1,375,4,27900.0,28491.0
1,376,5,27951.0,28542.0
1,377,7,27999.0,28590.0
1,378,8,28058.0,28649.0
1,379,2,28135.0,28726.0
1,380,1,28166.0,28757.0
2,1,1,0.0,610.0
2,2,2,30.0,645.0
2,3,3,88.0,703.0
2,4,4,118.0,733.0
2,5,5,176.0,791.0
2,6,6,206.0,821.0
2,7,7,264.0,879.0
2,8,8,294.0,909.0
2,9,1,610.0,1220.0
2,10,2,645.0,1260.0
2,11,3,703.0,1318.0
2,12,4,733.0,1348.0
2,13,5,791.0,1406.0
2,14,6,821.0,1436.0
2,15,7,879.0,1494.0
2,16,8,909.0,1524.0
2,17,1,1220.0,1830.0
2,18,2,1260.0,1875.0
2,19,3,1318.0,1933.0
2,20,4,1348.0,1963.0
2,21,5,1406.0,2021.0
2,22,6,1436.0,2051.0
2,23,7,1494.0,2109.0
2,24,8,1524.0,2139.0
2,25,1,1830.0,2440.0
2,26,2,1875.0,2490.0
2,27,3,1933.0,2548.0
2,28,4,1963.0,2578.0
2,29,5,2021.0,2636.0
2,30,6,2051.0,2666.0
2,31,7,2109.0,2724.0
2,32,8,2139.0,2754.0
2,33,1,2440.0,3050.0
2,34,2,2490.0,3105.0
2,35,3,2548.0,3163.0
2,36,4,2578.0,3193.0
2,37,5,2636.0,3251.0
2,38,6,2666.0,3281.0
2,39,7,2724.0,3339.0
2,40,8,2754.0,3369.0
2,41,1,3050.0,3660.0
2,42,2,3105.0,3720.0
2,43,3,3163.0,3778.0
2,44,4,3193.0,3808.0
2,45,5,3251.0,3866.0
2,46,6,3281.0,3896.0
2,47,7,3339.0,3954.0
2,48,8,3369.0,3984.0
2,49,1,3660.0,4270.0
2,50,2,3720.0,4335.0
2,51,3,3778.0,4393.0
2,52,4,3808.0,4423.0
2,53,5,3866.0,4481.0
2,54,6,3896.0,4511.0
2,55,7,3954.0,4569.0
2,56,8,3984.0,4599.0
2,57,1,4270.0,4880.0
2,58,2,4335.0,4950.0
2,59,3,4393.0,5008.0
2,60,4,4423.0,5038.0
2,61,5,4481.0,5096.0
2,62,6,4511.0,5126.0
2,63,7,4569.0,5184.0
2,64,8,4599.0,5214.0
2,65,1,4880.0,5490.0
2,66,2,4950.0,5565.0
2,67,3,5008.0,5623.0
2,68,4,5038.0,5653.0
2,69,5,5096.0,5711.0
2,70,6,5126.0,5741.0
2,71,7,5184.0,5799.0
2,72,8,5214.0,5829.0
2,73,1,5490.0,6100.0
2,74,2,5565.0,6180.0
2,75,3,5623.0,6238.0
2,76,4,5653.0,6268.0
2,77,5,5711.0,6326.0
2,78,6,5741.0,6356.0
2,79,7,5799.0,6414.0
2,80,8,5829.0,6444.0
2,81,1,6100.0,6710.0
2,82,2,6180.0,6795.0
2,83,3,6238.0,6853.0
2,84,4,6268.0,6883.0
2,85,5,6326.0,6941.0
2,86,6,6356.0,6971.0
2,87,7,6414.0,7029.0
2,88,8,6444.0,7059.0
2,89,1,6710.0,7320.0
2,90,2,6795.0,7410.0
2,91,3,6853.0,7468.0
2,92,4,6883.0,7498.0
2,93,5,6941.0,7556.0
2,94,6,6971.0,7586.0
2,95,7,7029.0,7644.0
2,96,8,7059.0,7674.0
2,97,1,7320.0,7930.0
2,98,2,7410.0,8025.0
2,99,3,7468.0,8083.0
2,100,4,7498.0,8113.0
2,101,5,7556.0,8171.0
2,102,6,7586.0,8201.0
2,103,7,7644.0,8259.0
2,104,8,7674.0,8289.0
2,105,1,7930.0,8540.0
2,106,2,8025.0,8640.0
2,107,3,8083.0,8698.0
2,108,4,8113.0,8728.0
2,109,5,8171.0,8786.0
2,110,6,8201.0,8816.0
2,111,7,8259.0,8874.0
2,112,8,8289.0,8904.0
2,113,1,8540.0,9150.0
2,114,2,8640.0,9255.0
2,115,3,8698.0,9313.0
2,116,4,8728.0,9343.0
2,117,5,8786.0,9401.0
2,118,6,8816.0,9431.0
2,119,7,8874.0,9489.0
2,120,8,8904.0,9519.0
2,121,1,9150.0,9760.0
2,122,2,9255.0,9870.0
2,123,3,9313.0,9928.0
2,124,4,9343.0,9958.0
2,125,5,9401.0,10016.0
2,126,6,9431.0,10046.0
2,127,7,9489.0,10104.0
2,128,8,9519.0,10134.0
2,129,1,9760.0,10370.0
2,130,2,9870.0,10485.0
2,131,3,9928.0,10543.0
2,132,4,9958.0,10573.0
2,133,5,10016.0,10631.0
2,134,6,10046.0,10661.0
2,135,7,10104.0,10719.0
2,136,8,10134.0,10749.0
2,137,1,10370.0,10980.0
2,138,2,10485.0,11100.0
2,139,3,10543.0,11158.0
2,140,4,10573.0,11188.0
2,141,5,10631.0,11246.0
2,142,6,10661.0,11276.0
2,143,7,10719.0,11334.0
2,144,8,10749.0,11364.0
2,145,1,10980.0,11590.0
2,146,2,11100.0,11715.0
2,147,3,11158.0,11773.0
2,148,4,11188.0,11803.0
2,149,5,11246.0,11861.0
2,150,6,11276.0,11891.0
2,151,7,11334.0,11949.0
2,152,8,11364.0,11979.0
2,153,1,11590.0,12200.0
2,154,2,11715.0,12330.0
2,155,3,11773.0,12388.0
2,156,4,11803.0,12418.0
2,157,5,11861.0,12476.0
2,158,6,11891.0,12506.0
2,159,7,11949.0,12564.0
2,160,8,11979.0,12594.0
2,161,1,12200.0,12810.0
2,162,2,12330.0,12945.0
2,163,3,12388.0,13003.0
2,164,4,12418.0,13033.0
2,165,5,12476.0,13091.0
2,166,6,12506.0,13121.0
2,167,7,12564.0,13179.0
2,168,8,12594.0,13209.0
2,169,1,12810.0,13420.0
2,170,2,12945.0,13560.0
2,171,3,13003.0,13618.0
2,172,4,13033.0,13648.0
2,173,5,13091.0,13706.0
2,174,6,13121.0,13736.0
2,175,7,13179.0,13794.0
2,176,8,13209.0,13824.0
2,177,1,13420.0,14030.0
2,178,2,13560.0,14175.0
2,179,3,13618.0,14233.0
2,180,4,13648.0,14263.0
2,181,5,13706.0,14321.0
2,182,6,13736.0,14351.0
2,183,7,13794.0,14409.0
2,184,8,13824.0,14439.0
2,185,1,14030.0,14640.0
2,186,2,14175.0,14790.0
2,187,3,14233.0,14848.0
2,188,4,14263.0,14878.0
2,189,5,14321.0,14936.0
2,190,6,14351.0,14966.0
2,191,7,14409.0,15024.0
2,192,8,14439.0,15054.0
2,193,1,14640.0,15250.0
2,194,2,14790.0,15405.0
2,195,3,14848.0,15463.0
2,196,4,14878.0,15493.0
2,197,5,14936.0,15551.0
2,198,6,14966.0,15581.0
2,199,7,15024.0,15639.0
2,200,8,15054.0,15669.0
2,201,1,15250.0,15860.0
2,202,2,15405.0,16020.0
2,203,3,15463.0,16078.0
2,204,4,15493.0,16108.0
2,205,5,15551.0,16166.0
2,206,6,15581.0,16196.0
2,207,7,15639.0,16254.0
2,208,8,15669.0,16284.0
2,209,1,15860.0,16470.0
2,210,2,16020.0,16635.0
2,211,3,16078.0,16693.0
2,212,4,16108.0,16723.0
2,213,5,16166.0,16781.0
2,214,6,16196.0,16811.0
2,215,7,16254.0,16869.0
2,216,8,16284.0,16899.0
2,217,1,16470.0,17080.0
2,218,2,16635.0,17250.0
2,219,3,16693.0,17308.0
2,220,4,16723.0,17338.0
2,221,5,16781.0,17396.0
2,222,6,16811.0,17426.0
2,223,7,16869.0,17484.0
2,224,8,16899.0,17514.0
2,225,1,17080.0,17690.0
2,226,2,17250.0,17865.0
2,227,3,17308.0,17923.0
2,228,4,17338.0,17953.0
2,229,5,17396.0,18011.0
2,230,6,17426.0,18041.0
2,231,7,17484.0,18099.0
2,232,8,17514.0,18129.0
2,233,1,17690.0,18300.0
2,234,2,17865.0,18480.0
2,235,3,17923.0,18538.0
2,236,4,17953.0,18568.0
2,237,5,18011.0,18626.0
2,238,6,18041.0,18656.0
2,239,7,18099.0,18714.0
2,240,8,18129.0,18744.0
2,241,1,18300.0,18910.0
2,242,2,18480.0,19095.0
2,243,3,18538.0,19153.0
2,244,4,18568.0,19183.0
2,245,5,18626.0,19241.0
2,246,6,18656.0,19271.0
2,247,7,18714.0,19329.0
2,248,8,18744.0,19359.0
2,249,1,18910.0,19520.0
2,250,2,19095.0,19710.0
2,251,3,19153.0,19768.0
2,252,4,19183.0,19798.0
2,253,5,19241.0,19856.0
2,254,6,19271.0,19886.0
2,255,7,19329.0,19944.0
2,256,8,19359.0,19974.0
2,257,1,19520.0,20130.0
2,258,2,19710.0,20325.0
2,259,3,19768.0,20383.0
2,260,4,19798.0,20413.0
2,261,5,19856.0,20471.0
2,262,6,19886.0,20501.0
2,263,7,19944.0,20559.0
2,264,8,19974.0,20589.0
2,265,1,20130.0,20740.0
2,266,2,20325.0,20940.0
2,267,3,20383.0,20998.0
2,268,4,20413.0,21028.0
2,269,5,20471.0,21086.0
2,270,6,20501.0,21116.0
2,271,7,20559.0,21174.0
2,272,8,20589.0,21204.0
2,273,1,20740.0,21350.0
2,274,2,20940.0,21555.0
2,275,3,20998.0,21613.0
2,276,4,21028.0,21643.0
2,277,5,21086.0,21701.0
2,278,6,21116.0,21731.0
2,279,7,21174.0,21789.0
2,280,8,21204.0,21819.0
2,281,1,21350.0,21960.0
2,282,2,21555.0,22170.0
2,283,3,21613.0,22228.0
2,284,4,21643.0,22258.0
2,285,5,21701.0,22316.0
2,286,6,21731.0,22346.0
2,287,7,21789.0,22404.0
2,288,8,21819.0,22434.0
2,289,1,21960.0,22570.0
2,290,2,22170.0,22785.0
2,291,3,22228.0,22843.0
2,292,4,22258.0,22873.0
2,293,5,22316.0,22931.0
2,294,6,22346.0,22961.0
2,295,7,22404.0,23019.0
2,296,8,22434.0,23049.0
2,297,1,22570.0,23180.0
2,298,2,22785.0,23400.0
2,299,3,22843.0,23458.0
2,300,4,22873.0,23488.0
2,301,5,22931.0,23546.0
2,302,6,22961.0,23576.0
2,303,7,23019.0,23634.0
2,304,8,23049.0,23664.0
2,305,1,23180.0,23790.0
2,306,2,23400.0,24015.0
2,307,3,23458.0,24073.0
2,308,4,23488.0,24103.0
2,309,5,23546.0,24161.0
2,310,6,23576.0,24191.0
2,311,7,23634.0,24249.0
2,312,8,23664.0,24279.0
2,313,1,23790.0,24400.0
2,314,2,24015.0,24630.0
2,315,3,24073.0,24688.0
2,316,4,24103.0,24718.0
2,317,5,24161.0,24776.0
2,318,6,24191.0,24806.0
2,319,7,24249.0,24864.0
2,320,8,24279.0,24894.0
2,321,1,24400.0,25010.0
2,322,2,24630.0,25245.0
2,323,3,24688.0,25303.0
2,324,4,24718.0,25333.0
2,325,5,24776.0,25391.0
2,326,6,24806.0,25421.0
2,327,7,24864.0,25479.0
2,328,8,24894.0,25509.0
2,329,1,25010.0,25620.0
2,330,2,25245.0,25860.0
2,331,3,25303.0,25918.0
2,332,4,25333.0,25948.0
2,333,5,25391.0,26006.0
2,334,6,25421.0,26036.0
2,335,7,25479.0,26094.0
2,336,8,25509.0,26124.0
2,337,1,25620.0,26230.0
2,338,2,25860.0,26475.0
2,339,3,25918.0,26533.0
2,340,4,25948.0,26563.0
2,341,5,26006.0,26621.0
2,342,6,26036.0,26651.0
2,343,7,26094.0,26709.0
2,344,8,26124.0,26739.0
2,345,1,26230.0,26840.0
2,346,2,26475.0,27090.0
2,347,3,26533.0,27148.0
2,348,4,26563.0,27178.0
2,349,5,26621.0,27236.0
2,350,6,26651.0,27266.0
2,351,7,26709.0,27324.0
2,352,8,26739.0,27354.0
2,353,1,26840.0,27450.0
2,354,2,27090.0,27705.0
2,355,3,27148.0,27763.0
2,356,4,27178.0,27793.0
2,357,5,27236.0,27851.0
2,358,6,27266.0,27881.0
2,359,7,27324.0,27939.0
2,360,8,27354.0,27969.0
2,361,1,27450.0,28063.0
2,362,2,27705.0,28320.0
2,363,3,27763.0,28378.0
2,364,4,27793.0,28408.0
2,365,5,27851.0,28466.0
2,366,6,27881.0,28496.0
2,367,7,27939.0,28554.0
2,368,8,27969.0,28584.0
2,369,1,28063.0,28678.0
3,1,1,0.0,572.0
3,2,2,27.0,604.0
3,3,3,77.0,654.0
3,4,4,104.0,681.0
3,5,5,154.0,731.0
3,6,6,181.0,758.0
3,7,7,231.0,808.0
3,8,8,258.0,835.0
3,9,1,572.0,1144.0
3,10,2,604.0,1181.0
3,11,3,654.0,1231.0
3,12,4,681.0,1258.0
3,13,5,731.0,1308.0
3,14,6,758.0,1335.0
3,15,7,808.0,1385.0
3,16,8,835.0,1412.0
3,17,1,1144.0,1716.0
3,18,2,1181.0,1758.0
3,19,3,1231.0,1808.0
3,20,4,1258.0,1835.0
3,21,5,1308.0,1885.0
3,22,6,1335.0,1912.0
3,23,7,1385.0,1962.0
3,24,8,1412.0,1989.0
3,25,1,1716.0,2288.0
3,26,2,1758.0,2335.0
3,27,3,1808.0,2385.0
3,28,4,1835.0,2412.0
3,29,5,1885.0,2462.0
3,30,6,1912.0,2489.0
3,31,7,1962.0,2539.0
3,32,8,1989.0,2566.0
3,33,1,2288.0,2860.0
3,34,2,2335.0,2912.0
3,35,3,2385.0,2962.0
3,36,4,2412.0,2989.0
3,37,5,2462.0,3039.0
3,38,6,2489.0,3066.0
3,39,7,2539.0,3116.0
3,40,8,2566.0,3143.0
3,41,1,2860.0,3432.0
3,42,2,2912.0,3489.0
3,43,3,2962.0,3539.0
3,44,4,2989.0,3566.0
3,45,5,3039.0,3616.0
3,46,6,3066.0,3643.0
3,47,7,3116.0,3693.0
3,48,8,3143.0,3720.0
3,49,1,3432.0,4004.0
3,50,2,3489.0,4066.0
3,51,3,3539.0,4116.0
3,52,4,3566.0,4143.0
3,53,5,3616.0,4193.0
3,54,6,3643.0,4220.0
3,55,7,3693.0,4270.0
3,56,8,3720.0,4297.0
3,57,1,4004.0,4576.0
3,58,2,4066.0,4643.0
3,59,3,4116.0,4693.0
3,60,4,4143.0,4720.0
3,61,5,4193.0,4770.0
3,62,6,4220.0,4797.0
3,63,7,4270.0,4847.0
3,64,8,4297.0,4874.0
3,65,1,4576.0,5148.0
3,66,2,4643.0,5220.0
3,68,4,4720.0,5297.0
3,69,5,4770.0,5347.0
3,70,6,4797.0,5374.0
3,71,7,4847.0,5424.0
3,72,8,4874.0,5451.0
3,73,1,5148.0,5720.0
3,74,2,5220.0,5810.0
3,75,4,5297.0,5874.0
3,76,5,5347.0,5924.0
3,77,6,5374.0,5951.0
3,78,7,5424.0,6001.0
3,79,8,5451.0,6028.0
3,80,1,5720.0,6292.0
3,81,3,5765.0,6337.0
3,82,2,5810.0,6387.0
3,83,4,5874.0,6451.0
3,84,5,5924.0,6501.0
3,85,6,5951.0,6528.0
3,86,7,6001.0,6578.0
3,87,8,6028.0,6605.0
3,88,1,6292.0,6864.0
3,89,3,6337.0,6909.0
3,90,2,6387.0,6964.0
3,91,4,6451.0,7028.0
3,92,5,6501.0,7078.0
3,93,6,6528.0,7105.0
3,94,7,6578.0,7155.0
3,95,8,6605.0,7182.0
3,96,1,6864.0,7436.0
3,97,3,6909.0,7481.0
3,98,2,6964.0,7541.0
3,99,4,7028.0,7605.0
3,100,5,7078.0,7655.0
3,101,6,7105.0,7682.0
3,102,7,7155.0,7732.0
3,103,8,7182.0,7759.0
3,104,1,7436.0,8008.0
3,105,3,7481.0,8053.0
3,106,2,7541.0,8118.0
3,108,5,7655.0,8227.0
3,109,6,7682.0,8259.0
3,110,7,7732.0,8309.0
3,111,8,7759.0,8336.0
3,112,1,8008.0,8622.109077
3,113,3,8053.0,8667.109077
3,114,2,8118.0,8712.109077
3,115,5,8227.0,8799.0
3,116,6,8259.0,8836.0
3,117,7,8309.0,8886.0
3,118,8,8336.0,8913.0
3,119,4,8572.109077,9149.109077
3,120,1,8622.109077,9199.109077
3,121,3,8667.109077,9244.109077
3,122,2,8712.109077,9289.109077
3,123,5,8799.0,9371.0
3,124,6,8836.0,9413.0
3,125,7,8886.0,9463.0
3,126,8,8913.0,9490.0
3,127,4,9149.109077,9726.109077
3,128,1,9199.109077,9776.109077
3,129,3,9244.109077,9821.109077
3,130,2,9289.109077,9866.109077
3,131,5,9371.0,9943.0
