meter_no,meter_name,function_zone,record_count,total_usage_m3,mean_interval_usage_m3,max_interval_usage_m3,observed_days,night_usage_m3,night_mean_interval_m3,night_active_interval_share,一季度,三季度,二季度,四季度,night_usage_share
3520300100,东大门温室,绿化试验区,35039,4217.22,0.120358,22.56,365,537.15,0.073592,0.673791,614.21,1808.49,926.65,867.87,0.127371
3620300100,XXX花圃+,绿化试验区,34003,47339.14,1.392205,501.0,363,2527.55,0.355893,0.418192,7047.71,13827.18,13514.08,12950.17,0.053392
3620300200,养殖队6721副表+,绿化试验区,34450,50620.96,1.469404,18.95,363,3865.65,0.539067,0.947706,8453.75,14167.05,12909.83,15090.33,0.076365
3620300300,64397副表,其他区域,34627,185988.92,5.371211,54.37,363,26346.35,3.638999,0.998895,33809.49,64573.18,45385.75,42220.5,0.141655
3620300400,区域3+,其他区域,34512,57152.87,1.656029,33.75,365,8393.44,1.160918,0.940249,15543.51,12965.23,14611.57,14032.56,0.146859
3620300500,校医院南+,办公服务区,34872,24145.4,0.692401,11.68,365,2448.61,0.33644,0.520747,5479.31,6908.49,5310.92,6446.68,0.101411
3620300600,养殖馆+,绿化试验区,31258,748.12,0.023934,2.3,363,70.65,0.010806,0.404711,150.6,164.65,280.74,152.13,0.094437
3620300700,养殖馆附房一楼厕所+,绿化试验区,33436,134.69,0.004028,0.2,363,6.39,0.00089,0.032883,14.33,53.76,41.58,25.02,0.047442
3620300800,养殖馆附房二楼厕所+,绿化试验区,32908,186.25,0.00566,0.55,363,3.86,0.000543,0.020962,37.0,66.86,45.53,36.86,0.020725
3620300900,养殖馆公共厕所+,绿化试验区,33889,146.07,0.00431,0.15,363,2.94,0.00041,0.014927,23.64,58.88,34.82,28.73,0.020127
3620301000,养殖馆附房保卫处宿舍+,宿舍生活区,32866,634.66,0.019311,7.23,363,38.82,0.005501,0.185348,155.1,185.67,164.46,129.43,0.061167
3620301100,养殖队+,绿化试验区,33607,262.75,0.007818,1.3,363,0.2,2.8e-05,0.000557,43.31,86.1,56.47,76.87,0.000761
3620301200,新大门传达室+,办公服务区,33787,110.97,0.003284,1.4,363,4.91,0.000688,0.023106,8.85,64.38,20.6,17.14,0.044246
3620301300,高配房+,其他区域,34093,1544.32,0.045297,2.65,363,410.24,0.057449,0.374597,124.75,560.35,335.54,523.68,0.265644
3620301400,区域4+,其他区域,34354,109700.91,3.19325,446.36,363,20714.07,2.882559,0.974534,12412.68,39109.68,40941.6,17236.95,0.188823
3620301500,茶园+,其他区域,34249,58.63,0.001712,2.95,363,5.89,0.000818,0.031385,11.89,10.81,5.93,30.0,0.100461
3620301700,教育超市+,其他区域,5464,1994.0,0.364934,6.95,59,413.41,0.357003,0.449914,1994.0,0.0,0.0,0.0,0.207327
3620301800,老医务楼2.3楼+,其他区域,33328,2391.97,0.071771,1.37,363,84.42,0.012555,0.375223,410.53,756.08,620.91,604.45,0.035293
3620301900,理发店+,其他区域,33023,92.61,0.002804,0.2,365,1.8,0.000259,0.008761,22.07,23.16,23.21,24.17,0.019436
3620302000,书店+,其他区域,33443,9.88,0.000295,0.05,365,0.37,5.3e-05,0.005291,1.76,1.82,2.89,3.41,0.037449
3620302100,东大门大棚+,绿化试验区,33635,338.47,0.010063,2.98,365,6.43,0.000901,0.014572,31.65,106.32,126.71,73.79,0.018997
3620302200,东大门传达室+,办公服务区,32657,984.2,0.030137,7.1,365,94.83,0.013613,0.553833,187.85,332.18,260.98,203.19,0.096352
3620302300,纳米楼厕所+,教学科研区,32825,175.23,0.005338,1.0,365,0.27,3.8e-05,0.001278,37.84,32.94,47.24,57.21,0.001541
3620302400,危险品仓库+,其他区域,34342,11.2,0.000326,0.1,363,0.21,2.9e-05,0.00291,1.05,3.24,4.86,2.05,0.01875
3620302500,校管中心种子楼东+,办公服务区,32378,944.33,0.029166,1.5,365,57.55,0.008223,0.179597,280.76,287.12,205.03,171.42,0.060943
3620302600,纳米楼3楼+,教学科研区,32618,421.96,0.012936,0.47,365,3.54,0.000505,0.020824,88.25,112.15,92.9,128.66,0.008389
3620302700,纳米楼4.5楼+,教学科研区,32306,239.57,0.007416,0.2,365,11.63,0.001668,0.054791,74.71,24.74,41.0,99.12,0.048545
3620302800,农业试验站大棚+,绿化试验区,29960,2015.06,0.067258,2.32,338,369.0,0.059401,0.707502,236.18,688.75,590.86,499.27,0.183121
3620302900,养鱼组厕所+,公共设施区,30410,738.03,0.024269,2.0,338,67.86,0.010498,0.401145,177.26,169.2,257.25,134.32,0.091947
3620303000,养鱼组临工宿舍+,宿舍生活区,30422,946.38,0.031108,0.81,338,36.16,0.005568,0.4749,114.12,314.88,260.22,257.16,0.038209
3620303100,车队+,办公服务区,30251,420.63,0.013905,0.83,338,1.12,0.000167,0.005207,58.56,135.44,120.53,106.1,0.002663
3620303200,消防,其他区域,23984,0.97,4e-05,0.33,254,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0
