component,kind,units,year,month,month_name,date,value
Lake Superior,level_m,meters,2005,8,Aug,2005-08-01,183.38
Lake Superior,level_m,meters,2005,9,Sep,2005-09-01,183.35
Lake Superior,level_m,meters,2005,10,Oct,2005-10-01,183.38
Lake Superior,level_m,meters,2005,11,Nov,2005-11-01,183.35
Lake Superior,level_m,meters,2005,12,Dec,2005-12-01,183.3
Lake Superior,level_m,meters,2006,1,Jan,2006-01-01,183.24
Lake Superior,level_m,meters,2006,2,Feb,2006-02-01,183.18
Lake Superior,level_m,meters,2006,3,Mar,2006-03-01,183.12
Lake Superior,level_m,meters,2006,4,Apr,2006-04-01,183.16
Lake Superior,level_m,meters,2006,5,May,2006-05-01,183.24
Lake Superior,level_m,meters,2006,6,Jun,2006-06-01,183.3
Lake Superior,level_m,meters,2006,7,Jul,2006-07-01,183.31
Lake Superior,level_m,meters,2006,8,Aug,2006-08-01,183.3
Lake Superior,level_m,meters,2006,9,Sep,2006-09-01,183.2
Lake Superior,level_m,meters,2006,10,Oct,2006-10-01,183.13
Lake Superior,level_m,meters,2006,11,Nov,2006-11-01,183.04
Lake Superior,level_m,meters,2006,12,Dec,2006-12-01,182.98
Lake Superior,level_m,meters,2007,1,Jan,2007-01-01,182.92
Lake Superior,level_m,meters,2007,2,Feb,2007-02-01,182.83
Lake Superior,level_m,meters,2007,3,Mar,2007-03-01,182.79
Lake Superior,level_m,meters,2007,4,Apr,2007-04-01,182.85
Lake Superior,level_m,meters,2007,5,May,2007-05-01,182.87
Lake Superior,level_m,meters,2007,6,Jun,2007-06-01,182.94
Lake Superior,level_m,meters,2007,7,Jul,2007-07-01,183.0
Lake Superior,level_m,meters,2007,8,Aug,2007-08-01,183.01
Lake Superior,level_m,meters,2007,9,Sep,2007-09-01,183.02
Lake Superior,level_m,meters,2007,10,Oct,2007-10-01,183.18
Lake Superior,level_m,meters,2007,11,Nov,2007-11-01,183.18
Lake Superior,level_m,meters,2007,12,Dec,2007-12-01,183.11
Lake Superior,level_m,meters,2008,1,Jan,2008-01-01,183.08
Lake Superior,level_m,meters,2008,2,Feb,2008-02-01,183.03
Lake Superior,level_m,meters,2008,3,Mar,2008-03-01,182.97
Lake Superior,level_m,meters,2008,4,Apr,2008-04-01,183.01
Lake Superior,level_m,meters,2008,5,May,2008-05-01,183.18
Lake Superior,level_m,meters,2008,6,Jun,2008-06-01,183.29
Lake Superior,level_m,meters,2008,7,Jul,2008-07-01,183.41
Lake Superior,level_m,meters,2008,8,Aug,2008-08-01,183.42
Lake Superior,level_m,meters,2008,9,Sep,2008-09-01,183.37
Lake Superior,level_m,meters,2008,10,Oct,2008-10-01,183.32
Lake Superior,level_m,meters,2008,11,Nov,2008-11-01,183.27
Lake Superior,level_m,meters,2008,12,Dec,2008-12-01,183.19
Lake Superior,level_m,meters,2009,1,Jan,2009-01-01,183.14
Lake Superior,level_m,meters,2009,2,Feb,2009-02-01,183.1
Lake Superior,level_m,meters,2009,3,Mar,2009-03-01,183.09
Lake Superior,level_m,meters,2009,4,Apr,2009-04-01,183.12
Lake Superior,level_m,meters,2009,5,May,2009-05-01,183.24
Lake Superior,level_m,meters,2009,6,Jun,2009-06-01,183.3
Lake Superior,level_m,meters,2009,7,Jul,2009-07-01,183.34
Lake Superior,level_m,meters,2009,8,Aug,2009-08-01,183.39
Lake Superior,level_m,meters,2009,9,Sep,2009-09-01,183.42
Lake Superior,level_m,meters,2009,10,Oct,2009-10-01,183.36
Lake Superior,level_m,meters,2009,11,Nov,2009-11-01,183.35
Lake Superior,level_m,meters,2009,12,Dec,2009-12-01,183.3
Lake Superior,level_m,meters,2010,1,Jan,2010-01-01,183.21
Lake Superior,level_m,meters,2010,2,Feb,2010-02-01,183.14
Lake Superior,level_m,meters,2010,3,Mar,2010-03-01,183.09
Lake Superior,level_m,meters,2010,4,Apr,2010-04-01,183.08
Lake Superior,level_m,meters,2010,5,May,2010-05-01,183.08
Lake Superior,level_m,meters,2010,6,Jun,2010-06-01,183.13
Lake Superior,level_m,meters,2010,7,Jul,2010-07-01,183.19
Lake Superior,level_m,meters,2010,8,Aug,2010-08-01,183.2
Lake Superior,level_m,meters,2010,9,Sep,2010-09-01,183.22
Lake Superior,level_m,meters,2010,10,Oct,2010-10-01,183.19
Lake Superior,level_m,meters,2010,11,Nov,2010-11-01,183.14
Lake Superior,level_m,meters,2010,12,Dec,2010-12-01,183.07
Lake Superior,level_m,meters,2011,1,Jan,2011-01-01,183.0
Lake Superior,level_m,meters,2011,2,Feb,2011-02-01,182.93
Lake Superior,level_m,meters,2011,3,Mar,2011-03-01,182.87
Lake Superior,level_m,meters,2011,4,Apr,2011-04-01,182.91
Lake Superior,level_m,meters,2011,5,May,2011-05-01,183.04
Lake Superior,level_m,meters,2011,6,Jun,2011-06-01,183.15
Lake Superior,level_m,meters,2011,7,Jul,2011-07-01,183.25
Lake Superior,level_m,meters,2011,8,Aug,2011-08-01,183.28
Lake Superior,level_m,meters,2011,9,Sep,2011-09-01,183.23
Lake Superior,level_m,meters,2011,10,Oct,2011-10-01,183.21
Lake Superior,level_m,meters,2011,11,Nov,2011-11-01,183.16
Lake Superior,level_m,meters,2011,12,Dec,2011-12-01,183.09
Lake Superior,level_m,meters,2012,1,Jan,2012-01-01,183.01
Lake Superior,level_m,meters,2012,2,Feb,2012-02-01,182.94
Lake Superior,level_m,meters,2012,3,Mar,2012-03-01,182.93
Lake Superior,level_m,meters,2012,4,Apr,2012-04-01,183.0
Lake Superior,level_m,meters,2012,5,May,2012-05-01,183.06
Lake Superior,level_m,meters,2012,6,Jun,2012-06-01,183.2
Lake Superior,level_m,meters,2012,7,Jul,2012-07-01,183.3
Lake Superior,level_m,meters,2012,8,Aug,2012-08-01,183.27
Lake Superior,level_m,meters,2012,9,Sep,2012-09-01,183.2
Lake Superior,level_m,meters,2012,10,Oct,2012-10-01,183.12
Lake Superior,level_m,meters,2012,11,Nov,2012-11-01,183.1
Lake Superior,level_m,meters,2012,12,Dec,2012-12-01,183.05
Lake Superior,level_m,meters,2013,1,Jan,2013-01-01,182.98
Lake Superior,level_m,meters,2013,2,Feb,2013-02-01,182.94
Lake Superior,level_m,meters,2013,3,Mar,2013-03-01,182.9
Lake Superior,level_m,meters,2013,4,Apr,2013-04-01,182.92
Lake Superior,level_m,meters,2013,5,May,2013-05-01,183.11
Lake Superior,level_m,meters,2013,6,Jun,2013-06-01,183.26
Lake Superior,level_m,meters,2013,7,Jul,2013-07-01,183.37
Lake Superior,level_m,meters,2013,8,Aug,2013-08-01,183.44
Lake Superior,level_m,meters,2013,9,Sep,2013-09-01,183.48
Lake Superior,level_m,meters,2013,10,Oct,2013-10-01,183.45
Lake Superior,level_m,meters,2013,11,Nov,2013-11-01,183.4
Lake Superior,level_m,meters,2013,12,Dec,2013-12-01,183.35
Lake Superior,level_m,meters,2014,1,Jan,2014-01-01,183.29
Lake Superior,level_m,meters,2014,2,Feb,2014-02-01,183.24
Lake Superior,level_m,meters,2014,3,Mar,2014-03-01,183.23
Lake Superior,level_m,meters,2014,4,Apr,2014-04-01,183.27
Lake Superior,level_m,meters,2014,5,May,2014-05-01,183.47
Lake Superior,level_m,meters,2014,6,Jun,2014-06-01,183.6
Lake Superior,level_m,meters,2014,7,Jul,2014-07-01,183.66
Lake Superior,level_m,meters,2014,8,Aug,2014-08-01,183.67
Lake Superior,level_m,meters,2014,9,Sep,2014-09-01,183.7
Lake Superior,level_m,meters,2014,10,Oct,2014-10-01,183.71
Lake Superior,level_m,meters,2014,11,Nov,2014-11-01,183.67
Lake Superior,level_m,meters,2014,12,Dec,2014-12-01,183.6
Lake Superior,level_m,meters,2015,1,Jan,2015-01-01,183.54
Lake Superior,level_m,meters,2015,2,Feb,2015-02-01,183.47
Lake Superior,level_m,meters,2015,3,Mar,2015-03-01,183.42
Lake Superior,level_m,meters,2015,4,Apr,2015-04-01,183.44
Lake Superior,level_m,meters,2015,5,May,2015-05-01,183.53
Lake Superior,level_m,meters,2015,6,Jun,2015-06-01,183.63
Lake Superior,level_m,meters,2015,7,Jul,2015-07-01,183.68
Lake Superior,level_m,meters,2015,8,Aug,2015-08-01,183.68
Lake Superior,level_m,meters,2015,9,Sep,2015-09-01,183.69
Lake Superior,level_m,meters,2015,10,Oct,2015-10-01,183.6
Lake Superior,level_m,meters,2015,11,Nov,2015-11-01,183.58
Lake Superior,level_m,meters,2015,12,Dec,2015-12-01,183.59
Lake Superior,level_m,meters,2016,1,Jan,2016-01-01,183.55
Lake Superior,level_m,meters,2016,2,Feb,2016-02-01,183.49
Lake Superior,level_m,meters,2016,3,Mar,2016-03-01,183.46
Lake Superior,level_m,meters,2016,4,Apr,2016-04-01,183.48
Lake Superior,level_m,meters,2016,5,May,2016-05-01,183.5
Lake Superior,level_m,meters,2016,6,Jun,2016-06-01,183.61
Lake Superior,level_m,meters,2016,7,Jul,2016-07-01,183.69
Lake Superior,level_m,meters,2016,8,Aug,2016-08-01,183.7
Lake Superior,level_m,meters,2016,9,Sep,2016-09-01,183.7
Lake Superior,level_m,meters,2016,10,Oct,2016-10-01,183.68
Lake Superior,level_m,meters,2016,11,Nov,2016-11-01,183.59
Lake Superior,level_m,meters,2016,12,Dec,2016-12-01,183.54
Lake Superior,level_m,meters,2017,1,Jan,2017-01-01,183.47
Lake Superior,level_m,meters,2017,2,Feb,2017-02-01,183.43
Lake Superior,level_m,meters,2017,3,Mar,2017-03-01,183.39
Lake Superior,level_m,meters,2017,4,Apr,2017-04-01,183.41
Lake Superior,level_m,meters,2017,5,May,2017-05-01,183.56
Lake Superior,level_m,meters,2017,6,Jun,2017-06-01,183.67
Lake Superior,level_m,meters,2017,7,Jul,2017-07-01,183.75
Lake Superior,level_m,meters,2017,8,Aug,2017-08-01,183.78
Lake Superior,level_m,meters,2017,9,Sep,2017-09-01,183.8
Lake Superior,level_m,meters,2017,10,Oct,2017-10-01,183.81
Lake Superior,level_m,meters,2017,11,Nov,2017-11-01,183.78
Lake Superior,level_m,meters,2017,12,Dec,2017-12-01,183.72
Lake Superior,level_m,meters,2018,1,Jan,2018-01-01,183.65
Lake Superior,level_m,meters,2018,2,Feb,2018-02-01,183.58
Lake Superior,level_m,meters,2018,3,Mar,2018-03-01,183.54
Lake Superior,level_m,meters,2018,4,Apr,2018-04-01,183.47
Lake Superior,level_m,meters,2018,5,May,2018-05-01,183.5
Lake Superior,level_m,meters,2018,6,Jun,2018-06-01,183.56
Lake Superior,level_m,meters,2018,7,Jul,2018-07-01,183.65
Lake Superior,level_m,meters,2018,8,Aug,2018-08-01,183.65
Lake Superior,level_m,meters,2018,9,Sep,2018-09-01,183.7
Lake Superior,level_m,meters,2018,10,Oct,2018-10-01,183.77
Lake Superior,level_m,meters,2018,11,Nov,2018-11-01,183.76
Lake Superior,level_m,meters,2018,12,Dec,2018-12-01,183.67
Lake Superior,level_m,meters,2019,1,Jan,2019-01-01,183.62
Lake Superior,level_m,meters,2019,2,Feb,2019-02-01,183.58
Lake Superior,level_m,meters,2019,3,Mar,2019-03-01,183.57
Lake Superior,level_m,meters,2019,4,Apr,2019-04-01,183.61
Lake Superior,level_m,meters,2019,5,May,2019-05-01,183.77
Lake Superior,level_m,meters,2019,6,Jun,2019-06-01,183.84
Lake Superior,level_m,meters,2019,7,Jul,2019-07-01,183.86
Lake Superior,level_m,meters,2019,8,Aug,2019-08-01,183.86
Lake Superior,level_m,meters,2019,9,Sep,2019-09-01,183.86
Lake Superior,level_m,meters,2019,10,Oct,2019-10-01,183.88
Lake Superior,level_m,meters,2019,11,Nov,2019-11-01,183.81
Lake Superior,level_m,meters,2019,12,Dec,2019-12-01,183.74
Lake Superior,level_m,meters,2020,1,Jan,2020-01-01,183.71
Lake Superior,level_m,meters,2020,2,Feb,2020-02-01,183.64
Lake Superior,level_m,meters,2020,3,Mar,2020-03-01,183.57
Lake Superior,level_m,meters,2020,4,Apr,2020-04-01,183.62
Lake Superior,level_m,meters,2020,5,May,2020-05-01,183.64
Lake Superior,level_m,meters,2020,6,Jun,2020-06-01,183.7
Lake Superior,level_m,meters,2020,7,Jul,2020-07-01,183.76
Lake Superior,level_m,meters,2020,8,Aug,2020-08-01,183.81
Lake Superior,level_m,meters,2020,9,Sep,2020-09-01,183.79
Lake Superior,level_m,meters,2020,10,Oct,2020-10-01,183.76
Lake Superior,level_m,meters,2020,11,Nov,2020-11-01,183.71
Lake Superior,level_m,meters,2020,12,Dec,2020-12-01,183.63
Lake Superior,level_m,meters,2021,1,Jan,2021-01-01,183.54
Lake Superior,level_m,meters,2021,2,Feb,2021-02-01,183.46
Lake Superior,level_m,meters,2021,3,Mar,2021-03-01,183.42
Lake Superior,level_m,meters,2021,4,Apr,2021-04-01,183.48
Lake Superior,level_m,meters,2021,5,May,2021-05-01,183.51
Lake Superior,level_m,meters,2021,6,Jun,2021-06-01,183.55
Lake Superior,level_m,meters,2021,7,Jul,2021-07-01,183.56
Lake Superior,level_m,meters,2021,8,Aug,2021-08-01,183.54
Lake Superior,level_m,meters,2021,9,Sep,2021-09-01,183.51
Lake Superior,level_m,meters,2021,10,Oct,2021-10-01,183.48
Lake Superior,level_m,meters,2021,11,Nov,2021-11-01,183.38
Lake Superior,level_m,meters,2021,12,Dec,2021-12-01,183.31
Lake Superior,level_m,meters,2022,1,Jan,2022-01-01,183.24
Lake Superior,level_m,meters,2022,2,Feb,2022-02-01,183.17
Lake Superior,level_m,meters,2022,3,Mar,2022-03-01,183.15
Lake Superior,level_m,meters,2022,4,Apr,2022-04-01,183.24
Lake Superior,level_m,meters,2022,5,May,2022-05-01,183.44
Lake Superior,level_m,meters,2022,6,Jun,2022-06-01,183.57
Lake Superior,level_m,meters,2022,7,Jul,2022-07-01,183.62
Lake Superior,level_m,meters,2022,8,Aug,2022-08-01,183.65
Lake Superior,level_m,meters,2022,9,Sep,2022-09-01,183.65
Lake Superior,level_m,meters,2022,10,Oct,2022-10-01,183.6
Lake Superior,level_m,meters,2022,11,Nov,2022-11-01,183.6
Lake Superior,level_m,meters,2022,12,Dec,2022-12-01,183.57
St. Mary's River,flow_cms,cubic meters per second,2008,12,Dec,2008-12-01,1830.9671248658703
St. Mary's River,flow_cms,cubic meters per second,2009,1,Jan,2009-01-01,1567.3373084028135
St. Mary's River,flow_cms,cubic meters per second,2009,2,Feb,2009-02-01,1584.8937516044348
St. Mary's River,flow_cms,cubic meters per second,2009,3,Mar,2009-03-01,1657.9512087982787
St. Mary's River,flow_cms,cubic meters per second,2009,4,Apr,2009-04-01,1668.4284410315045
St. Mary's River,flow_cms,cubic meters per second,2009,5,May,2009-05-01,1916.4839933640906
St. Mary's River,flow_cms,cubic meters per second,2009,6,Jun,2009-06-01,2147.266270933791
St. Mary's River,flow_cms,cubic meters per second,2009,7,Jul,2009-07-01,2020.4068103801399
St. Mary's River,flow_cms,cubic meters per second,2009,8,Aug,2009-08-01,1870.3275378501505
St. Mary's River,flow_cms,cubic meters per second,2009,9,Sep,2009-09-01,2163.1237035029976
St. Mary's River,flow_cms,cubic meters per second,2009,10,Oct,2009-10-01,1775.4661108736477
St. Mary's River,flow_cms,cubic meters per second,2009,11,Nov,2009-11-01,1731.8581713083302
St. Mary's River,flow_cms,cubic meters per second,2009,12,Dec,2009-12-01,1775.4661108736477
St. Mary's River,flow_cms,cubic meters per second,2010,1,Jan,2010-01-01,1999.4523459136885
St. Mary's River,flow_cms,cubic meters per second,2010,2,Feb,2010-02-01,1750.5472882648949
St. Mary's River,flow_cms,cubic meters per second,2010,3,Mar,2010-03-01,1546.949180813834
St. Mary's River,flow_cms,cubic meters per second,2010,4,Apr,2010-04-01,1653.9868506559772
St. Mary's River,flow_cms,cubic meters per second,2010,5,May,2010-05-01,1503.341241248516
St. Mary's River,flow_cms,cubic meters per second,2010,6,Jun,2010-06-01,1544.967001742683
St. Mary's River,flow_cms,cubic meters per second,2010,7,Jul,2010-07-01,1554.0283917822294
St. Mary's River,flow_cms,cubic meters per second,2010,8,Aug,2010-08-01,1532.5075904383066
St. Mary's River,flow_cms,cubic meters per second,2010,9,Sep,2010-09-01,1515.234315675421
St. Mary's River,flow_cms,cubic meters per second,2010,10,Oct,2010-10-01,1485.7847980468948
St. Mary's River,flow_cms,cubic meters per second,2010,11,Nov,2010-11-01,1486.0679664856304
St. Mary's River,flow_cms,cubic meters per second,2010,12,Dec,2010-12-01,1499.9432199836863
St. Mary's River,flow_cms,cubic meters per second,2011,1,Jan,2011-01-01,1523.1630319600242
St. Mary's River,flow_cms,cubic meters per second,2011,2,Feb,2011-02-01,1430.2837840546722
St. Mary's River,flow_cms,cubic meters per second,2011,3,Mar,2011-03-01,1261.5153945681182
St. Mary's River,flow_cms,cubic meters per second,2011,4,Apr,2011-04-01,1337.1213677105845
St. Mary's River,flow_cms,cubic meters per second,2011,5,May,2011-05-01,1466.2461757741225
St. Mary's River,flow_cms,cubic meters per second,2011,6,Jun,2011-06-01,1563.6561186992476
St. Mary's River,flow_cms,cubic meters per second,2011,7,Jul,2011-07-01,1705.8066749446339
St. Mary's River,flow_cms,cubic meters per second,2011,8,Aug,2011-08-01,1713.4522227905013
St. Mary's River,flow_cms,cubic meters per second,2011,9,Sep,2011-09-01,1565.3551293316627
St. Mary's River,flow_cms,cubic meters per second,2011,10,Oct,2011-10-01,1496.828367157592
St. Mary's River,flow_cms,cubic meters per second,2011,11,Nov,2011-11-01,1533.357095754514
St. Mary's River,flow_cms,cubic meters per second,2011,12,Dec,2011-12-01,1521.747189766345
St. Mary's River,flow_cms,cubic meters per second,2012,1,Jan,2012-01-01,1473.3253867425183
St. Mary's River,flow_cms,cubic meters per second,2012,2,Feb,2012-02-01,1467.09568109033
St. Mary's River,flow_cms,cubic meters per second,2012,3,Mar,2012-03-01,1324.661956406208
St. Mary's River,flow_cms,cubic meters per second,2012,4,Apr,2012-04-01,1469.6441970389524
St. Mary's River,flow_cms,cubic meters per second,2012,5,May,2012-05-01,1476.4402395686125
St. Mary's River,flow_cms,cubic meters per second,2012,6,Jun,2012-06-01,1577.5313721973032
St. Mary's River,flow_cms,cubic meters per second,2012,7,Jul,2012-07-01,2042.7771170402702
St. Mary's River,flow_cms,cubic meters per second,2012,8,Aug,2012-08-01,2107.622689510775
St. Mary's River,flow_cms,cubic meters per second,2012,9,Sep,2012-09-01,1768.9532367827237
St. Mary's River,flow_cms,cubic meters per second,2012,10,Oct,2012-10-01,1422.0718993313333
St. Mary's River,flow_cms,cubic meters per second,2012,11,Nov,2012-11-01,1540.1531382841738
St. Mary's River,flow_cms,cubic meters per second,2012,12,Dec,2012-12-01,1517.2164947465717
St. Mary's River,flow_cms,cubic meters per second,2013,1,Jan,2013-01-01,1495.6956934026487
St. Mary's River,flow_cms,cubic meters per second,2013,2,Feb,2013-02-01,1455.2026066634253
St. Mary's River,flow_cms,cubic meters per second,2013,3,Mar,2013-03-01,1505.8897571971386
St. Mary's River,flow_cms,cubic meters per second,2013,4,Apr,2013-04-01,1502.208567493573
St. Mary's River,flow_cms,cubic meters per second,2013,5,May,2013-05-01,1572.4343403000585
St. Mary's River,flow_cms,cubic meters per second,2013,6,Jun,2013-06-01,2170.4860829101294
St. Mary's River,flow_cms,cubic meters per second,2013,7,Jul,2013-07-01,2332.7415983057595
St. Mary's River,flow_cms,cubic meters per second,2013,8,Aug,2013-08-01,2663.199166310472
St. Mary's River,flow_cms,cubic meters per second,2013,9,Sep,2013-09-01,2659.2348081681703
St. Mary's River,flow_cms,cubic meters per second,2013,10,Oct,2013-10-01,2650.1734181286233
St. Mary's River,flow_cms,cubic meters per second,2013,11,Nov,2013-11-01,2222.305907198786
St. Mary's River,flow_cms,cubic meters per second,2013,12,Dec,2013-12-01,2158.8761769219605
St. Mary's River,flow_cms,cubic meters per second,2014,1,Jan,2014-01-01,2034.2820638781955
St. Mary's River,flow_cms,cubic meters per second,2014,2,Feb,2014-02-01,1960.0919329294084
St. Mary's River,flow_cms,cubic meters per second,2014,3,Mar,2014-03-01,1967.45431233654
St. Mary's River,flow_cms,cubic meters per second,2014,4,Apr,2014-04-01,2071.093960913853
St. Mary's River,flow_cms,cubic meters per second,2014,5,May,2014-05-01,2297.911880341252
St. Mary's River,flow_cms,cubic meters per second,2014,6,Jun,2014-06-01,2612.5120157767583
St. Mary's River,flow_cms,cubic meters per second,2014,7,Jul,2014-07-01,3055.387453959595
St. Mary's River,flow_cms,cubic meters per second,2014,8,Aug,2014-08-01,3069.5458758963864
St. Mary's River,flow_cms,cubic meters per second,2014,9,Sep,2014-09-01,2780.147731508369
St. Mary's River,flow_cms,cubic meters per second,2014,10,Oct,2014-10-01,2908.1398658169637
St. Mary's River,flow_cms,cubic meters per second,2014,11,Nov,2014-11-01,2860.0012312318727
St. Mary's River,flow_cms,cubic meters per second,2014,12,Dec,2014-12-01,2468.3792804602213
St. Mary's River,flow_cms,cubic meters per second,2015,1,Jan,2015-01-01,2263.3653308154812
St. Mary's River,flow_cms,cubic meters per second,2015,2,Feb,2015-02-01,2192.8563895702596
St. Mary's River,flow_cms,cubic meters per second,2015,3,Mar,2015-03-01,2193.1395580089957
St. Mary's River,flow_cms,cubic meters per second,2015,4,Apr,2015-04-01,1985.8602608543688
St. Mary's River,flow_cms,cubic meters per second,2015,5,May,2015-05-01,2395.0386548276415
St. Mary's River,flow_cms,cubic meters per second,2015,6,Jun,2015-06-01,2629.218953662172
St. Mary's River,flow_cms,cubic meters per second,2015,7,Jul,2015-07-01,2947.78344723998
St. Mary's River,flow_cms,cubic meters per second,2015,8,Aug,2015-08-01,2970.436922338846
St. Mary's River,flow_cms,cubic meters per second,2015,9,Sep,2015-09-01,2671.127882595075
St. Mary's River,flow_cms,cubic meters per second,2015,10,Oct,2015-10-01,2687.5516520417527
St. Mary's River,flow_cms,cubic meters per second,2015,11,Nov,2015-11-01,2236.747497574313
St. Mary's River,flow_cms,cubic meters per second,2015,12,Dec,2015-12-01,2360.2089368631346
St. Mary's River,flow_cms,cubic meters per second,2016,1,Jan,2016-01-01,2491.3159239978236
St. Mary's River,flow_cms,cubic meters per second,2016,2,Feb,2016-02-01,2459.8842272981465
St. Mary's River,flow_cms,cubic meters per second,2016,3,Mar,2016-03-01,2455.919869155845
St. Mary's River,flow_cms,cubic meters per second,2016,4,Apr,2016-04-01,2165.955387890356
St. Mary's River,flow_cms,cubic meters per second,2016,5,May,2016-05-01,2414.577277100414
St. Mary's River,flow_cms,cubic meters per second,2016,6,Jun,2016-06-01,2486.7852289780503
St. Mary's River,flow_cms,cubic meters per second,2016,7,Jul,2016-07-01,2953.446816014696
St. Mary's River,flow_cms,cubic meters per second,2016,8,Aug,2016-08-01,3035.565663248087
St. Mary's River,flow_cms,cubic meters per second,2016,9,Sep,2016-09-01,2525.012968207387
St. Mary's River,flow_cms,cubic meters per second,2016,10,Oct,2016-10-01,2728.3279072197124
St. Mary's River,flow_cms,cubic meters per second,2016,11,Nov,2016-11-01,2586.743687851798
St. Mary's River,flow_cms,cubic meters per second,2016,12,Dec,2016-12-01,2465.8307645115988
St. Mary's River,flow_cms,cubic meters per second,2017,1,Jan,2017-01-01,2256.0029514083494
St. Mary's River,flow_cms,cubic meters per second,2017,2,Feb,2017-02-01,2431.001046547092
