meter_no,meter_name,function_zone,night_usage_m3,night_usage_share,night_mean_interval_m3,night_active_interval_share
3370300100,XXXK,其他区域,274.42,0.107462,0.037597,0.338951
0,司法鉴定中心,办公服务区,22.84,0.107777,0.003129,0.297438
3620302700,纳米楼4.5楼+,教学科研区,11.63,0.048545,0.001668,0.054791
3620300600,养殖馆+,绿化试验区,70.65,0.094437,0.010806,0.404711
3390100500,XXX第二食堂,食堂餐饮区,1152.27,0.061869,0.157867,0.6368
3620302200,东大门传达室+,办公服务区,94.83,0.096352,0.013613,0.553833
3422200100,XXX东大楼,教学科研区,77.36,0.09278,0.010599,0.159063
3370100100,XXXL楼,其他区域,212.71,0.088856,0.029142,0.348815
3620302900,养鱼组厕所+,公共设施区,67.86,0.091947,0.010498,0.401145
3210100200,XXX成教院XXX分院,其他区域,136.77,0.083309,0.018738,0.19989
3421300100,XXX中心大楼泵房,教学科研区,391.74,0.067455,0.05367,0.434032
3210100100,XXX干训楼,其他区域,695.2,0.056123,0.095246,0.563776
3390100300,XXX锅炉房,公共设施区,303.65,0.069711,0.041602,0.328127
3480300100,XXX老六楼,其他区域,165.53,0.071498,0.029354,0.611633
3400500100,XXX教学大楼总表,教学科研区,291.98,0.055035,0.040003,0.267297
3620301000,养殖馆附房保卫处宿舍+,宿舍生活区,38.82,0.061167,0.005501,0.185348
3421200300,XXX田径场厕所,公共设施区,92.44,0.057629,0.012665,0.135909
3620302600,纳米楼3楼+,教学科研区,3.54,0.008389,0.000505,0.020824
3421400100,浴室,宿舍生活区,175.14,0.055776,0.023995,0.497191
3421300300,XXX大楼厕所西,教学科研区,211.07,0.040712,0.028918,0.460063
3620300700,养殖馆附房一楼厕所+,绿化试验区,6.39,0.047442,0.00089,0.032883
3315400200,XXXM馆,其他区域,7.72,0.044532,0.001058,0.055624
3620301200,新大门传达室+,办公服务区,4.91,0.044246,0.000688,0.023106
3170100600,XXX西大楼,教学科研区,289.37,0.027709,0.039645,0.203864
3160300300,XXX植物园,绿化试验区,2.93,0.039382,0.000401,0.040142
3160200300,XXX第一食堂,食堂餐饮区,113.79,0.037644,0.01559,0.200849
3620302000,书店+,其他区域,0.37,0.037449,5.3e-05,0.005291
3620303000,养鱼组临工宿舍+,宿舍生活区,36.16,0.038209,0.005568,0.4749
3390100200,XXX航空航天,其他区域,34.17,0.037919,0.004681,0.052747
3620301800,老医务楼2.3楼+,其他区域,84.42,0.035293,0.012555,0.375223
3421300200,XXX大楼厕所东,教学科研区,37.89,0.033879,0.005191,0.283189
3390100400,XXX第五食堂,食堂餐饮区,46.27,0.025102,0.006339,0.114125
3620300800,养殖馆附房二楼厕所+,绿化试验区,3.86,0.020725,0.000543,0.020962
3620300900,养殖馆公共厕所+,绿化试验区,2.94,0.020127,0.00041,0.014927
3620301900,理发店+,其他区域,1.8,0.019436,0.000259,0.008761
3620302100,东大门大棚+,绿化试验区,6.43,0.018997,0.000901,0.014572
3620302400,危险品仓库+,其他区域,0.21,0.01875,2.9e-05,0.00291
3030100102,物业,办公服务区,4.03,0.01427,0.000727,0.029757
3360300100,新留学生楼,宿舍生活区,1.69,0.013953,0.000241,0.023077
3620301100,养殖队+,绿化试验区,0.2,0.000761,2.8e-05,0.000557
3170200100,XXX中心水池,办公服务区,0.0,0.0,0.0,0.0
3620302300,纳米楼厕所+,教学科研区,0.27,0.001541,3.8e-05,0.001278
3030100101,体育馆网球场值班室,其他区域,0.02,0.000795,4e-06,0.00036
3620303200,消防,其他区域,0.0,0.0,0.0,0.0
