ssa_drones,repeater_drones,total_drones,purchase_cost_aud,capability_safety_score,economics_penalty,objective_score
15,5,20,200000,1.0,0.02,0.98
14,6,20,200000,1.0,0.02,0.98
16,4,20,200000,1.0,0.02,0.98
8,5,13,130000,0.993,0.013,0.98
18,2,20,200000,1.0,0.02,0.98
17,3,20,200000,1.0,0.02,0.98
12,8,20,200000,1.0,0.02,0.98
11,9,20,200000,1.0,0.02,0.98
13,7,20,200000,1.0,0.02,0.98
10,8,18,180000,0.9977,0.018,0.9797
7,4,11,110000,0.9906,0.011,0.9796
9,7,16,160000,0.9954,0.016,0.9794
6,3,9,90000,0.9883,0.009,0.9793
15,6,21,210000,1.0,0.021,0.979
16,5,21,210000,1.0,0.021,0.979
12,9,21,210000,1.0,0.021,0.979
8,6,14,140000,0.993,0.014,0.979
17,4,21,210000,1.0,0.021,0.979
13,8,21,210000,1.0,0.021,0.979
14,7,21,210000,1.0,0.021,0.979
18,3,21,210000,1.0,0.021,0.979
11,10,21,210000,1.0,0.021,0.979
5,2,7,70000,0.9859,0.007,0.9789
10,9,19,190000,0.9977,0.019,0.9787
7,5,12,120000,0.9906,0.012,0.9786
9,8,17,170000,0.9954,0.017,0.9784
6,4,10,100000,0.9883,0.01,0.9783
17,5,22,220000,1.0,0.022,0.978
11,11,22,220000,1.0,0.022,0.978
12,10,22,220000,1.0,0.022,0.978
14,8,22,220000,1.0,0.022,0.978
18,4,22,220000,1.0,0.022,0.978
15,7,22,220000,1.0,0.022,0.978
16,6,22,220000,1.0,0.022,0.978
13,9,22,220000,1.0,0.022,0.978
8,7,15,150000,0.993,0.015,0.978
5,3,8,80000,0.9859,0.008,0.9779
10,10,20,200000,0.9977,0.02,0.9777
7,6,13,130000,0.9906,0.013,0.9776
9,9,18,180000,0.9954,0.018,0.9774
6,5,11,110000,0.9883,0.011,0.9773
13,10,23,230000,1.0,0.023,0.977
11,12,23,230000,1.0,0.023,0.977
17,6,23,230000,1.0,0.023,0.977
8,8,16,160000,0.993,0.016,0.977
18,5,23,230000,1.0,0.023,0.977
14,9,23,230000,1.0,0.023,0.977
15,8,23,230000,1.0,0.023,0.977
16,7,23,230000,1.0,0.023,0.977
12,11,23,230000,1.0,0.023,0.977
5,4,9,90000,0.9859,0.009,0.9769
10,11,21,210000,0.9977,0.021,0.9767
7,7,14,140000,0.9906,0.014,0.9766
9,10,19,190000,0.9954,0.019,0.9764
6,6,12,120000,0.9883,0.012,0.9763
11,13,24,240000,1.0,0.024,0.976
12,12,24,240000,1.0,0.024,0.976
17,7,24,240000,1.0,0.024,0.976
13,11,24,240000,1.0,0.024,0.976
18,6,24,240000,1.0,0.024,0.976
14,10,24,240000,1.0,0.024,0.976
15,9,24,240000,1.0,0.024,0.976
8,9,17,170000,0.993,0.017,0.976
16,8,24,240000,1.0,0.024,0.976
5,5,10,100000,0.9859,0.01,0.9759
10,12,22,220000,0.9977,0.022,0.9757
7,8,15,150000,0.9906,0.015,0.9756
9,11,20,200000,0.9954,0.02,0.9754
6,7,13,130000,0.9883,0.013,0.9753
11,14,25,250000,1.0,0.025,0.975
14,11,25,250000,1.0,0.025,0.975
17,8,25,250000,1.0,0.025,0.975
16,9,25,250000,1.0,0.025,0.975
13,12,25,250000,1.0,0.025,0.975
18,7,25,250000,1.0,0.025,0.975
12,13,25,250000,1.0,0.025,0.975
15,10,25,250000,1.0,0.025,0.975
8,10,18,180000,0.993,0.018,0.975
5,6,11,110000,0.9859,0.011,0.9749
10,13,23,230000,0.9977,0.023,0.9747
7,9,16,160000,0.9906,0.016,0.9746
9,12,21,210000,0.9954,0.021,0.9744
6,8,14,140000,0.9883,0.014,0.9743
16,10,26,260000,1.0,0.026,0.974
17,9,26,260000,1.0,0.026,0.974
12,14,26,260000,1.0,0.026,0.974
13,13,26,260000,1.0,0.026,0.974
11,15,26,260000,1.0,0.026,0.974
8,11,19,190000,0.993,0.019,0.974
14,12,26,260000,1.0,0.026,0.974
15,11,26,260000,1.0,0.026,0.974
18,8,26,260000,1.0,0.026,0.974
5,7,12,120000,0.9859,0.012,0.9739
10,14,24,240000,0.9977,0.024,0.9737
7,10,17,170000,0.9906,0.017,0.9736
9,13,22,220000,0.9954,0.022,0.9734
4,2,6,60000,0.9793,0.006,0.9733
6,9,15,150000,0.9883,0.015,0.9733
16,11,27,270000,1.0,0.027,0.973
18,9,27,270000,1.0,0.027,0.973
12,15,27,270000,1.0,0.027,0.973
14,13,27,270000,1.0,0.027,0.973
17,10,27,270000,1.0,0.027,0.973
15,12,27,270000,1.0,0.027,0.973
11,16,27,270000,1.0,0.027,0.973
8,12,20,200000,0.993,0.02,0.973
13,14,27,270000,1.0,0.027,0.973
5,8,13,130000,0.9859,0.013,0.9729
10,15,25,250000,0.9977,0.025,0.9727
7,11,18,180000,0.9906,0.018,0.9726
9,14,23,230000,0.9954,0.023,0.9724
4,3,7,70000,0.9793,0.007,0.9723
6,10,16,160000,0.9883,0.016,0.9723
12,16,28,280000,1.0,0.028,0.972
13,15,28,280000,1.0,0.028,0.972
14,14,28,280000,1.0,0.028,0.972
18,10,28,280000,1.0,0.028,0.972
11,17,28,280000,1.0,0.028,0.972
16,12,28,280000,1.0,0.028,0.972
8,13,21,210000,0.993,0.021,0.972
15,13,28,280000,1.0,0.028,0.972
17,11,28,280000,1.0,0.028,0.972
5,9,14,140000,0.9859,0.014,0.9719
10,16,26,260000,0.9977,0.026,0.9717
7,12,19,190000,0.9906,0.019,0.9716
9,15,24,240000,0.9954,0.024,0.9714
4,4,8,80000,0.9793,0.008,0.9713
6,11,17,170000,0.9883,0.017,0.9713
12,17,29,290000,1.0,0.029,0.971
13,16,29,290000,1.0,0.029,0.971
17,12,29,290000,1.0,0.029,0.971
16,13,29,290000,1.0,0.029,0.971
14,15,29,290000,1.0,0.029,0.971
15,14,29,290000,1.0,0.029,0.971
11,18,29,290000,1.0,0.029,0.971
18,11,29,290000,1.0,0.029,0.971
8,14,22,220000,0.993,0.022,0.971
5,10,15,150000,0.9859,0.015,0.9709
10,17,27,270000,0.9977,0.027,0.9707
7,13,20,200000,0.9906,0.02,0.9706
9,16,25,250000,0.9954,0.025,0.9704
4,5,9,90000,0.9793,0.009,0.9703
6,12,18,180000,0.9883,0.018,0.9703
13,17,30,300000,1.0,0.03,0.97
8,15,23,230000,0.993,0.023,0.97
18,12,30,300000,1.0,0.03,0.97
14,16,30,300000,1.0,0.03,0.97
15,15,30,300000,1.0,0.03,0.97
17,13,30,300000,1.0,0.03,0.97
16,14,30,300000,1.0,0.03,0.97
12,18,30,300000,1.0,0.03,0.97
5,11,16,160000,0.9859,0.016,0.9699
10,18,28,280000,0.9977,0.028,0.9697
7,14,21,210000,0.9906,0.021,0.9696
9,17,26,260000,0.9954,0.026,0.9694
4,6,10,100000,0.9793,0.01,0.9693
6,13,19,190000,0.9883,0.019,0.9693
18,13,31,310000,1.0,0.031,0.969
8,16,24,240000,0.993,0.024,0.969
15,16,31,310000,1.0,0.031,0.969
14,17,31,310000,1.0,0.031,0.969
17,14,31,310000,1.0,0.031,0.969
13,18,31,310000,1.0,0.031,0.969
16,15,31,310000,1.0,0.031,0.969
5,12,17,170000,0.9859,0.017,0.9689
7,15,22,220000,0.9906,0.022,0.9686
9,18,27,270000,0.9954,0.027,0.9684
6,14,20,200000,0.9883,0.02,0.9683
4,7,11,110000,0.9793,0.011,0.9683
18,14,32,320000,1.0,0.032,0.968
8,17,25,250000,0.993,0.025,0.968
15,17,32,320000,1.0,0.032,0.968
17,15,32,320000,1.0,0.032,0.968
16,16,32,320000,1.0,0.032,0.968
14,18,32,320000,1.0,0.032,0.968
5,13,18,180000,0.9859,0.018,0.9679
7,16,23,230000,0.9906,0.023,0.9676
6,15,21,210000,0.9883,0.021,0.9673
4,8,12,120000,0.9793,0.012,0.9673
8,18,26,260000,0.993,0.026,0.967
18,15,33,330000,1.0,0.033,0.967
17,16,33,330000,1.0,0.033,0.967
15,18,33,330000,1.0,0.033,0.967
16,17,33,330000,1.0,0.033,0.967
5,14,19,190000,0.9859,0.019,0.9669
7,17,24,240000,0.9906,0.024,0.9666
4,9,13,130000,0.9793,0.013,0.9663
6,16,22,220000,0.9883,0.022,0.9663
16,18,34,340000,1.0,0.034,0.966
17,17,34,340000,1.0,0.034,0.966
18,16,34,340000,1.0,0.034,0.966
5,15,20,200000,0.9859,0.02,0.9659
7,18,25,250000,0.9906,0.025,0.9656
4,10,14,140000,0.9793,0.014,0.9653
6,17,23,230000,0.9883,0.023,0.9653
17,18,35,350000,1.0,0.035,0.965
18,17,35,350000,1.0,0.035,0.965
5,16,21,210000,0.9859,0.021,0.9649
6,18,24,240000,0.9883,0.024,0.9643
4,11,15,150000,0.9793,0.015,0.9643
18,18,36,360000,1.0,0.036,0.964
5,17,22,220000,0.9859,0.022,0.9639
4,12,16,160000,0.9793,0.016,0.9633
5,18,23,230000,0.9859,0.023,0.9629
4,13,17,170000,0.9793,0.017,0.9623
4,14,18,180000,0.9793,0.018,0.9613
4,15,19,190000,0.9793,0.019,0.9603
4,16,20,200000,0.9793,0.02,0.9593
4,17,21,210000,0.9793,0.021,0.9583
4,18,22,220000,0.9793,0.022,0.9573
3,2,5,50000,0.9588,0.005,0.9538
3,3,6,60000,0.9588,0.006,0.9528
3,4,7,70000,0.9588,0.007,0.9518
3,5,8,80000,0.9588,0.008,0.9508
3,6,9,90000,0.9588,0.009,0.9498
3,7,10,100000,0.9588,0.01,0.9488
3,8,11,110000,0.9588,0.011,0.9478
3,9,12,120000,0.9588,0.012,0.9468
3,10,13,130000,0.9588,0.013,0.9458
3,11,14,140000,0.9588,0.014,0.9448
3,12,15,150000,0.9588,0.015,0.9438
3,13,16,160000,0.9588,0.016,0.9428
3,14,17,170000,0.9588,0.017,0.9418
3,15,18,180000,0.9588,0.018,0.9408
3,16,19,190000,0.9588,0.019,0.9398
3,17,20,200000,0.9588,0.02,0.9388
3,18,21,210000,0.9588,0.021,0.9378
2,2,4,40000,0.9382,0.004,0.9342
2,3,5,50000,0.9382,0.005,0.9332
2,4,6,60000,0.9382,0.006,0.9322
2,5,7,70000,0.9382,0.007,0.9312
2,6,8,80000,0.9382,0.008,0.9302
2,7,9,90000,0.9382,0.009,0.9292
2,8,10,100000,0.9382,0.01,0.9282
2,9,11,110000,0.9382,0.011,0.9272
2,10,12,120000,0.9382,0.012,0.9262
2,11,13,130000,0.9382,0.013,0.9252
2,12,14,140000,0.9382,0.014,0.9242
2,13,15,150000,0.9382,0.015,0.9232
2,14,16,160000,0.9382,0.016,0.9222
2,15,17,170000,0.9382,0.017,0.9212
2,16,18,180000,0.9382,0.018,0.9202
2,17,19,190000,0.9382,0.019,0.9192
2,18,20,200000,0.9382,0.02,0.9182
