batch_ewes,interval_days,lactation_days,rest_days,base_ewes,rams,expected_annual_output,max_expected_pens,mean_expected_pens,utilization,expected_loss,section,day,mating_pens,pregnant_pens,lactating_pens,fattening_pens,resting_pens,ram_pens,total_pens
56,26,45,24,513,11,1422.0976,115.0,111.542466,0.995915,1739.0,,,,,,,,,
63,30,45,24,500,10,1371.3084,115.0,109.60274,0.978596,1743.0,,,,,,,,,
70,32,42,18,501,11,1396.703,124.0,113.432877,1.012794,1745.0,,,,,,,,,
56,26,40,20,494,10,1422.0976,115.0,112.424658,1.003792,1753.0,,,,,,,,,
56,26,42,20,498,10,1422.0976,115.0,111.810959,0.998312,1753.0,,,,,,,,,
56,26,38,18,485,10,1422.0976,120.0,112.654795,1.005846,1781.0,,,,,,,,,
63,30,42,20,486,10,1371.3084,115.0,109.865753,0.980944,1803.0,,,,,,,,,
49,24,35,24,466,10,1333.2165,114.0,109.726027,0.979697,1830.0,,,,,,,,,
49,24,38,18,460,10,1333.2165,114.0,108.024658,0.964506,1835.0,,,,,,,,,
49,24,45,24,486,10,1422.0976,109.0,106.917808,0.954623,1855.0,,,,,,,,,
56,26,42,18,494,10,1422.0976,115.0,111.50411,0.995572,1865.0,,,,,,,,,
49,24,42,24,480,10,1422.0976,114.0,107.838356,0.962842,1903.0,,,,,,,,,
49,24,40,24,476,10,1333.2165,114.0,108.452055,0.968322,1935.0,,,,,,,,,
42,20,42,24,494,10,1371.3084,115.0,109.572603,0.978327,1950.0,,,,,,,,,
56,26,45,20,504,11,1422.0976,115.0,110.928767,0.990435,1963.0,,,,,,,,,
49,24,38,20,464,10,1333.2165,114.0,108.369863,0.967588,1965.0,,,,,,,,,
49,24,38,24,472,10,1333.2165,114.0,109.027397,0.973459,1965.0,,,,,,,,,
63,30,45,20,492,10,1371.3084,115.0,108.945205,0.972725,1983.0,,,,,,,,,
56,26,38,24,498,10,1422.0976,120.0,113.460274,1.013038,1991.0,,,,,,,,,
70,32,42,20,506,11,1396.703,124.0,113.739726,1.015533,1993.0,,,,,,,,,
56,26,38,20,489,10,1422.0976,120.0,112.961644,1.008586,2005.0,,,,,,,,,
63,30,45,18,488,10,1371.3084,114.0,108.616438,0.96979,2007.0,,,,,,,,,
77,36,35,20,480,10,1396.703,117.0,112.273973,1.002446,2020.0,,,,,,,,,
70,32,45,24,521,11,1396.703,117.0,113.506849,1.013454,2026.0,,,,,,,,,
77,38,35,24,462,10,1257.0327,113.0,107.20274,0.957167,2067.0,,,,,,,,,
35,16,42,24,515,11,1460.1895,118.0,113.890411,1.016879,2070.0,,,,,,,,,
56,26,45,18,500,10,1422.0976,115.0,110.621918,0.987696,2075.0,,,,,,,,,
49,24,45,20,478,10,1422.0976,109.0,106.260274,0.948752,2095.0,,,,,,,,,
28,14,35,24,456,10,1320.5192,111.0,106.210959,0.948312,2113.0,,,,,,,,,
70,34,45,24,490,10,1396.703,113.0,106.923288,0.954672,2133.0,,,,,,,,,
49,24,42,20,472,10,1422.0976,114.0,107.180822,0.956972,2143.0,,,,,,,,,
77,38,35,20,454,10,1257.0327,113.0,106.564384,0.951468,2144.0,,,,,,,,,
56,26,35,18,479,10,1523.676,120.0,113.460274,1.013038,2159.0,,,,,,,,,
49,24,40,20,468,10,1333.2165,114.0,107.794521,0.962451,2175.0,,,,,,,,,
77,38,35,18,450,9,1257.0327,113.0,106.241096,0.948581,2182.0,,,,,,,,,
70,34,42,24,484,10,1396.703,116.0,107.679452,0.961424,2213.0,,,,,,,,,
49,24,45,18,474,10,1422.0976,108.0,105.931507,0.945817,2215.0,,,,,,,,,
56,28,35,20,448,9,1320.5192,112.0,105.852055,0.945108,2244.0,,,,,,,,,
35,16,40,18,497,10,1460.1895,120.0,113.638356,1.014628,2254.0,,,,,,,,,
70,34,45,20,482,10,1396.703,113.0,106.473973,0.95066,2257.0,,,,,,,,,
49,24,42,18,468,10,1422.0976,114.0,106.852055,0.954036,2263.0,,,,,,,,,
28,14,35,20,448,9,1320.5192,110.0,105.783562,0.944496,2269.0,,,,,,,,,
49,24,40,18,464,10,1333.2165,114.0,107.465753,0.959516,2295.0,,,,,,,,,
84,40,42,24,494,10,1371.3084,118.0,109.558904,0.978205,2331.0,,,,,,,,,
56,28,35,18,444,9,1320.5192,112.0,105.556164,0.942466,2352.0,,,,,,,,,
70,34,45,18,478,10,1396.703,113.0,106.172603,0.94797,2367.0,,,,,,,,,
56,28,35,24,456,10,1320.5192,115.0,106.350685,0.94956,2374.0,,,,,,,,,
56,28,38,24,462,10,1320.5192,107.0,105.49589,0.941928,2374.0,,,,,,,,,
77,36,38,18,482,10,1396.703,117.0,111.219178,0.993028,2385.0,,,,,,,,,
56,26,35,20,483,10,1523.676,120.0,113.690411,1.015093,2411.0,,,,,,,,,
63,30,35,24,479,10,1485.5841,121.0,112.364384,1.003253,2415.0,,,,,,,,,
70,34,42,20,476,10,1396.703,116.0,107.106849,0.956311,2422.0,,,,,,,,,
28,14,38,24,462,10,1320.5192,107.0,105.356164,0.94068,2425.0,,,,,,,,,
28,14,35,18,444,9,1320.5192,110.0,105.350685,0.940631,2427.0,,,,,,,,,
35,16,40,20,501,11,1460.1895,120.0,113.890411,1.016879,2438.0,,,,,,,,,
70,32,40,18,497,10,1396.703,124.0,113.99726,1.017833,2451.0,,,,,,,,,
63,30,35,20,471,10,1485.5841,121.0,111.706849,0.997383,2463.0,,,,,,,,,
70,32,42,24,515,11,1396.703,124.0,114.254795,1.020132,2469.0,,,,,,,,,
63,30,35,18,467,10,1485.5841,121.0,111.378082,0.994447,2487.0,,,,,,,,,
84,40,42,20,486,10,1371.3084,118.0,108.986301,0.973092,2504.0,,,,,,,,,
77,38,38,20,460,10,1257.0327,113.0,105.906849,0.945597,2504.0,,,,,,,,,
56,28,38,20,454,10,1320.5192,107.0,105.068493,0.938112,2530.0,,,,,,,,,
70,34,42,18,472,10,1396.703,116.0,106.805479,0.95362,2532.0,,,,,,,,,
77,38,38,18,456,10,1257.0327,113.0,105.583562,0.94271,2542.0,,,,,,,,,
56,28,40,24,466,10,1320.5192,107.0,104.926027,0.93684,2582.0,,,,,,,,,
84,38,45,18,513,11,1523.676,123.0,113.682192,1.01502,2586.0,,,,,,,,,
84,40,42,18,481,10,1371.3084,118.0,108.652055,0.970108,2590.0,,,,,,,,,
84,42,38,24,462,10,1218.9408,115.0,105.142466,0.938772,2599.0,,,,,,,,,
28,14,38,20,454,10,1320.5192,107.0,104.857534,0.936228,2607.0,,,,,,,,,
56,28,38,18,450,9,1320.5192,107.0,104.819178,0.935886,2621.0,,,,,,,,,
35,16,40,24,510,11,1460.1895,120.0,114.394521,1.02138,2622.0,,,,,,,,,
77,36,35,24,488,10,1396.703,117.0,112.972603,1.008684,2625.0,,,,,,,,,
77,38,42,24,477,10,1257.0327,113.0,105.572603,0.942613,2626.0,,,,,,,,,
84,42,40,24,466,10,1218.9408,107.0,104.758904,0.935347,2643.0,,,,,,,,,
70,34,40,24,480,10,1396.703,116.0,108.123288,0.965386,2655.0,,,,,,,,,
28,14,40,24,466,10,1320.5192,107.0,104.709589,0.934907,2661.0,,,,,,,,,
70,32,40,20,501,11,1396.703,124.0,114.271233,1.020279,2663.0,,,,,,,,,
63,32,35,24,449,9,1257.0327,112.0,104.687671,0.934711,2669.0,,,,,,,,,
77,38,40,24,473,10,1257.0327,117.0,106.038356,0.946771,2672.0,,,,,,,,,
77,36,38,20,486,10,1396.703,117.0,111.575342,0.996208,2695.0,,,,,,,,,
28,14,38,18,450,9,1320.5192,107.0,104.50137,0.933048,2737.0,,,,,,,,,
56,28,40,20,458,10,1320.5192,107.0,104.49863,0.933023,2738.0,,,,,,,,,
77,38,40,18,460,10,1257.0327,113.0,105.145205,0.938796,2782.0,,,,,,,,,
77,38,45,24,483,10,1396.703,113.0,104.791781,0.935641,2791.0,,,,,,,,,
84,42,42,24,470,10,1371.3084,107.0,104.336986,0.93158,2797.0,,,,,,,,,
56,28,42,24,470,10,1320.5192,107.0,104.334247,0.931556,2798.0,,,,,,,,,
84,42,38,20,454,10,1218.9408,115.0,104.550685,0.933488,2815.0,,,,,,,,,
56,28,40,18,454,10,1320.5192,107.0,104.284932,0.931115,2816.0,,,,,,,,,
84,38,45,20,518,11,1523.676,123.0,113.978082,1.017661,2838.0,,,,,,,,,
77,38,42,20,469,10,1257.0327,113.0,104.975342,0.93728,2844.0,,,,,,,,,
35,16,38,18,493,10,1460.1895,120.0,114.268493,1.020254,2852.0,,,,,,,,,
84,42,40,20,458,10,1218.9408,107.0,104.167123,0.930064,2859.0,,,,,,,,,
77,38,38,24,469,10,1257.0327,117.0,106.50411,0.95093,2862.0,,,,,,,,,
28,14,40,20,458,10,1320.5192,107.0,104.139726,0.929819,2869.0,,,,,,,,,
70,34,40,20,472,10,1396.703,116.0,107.520548,0.960005,2875.0,,,,,,,,,
84,40,40,24,490,10,1371.3084,118.0,110.024658,0.982363,2881.0,,,,,,,,,
77,38,40,20,465,10,1257.0327,117.0,105.441096,0.941438,2890.0,,,,,,,,,
63,32,35,20,441,9,1257.0327,109.0,104.073973,0.929232,2893.0,,,,,,,,,
56,26,35,24,492,10,1523.676,120.0,114.150685,1.019203,2915.0,,,,,,,,,
84,42,38,18,450,9,1218.9408,115.0,104.254795,0.930846,2923.0,,,,,,,,,
28,14,42,24,470,10,1320.5192,107.0,103.986301,0.928449,2925.0,,,,,,,,,
70,32,38,18,493,10,1396.703,124.0,114.528767,1.022578,2945.0,,,,,,,,,
77,38,42,18,465,10,1257.0327,113.0,104.679452,0.934638,2952.0,,,,,,,,,
56,28,42,20,462,10,1320.5192,107.0,103.906849,0.92774,2954.0,,,,,,,,,
63,32,38,24,455,10,1257.0327,113.0,104.482192,0.932877,2964.0,,,,,,,,,
84,42,35,24,456,10,1218.9408,118.0,105.717808,0.943909,2965.0,,,,,,,,,
84,42,40,18,454,10,1218.9408,107.0,103.871233,0.927422,2967.0,,,,,,,,,
28,14,40,18,454,10,1320.5192,107.0,103.854795,0.927275,2973.0,,,,,,,,,
70,34,40,18,468,10,1396.703,116.0,107.219178,0.957314,2985.0,,,,,,,,,
77,36,40,18,486,10,1396.703,117.0,110.753425,0.98887,2995.0,,,,,,,,,
63,32,35,18,438,9,1257.0327,108.0,103.767123,0.926492,3005.0,,,,,,,,,
77,38,45,20,475,10,1396.703,113.0,104.194521,0.930308,3009.0,,,,,,,,,
84,42,42,20,462,10,1371.3084,107.0,103.745205,0.926296,3013.0,,,,,,,,,
70,32,40,24,510,11,1396.703,124.0,114.753425,1.024584,3015.0,,,,,,,,,
91,42,45,24,516,11,1485.5841,117.0,112.405479,1.00362,3028.0,,,,,,,,,
84,42,45,24,476,10,1371.3084,107.0,103.70411,0.92593,3028.0,,,,,,,,,
56,28,42,18,458,10,1320.5192,107.0,103.693151,0.925832,3032.0,,,,,,,,,
35,18,35,24,444,9,1333.2165,106.0,103.572603,0.924755,3076.0,,,,,,,,,
63,32,40,24,459,10,1257.0327,113.0,103.917808,0.927838,3082.0,,,,,,,,,
84,40,40,20,481,10,1371.3084,118.0,109.465753,0.977373,3085.0,,,,,,,,,
70,34,38,24,476,10,1396.703,116.0,108.528767,0.969007,3099.0,,,,,,,,,
56,28,45,24,476,10,1320.5192,107.0,103.479452,0.923924,3110.0,,,,,,,,,
77,38,45,18,471,10,1396.703,113.0,103.89863,0.927666,3117.0,,,,,,,,,
84,42,42,18,458,10,1371.3084,107.0,103.449315,0.923655,3121.0,,,,,,,,,
35,16,38,20,497,10,1460.1895,120.0,114.520548,1.022505,3128.0,,,,,,,,,
28,14,42,20,462,10,1320.5192,107.0,103.416438,0.923361,3133.0,,,,,,,,,
91,42,45,20,507,11,1485.5841,117.0,111.726027,0.997554,3148.0,,,,,,,,,
84,42,35,20,448,9,1218.9408,118.0,105.126027,0.938625,3181.0,,,,,,,,,
63,32,38,20,447,9,1257.0327,112.0,103.249315,0.921869,3194.0,,,,,,,,,
63,32,42,24,463,10,1257.0327,113.0,103.353425,0.922798,3200.0,,,,,,,,,
84,40,40,18,477,10,1371.3084,118.0,109.145205,0.974511,3202.0,,,,,,,,,
91,42,45,18,503,11,1485.5841,117.0,111.386301,0.994521,3208.0,,,,,,,,,
70,32,38,20,497,10,1396.703,124.0,114.769863,1.024731,3209.0,,,,,,,,,
28,14,45,24,476,10,1320.5192,107.0,103.208219,0.921502,3209.0,,,,,,,,,
84,40,38,24,486,10,1371.3084,118.0,110.490411,0.986522,3215.0,,,,,,,,,
28,14,42,18,458,10,1320.5192,107.0,103.131507,0.920817,3237.0,,,,,,,,,
35,18,35,20,436,9,1333.2165,106.0,103.117808,0.920695,3242.0,,,,,,,,,
84,42,45,20,468,10,1371.3084,107.0,103.112329,0.920646,3244.0,,,,,,,,,
77,36,38,24,495,10,1396.703,117.0,112.232877,1.002079,3255.0,,,,,,,,,
84,38,42,18,507,11,1371.3084,123.0,114.627397,1.023459,3261.0,,,,,,,,,
56,28,45,20,468,10,1320.5192,107.0,103.052055,0.920108,3266.0,,,,,,,,,
77,36,40,20,490,10,1396.703,117.0,111.082192,0.991805,3275.0,,,,,,,,,
84,42,35,18,444,9,1218.9408,118.0,104.830137,0.935983,3289.0,,,,,,,,,
70,36,35,24,444,9,1269.73,106.0,102.958904,0.919276,3300.0,,,,,,,,,
63,32,38,18,443,9,1257.0327,112.0,102.942466,0.919129,3306.0,,,,,,,,,
63,32,40,20,451,10,1257.0327,113.0,103.30411,0.922358,3306.0,,,,,,,,,
35,18,38,24,450,9,1333.2165,105.0,102.923288,0.918958,3313.0,,,,,,,,,
70,34,38,20,468,10,1396.703,116.0,107.926027,0.963625,3319.0,,,,,,,,,
35,18,35,18,432,9,1333.2165,104.0,102.887671,0.91864,3326.0,,,,,,,,,
84,38,45,24,527,11,1523.676,123.0,114.575342,1.022994,3340.0,,,,,,,,,
56,28,45,18,464,10,1320.5192,107.0,102.838356,0.9182,3344.0,,,,,,,,,
91,42,40,18,492,10,1320.5192,117.0,112.441096,1.003938,3347.0,,,,,,,,,
84,42,45,18,464,10,1371.3084,107.0,102.816438,0.918004,3352.0,,,,,,,,,
28,14,45,20,468,10,1320.5192,107.0,102.632877,0.916365,3419.0,,,,,,,,,
63,32,42,20,455,10,1257.0327,113.0,102.739726,0.917319,3424.0,,,,,,,,,
84,40,38,20,477,10,1371.3084,118.0,109.909589,0.981336,3427.0,,,,,,,,,
70,34,38,18,464,10,1396.703,116.0,107.624658,0.960934,3429.0,,,,,,,,,
63,32,45,24,469,10,1257.0327,106.0,102.506849,0.91524,3465.0,,,,,,,,,
35,18,38,20,442,9,1333.2165,104.0,102.484932,0.915044,3473.0,,,,,,,,,
35,18,40,24,454,10,1269.73,105.0,102.460274,0.914824,3482.0,,,,,,,,,
77,36,42,18,490,10,1396.703,117.0,110.260274,0.984467,3495.0,,,,,,,,,
35,16,38,24,506,11,1460.1895,120.0,115.024658,1.027006,3496.0,,,,,,,,,
,,,,,,,,,,,daily_plan,730,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,731,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,732,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,733,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,734,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,735,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,736,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,737,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,738,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,739,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,740,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,741,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,742,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,743,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,744,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,745,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,746,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,747,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,748,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,749,3.0,27.0,12.0,60.0,3.0,2.0,107.0
,,,,,,,,,,,daily_plan,750,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,751,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,752,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,753,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,754,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,755,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,756,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,757,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,758,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,759,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,760,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,761,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,762,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,763,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,764,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,765,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,766,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,767,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,768,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,769,3.0,27.0,12.0,60.0,3.0,2.0,107.0
,,,,,,,,,,,daily_plan,770,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,771,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,772,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,773,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,774,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,775,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,776,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,777,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,778,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,779,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,780,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,781,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,782,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,783,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,784,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,785,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,786,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,787,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,788,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,789,3.0,27.0,12.0,60.0,3.0,2.0,107.0
,,,,,,,,,,,daily_plan,790,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,791,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,792,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,793,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,794,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,795,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,796,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,797,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,798,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,799,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,800,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,801,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,802,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,803,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,804,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,805,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,806,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,807,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,808,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,809,3.0,27.0,12.0,60.0,3.0,2.0,107.0
,,,,,,,,,,,daily_plan,810,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,811,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,812,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,813,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,814,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,815,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,816,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,817,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,818,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,819,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,820,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,821,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,822,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,823,3.0,32.0,12.0,60.0,3.0,2.0,112.0
,,,,,,,,,,,daily_plan,824,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,825,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,826,3.0,32.0,6.0,60.0,3.0,2.0,106.0
,,,,,,,,,,,daily_plan,827,3.0,32.0,6.0,60.0,3.0,2.0,106.0
