year,species_count_start,guild_mix,drought_stress,total_biomass,richness_alive,shannon_diversity,pollution_load,habitat_quality
71,2,balanced,0.5612,0.7055,2,0.11552,0.1,0.92
72,2,balanced,0.2086,0.72171,2,0.10674,0.1,0.92
73,2,balanced,0.26,0.7293,2,0.10499,0.1,0.92
74,2,balanced,0.3114,0.72957,2,0.10224,0.1,0.92
75,2,balanced,0.3388,0.72665,2,0.09862,0.1,0.92
76,2,balanced,0.3293,0.72543,2,0.09465,0.1,0.92
77,2,balanced,0.2874,0.7293,2,0.09101,0.1,0.92
78,2,balanced,0.6126,0.70408,1,0.08814,0.1,0.92
79,2,balanced,0.1907,0.7226,1,0.08045,0.1,0.92
80,2,balanced,0.1812,0.73919,1,0.07935,0.1,0.92
1,3,balanced,0.64,0.82702,3,1.09861,0.1,0.92
2,3,balanced,0.3114,0.78632,3,1.09612,0.1,0.92
3,3,balanced,0.3388,0.75271,3,1.09413,0.1,0.92
4,3,balanced,0.3293,0.73049,3,1.09153,0.1,0.92
5,3,balanced,0.2874,0.72161,3,1.08876,0.1,0.92
6,3,balanced,0.2326,0.72444,3,1.08633,0.1,0.92
7,3,balanced,0.1907,0.73397,3,1.08452,0.1,0.92
8,3,balanced,0.5612,0.68482,3,1.08317,0.1,0.92
9,3,balanced,0.2086,0.69948,3,1.07523,0.1,0.92
10,3,balanced,0.44,0.67656,3,1.07363,0.1,0.92
11,3,balanced,0.3114,0.67682,3,1.06719,0.1,0.92
12,3,balanced,0.3388,0.67294,3,1.0633,0.1,0.92
13,3,balanced,0.7093,0.62548,3,1.05857,0.1,0.92
14,3,balanced,0.2874,0.63944,3,1.04382,0.1,0.92
15,3,balanced,0.6126,0.61306,3,1.04036,0.1,0.92
16,3,balanced,0.1907,0.64242,3,1.02729,0.1,0.92
17,3,balanced,0.1812,0.66893,3,1.02633,0.1,0.92
18,3,balanced,0.2086,0.68725,3,1.02517,0.1,0.92
19,3,balanced,0.26,0.6946,3,1.02284,0.1,0.92
20,3,balanced,0.3114,0.69278,3,1.01868,0.1,0.92
21,3,balanced,0.3388,0.68736,3,1.01271,0.1,0.92
22,3,balanced,0.8893,0.62034,3,1.00574,0.1,0.92
23,3,balanced,0.2874,0.63621,3,0.97822,0.1,0.92
24,3,balanced,0.2326,0.65697,3,0.97374,0.1,0.92
25,3,balanced,0.1907,0.68026,3,0.97076,0.1,0.92
26,3,balanced,0.1812,0.70115,3,0.96878,0.1,0.92
27,3,balanced,0.2086,0.71439,3,0.96668,0.1,0.92
28,3,balanced,0.26,0.71747,3,0.96322,0.1,0.92
29,3,balanced,0.6914,0.66773,3,0.95765,0.1,0.92
30,3,balanced,0.7188,0.62943,3,0.93499,0.1,0.92
31,3,balanced,0.3293,0.63933,3,0.91193,0.1,0.92
32,3,balanced,0.2874,0.65309,3,0.90516,0.1,0.92
33,3,balanced,0.2326,0.67184,3,0.89974,0.1,0.92
34,3,balanced,0.3707,0.66928,3,0.89607,0.1,0.92
35,3,balanced,0.1812,0.69238,3,0.8866,0.1,0.92
36,3,balanced,0.5886,0.6636,3,0.88448,0.1,0.92
37,3,balanced,0.26,0.67734,3,0.8655,0.1,0.92
38,3,balanced,0.3114,0.6819,3,0.86048,0.1,0.92
39,3,balanced,0.3388,0.68206,3,0.8531,0.1,0.92
40,3,balanced,0.3293,0.68358,3,0.84449,0.1,0.92
41,3,balanced,0.2874,0.69051,3,0.83626,0.1,0.92
42,3,balanced,0.2326,0.70356,3,0.82966,0.1,0.92
43,3,balanced,0.5707,0.67591,3,0.82508,0.1,0.92
44,3,balanced,0.1812,0.6983,3,0.80634,0.1,0.92
45,3,balanced,0.2086,0.71339,3,0.80404,0.1,0.92
46,3,balanced,0.44,0.69719,3,0.80022,0.1,0.92
47,3,balanced,0.6914,0.66048,3,0.78675,0.1,0.92
48,3,balanced,0.3388,0.6658,3,0.76311,0.1,0.92
49,3,balanced,0.3293,0.67144,3,0.7551,0.1,0.92
50,3,balanced,0.6674,0.64435,3,0.74737,0.1,0.92
51,3,balanced,0.2326,0.66547,3,0.72596,0.1,0.92
52,3,balanced,0.1907,0.68855,3,0.72249,0.1,0.92
53,3,balanced,0.1812,0.70925,3,0.72013,0.1,0.92
54,3,balanced,0.2086,0.72295,3,0.71765,0.1,0.92
55,3,balanced,0.26,0.72734,3,0.71374,0.1,0.92
56,3,balanced,0.3114,0.72407,3,0.7076,0.1,0.92
57,3,balanced,0.7188,0.68084,3,0.69941,0.1,0.92
58,3,balanced,0.5093,0.66759,3,0.67508,0.1,0.92
59,3,balanced,0.2874,0.67893,3,0.66076,0.1,0.92
60,3,balanced,0.2326,0.69507,3,0.65504,0.1,0.92
61,3,balanced,0.1907,0.71377,3,0.65108,0.1,0.92
62,3,balanced,0.1812,0.73054,3,0.64828,0.1,0.92
63,3,balanced,0.2086,0.74078,3,0.64547,0.1,0.92
64,3,balanced,0.64,0.70245,3,0.64137,0.1,0.92
65,3,balanced,0.3114,0.70498,3,0.62108,0.1,0.92
66,3,balanced,0.3388,0.70367,3,0.61405,0.1,0.92
67,3,balanced,0.3293,0.70389,3,0.60605,0.1,0.92
68,3,balanced,0.2874,0.70933,3,0.59849,0.1,0.92
69,3,balanced,0.2326,0.72065,3,0.59245,0.1,0.92
70,3,balanced,0.3707,0.71286,3,0.58819,0.1,0.92
71,3,balanced,0.5612,0.68986,3,0.57903,0.1,0.92
72,3,balanced,0.2086,0.70755,3,0.5637,0.1,0.92
73,3,balanced,0.26,0.71598,3,0.56071,0.1,0.92
74,3,balanced,0.3114,0.7165,3,0.55578,0.1,0.92
75,3,balanced,0.3388,0.71358,3,0.54906,0.1,0.92
76,3,balanced,0.3293,0.71248,2,0.5415,0.1,0.92
77,3,balanced,0.2874,0.71682,2,0.53439,0.1,0.92
78,3,balanced,0.6126,0.68935,2,0.5287,0.1,0.92
79,3,balanced,0.1907,0.70942,2,0.51271,0.1,0.92
80,3,balanced,0.1812,0.72739,2,0.51046,0.1,0.92
1,4,balanced,0.64,0.85722,4,1.38629,0.1,0.92
2,4,balanced,0.3114,0.81762,4,1.38312,0.1,0.92
3,4,balanced,0.3388,0.7849,4,1.38048,0.1,0.92
4,4,balanced,0.3293,0.7625,4,1.37713,0.1,0.92
5,4,balanced,0.2874,0.75195,4,1.37363,0.1,0.92
6,4,balanced,0.2326,0.75179,4,1.37066,0.1,0.92
7,4,balanced,0.1907,0.75775,4,1.36855,0.1,0.92
8,4,balanced,0.5612,0.71697,4,1.36708,0.1,0.92
9,4,balanced,0.2086,0.72719,4,1.3578,0.1,0.92
10,4,balanced,0.44,0.7074,4,1.35617,0.1,0.92
11,4,balanced,0.3114,0.70621,4,1.34892,0.1,0.92
12,4,balanced,0.3388,0.70191,4,1.34475,0.1,0.92
13,4,balanced,0.7093,0.66399,4,1.33971,0.1,0.92
14,4,balanced,0.2874,0.67393,4,1.32382,0.1,0.92
15,4,balanced,0.6126,0.65247,4,1.32051,0.1,0.92
16,4,balanced,0.1907,0.67525,4,1.30698,0.1,0.92
17,4,balanced,0.1812,0.69601,4,1.30662,0.1,0.92
18,4,balanced,0.2086,0.71049,4,1.30604,0.1,0.92
19,4,balanced,0.26,0.71645,4,1.30419,0.1,0.92
20,4,balanced,0.3114,0.7152,4,1.30041,0.1,0.92
21,4,balanced,0.3388,0.71103,4,1.29479,0.1,0.92
22,4,balanced,0.8893,0.66047,4,1.28821,0.1,0.92
23,4,balanced,0.2874,0.67197,4,1.26171,0.1,0.92
24,4,balanced,0.2326,0.68774,4,1.25794,0.1,0.92
25,4,balanced,0.1907,0.70587,4,1.25573,0.1,0.92
26,4,balanced,0.1812,0.72238,4,1.25453,0.1,0.92
27,4,balanced,0.2086,0.73316,4,1.2532,0.1,0.92
28,4,balanced,0.26,0.7361,4,1.25055,0.1,0.92
29,4,balanced,0.6914,0.69943,4,1.24586,0.1,0.92
30,4,balanced,0.7188,0.66999,4,1.22541,0.1,0.92
31,4,balanced,0.3293,0.67644,4,1.2049,0.1,0.92
32,4,balanced,0.2874,0.68632,4,1.19937,0.1,0.92
33,4,balanced,0.2326,0.70049,4,1.19518,0.1,0.92
34,4,balanced,0.3707,0.69818,4,1.19265,0.1,0.92
35,4,balanced,0.1812,0.7161,4,1.18486,0.1,0.92
36,4,balanced,0.5886,0.69496,4,1.18381,0.1,0.92
37,4,balanced,0.26,0.7052,4,1.16793,0.1,0.92
38,4,balanced,0.3114,0.7085,4,1.16432,0.1,0.92
39,4,balanced,0.3388,0.70846,4,1.15865,0.1,0.92
40,4,balanced,0.3293,0.70952,4,1.15196,0.1,0.92
41,4,balanced,0.2874,0.71486,4,1.14565,0.1,0.92
42,4,balanced,0.2326,0.72512,4,1.14082,0.1,0.92
43,4,balanced,0.5707,0.70511,4,1.13775,0.1,0.92
44,4,balanced,0.1812,0.72221,4,1.12289,0.1,0.92
45,4,balanced,0.2086,0.73396,4,1.12184,0.1,0.92
46,4,balanced,0.44,0.72213,4,1.11947,0.1,0.92
47,4,balanced,0.6914,0.6952,4,1.10911,0.1,0.92
48,4,balanced,0.3388,0.69827,4,1.09073,0.1,0.92
49,4,balanced,0.3293,0.70186,4,1.08498,0.1,0.92
50,4,balanced,0.6674,0.68166,4,1.07953,0.1,0.92
51,4,balanced,0.2326,0.69715,4,1.06334,0.1,0.92
52,4,balanced,0.1907,0.71455,4,1.06151,0.1,0.92
53,4,balanced,0.1812,0.73044,4,1.06059,0.1,0.92
54,4,balanced,0.2086,0.74124,4,1.05955,0.1,0.92
55,4,balanced,0.26,0.74508,4,1.05732,0.1,0.92
56,4,balanced,0.3114,0.74302,4,1.0533,0.1,0.92
57,4,balanced,0.7188,0.71207,3,1.04764,0.1,0.92
58,4,balanced,0.5093,0.6993,3,1.02975,0.1,0.92
59,4,balanced,0.2874,0.70613,3,1.01946,0.1,0.92
60,4,balanced,0.2326,0.71739,3,1.01595,0.1,0.92
61,4,balanced,0.1907,0.73122,3,1.01386,0.1,0.92
62,4,balanced,0.1812,0.74399,3,1.0127,0.1,0.92
63,4,balanced,0.2086,0.75195,3,1.01151,0.1,0.92
64,4,balanced,0.64,0.7227,3,1.00929,0.1,0.92
65,4,balanced,0.3114,0.72365,3,0.99489,0.1,0.92
66,4,balanced,0.3388,0.72174,3,0.99046,0.1,0.92
67,4,balanced,0.3293,0.72114,3,0.98533,0.1,0.92
68,4,balanced,0.2874,0.72488,3,0.98057,0.1,0.92
69,4,balanced,0.2326,0.73351,3,0.977,0.1,0.92
70,4,balanced,0.3707,0.72722,3,0.97481,0.1,0.92
71,4,balanced,0.5612,0.70937,3,0.96888,0.1,0.92
72,4,balanced,0.2086,0.72272,3,0.95848,0.1,0.92
73,4,balanced,0.26,0.72907,3,0.95734,0.1,0.92
74,4,balanced,0.3114,0.72932,3,0.95468,0.1,0.92
75,4,balanced,0.3388,0.72686,3,0.95066,0.1,0.92
76,4,balanced,0.3293,0.72578,3,0.94601,0.1,0.92
77,4,balanced,0.2874,0.72905,3,0.94172,0.1,0.92
78,4,balanced,0.6126,0.70808,3,0.93851,0.1,0.92
79,4,balanced,0.1907,0.72338,3,0.92779,0.1,0.92
80,4,balanced,0.1812,0.73746,3,0.92725,0.1,0.92
1,5,balanced,0.64,0.83632,5,1.60944,0.1,0.92
2,5,balanced,0.3114,0.79664,5,1.60503,0.1,0.92
3,5,balanced,0.3388,0.76402,5,1.60156,0.1,0.92
4,5,balanced,0.3293,0.74234,5,1.59716,0.1,0.92
5,5,balanced,0.2874,0.73324,5,1.59257,0.1,0.92
6,5,balanced,0.2326,0.73511,5,1.5887,0.1,0.92
7,5,balanced,0.1907,0.7433,5,1.58599,0.1,0.92
8,5,balanced,0.5612,0.69891,5,1.58415,0.1,0.92
9,5,balanced,0.2086,0.71164,5,1.57133,0.1,0.92
10,5,balanced,0.44,0.69099,5,1.56927,0.1,0.92
11,5,balanced,0.3114,0.69094,5,1.55923,0.1,0.92
12,5,balanced,0.3388,0.68733,5,1.55352,0.1,0.92
13,5,balanced,0.7093,0.64622,5,1.54654,0.1,0.92
14,5,balanced,0.2874,0.65821,5,1.52377,0.1,0.92
15,5,balanced,0.6126,0.63576,5,1.51922,0.1,0.92
16,5,balanced,0.1907,0.66122,5,1.49967,0.1,0.92
17,5,balanced,0.1812,0.68435,5,1.49932,0.1,0.92
18,5,balanced,0.2086,0.70055,5,1.49862,0.1,0.92
19,5,balanced,0.26,0.70744,5,1.49601,0.1,0.92
20,5,balanced,0.3114,0.70649,5,1.49055,0.1,0.92
21,5,balanced,0.3388,0.70241,5,1.48235,0.1,0.92
22,5,balanced,0.8893,0.64781,5,1.47269,0.1,0.92
23,5,balanced,0.2874,0.66098,5,1.43314,0.1,0.92
24,5,balanced,0.2326,0.67846,5,1.42764,0.1,0.92
25,5,balanced,0.1907,0.69825,5,1.42439,0.1,0.92
26,5,balanced,0.1812,0.71618,5,1.42259,0.1,0.92
27,5,balanced,0.2086,0.7279,5,1.42058,0.1,0.92
28,5,balanced,0.26,0.73126,5,1.41658,0.1,0.92
29,5,balanced,0.6914,0.69238,5,1.40953,0.1,0.92
30,5,balanced,0.7188,0.66205,5,1.37878,0.1,0.92
31,5,balanced,0.3293,0.66966,5,1.34807,0.1,0.92
32,5,balanced,0.2874,0.68067,5,1.33979,0.1,0.92
33,5,balanced,0.2326,0.69596,5,1.33344,0.1,0.92
34,5,balanced,0.3707,0.69414,5,1.32953,0.1,0.92
35,5,balanced,0.1812,0.71311,5,1.31783,0.1,0.92
36,5,balanced,0.5886,0.69158,5,1.31606,0.1,0.92
37,5,balanced,0.26,0.70263,5,1.29237,0.1,0.92
38,5,balanced,0.3114,0.70648,5,1.28682,0.1,0.92
39,5,balanced,0.3388,0.70686,5,1.27827,0.1,0.92
40,5,balanced,0.3293,0.70835,5,1.26823,0.1,0.92
41,5,balanced,0.2874,0.71418,5,1.25877,0.1,0.92
42,5,balanced,0.2326,0.72494,5,1.25146,0.1,0.92
43,5,balanced,0.5707,0.70484,5,1.2467,0.1,0.92
44,5,balanced,0.1812,0.72254,5,1.22486,0.1,0.92
45,5,balanced,0.2086,0.73471,5,1.22299,0.1,0.92
46,5,balanced,0.44,0.72297,5,1.21927,0.1,0.92
47,5,balanced,0.6914,0.69617,5,1.20411,0.1,0.92
48,5,balanced,0.3388,0.69971,5,1.1776,0.1,0.92
49,5,balanced,0.3293,0.70372,5,1.16916,0.1,0.92
50,5,balanced,0.6674,0.68399,4,1.16115,0.1,0.92
51,5,balanced,0.2326,0.69892,4,1.13824,0.1,0.92
52,5,balanced,0.1907,0.71594,4,1.13527,0.1,0.92
53,5,balanced,0.1812,0.73148,4,1.1336,0.1,0.92
54,5,balanced,0.2086,0.74183,4,1.1318,0.1,0.92
55,5,balanced,0.26,0.74507,4,1.12844,0.1,0.92
56,5,balanced,0.3114,0.74234,4,1.12266,0.1,0.92
57,5,balanced,0.7188,0.70961,4,1.11471,0.1,0.92
58,5,balanced,0.5093,0.69851,3,1.0902,0.1,0.92
59,5,balanced,0.2874,0.70512,3,1.07633,0.1,0.92
60,5,balanced,0.2326,0.71633,3,1.07141,0.1,0.92
61,5,balanced,0.1907,0.73021,3,1.06839,0.1,0.92
62,5,balanced,0.1812,0.74301,3,1.06661,0.1,0.92
63,5,balanced,0.2086,0.75092,3,1.0648,0.1,0.92
64,5,balanced,0.64,0.72062,3,1.06169,0.1,0.92
65,5,balanced,0.3114,0.72155,3,1.04271,0.1,0.92
66,5,balanced,0.3388,0.71958,3,1.03684,0.1,0.92
67,5,balanced,0.3293,0.71898,3,1.0301,0.1,0.92
68,5,balanced,0.2874,0.72279,3,1.02386,0.1,0.92
69,5,balanced,0.2326,0.73159,3,1.01916,0.1,0.92
70,5,balanced,0.3707,0.7252,3,1.01621,0.1,0.92
71,5,balanced,0.5612,0.70702,3,1.0086,0.1,0.92
72,5,balanced,0.2086,0.72063,3,0.99545,0.1,0.92
73,5,balanced,0.26,0.72714,3,0.99384,0.1,0.92
74,5,balanced,0.3114,0.72745,3,0.99039,0.1,0.92
75,5,balanced,0.3388,0.72501,3,0.98529,0.1,0.92
76,5,balanced,0.3293,0.72398,3,0.97945,0.1,0.92
77,5,balanced,0.2874,0.72735,3,0.97407,0.1,0.92
78,5,balanced,0.6126,0.70609,3,0.97003,0.1,0.92
79,5,balanced,0.1907,0.72165,3,0.95696,0.1,0.92
80,5,balanced,0.1812,0.73596,3,0.95613,0.1,0.92
1,6,balanced,0.64,0.85914,6,1.79176,0.1,0.92
2,6,balanced,0.3114,0.8205,6,1.78702,0.1,0.92
3,6,balanced,0.3388,0.7888,6,1.78313,0.1,0.92
4,6,balanced,0.3293,0.7672,6,1.7782,0.1,0.92
5,6,balanced,0.2874,0.757,6,1.7731,0.1,0.92
6,6,balanced,0.2326,0.7567,6,1.7688,0.1,0.92
7,6,balanced,0.1907,0.76222,6,1.76581,0.1,0.92
8,6,balanced,0.5612,0.72433,6,1.76378,0.1,0.92
9,6,balanced,0.2086,0.7338,6,1.75035,0.1,0.92
10,6,balanced,0.44,0.71571,6,1.74811,0.1,0.92
11,6,balanced,0.3114,0.7147,6,1.73771,0.1,0.92
12,6,balanced,0.3388,0.71093,6,1.73179,0.1,0.92
13,6,balanced,0.7093,0.67723,6,1.72463,0.1,0.92
14,6,balanced,0.2874,0.68638,6,1.70211,0.1,0.92
15,6,balanced,0.6126,0.66788,6,1.69747,0.1,0.92
16,6,balanced,0.1907,0.68848,6,1.67848,0.1,0.92
17,6,balanced,0.1812,0.70731,6,1.67802,0.1,0.92
18,6,balanced,0.2086,0.72058,6,1.6773,0.1,0.92
19,6,balanced,0.26,0.72635,6,1.67481,0.1,0.92
20,6,balanced,0.3114,0.72575,6,1.66965,0.1,0.92
21,6,balanced,0.3388,0.72258,6,1.66194,0.1,0.92
22,6,balanced,0.8893,0.68027,6,1.6529,0.1,0.92
