node_id,x_m,y_m,z_m,target_axis_t_m,axis_error_m
B13,38.134144,18.809148,-297.168354,-282.009916,-0.274884
B14,41.907178,7.19817,-297.171982,-282.823984,-0.270744
B15,45.618063,-4.401073,-296.681498,-283.161171,-0.268632
C11,49.144432,-15.967353,-295.719121,-283.060015,-0.269242
C12,39.496297,-23.254633,-296.708248,-286.541365,-0.234932
C13,29.679202,-30.462352,-297.238224,-289.606866,-0.185045
C14,19.80318,-37.645366,-297.279529,-292.207119,-0.128756
C15,9.915755,-44.767121,-296.826557,-294.316568,-0.073845
D11,0.0,-51.704781,-295.89788,-295.935139,-0.026257
D12,-9.918267,-44.778461,-296.901749,-297.754571,0.032797
D13,-19.812969,-37.663975,-297.426479,-299.065125,0.078909
D14,-29.700023,-30.483722,-297.446745,-299.85579,0.108212
D15,-39.529928,-23.274434,-296.960894,-300.118824,0.118197
E11,-49.189638,-15.982041,-295.991146,-299.84993,0.108021
E12,-45.655534,-4.404688,-296.925195,-298.720681,0.066507
E13,-41.936282,7.203169,-297.378367,-297.071551,0.009918
E14,-38.155031,18.81945,-297.331119,-294.911137,-0.056952
E15,-34.331098,30.385705,-296.788009,-292.260878,-0.127475
A11,-30.378939,41.813371,-295.777451,-289.15348,-0.193584
A17,-24.305917,50.320636,-294.977971,-286.284509,-0.238284
A18,-12.201287,50.497493,-295.683614,-284.950766,-0.253609
A19,0.0,50.537382,-295.915956,-283.154964,-0.268696
A20,12.200428,50.493937,-295.662794,-280.899867,-0.278264
A21,24.303201,50.315013,-294.945009,-278.234514,-0.276006
B16,36.368123,50.056549,-293.760161,-275.147299,-0.254449
B17,40.342727,38.662576,-294.948515,-277.041377,-0.270116
B18,44.252159,27.207038,-295.662042,-278.497858,-0.276898
B19,48.061874,15.617074,-295.905771,-279.532076,-0.279006
B20,51.792322,4.000206,-295.661574,-280.107034,-0.279131
B21,55.362255,-7.56472,-294.944217,-280.239044,-0.27907
C16,58.84186,-19.118633,-293.745222,-279.912939,-0.279196
C17,49.23797,-26.421651,-294.956427,-283.585577,-0.265628
C18,39.554971,-33.682986,-295.701176,-286.830651,-0.230946
C19,29.711457,-40.893772,-295.980872,-289.652843,-0.184119
C20,19.816545,-48.038595,-295.773254,-292.002191,-0.133511
C21,9.917456,-55.017661,-295.089281,-293.862196,-0.086343
D16,0.0,-61.905994,-293.917337,-295.22802,-0.047624
D17,-9.919907,-55.031256,-295.162199,-297.295866,0.017367
D18,-19.826236,-48.062086,-295.917886,-298.860388,0.071643
D19,-29.732387,-40.922581,-296.18938,-299.914611,0.110473
D20,-39.589386,-33.712292,-295.958449,-300.441674,0.130658
D21,-49.285325,-26.447063,-295.240106,-300.438124,0.130477
E16,-58.8982,-19.136939,-294.02648,-299.910634,0.110267
E17,-55.411043,-7.571386,-295.204137,-299.038213,0.077992
E18,-51.832079,4.003276,-295.88853,-297.650385,0.029287
E19,-48.091836,15.626809,-296.090239,-295.744945,-0.03212
E20,-44.272384,27.219473,-295.797175,-293.339279,-0.100276
E21,-40.35396,38.673341,-295.030637,-290.471702,-0.167723
A16,-36.371576,50.061302,-293.788053,-287.144354,-0.226599
A23,-30.296897,58.576292,-292.873766,-284.172141,-0.260952
A24,-18.205366,58.793813,-293.822864,-283.08096,-0.269155
A25,-6.103996,58.90243,-294.2945,-281.534944,-0.276632
A26,6.10393,58.901792,-294.291311,-279.525237,-0.278985
A27,18.205044,58.792773,-293.817664,-277.096777,-0.270472
A28,30.297489,58.577437,-292.87949,-274.245919,-0.244179
B22,42.325546,58.257022,-291.488008,-271.000489,-0.192252
B23,46.349357,46.918524,-292.890778,-273.069358,-0.228097
B24,50.291929,35.484372,-293.831327,-274.724948,-0.249903
B25,54.134464,24.008018,-294.301288,-275.951214,-0.26205
B26,57.90626,12.397577,-294.297263,-276.747624,-0.268214
B27,61.540893,0.854415,-293.817666,-277.096732,-0.27047
B28,65.068668,-10.712685,-292.862317,-277.003562,-0.269841
C22,68.472081,-22.247982,-291.436279,-276.469205,-0.266222
C23,58.937584,-29.578366,-292.857998,-280.313533,-0.278973
C24,49.28721,-36.864923,-293.826798,-283.755562,-0.264368
C25,39.564967,-44.070013,-294.330319,-286.761847,-0.231908
C26,29.690518,-51.252383,-294.361557,-289.337389,-0.190142
C27,19.835887,-58.283394,-293.914786,-291.424693,-0.146916
C28,9.923034,-65.221137,-292.986548,-293.034538,-0.108018
D22,0.0,-72.030533,-291.578484,-294.151377,-0.078401
D23,-9.925374,-65.236512,-293.055615,-296.46114,-0.009638
D24,-19.845277,-58.310985,-294.053926,-298.276999,0.050916
D25,-29.711018,-51.287769,-294.564792,-299.581347,0.09794
D26,-39.599246,-44.108195,-294.585322,-300.373308,0.128003
D27,-49.335309,-36.900899,-294.113541,-300.635062,0.1381
D28,-58.996348,-29.607857,-293.149992,-300.372453,0.128002
E22,-68.53406,-22.268121,-291.70008,-299.588081,0.098154
E23,-65.124657,-10.721903,-293.114316,-298.97207,0.075595
E24,-61.588177,0.855072,-294.043415,-297.839223,0.035674
E25,-57.943124,12.40547,-294.484619,-296.200496,-0.018037
E26,-54.15999,24.019339,-294.44006,-294.046259,-0.081349
E27,-50.306195,35.494437,-293.914671,-291.42443,-0.147078
E28,-46.35305,46.922262,-292.914117,-288.331797,-0.208034
A22,-42.320008,58.249399,-291.449867,-284.798284,-0.25527
A30,-36.23212,66.748165,-290.427866,-281.734098,-0.275992
A31,-24.187298,67.020443,-291.613125,-280.880844,-0.278357
A32,-12.103432,67.183994,-292.324971,-279.572844,-0.279054
A33,0.0,67.239447,-292.565041,-277.8185,-0.274403
A34,12.103921,67.186711,-292.336795,-275.629557,-0.259188
A35,24.189977,67.027867,-291.64543,-273.019913,-0.227358
A36,36.240867,66.764278,-290.497978,-270.006619,-0.171415
B29,48.240392,66.397537,-288.903369,-266.609446,-0.082794
B30,52.300522,55.102268,-290.517995,-268.8488,-0.144238
B31,56.277412,43.723954,-291.675307,-270.684288,-0.185813
B32,60.164256,32.277326,-292.369407,-272.104452,-0.212513
B33,63.954579,20.780808,-292.59594,-273.099632,-0.228537
B34,67.641809,9.251394,-292.352333,-273.663626,-0.236559
B35,71.220045,-2.292601,-291.637755,-273.792627,-0.238294
B36,74.683487,-13.833699,-290.453015,-273.485896,-0.234078
C29,78.026762,-25.352464,-288.800711,-272.745323,-0.223058
C30,68.546142,-32.702788,-290.430033,-276.754094,-0.268163
C31,58.961076,-40.003099,-291.612308,-280.370614,-0.278974
C32,49.283531,-47.239974,-292.337498,-283.571257,-0.265681
C33,39.526301,-54.403345,-292.597348,-286.335245,-0.237645
C34,29.703787,-61.478756,-292.385661,-288.644721,-0.202517
C35,19.831089,-68.456348,-291.697872,-290.484502,-0.167324
C36,9.924325,-75.323146,-290.531433,-291.84261,-0.137309
D29,0.0,-82.066126,-288.885779,-292.710332,-0.116323
D30,-9.926498,-75.339639,-290.595049,-295.256631,-0.046709
D31,-19.839948,-68.486926,-291.828168,-297.314448,0.018102
D32,-29.723427,-61.519404,-292.57898,-298.870289,0.072017
D33,-39.559522,-54.449069,-292.84327,-299.914013,0.110407
D34,-49.330949,-47.285425,-292.618764,-300.439013,0.130561
D35,-59.020215,-40.043222,-291.904798,-300.441736,0.130637
D36,-68.610489,-32.733487,-290.702674,-299.9222,0.110787
E29,-78.084773,-25.371313,-289.015427,-298.883815,0.072389
E30,-74.738761,-13.843938,-290.667984,-298.523491,0.059537
E31,-71.268407,-2.294158,-291.835795,-297.648074,0.029207
E32,-67.680232,9.256649,-292.5184,-296.263388,-0.016023
E33,-63.981101,20.789426,-292.717279,-294.378361,-0.072141
E34,-60.177897,32.284644,-292.435698,-292.005317,-0.133549
E35,-56.278094,43.724484,-291.67884,-289.159494,-0.193495
E36,-52.288968,55.090095,-290.453811,-285.859788,-0.24355
A29,-48.218028,66.366755,-288.769435,-282.127207,-0.274381
A38,-42.326137,75.266429,-287.502589,-278.8236,-0.277829
A39,-30.304028,75.595433,-288.932285,-278.210559,-0.275988
A40,-18.211029,75.81608,-289.891379,-277.141978,-0.270751
A41,-6.109673,75.927953,-290.377301,-275.628607,-0.259168
A42,6.109997,75.931986,-290.392726,-273.659589,-0.236548
A43,18.214197,75.829269,-289.941807,-271.282509,-0.197621
A44,30.314385,75.621271,-289.031039,-268.492308,-0.13532
A45,42.351025,75.310686,-287.671644,-265.317313,-0.041748
B37,54.109403,74.47552,-286.017244,-261.994661,0.082799
B38,58.543396,63.55767,-287.701908,-264.171529,-0.001952
B39,62.562587,52.208392,-289.080001,-266.186293,-0.069832
B40,66.502741,40.763521,-290.001119,-267.799323,-0.116893
B41,70.342795,29.281717,-290.456777,-268.993901,-0.147805
B42,74.116405,17.656378,-290.443321,-269.770508,-0.166072
B43,77.750761,6.110246,-289.959227,-270.110356,-0.173597
B44,81.279777,-5.461566,-289.004404,-270.019435,-0.171609
B45,84.68578,-17.000929,-287.583796,-269.498624,-0.159833
C37,87.498983,-28.429467,-285.847899,-268.759015,-0.14198
C38,78.492704,-36.017353,-287.538567,-272.743197,-0.223012
C39,68.951398,-43.345704,-288.937917,-276.535637,-0.266625
C40,59.295564,-50.630619,-289.887326,-279.932334,-0.279069
C41,49.571514,-57.834283,-290.374309,-282.898993,-0.270169
C42,39.688302,-65.020357,-290.39165,-285.442984,-0.248245
C43,29.834713,-72.050151,-289.933568,-287.502813,-0.221104
C44,19.921599,-78.986728,-288.996828,-289.091891,-0.19455
C45,10.00061,-85.794053,-287.582906,-290.193951,-0.173389
D37,0.0,-92.000873,-285.844661,-290.911749,-0.158387
D38,-10.002579,-85.810951,-287.639546,-293.616075,-0.092924
D39,-19.929747,-79.019031,-289.115021,-295.922409,-0.026521
D40,-29.853072,-72.094487,-290.111982,-297.735891,0.032294
D41,-39.71978,-65.071926,-290.621963,-299.038381,0.078087
D42,-49.617167,-57.887545,-290.641726,-299.82968,0.107327
D43,-59.353274,-50.679896,-290.169463,-300.090727,0.117223
D44,-69.015325,-43.385891,-289.205798,-299.828155,0.107228
D45,-78.55212,-36.044617,-287.756224,-299.04461,0.078216
E37,-87.538498,-28.442306,-285.976989,-297.80119,0.034411
E38,-84.72677,-17.009158,-287.722993,-297.638942,0.028883
E39,-81.317634,-5.46411,-289.139009,-297.027041,0.008504
E40,-77.78077,6.112605,-290.07114,-295.901272,-0.027276
E41,-74.135136,17.66084,-290.516722,-294.272933,-0.075055
E42,-70.347848,29.28382,-290.477642,-292.130053,-0.130571
E43,-66.49305,40.75758,-289.958859,-289.524391,-0.186598
E44,-62.537945,52.187829,-288.966141,-286.45015,-0.236211
E45,-58.504552,63.515499,-287.511014,-282.938808,-0.270083
A37,-54.059588,74.406956,-285.753931,-279.143336,-0.278538
A47,-48.148633,83.283879,-284.370291,-275.746723,-0.260344
A48,-36.382556,84.075362,-285.88591,-275.206396,-0.255129
A49,-24.317423,84.366997,-287.085239,-274.372811,-0.245885
A50,-12.212229,84.522371,-287.821601,-273.10416,-0.22873
A51,0.0,84.598411,-288.080667,-271.372674,-0.199422
A52,12.214518,84.538214,-287.875548,-269.219901,-0.153432
A53,24.327301,84.401267,-287.201857,-266.657705,-0.084374
A54,36.407743,84.133334,-286.083038,-263.711443,0.014894
A55,48.199054,83.371093,-284.668081,-260.612241,0.142897
B48,68.781233,60.639309,-286.153381,-261.441681,0.106314
B49,72.774571,49.233378,-287.291147,-263.227345,0.033355
B50,76.652255,37.754205,-287.976905,-264.620254,-0.017936
B51,80.487808,26.152493,-288.190459,-265.591421,-0.050762
B52,84.192681,14.510377,-287.938553,-266.148438,-0.068581
B53,87.789912,2.94544,-287.211006,-266.262362,-0.072152
B54,91.246798,-8.625572,-286.024359,-265.963699,-0.062752
B55,94.136593,-20.066568,-284.524023,-265.442653,-0.045849
C46,96.882631,-31.478775,-282.588006,-264.529525,-0.014668
C47,87.931917,-39.087827,-284.455361,-268.636925,-0.13889
C48,78.859056,-46.636894,-285.911652,-272.400303,-0.217492
C49,69.259774,-53.958064,-287.074411,-275.968733,-0.262188
C50,59.553759,-61.194212,-287.789372,-279.134405,-0.278439
C51,49.716859,-68.429147,-288.031886,-281.878366,-0.27533
C52,39.798397,-75.552397,-287.805453,-284.174462,-0.260778
C53,29.917054,-82.549034,-287.095302,-285.97973,-0.241968
C54,19.985775,-89.412123,-285.915403,-287.316169,-0.224018
C55,10.001121,-95.6924,-284.414053,-288.27244,-0.208807
D46,0.0,-101.822434,-282.461501,-288.76447,-0.200473
D47,-10.002805,-95.708519,-284.46196,-291.67324,-0.141143
D48,-19.992932,-89.444142,-286.017792,-294.129054,-0.079029
D49,-29.933509,-82.594437,-287.253207,-296.189948,-0.018213
D50,-39.827078,-75.606844,-288.012862,-297.750729,0.032796
D51,-49.759018,-68.487174,-288.276133,-298.80141,0.069462
D52,-59.607777,-61.249718,-288.050412,-299.327791,0.088555
D53,-69.320261,-54.005188,-287.325125,-299.322679,0.08835
D54,-78.91604,-46.670593,-286.118252,-298.797116,0.069269
D55,-87.971047,-39.105221,-284.581944,-297.816763,0.034961
E46,-96.883318,-31.478999,-282.590011,-296.34547,-0.013435
E47,-94.145507,-20.068469,-284.550966,-296.416298,-0.011185
E48,-91.256626,-8.626501,-286.055169,-295.995967,-0.02438
E49,-87.796062,2.945646,-287.231123,-295.131594,-0.050497
E50,-84.190008,14.509916,-287.92941,-293.764395,-0.089001
E51,-80.472197,26.147421,-288.134564,-291.878155,-0.136546
E52,-76.621182,37.7389,-287.860168,-289.503354,-0.187072
E53,-72.726608,49.20093,-287.101804,-286.667934,-0.233276
E54,-68.716195,60.58197,-285.882799,-283.384947,-0.267118
E55,-64.325802,71.525965,-284.359581,-279.817207,-0.279246
A46,-59.839361,82.362304,-282.411453,-275.861072,-0.261337
A57,-53.917985,91.233043,-280.907104,-272.371521,-0.216983
A58,-42.179426,92.086843,-282.635556,-272.036804,-0.211336
A59,-30.394558,92.784556,-283.928117,-271.294859,-0.19785
A60,-18.300696,93.012286,-284.905761,-270.259037,-0.176999
A61,-6.111435,93.188467,-285.398038,-268.752958,-0.142014
A62,6.11226,93.20104,-285.436546,-266.834585,-0.089632
A63,18.30839,93.05139,-285.025542,-264.52332,-0.014627
A64,30.417521,92.854653,-284.142619,-261.800841,0.090993
B61,86.798228,34.633104,-285.595364,-261.144007,0.119269
B62,90.570006,22.998359,-285.570346,-261.896703,0.08695
B63,94.175798,11.345192,-285.09169,-262.252484,0.072203
B64,97.705594,-0.235048,-284.131152,-262.158737,0.076052
B65,100.692839,-11.667797,-282.857309,-261.838834,0.089428
B66,103.520337,-23.106419,-281.154269,-261.142433,0.119439
C57,97.298793,-42.139347,-281.059646,-264.283267,-0.005835
C58,88.269889,-49.717491,-282.695628,-268.176336,-0.126973
C59,79.125598,-57.197638,-283.922588,-271.718377,-0.205716
C60,69.463436,-64.478356,-284.852624,-275.061375,-0.253421
C61,59.699415,-71.774245,-285.306021,-277.982664,-0.274908
C62,49.813876,-78.956961,-285.304922,-280.482634,-0.278925
C63,39.856476,-85.985915,-284.844184,-282.536318,-0.272269
C64,29.943672,-92.917024,-283.890056,-284.091787,-0.261583
C65,20.002102,-99.284955,-282.615735,-285.270133,-0.250193
C66,10.004471,-105.497481,-280.897538,-286.001203,-0.241754
D56,0.0,-111.521904,-278.743196,-286.278379,-0.238351
D57,-10.00581,-105.511598,-280.935124,-289.377475,-0.189315
D58,-20.008029,-99.314374,-282.699477,-292.042213,-0.1326
D59,-29.95759,-92.960211,-284.022005,-294.246723,-0.075757
D60,-39.881282,-86.039431,-285.021464,-296.057705,-0.022408
D61,-49.850886,-79.015623,-285.516893,-297.35874,0.019432
D62,-59.747321,-71.83184,-285.534966,-298.146004,0.046372
D63,-69.517393,-64.528441,-285.073889,-298.411168,0.05562
D64,-79.176198,-57.234215,-284.104151,-298.142599,0.046133
D65,-88.303715,-49.736543,-282.803959,-297.423412,0.021671
D66,-97.296258,-42.138249,-281.052323,-296.213105,-0.01754
E56,-106.108321,-34.476418,-278.860751,-294.523549,-0.067975
E57,-103.472448,-23.09573,-281.024206,-294.819191,-0.05951
E58,-100.653141,-11.663197,-282.745793,-294.63199,-0.064924
E59,-97.666214,-0.234953,-284.016633,-293.963349,-0.083613
E60,-94.132186,11.339938,-284.959667,-292.85561,-0.112725
E61,-90.51587,22.984613,-285.399654,-291.223732,-0.151535
E62,-86.729481,34.605673,-285.369162,-289.102168,-0.194525
E63,-82.794216,46.142425,-284.872533,-286.51243,-0.235365
E64,-78.839217,57.57104,-283.886118,-283.462933,-0.266621
E65,-74.534229,68.561102,-282.592076,-280.127426,-0.279189
E66,-70.098087,79.462479,-280.874821,-276.393243,-0.265567
A56,-65.552777,90.225868,-278.751017,-272.29632,-0.215796
A68,-59.608822,99.071472,-277.137718,-268.729671,-0.141284
A69,-47.930462,99.998036,-279.066935,-268.5903,-0.137739
A70,-36.177991,100.771387,-280.567498,-268.048529,-0.123693
A71,-24.368756,101.390021,-281.638536,-267.108109,-0.097576
A72,-12.195716,101.652293,-282.365869,-265.828223,-0.058553
A73,0.0,101.751743,-282.641887,-264.14146,-0.00095
A74,12.200217,101.68981,-282.470082,-262.058893,0.080078
C69,97.592859,-52.748085,-279.178338,-263.717101,0.014859
C70,88.504445,-60.263348,-280.580772,-267.384574,-0.105337
C71,79.292292,-67.686384,-281.575019,-270.701022,-0.186031
C72,69.584142,-75.035216,-282.23729,-273.793298,-0.238296
C73,59.767572,-82.262493,-282.452014,-276.474841,-0.266128
C74,49.855706,-89.357638,-282.212547,-278.727715,-0.277505
C75,39.863129,-96.306907,-281.514581,-280.537239,-0.278812
C76,29.952321,-102.752746,-280.466539,-281.934003,-0.274993
C77,19.994609,-109.038975,-278.980462,-282.891042,-0.270269
C78,10.005194,-115.153966,-277.056964,-283.402736,-0.26694
D67,0.0,-121.088183,-274.69803,-283.4657,-0.266545
D68,-10.006122,-115.164647,-277.082663,-286.749525,-0.232097
D69,-19.999041,-109.063144,-279.0423,-289.605998,-0.185011
D70,-29.963221,-102.79014,-280.568609,-292.017391,-0.133103
D71,-39.88296,-96.354817,-281.654625,-293.968375,-0.083435
D72,-49.885883,-89.411724,-282.383363,-295.515754,-0.038988
D73,-59.806952,-82.316695,-282.63812,-296.554965,-0.006699
D74,-69.62828,-75.082812,-282.416315,-297.078938,0.010217
D75,-79.332455,-67.720669,-281.717643,-297.084492,0.010435
D76,-88.527962,-60.279361,-280.655325,-296.625755,-0.004481
D77,-97.581109,-52.741735,-279.144727,-295.678377,-0.03408
D78,-106.477293,-45.120861,-277.1899,-294.248228,-0.075665
E67,-115.202932,-37.431736,-274.796406,-292.344166,-0.125434
E68,-112.653839,-26.078972,-277.165203,-292.862902,-0.11253
E69,-109.925258,-14.68408,-279.092803,-292.903331,-0.111469
E70,-107.021781,-3.267041,-280.575929,-292.465282,-0.122419
E71,-103.948351,8.155172,-281.613038,-291.551351,-0.14417
E72,-100.418418,19.808679,-282.290919,-290.174568,-0.173824
E73,-96.722194,31.427077,-282.499468,-288.310574,-0.208337
E74,-92.866955,42.992471,-282.241903,-285.971403,-0.242217
E75,-88.8607,54.485762,-281.523464,-283.17264,-0.268664
E76,-84.627563,65.523213,-280.462316,-280.073084,-0.279204
E77,-80.266966,76.462242,-278.978457,-276.573627,-0.267074
E78,-75.786961,87.289084,-277.08145,-272.696489,-0.222428
A67,-71.195666,97.992544,-274.78248,-268.465983,-0.134603
A80,-65.279415,106.90631,-273.017515,-264.783541,-0.023617
A81,-53.633694,107.905744,-275.150599,-264.834808,-0.025381
A82,-41.885309,108.754129,-276.861145,-264.487934,-0.013418
A83,-30.092495,109.447981,-278.140918,-263.746247,0.013673
A84,-18.311401,109.88621,-279.028062,-262.668036,0.055212
A85,-6.115214,110.072448,-279.541485,-261.206537,0.116452
C82,97.826119,-63.374499,-276.908136,-262.797122,0.050219
C83,88.657118,-70.840671,-278.078477,-266.243197,-0.071415
C84,79.3593,-78.092216,-278.873397,-269.353335,-0.156332
C85,69.585878,-85.381857,-279.299786,-272.212408,-0.214376
C86,59.694766,-92.556183,-279.276527,-274.659991,-0.248976
C87,49.733893,-99.579511,-278.797946,-276.670914,-0.267498
C88,39.95712,-106.155196,-277.937565,-278.233009,-0.275961
C89,30.017716,-112.527336,-276.677585,-279.411471,-0.278653
C90,20.022023,-118.747103,-274.97714,-280.151695,-0.279004
C91,10.019314,-124.780001,-272.844367,-280.447386,-0.278949
D79,0.0,-130.512931,-270.334566,-280.339778,-0.279065
D80,-10.019758,-124.785528,-272.856454,-283.764596,-0.264287
D81,-20.024687,-118.762903,-275.013726,-286.812241,-0.231123
D82,-30.025007,-112.55467,-276.744792,-289.428908,-0.188236
D83,-39.97113,-106.192418,-278.03502,-291.588413,-0.143228
D84,-49.755549,-99.622871,-278.919346,-293.295576,-0.101275
D85,-59.723289,-92.600408,-279.409971,-294.585033,-0.066172
D86,-69.617095,-85.420159,-279.42508,-295.365054,-0.043574
D87,-79.384903,-78.11741,-278.963366,-295.628082,-0.035548
D88,-88.664934,-70.846916,-278.102992,-295.410211,-0.042105
D89,-97.798492,-63.356601,-276.829934,-294.723719,-0.062324
D90,-106.798834,-55.763382,-275.106849,-293.550098,-0.094697
D91,-115.61953,-48.105285,-272.945435,-291.901102,-0.135966
E79,-124.157361,-40.340345,-270.404855,-289.817782,-0.180886
E80,-121.804823,-29.038324,-272.924858,-290.524415,-0.166583
E81,-119.159653,-17.658147,-275.062345,-290.790359,-0.160935
E82,-116.331548,-6.225514,-276.760489,-290.579647,-0.165457
E83,-113.336614,5.199743,-278.010149,-289.894065,-0.17941
E84,-110.096124,16.530955,-278.851202,-288.772736,-0.200415
E85,-106.482258,28.174431,-279.299658,-287.162587,-0.226336
E86,-102.69905,39.793298,-279.280638,-285.069949,-0.252418
E87,-98.767537,51.329303,-278.798443,-282.515874,-0.27243
E88,-94.722036,62.39535,-277.936366,-279.642341,-0.279084
E89,-90.429591,73.395564,-276.684639,-276.375159,-0.265556
E90,-86.006994,84.310764,-275.011761,-272.714327,-0.222545
E91,-81.476506,95.09211,-272.934458,-268.695341,-0.140577
A79,-76.765115,105.658268,-270.516206,-264.388241,-0.009742
A93,-70.823076,114.546631,-268.648928,-260.644716,0.141414
A94,-59.282412,115.701399,-270.931141,-260.833408,0.132941
A95,-47.571451,116.635012,-272.840155,-260.67167,0.140111
C96,97.935757,-73.92212,-274.286856,-261.559987,0.101423
C97,88.693063,-81.223838,-275.254306,-264.795609,-0.023987
C98,79.327381,-88.402679,-275.823376,-267.682178,-0.113635
C99,69.491279,-95.645927,-276.006817,-270.302107,-0.17763
C100,59.546913,-102.735054,-275.749967,-272.512335,-0.219237
C101,49.8128,-109.389704,-275.100046,-274.266556,-0.244257
C102,40.003858,-115.877697,-274.031756,-275.613498,-0.258893
C103,30.03809,-122.191382,-272.552918,-276.569723,-0.266764
C104,20.025804,-128.315242,-270.649096,-277.098596,-0.270357
C105,10.020631,-134.15504,-268.362643,-277.219776,-0.27109
D92,0.0,-139.787761,-265.662501,-276.915839,-0.269146
D93,-10.020519,-134.153537,-268.359637,-280.499332,-0.278787
D94,-20.026398,-128.319049,-270.657126,-283.688336,-0.264761
D95,-30.041094,-122.2036,-272.580169,-286.493117,-0.235414
D96,-40.010896,-115.898084,-274.079967,-288.860243,-0.198756
D97,-49.824534,-109.415471,-275.164845,-290.774808,-0.161167
D98,-59.562196,-102.761421,-275.82074,-292.231512,-0.128042
D99,-69.506302,-95.666605,-276.066489,-293.259223,-0.102244
D100,-79.334238,-88.410321,-275.847219,-293.780852,-0.088488
D101,-88.680134,-81.211998,-275.214181,-293.812517,-0.087693
D102,-97.885841,-73.884444,-274.147058,-293.367949,-0.099381
D103,-106.970111,-66.352468,-272.656938,-292.452652,-0.122745
D104,-115.882931,-58.715076,-270.733111,-291.062908,-0.154971
D105,-124.520133,-50.99726,-268.421644,-289.233805,-0.192021
E92,-132.962737,-43.201806,-265.694703,-286.956426,-0.229217
E93,-130.706786,-31.931238,-268.405702,-287.869103,-0.215528
E94,-128.246411,-20.609572,-270.697234,-288.325162,-0.208063
E95,-125.515242,-9.192353,-272.599379,-288.336603,-0.207909
