node_id,actuator_stroke_m
D231,-0.093961
E213,-0.107788
E214,-0.088744
E215,-0.081614
E216,-0.084351
E217,-0.075887
E218,-0.081093
E219,-0.100217
D240,-0.063684
D241,-0.009706
D242,0.027238
D243,0.051157
D244,0.063418
D245,0.065564
D246,0.057934
D247,0.03468
D248,-0.001799
D249,-0.03014
D250,-0.070998
D265,-0.107688
D266,-0.082631
D267,-0.072392
D268,-0.076042
D269,-0.09381
