scenario,month,season,crop,wild_plants,pests,beneficial_insects,bats,birds,soil_health,predators
baseline_chemical,48,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,49,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,50,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,51,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,52,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,53,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,54,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,55,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,56,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,57,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,58,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,59,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,60,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,61,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,62,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,63,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,64,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,65,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,66,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,67,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,68,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,69,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,70,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,71,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,72,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,73,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,74,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,75,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,76,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,77,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,78,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,79,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,80,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,81,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,82,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,83,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,84,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,85,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,86,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,87,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,88,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,89,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,90,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,91,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,92,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,93,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,94,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,95,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,96,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,97,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,98,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,99,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,100,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,101,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,102,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,103,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,104,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,105,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,106,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,107,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,108,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,109,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,110,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,111,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,112,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,113,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,114,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,115,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,116,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,117,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,118,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,119,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,120,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,0,0.5,0.58,0.12,0.62,0.18,0.05,0.14,0.38,0.08
remove_herbicide,1,0.75,0.56249,0.1431,0.60105,0.126,0.0473,0.1435,0.36575,0.0714
remove_herbicide,2,0.93301,0.55819,0.16563,0.599,0.07373,0.04463,0.14653,0.35208,0.06289
remove_herbicide,3,1.0,0.56156,0.18761,0.61145,0.02315,0.04256,0.1495,0.33897,0.05445
remove_herbicide,4,0.93301,0.56472,0.20907,0.63289,0.02,0.04159,0.15279,0.32641,0.04609
remove_herbicide,5,0.75,0.56092,0.23003,0.65271,0.02,0.04202,0.15661,0.31439,0.03781
remove_herbicide,6,0.5,0.54399,0.2505,0.66115,0.02,0.04376,0.16093,0.30289,0.02962
remove_herbicide,7,0.25,0.5115,0.27052,0.65043,0.02,0.04642,0.16546,0.2919,0.02155
remove_herbicide,8,0.06699,0.4657,0.29009,0.618,0.02,0.0493,0.16972,0.28141,0.02
remove_herbicide,9,0.0,0.37807,0.28425,0.56747,0.02,0.05163,0.17317,0.25141,0.02
remove_herbicide,10,0.06699,0.29113,0.27721,0.50368,0.02,0.05202,0.17535,0.22127,0.02
remove_herbicide,11,0.25,0.24759,0.29396,0.43518,0.02,0.04996,0.17595,0.21095,0.02
remove_herbicide,12,0.5,0.21763,0.3103,0.37095,0.02,0.04601,0.17483,0.20105,0.02
remove_herbicide,13,0.75,0.20174,0.32624,0.3127,0.02,0.04031,0.1721,0.19156,0.02
remove_herbicide,14,0.93301,0.19863,0.3418,0.25897,0.02,0.03304,0.16792,0.18246,0.02
remove_herbicide,15,1.0,0.20631,0.357,0.20657,0.02,0.02436,0.16239,0.17376,0.02
remove_herbicide,16,0.93301,0.22229,0.37185,0.15209,0.02,0.02,0.15555,0.16543,0.02
remove_herbicide,17,0.75,0.24363,0.38637,0.09276,0.02,0.02,0.14736,0.15748,0.02
remove_herbicide,18,0.5,0.26709,0.40057,0.02796,0.02,0.02,0.13768,0.14989,0.02
remove_herbicide,19,0.25,0.2899,0.41446,0.02,0.02,0.02,0.12638,0.14265,0.02
remove_herbicide,20,0.06699,0.30426,0.42807,0.02,0.02,0.02,0.11488,0.13576,0.02
remove_herbicide,21,0.0,0.27593,0.4164,0.02,0.02,0.02,0.10338,0.10922,0.02
remove_herbicide,22,0.06699,0.24333,0.40367,0.02,0.02,0.02,0.09188,0.08238,0.02
remove_herbicide,23,0.25,0.24665,0.41486,0.02,0.02,0.02,0.08038,0.07522,0.02
remove_herbicide,24,0.5,0.25619,0.42577,0.02,0.02,0.02,0.06888,0.06834,0.02
remove_herbicide,25,0.75,0.27487,0.4364,0.02,0.02,0.02,0.05738,0.06173,0.02
remove_herbicide,26,0.93301,0.30389,0.44677,0.02,0.02,0.02,0.04588,0.05539,0.02
remove_herbicide,27,1.0,0.3423,0.45689,0.02,0.02,0.02,0.03438,0.04931,0.02
remove_herbicide,28,0.93301,0.38648,0.46676,0.02,0.02,0.02,0.02288,0.04348,0.02
remove_herbicide,29,0.75,0.43035,0.4764,0.02,0.02,0.02,0.02,0.0379,0.02
remove_herbicide,30,0.5,0.46707,0.48582,0.02,0.02,0.02,0.02,0.03256,0.02
remove_herbicide,31,0.25,0.49164,0.49502,0.02,0.02,0.02,0.02,0.02746,0.02
remove_herbicide,32,0.06699,0.50297,0.50402,0.02,0.02,0.02,0.02,0.02258,0.02
remove_herbicide,33,0.0,0.46924,0.48782,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,34,0.06699,0.43174,0.47152,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,35,0.25,0.43266,0.48022,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,36,0.5,0.44293,0.48892,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,37,0.75,0.46625,0.49762,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,38,0.93301,0.50328,0.50632,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,39,1.0,0.55127,0.51502,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,40,0.93301,0.60406,0.52372,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,41,0.75,0.65364,0.53242,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,42,0.5,0.69278,0.54112,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,43,0.25,0.71768,0.54982,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,44,0.06699,0.7287,0.55852,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,45,0.0,0.69479,0.54222,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,46,0.06699,0.65729,0.52592,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,47,0.25,0.65851,0.53462,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,48,0.5,0.66987,0.54332,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,49,0.75,0.69501,0.55202,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,50,0.93301,0.73356,0.56072,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,51,1.0,0.781,0.56942,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,52,0.93301,0.82993,0.57812,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,53,0.75,0.87274,0.58682,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,54,0.5,0.90433,0.59552,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,55,0.25,0.92324,0.60422,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,56,0.06699,0.93102,0.61292,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,57,0.0,0.89622,0.59662,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,58,0.06699,0.85872,0.58032,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,59,0.25,0.85934,0.58902,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,60,0.5,0.86846,0.59772,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,61,0.75,0.88886,0.60642,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,62,0.93301,0.91947,0.61512,0.02,0.02,0.02,0.02,0.02,0.02
remove_herbicide,63,1.0,0.95564,0.62382,0.0208,0.02,0.02,0.02,0.02,0.02
remove_herbicide,64,0.93301,0.99094,0.63252,0.02528,0.02,0.02,0.02,0.02,0.02
remove_herbicide,65,0.75,1.0196,0.64122,0.03341,0.02,0.02,0.02,0.02,0.02
remove_herbicide,66,0.5,1.03855,0.64992,0.04443,0.02,0.02,0.02,0.02,0.02
remove_herbicide,67,0.25,1.04737,0.65862,0.05693,0.02,0.02,0.02,0.02,0.02
remove_herbicide,68,0.06699,1.04741,0.66732,0.0694,0.02,0.02,0.02,0.02,0.02
remove_herbicide,69,0.0,1.00604,0.65102,0.08082,0.02,0.02,0.02,0.02,0.02
remove_herbicide,70,0.06699,0.96155,0.63472,0.08779,0.02,0.02,0.02,0.02,0.02
remove_herbicide,71,0.25,0.95375,0.64342,0.09118,0.02,0.02,0.02,0.02,0.02
remove_herbicide,72,0.5,0.95258,0.65212,0.0957,0.02,0.02,0.02,0.02,0.02
remove_herbicide,73,0.75,0.96048,0.66082,0.10286,0.02,0.02,0.02,0.02,0.02
remove_herbicide,74,0.93301,0.9765,0.66952,0.11399,0.02,0.02,0.02,0.02,0.02
remove_herbicide,75,1.0,0.99647,0.67822,0.12985,0.02,0.02,0.02,0.02,0.02
remove_herbicide,76,0.93301,1.01475,0.68692,0.1502,0.02,0.02,0.02,0.02,0.02
remove_herbicide,77,0.75,1.02642,0.69562,0.17342,0.02,0.02,0.02,0.02,0.02
remove_herbicide,78,0.5,1.02863,0.70432,0.19664,0.02,0.02,0.02,0.02014,0.02
remove_herbicide,79,0.25,1.02059,0.71303,0.21657,0.02,0.02001,0.02,0.0205,0.02
remove_herbicide,80,0.06699,1.00314,0.72175,0.23088,0.02,0.02098,0.02,0.02107,0.02
remove_herbicide,81,0.0,0.94366,0.70549,0.2392,0.02,0.02272,0.02,0.02,0.02
remove_herbicide,82,0.06699,0.88102,0.68919,0.24001,0.02,0.02425,0.02,0.02,0.02
remove_herbicide,83,0.25,0.85633,0.69789,0.23652,0.02,0.02533,0.02,0.02,0.02
remove_herbicide,84,0.5,0.84074,0.70659,0.23532,0.02,0.02654,0.02,0.0202,0.02
remove_herbicide,85,0.75,0.83757,0.7153,0.23898,0.02,0.02798,0.02,0.02061,0.02
remove_herbicide,86,0.93301,0.84615,0.72402,0.24898,0.02,0.0298,0.02,0.02124,0.02
remove_herbicide,87,1.0,0.8619,0.73277,0.26549,0.02,0.03224,0.02,0.0221,0.02
remove_herbicide,88,0.93301,0.87789,0.74156,0.28693,0.02,0.03551,0.02,0.02316,0.02
remove_herbicide,89,0.75,0.88729,0.75038,0.30986,0.02,0.0398,0.02,0.02445,0.02
remove_herbicide,90,0.5,0.8854,0.75926,0.32944,0.02,0.04516,0.02,0.02596,0.02
remove_herbicide,91,0.25,0.87049,0.7682,0.34093,0.02,0.05147,0.02,0.02769,0.02
remove_herbicide,92,0.06699,0.84371,0.77721,0.34173,0.02,0.05844,0.02,0.02965,0.02
remove_herbicide,93,0.0,0.77389,0.76129,0.33253,0.02,0.06572,0.02,0.02,0.02
remove_herbicide,94,0.06699,0.70159,0.74499,0.31356,0.02,0.0722,0.02,0.02,0.02
remove_herbicide,95,0.25,0.67029,0.75369,0.28949,0.02,0.07752,0.02,0.02137,0.02
remove_herbicide,96,0.5,0.65213,0.76245,0.26764,0.02,0.08227,0.02,0.02297,0.02
remove_herbicide,97,0.75,0.65065,0.77127,0.25042,0.02,0.08651,0.02,0.02478,0.02
remove_herbicide,98,0.93301,0.66525,0.78016,0.23864,0.02,0.09041,0.02,0.02681,0.02
remove_herbicide,99,1.0,0.69139,0.78913,0.23174,0.02,0.09417,0.02,0.02906,0.02
remove_herbicide,100,0.93301,0.72171,0.79819,0.22801,0.02,0.09795,0.02,0.03154,0.02
remove_herbicide,101,0.75,0.74821,0.80735,0.22475,0.02,0.10188,0.02,0.03425,0.02
remove_herbicide,102,0.5,0.7647,0.81662,0.21881,0.02,0.10596,0.02,0.03718,0.02
remove_herbicide,103,0.25,0.76855,0.82601,0.20759,0.02,0.11012,0.02,0.04035,0.02
remove_herbicide,104,0.06699,0.76086,0.83553,0.19005,0.02,0.11417,0.02,0.04375,0.02
remove_herbicide,105,0.0,0.71097,0.82018,0.16712,0.02,0.11788,0.02,0.02739,0.02
remove_herbicide,106,0.06699,0.65941,0.80417,0.13775,0.02,0.12034,0.02,0.02,0.02
remove_herbicide,107,0.25,0.64959,0.81287,0.10428,0.02,0.12129,0.02,0.02285,0.02
remove_herbicide,108,0.5,0.65398,0.82169,0.07164,0.02,0.12132,0.02,0.02593,0.02
remove_herbicide,109,0.75,0.67616,0.83062,0.0405,0.02,0.12048,0.02,0.02922,0.02
remove_herbicide,110,0.93301,0.71569,0.83969,0.02,0.02,0.11882,0.02,0.03273,0.02
remove_herbicide,111,1.0,0.76688,0.8489,0.02,0.02,0.11671,0.02,0.03648,0.02
remove_herbicide,112,0.93301,0.81982,0.85826,0.02,0.02067,0.11487,0.02,0.04045,0.02
remove_herbicide,113,0.75,0.86676,0.86778,0.02,0.02204,0.11332,0.02,0.04466,0.02
remove_herbicide,114,0.5,0.90246,0.87746,0.02,0.02412,0.11205,0.02,0.0491,0.02
remove_herbicide,115,0.25,0.9255,0.88733,0.02,0.02693,0.11108,0.02,0.05379,0.02
remove_herbicide,116,0.06699,0.9376,0.89738,0.02,0.03048,0.1104,0.02,0.05872,0.02
remove_herbicide,117,0.0,0.90752,0.88263,0.02,0.03478,0.11002,0.02,0.0439,0.02
remove_herbicide,118,0.06699,0.8741,0.86728,0.02,0.03798,0.1092,0.02,0.02872,0.02
remove_herbicide,119,0.25,0.87798,0.87633,0.02,0.04003,0.10792,0.02,0.03315,0.02
remove_herbicide,120,0.5,0.89036,0.88556,0.02,0.04275,0.10691,0.02,0.03781,0.02
bats_and_edge_habitat,0,0.5,0.58,0.12,0.62,0.18,0.05,0.14,0.38,0.08
bats_and_edge_habitat,1,0.75,0.55249,0.1411,0.64305,0.16875,0.0892,0.169,0.37925,0.08915
bats_and_edge_habitat,2,0.93301,0.53652,0.16217,0.67771,0.15908,0.12984,0.19858,0.37903,0.09903
bats_and_edge_habitat,3,1.0,0.52707,0.18323,0.72236,0.151,0.17232,0.22902,0.37933,0.10964
bats_and_edge_habitat,4,0.93301,0.51674,0.2043,0.77071,0.14449,0.217,0.26058,0.38016,0.12101
bats_and_edge_habitat,5,0.75,0.49785,0.22541,0.81206,0.13956,0.26401,0.29335,0.38152,0.13318
bats_and_edge_habitat,6,0.5,0.46488,0.24657,0.83347,0.13622,0.31309,0.32715,0.38341,0.14616
bats_and_edge_habitat,7,0.25,0.41654,0.26781,0.82421,0.13446,0.36356,0.36148,0.38582,0.15999
bats_and_edge_habitat,8,0.06699,0.35683,0.28914,0.78054,0.13429,0.41434,0.39559,0.38876,0.17468
bats_and_edge_habitat,9,0.0,0.2591,0.28559,0.70751,0.13573,0.46424,0.4286,0.37224,0.19022
bats_and_edge_habitat,10,0.06699,0.16707,0.28138,0.6127,0.1369,0.51147,0.45979,0.35563,0.20658
bats_and_edge_habitat,11,0.25,0.12301,0.30151,0.50721,0.13775,0.55525,0.48861,0.35892,0.22373
bats_and_edge_habitat,12,0.5,0.09568,0.32176,0.40094,0.14012,0.59595,0.51479,0.36271,0.24159
bats_and_edge_habitat,13,0.75,0.0849,0.34217,0.29444,0.144,0.63354,0.53831,0.367,0.26011
bats_and_edge_habitat,14,0.93301,0.09044,0.36275,0.18374,0.14941,0.66801,0.55917,0.3718,0.27922
bats_and_edge_habitat,15,1.0,0.11349,0.38352,0.06301,0.15637,0.69922,0.57727,0.37712,0.29885
bats_and_edge_habitat,16,0.93301,0.15627,0.40451,0.02,0.16488,0.72683,0.59234,0.38296,0.31893
bats_and_edge_habitat,17,0.75,0.20974,0.42573,0.02,0.17497,0.75357,0.60634,0.38932,0.33939
bats_and_edge_habitat,18,0.5,0.26515,0.4472,0.02,0.18665,0.78094,0.62034,0.39622,0.3602
bats_and_edge_habitat,19,0.25,0.31719,0.46895,0.02,0.19994,0.80895,0.63434,0.40365,0.38136
bats_and_edge_habitat,20,0.06699,0.36255,0.49099,0.02,0.21486,0.83762,0.64834,0.41162,0.40287
bats_and_edge_habitat,21,0.0,0.36697,0.48836,0.02,0.23144,0.86695,0.66234,0.40015,0.42472
bats_and_edge_habitat,22,0.06699,0.36896,0.48526,0.02,0.24781,0.8962,0.67634,0.3886,0.44693
bats_and_edge_habitat,23,0.25,0.40976,0.50671,0.02,0.26396,0.92536,0.69034,0.39699,0.46949
bats_and_edge_habitat,24,0.5,0.46162,0.52849,0.02,0.28171,0.95516,0.70434,0.4059,0.4924
bats_and_edge_habitat,25,0.75,0.52914,0.55062,0.02,0.3011,0.98562,0.71834,0.41537,0.51566
bats_and_edge_habitat,26,0.93301,0.61349,0.57314,0.02,0.32214,1.01674,0.73234,0.42538,0.53927
bats_and_edge_habitat,27,1.0,0.71085,0.59605,0.02,0.34488,1.04853,0.74634,0.43596,0.56323
bats_and_edge_habitat,28,0.93301,0.8126,0.61939,0.02,0.36933,1.08101,0.76034,0.44711,0.58753
bats_and_edge_habitat,29,0.75,0.90868,0.64318,0.02,0.39554,1.11419,0.77434,0.45885,0.61219
bats_and_edge_habitat,30,0.5,0.99264,0.66743,0.02,0.42353,1.14809,0.78834,0.47118,0.6372
bats_and_edge_habitat,31,0.25,1.06421,0.69218,0.02,0.45333,1.18271,0.80234,0.48411,0.66256
bats_and_edge_habitat,32,0.06699,1.12768,0.71744,0.02,0.485,1.2,0.81634,0.49767,0.68827
bats_and_edge_habitat,33,0.0,1.15328,0.71825,0.02,0.51855,1.2,0.83034,0.49185,0.71433
bats_and_edge_habitat,34,0.06699,1.17868,0.71882,0.02,0.55217,1.2,0.84434,0.48606,0.74074
bats_and_edge_habitat,35,0.25,1.24043,0.74417,0.02,0.58584,1.2,0.85834,0.50028,0.76749
bats_and_edge_habitat,36,0.5,1.3027,0.77008,0.02,0.6214,1.2,0.87234,0.51513,0.7946
bats_and_edge_habitat,37,0.75,1.35,0.79658,0.02,0.6589,1.2,0.88634,0.53063,0.82206
