bomb_x_m,bomb_y_m,detonation_depth_m,hit_probability
0.0,0.0,262.5,0.02288818
0.0,0.0,264.0,0.02278137
0.0,0.0,265.5,0.0226593
0.0,0.0,267.0,0.02259827
0.0,0.0,268.5,0.02250671
0.0,0.0,270.0,0.02243042
0.0,0.0,271.5,0.02235413
0.0,0.0,273.0,0.02223206
0.0,0.0,274.5,0.02218628
0.0,0.0,276.0,0.0221405
0.0,0.0,277.5,0.02203369
0.0,0.0,279.0,0.02200317
0.0,0.0,280.5,0.02194214
0.0,0.0,282.0,0.02192688
0.0,0.0,283.5,0.02185059
0.0,0.0,285.0,0.02178955
0.0,0.0,286.5,0.02175903
0.0,0.0,288.0,0.021698
0.0,0.0,289.5,0.021698
0.0,0.0,291.0,0.02165222
0.0,0.0,292.5,0.02165222
0.0,0.0,294.0,0.0216217
0.0,0.0,295.5,0.02159119
0.0,0.0,297.0,0.02157593
0.0,0.0,298.5,0.02156067
0.0,0.0,300.0,0.02156067
0.0,0.0,301.5,0.02154541
0.0,0.0,303.0,0.02154541
0.0,0.0,304.5,0.02154541
0.0,0.0,306.0,0.02151489
0.0,0.0,307.5,0.02151489
0.0,0.0,309.0,0.02151489
0.0,0.0,310.5,0.02151489
0.0,0.0,312.0,0.02151489
0.0,0.0,313.5,0.02151489
0.0,0.0,315.0,0.02151489
0.0,0.0,316.5,0.02151489
0.0,0.0,318.0,0.02151489
0.0,0.0,319.5,0.02151489
0.0,0.0,321.0,0.02151489
0.0,0.0,322.5,0.02151489
0.0,0.0,324.0,0.02151489
0.0,0.0,325.5,0.02149963
0.0,0.0,327.0,0.02149963
0.0,0.0,328.5,0.02149963
0.0,0.0,330.0,0.02149963
0.0,0.0,331.5,0.02149963
0.0,0.0,333.0,0.02149963
0.0,0.0,334.5,0.02149963
0.0,0.0,336.0,0.02149963
0.0,0.0,337.5,0.02149963
0.0,0.0,339.0,0.02149963
0.0,0.0,340.5,0.02149963
0.0,0.0,342.0,0.02149963
0.0,0.0,343.5,0.02149963
0.0,0.0,345.0,0.02149963
0.0,0.0,346.5,0.02149963
0.0,0.0,348.0,0.02149963
0.0,0.0,349.5,0.02149963
0.0,0.0,351.0,0.02149963
0.0,0.0,352.5,0.02149963
0.0,0.0,354.0,0.02149963
0.0,0.0,355.5,0.02149963
0.0,0.0,357.0,0.02149963
0.0,0.0,358.5,0.02149963
0.0,0.0,360.0,0.02149963
