NOC,expected_total,total_interval95_low,total_interval95_high,expected_gold,gold_interval95_low,gold_interval95_high,actual_2024_total,actual_2024_gold
ARG,2.686,0.0,6.0,0.452,0.0,2.0,3,1
ARM,2.534,1.0,5.0,0.818,0.0,2.0,4,0
CHI,2.416,0.0,6.0,0.786,0.0,3.0,2,1
UGA,2.304,0.0,5.0,0.786,0.0,2.525,2,1
DOM,2.288,0.0,5.0,0.598,0.0,2.0,3,1
LTU,2.28,0.0,6.0,0.622,0.0,2.0,4,0
BRN,2.268,0.0,5.0,0.766,0.0,3.0,4,2
LAT,2.19,0.0,5.0,0.738,0.0,2.0,0,0
MDA,2.008,0.0,5.0,0.524,0.0,2.0,4,0
EOR,1.892,0.0,5.0,0.458,0.0,2.0,1,0
MAS,1.858,0.0,4.0,0.204,0.0,1.0,2,0
FIN,1.66,0.0,4.0,0.436,0.0,2.0,0,0
PUR,1.582,0.0,4.0,0.418,0.0,2.0,2,0
BOT,1.47,0.0,4.0,0.516,0.0,2.0,2,1
SVK,1.418,0.0,4.0,0.384,0.0,2.0,1,0
MGL,1.376,0.0,4.0,0.28,0.0,1.0,1,0
KOS,1.224,0.0,3.0,0.546,0.0,2.0,2,0
FIJ,1.222,0.0,3.0,0.158,0.0,1.0,1,0
TJK,1.212,0.0,3.0,0.304,0.0,2.0,3,0
PER,1.2,0.0,3.0,0.39,0.0,2.0,1,0
VEN,1.13,0.0,4.0,0.31,0.0,2.0,0,0
JOR,0.99,0.0,3.0,0.278,0.0,1.525,1,0
EST,0.976,0.0,3.0,0.284,0.0,2.0,0,0
QAT,0.948,0.0,3.0,0.33,0.0,2.0,1,0
GRN,0.94,0.0,3.0,0.29,0.0,1.525,2,0
GUA,0.91,0.0,3.0,0.276,0.0,2.0,2,1
ALB,0.834,0.0,3.0,0.216,0.0,1.0,2,0
BAH,0.78,0.0,3.0,0.182,0.0,1.0,0,0
LCA,0.772,0.0,2.0,0.274,0.0,1.0,2,1
SGP,0.738,0.0,2.0,0.192,0.0,1.0,1,0
DMA,0.736,0.0,2.0,0.304,0.0,1.0,1,1
CYP,0.718,0.0,3.0,0.208,0.0,1.0,1,0
PAK,0.67,0.0,2.0,0.244,0.0,1.0,1,1
PAN,0.652,0.0,2.0,0.19,0.0,1.0,1,0
CIV,0.638,0.0,2.0,0.196,0.0,1.0,1,0
BUR,0.636,0.0,2.0,0.192,0.0,1.0,0,0
BER,0.618,0.0,2.0,0.236,0.0,1.0,0,0
VIE,0.584,0.0,2.0,0.158,0.0,1.0,0,0
TTO,0.552,0.0,2.0,0.108,0.0,1.0,0,0
CPV,0.546,0.0,2.0,0.154,0.0,1.0,1,0
SAM,0.5,0.0,2.0,0.126,0.0,1.0,0,0
SMR,0.496,0.0,2.0,0.164,0.0,1.0,0,0
SEN,0.44,0.0,2.0,0.156,0.0,1.0,0,0
PAR,0.39,0.0,2.0,0.09,0.0,1.0,0,0
LBN,0.366,0.0,2.0,0.098,0.0,1.0,0,0
ZAM,0.35,0.0,2.0,0.106,0.0,1.0,1,0
URU,0.346,0.0,2.0,0.078,0.0,1.0,0,0
ANG,0.344,0.0,2.0,0.096,0.0,1.0,0,0
GBS,0.322,0.0,2.0,0.096,0.0,1.0,0,0
GUM,0.32,0.0,1.0,0.066,0.0,1.0,0,0
PNG,0.314,0.0,2.0,0.104,0.0,1.0,0,0
MRI,0.304,0.0,2.0,0.074,0.0,1.0,0,0
PLE,0.298,0.0,2.0,0.062,0.0,1.0,0,0
MKD,0.288,0.0,1.0,0.058,0.0,1.0,0,0
ARU,0.282,0.0,2.0,0.09,0.0,1.0,0,0
ESA,0.278,0.0,1.525,0.086,0.0,1.0,0,0
KUW,0.272,0.0,1.0,0.084,0.0,1.0,0,0
MON,0.268,0.0,1.0,0.068,0.0,1.0,0,0
NAM,0.258,0.0,1.0,0.082,0.0,1.0,0,0
MLI,0.25,0.0,1.0,0.094,0.0,1.0,0,0
NIG,0.242,0.0,1.0,0.052,0.0,1.0,0,0
SYR,0.242,0.0,1.0,0.082,0.0,1.0,0,0
MOZ,0.24,0.0,2.0,0.07,0.0,1.0,0,0
MNE,0.238,0.0,1.0,0.062,0.0,1.0,0,0
NCA,0.226,0.0,1.0,0.06,0.0,1.0,0,0
ERI,0.224,0.0,1.525,0.072,0.0,1.0,0,0
GAM,0.22,0.0,1.0,0.064,0.0,1.0,0,0
KSA,0.216,0.0,1.0,0.034,0.0,1.0,0,0
TKM,0.214,0.0,1.0,0.07,0.0,1.0,0,0
COD,0.21,0.0,1.0,0.064,0.0,1.0,0,0
COM,0.206,0.0,1.0,0.036,0.0,1.0,0,0
LBA,0.198,0.0,1.0,0.052,0.0,1.0,0,0
UAE,0.196,0.0,1.0,0.05,0.0,1.0,0,0
HAI,0.196,0.0,1.0,0.04,0.0,1.0,0,0
CRC,0.19,0.0,1.0,0.05,0.0,1.0,0,0
BDI,0.186,0.0,1.0,0.028,0.0,1.0,0,0
VAN,0.18,0.0,1.0,0.042,0.0,1.0,0,0
AFG,0.178,0.0,1.0,0.04,0.0,1.0,0,0
MAD,0.178,0.0,1.0,0.028,0.0,1.0,0,0
SSD,0.17,0.0,1.0,0.022,0.0,0.0,0,0
GUI,0.17,0.0,1.0,0.04,0.0,1.0,0,0
IRQ,0.166,0.0,1.0,0.018,0.0,0.0,0,0
RWA,0.162,0.0,1.0,0.04,0.0,1.0,0,0
MHL,0.152,0.0,1.0,0.03,0.0,1.0,0,0
ANT,0.138,0.0,1.0,0.042,0.0,1.0,0,0
BIH,0.136,0.0,1.0,0.012,0.0,0.0,0,0
DJI,0.134,0.0,1.0,0.036,0.0,1.0,0,0
LUX,0.134,0.0,1.0,0.034,0.0,1.0,0,0
ISL,0.13,0.0,1.0,0.022,0.0,0.0,0,0
GAB,0.128,0.0,1.0,0.022,0.0,0.0,0,0
ZIM,0.124,0.0,1.0,0.04,0.0,1.0,0,0
LES,0.122,0.0,1.0,0.02,0.0,0.0,0,0
TAN,0.122,0.0,1.0,0.022,0.0,0.0,0,0
AND,0.12,0.0,1.0,0.008,0.0,0.0,0,0
MLT,0.12,0.0,1.0,0.026,0.0,0.525,0,0
LBR,0.116,0.0,1.0,0.03,0.0,1.0,0,0
SUD,0.114,0.0,1.0,0.036,0.0,1.0,0,0
HON,0.112,0.0,1.0,0.026,0.0,0.0,0,0
SRI,0.094,0.0,1.0,0.014,0.0,0.0,0,0
TOG,0.094,0.0,1.0,0.034,0.0,1.0,0,0
TLS,0.092,0.0,1.0,0.022,0.0,0.0,0,0
TGA,0.092,0.0,1.0,0.028,0.0,1.0,0,0
NEP,0.092,0.0,1.0,0.028,0.0,0.525,0,0
LAO,0.09,0.0,1.0,0.05,0.0,1.0,0,0
CAF,0.086,0.0,1.0,0.022,0.0,0.0,0,0
ISV,0.084,0.0,1.0,0.036,0.0,1.0,0,0
GHA,0.084,0.0,1.0,0.036,0.0,1.0,0,0
OMA,0.084,0.0,1.0,0.022,0.0,0.0,0,0
BEN,0.084,0.0,1.0,0.02,0.0,0.0,0,0
LIE,0.082,0.0,1.0,0.016,0.0,0.0,0,0
IVB,0.082,0.0,1.0,0.014,0.0,0.0,0,0
KIR,0.08,0.0,1.0,0.024,0.0,0.0,0,0
BAN,0.08,0.0,1.0,0.018,0.0,0.0,0,0
GUY,0.078,0.0,1.0,0.012,0.0,0.0,0,0
CMR,0.078,0.0,1.0,0.024,0.0,0.0,0,0
CAY,0.076,0.0,1.0,0.022,0.0,0.0,0,0
VIN,0.076,0.0,1.0,0.022,0.0,0.0,0,0
YEM,0.066,0.0,1.0,0.01,0.0,0.0,0,0
CHA,0.064,0.0,1.0,0.016,0.0,0.0,0,0
BOL,0.064,0.0,1.0,0.02,0.0,0.0,0,0
SLE,0.06,0.0,1.0,0.022,0.0,0.0,0,0
SUR,0.056,0.0,1.0,0.014,0.0,0.0,0,0
STP,0.054,0.0,1.0,0.02,0.0,0.0,0,0
SEY,0.052,0.0,1.0,0.012,0.0,0.0,0,0
SWZ,0.05,0.0,1.0,0.014,0.0,0.0,0,0
COK,0.048,0.0,1.0,0.008,0.0,0.0,0,0
GEQ,0.044,0.0,1.0,0.008,0.0,0.0,0,0
SKN,0.038,0.0,1.0,0.008,0.0,0.0,0,0
CAM,0.036,0.0,1.0,0.01,0.0,0.0,0,0
MDV,0.036,0.0,1.0,0.004,0.0,0.0,0,0
ASA,0.036,0.0,1.0,0.01,0.0,0.0,0,0
BHU,0.034,0.0,1.0,0.006,0.0,0.0,0,0
BAR,0.032,0.0,1.0,0.01,0.0,0.0,0,0
BRU,0.032,0.0,1.0,0.006,0.0,0.0,0,0
TUV,0.028,0.0,1.0,0.01,0.0,0.0,0,0
PLW,0.028,0.0,1.0,0.01,0.0,0.0,0,0
MTN,0.026,0.0,0.525,0.012,0.0,0.0,0,0
CGO,0.024,0.0,0.0,0.004,0.0,0.0,0,0
FSM,0.024,0.0,0.0,0.008,0.0,0.0,0,0
SOM,0.022,0.0,0.0,0.004,0.0,0.0,0,0
MAW,0.018,0.0,0.0,0.004,0.0,0.0,0,0
MYA,0.016,0.0,0.0,0.0,0.0,0.0,0,0
SOL,0.016,0.0,0.0,0.006,0.0,0.0,0,0
BIZ,0.012,0.0,0.0,0.0,0.0,0.0,0,0
NRU,0.012,0.0,0.0,0.004,0.0,0.0,0,0
