lake,control_flow,year,month,date,level_m,target_m,deviation_m,historical_median_flow_cms,recommended_flow_cms,recommended_change_cms,q10_flow_cms,q90_flow_cms
Lake Superior,St. Mary's River,2002,8,2002-08-01,183.4,183.42,-0.01999999999998181,2619.8743951838896,2601.874395183906,-17.99999999998363,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2002,9,2002-09-01,183.42,183.42,0.0,2547.3832748675177,2547.3832748675177,0.0,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2002,10,2002-10-01,183.44,183.44,0.0,2580.5139821996095,2580.5139821996095,0.0,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2002,11,2002-11-01,183.36,183.36,0.0,2308.95544945195,2308.95544945195,0.0,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2002,12,2002-12-01,183.26,183.3,-0.040000000000020464,2176.007867465478,2140.0078674654596,-36.00000000001819,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2003,1,2003-01-01,183.16,183.22,-0.060000000000002274,2050.4226648861377,1996.4226648861356,-54.000000000002046,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2003,2,2003-02-01,183.07,183.14,-0.06999999999999318,2002.000861862311,1939.0008618623172,-62.99999999999386,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2003,3,2003-03-01,183.03,183.11,-0.0800000000000125,1992.9394718227645,1920.9394718227531,-72.00000000001137,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2003,4,2003-04-01,183.08,183.14,-0.05999999999997385,1966.7463912397002,1912.7463912397238,-53.99999999997635,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2003,5,2003-05-01,183.18,183.24,-0.060000000000002274,2147.9741920306305,2093.9741920306287,-54.00000000000182,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2003,6,2003-06-01,183.23,183.33,-0.10000000000002274,2411.7455927130554,2321.745592713035,-90.00000000002046,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2003,7,2003-07-01,183.26,183.4,-0.14000000000001478,2500.094145598634,2374.094145598621,-126.00000000001319,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2003,8,2003-08-01,183.29,183.42,-0.12999999999999545,2619.8743951838896,2502.8743951838937,-116.99999999999591,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2003,9,2003-09-01,183.27,183.42,-0.14999999999997726,2547.3832748675177,2412.383274867538,-134.99999999997954,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2003,10,2003-10-01,183.26,183.44,-0.18000000000000682,2580.5139821996095,2418.5139821996036,-162.0000000000059,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2003,11,2003-11-01,183.23,183.36,-0.13000000000002387,2308.95544945195,2191.9554494519284,-117.00000000002137,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2003,12,2003-12-01,183.19,183.3,-0.11000000000001364,2176.007867465478,2077.0078674654656,-99.00000000001228,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2004,1,2004-01-01,183.14,183.22,-0.0800000000000125,2050.4226648861377,1978.4226648861263,-72.00000000001137,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2004,2,2004-02-01,183.07,183.14,-0.06999999999999318,2002.000861862311,1939.0008618623172,-62.99999999999386,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2004,3,2004-03-01,183.07,183.11,-0.040000000000020464,1992.9394718227645,1956.939471822746,-36.00000000001842,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2004,4,2004-04-01,183.13,183.14,-0.009999999999990905,1966.7463912397002,1957.7463912397084,-8.999999999991815,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2004,5,2004-05-01,183.23,183.24,-0.010000000000019327,2147.9741920306305,2138.9741920306133,-9.00000000001728,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2004,6,2004-06-01,183.35,183.33,0.01999999999998181,2411.7455927130554,2429.745592713039,17.99999999998363,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2004,7,2004-07-01,183.4,183.4,0.0,2500.094145598634,2500.094145598634,0.0,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2004,8,2004-08-01,183.42,183.42,0.0,2619.8743951838896,2619.8743951838896,0.0,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2004,9,2004-09-01,183.46,183.42,0.040000000000020464,2547.3832748675177,2583.383274867536,36.00000000001819,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2004,10,2004-10-01,183.47,183.44,0.030000000000001137,2580.5139821996095,2607.5139821996104,27.00000000000091,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2004,11,2004-11-01,183.46,183.36,0.09999999999999432,2308.95544945195,2398.955449451945,89.999999999995,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2004,12,2004-12-01,183.38,183.3,0.07999999999998408,2176.007867465478,2248.0078674654633,71.99999999998545,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2005,1,2005-01-01,183.32,183.22,0.09999999999999432,2050.4226648861377,2140.4226648861327,89.999999999995,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2005,2,2005-02-01,183.27,183.14,0.13000000000002387,2002.000861862311,2119.0008618623324,117.00000000002137,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2005,3,2005-03-01,183.22,183.11,0.10999999999998522,1992.9394718227645,2091.9394718227513,98.99999999998681,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2005,4,2005-04-01,183.26,183.14,0.12000000000000455,1966.7463912397002,2074.7463912397043,108.00000000000409,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2005,5,2005-05-01,183.31,183.24,0.06999999999999318,2147.9741920306305,2210.974192030624,62.99999999999363,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2005,6,2005-06-01,183.39,183.33,0.05999999999997385,2411.7455927130554,2465.745592713032,53.99999999997635,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2005,7,2005-07-01,183.42,183.4,0.01999999999998181,2500.094145598634,2518.0941455986176,17.99999999998363,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2005,8,2005-08-01,183.38,183.42,-0.03999999999999204,2619.8743951838896,2583.874395183897,-35.999999999992724,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2005,9,2005-09-01,183.35,183.42,-0.06999999999999318,2547.3832748675177,2484.383274867524,-62.99999999999363,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2005,10,2005-10-01,183.38,183.44,-0.060000000000002274,2580.5139821996095,2526.513982199607,-54.000000000002274,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2005,11,2005-11-01,183.35,183.36,-0.010000000000019327,2308.95544945195,2299.9554494519325,-9.00000000001728,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2005,12,2005-12-01,183.3,183.3,0.0,2176.007867465478,2176.007867465478,0.0,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2006,1,2006-01-01,183.24,183.22,0.020000000000010232,2050.4226648861377,2068.422664886147,18.000000000009095,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2006,2,2006-02-01,183.18,183.14,0.040000000000020464,2002.000861862311,2038.0008618623294,36.00000000001842,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2006,3,2006-03-01,183.12,183.11,0.009999999999990905,1992.9394718227645,2001.9394718227563,8.999999999991815,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2006,4,2006-04-01,183.16,183.14,0.020000000000010232,1966.7463912397002,1984.7463912397093,18.000000000009095,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2006,5,2006-05-01,183.24,183.24,0.0,2147.9741920306305,2147.9741920306305,0.0,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2006,6,2006-06-01,183.3,183.33,-0.030000000000001137,2411.7455927130554,2384.7455927130545,-27.00000000000091,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2006,7,2006-07-01,183.31,183.4,-0.09000000000000341,2500.094145598634,2419.094145598631,-81.00000000000318,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2006,8,2006-08-01,183.3,183.42,-0.11999999999997613,2619.8743951838896,2511.874395183911,-107.99999999997863,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2006,9,2006-09-01,183.2,183.42,-0.21999999999999886,2547.3832748675177,2349.3832748675186,-197.9999999999991,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2006,10,2006-10-01,183.13,183.44,-0.3100000000000023,2580.5139821996095,2301.513982199607,-279.0000000000023,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2006,11,2006-11-01,183.04,183.36,-0.3200000000000216,2308.95544945195,2020.9554494519302,-288.00000000001955,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2006,12,2006-12-01,182.98,183.3,-0.3200000000000216,2176.007867465478,1888.0078674654583,-288.00000000001955,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2007,1,2007-01-01,182.92,183.22,-0.30000000000001137,2050.4226648861377,1780.4226648861274,-270.00000000001023,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2007,2,2007-02-01,182.83,183.14,-0.30999999999997385,2002.000861862311,1723.0008618623347,-278.99999999997635,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2007,3,2007-03-01,182.79,183.11,-0.3200000000000216,1992.9394718227645,1704.939471822745,-288.00000000001955,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2007,4,2007-04-01,182.85,183.14,-0.28999999999999204,1966.7463912397002,1705.7463912397075,-260.9999999999927,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2007,5,2007-05-01,182.87,183.24,-0.37000000000000455,2147.9741920306305,1814.9741920306265,-333.0000000000041,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2007,6,2007-06-01,182.94,183.33,-0.3900000000000148,2411.7455927130554,2060.7455927130422,-351.0000000000132,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2007,7,2007-07-01,183.0,183.4,-0.4000000000000057,2500.094145598634,2140.094145598629,-360.000000000005,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2007,8,2007-08-01,183.01,183.42,-0.4099999999999966,2619.8743951838896,2250.874395183893,-368.9999999999968,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2007,9,2007-09-01,183.02,183.42,-0.39999999999997726,2547.3832748675177,2187.383274867538,-359.99999999997954,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2007,10,2007-10-01,183.18,183.44,-0.2599999999999909,2580.5139821996095,2346.5139821996177,-233.99999999999181,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2007,11,2007-11-01,183.18,183.36,-0.18000000000000682,2308.95544945195,2146.9554494519434,-162.00000000000637,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2007,12,2007-12-01,183.11,183.3,-0.18999999999999773,2176.007867465478,2005.0078674654799,-170.99999999999795,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2008,1,2008-01-01,183.08,183.22,-0.13999999999998636,2050.4226648861377,1924.42266488615,-125.99999999998772,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2008,2,2008-02-01,183.03,183.14,-0.10999999999998522,2002.000861862311,1903.0008618623242,-98.99999999998681,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2008,3,2008-03-01,182.97,183.11,-0.14000000000001478,1992.9394718227645,1866.9394718227513,-126.00000000001319,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2008,4,2008-04-01,183.01,183.14,-0.12999999999999545,1966.7463912397002,1849.7463912397043,-116.99999999999591,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2008,5,2008-05-01,183.18,183.24,-0.060000000000002274,2147.9741920306305,2093.9741920306287,-54.00000000000182,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2008,6,2008-06-01,183.29,183.33,-0.040000000000020464,2411.7455927130554,2375.745592713037,-36.000000000018645,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2008,7,2008-07-01,183.41,183.4,0.009999999999990905,2500.094145598634,2509.094145598626,8.999999999991815,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2008,8,2008-08-01,183.42,183.42,0.0,2619.8743951838896,2619.8743951838896,0.0,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2008,9,2008-09-01,183.37,183.42,-0.04999999999998295,2547.3832748675177,2502.383274867533,-44.99999999998454,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2008,10,2008-10-01,183.32,183.44,-0.12000000000000455,2580.5139821996095,2472.5139821996054,-108.00000000000409,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2008,11,2008-11-01,183.27,183.36,-0.09000000000000341,2308.95544945195,2227.9554494519466,-81.00000000000318,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2008,12,2008-12-01,183.19,183.3,-0.11000000000001364,2176.007867465478,2077.0078674654656,-99.00000000001228,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2009,1,2009-01-01,183.14,183.22,-0.0800000000000125,2050.4226648861377,1978.4226648861263,-72.00000000001137,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2009,2,2009-02-01,183.1,183.14,-0.03999999999999204,2002.000861862311,1966.0008618623183,-35.999999999992724,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2009,3,2009-03-01,183.09,183.11,-0.020000000000010232,1992.9394718227645,1974.9394718227554,-18.000000000009095,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2009,4,2009-04-01,183.12,183.14,-0.01999999999998181,1966.7463912397002,1948.7463912397166,-17.99999999998363,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2009,5,2009-05-01,183.24,183.24,0.0,2147.9741920306305,2147.9741920306305,0.0,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2009,6,2009-06-01,183.3,183.33,-0.030000000000001137,2411.7455927130554,2384.7455927130545,-27.00000000000091,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2009,7,2009-07-01,183.34,183.4,-0.060000000000002274,2500.094145598634,2446.094145598632,-54.00000000000182,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2009,8,2009-08-01,183.39,183.42,-0.030000000000001137,2619.8743951838896,2592.8743951838887,-27.00000000000091,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2009,9,2009-09-01,183.42,183.42,0.0,2547.3832748675177,2547.3832748675177,0.0,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2009,10,2009-10-01,183.36,183.44,-0.07999999999998408,2580.5139821996095,2508.5139821996236,-71.9999999999859,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2009,11,2009-11-01,183.35,183.36,-0.010000000000019327,2308.95544945195,2299.9554494519325,-9.00000000001728,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2009,12,2009-12-01,183.3,183.3,0.0,2176.007867465478,2176.007867465478,0.0,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2010,1,2010-01-01,183.21,183.22,-0.009999999999990905,2050.4226648861377,2041.4226648861459,-8.999999999991815,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2010,2,2010-02-01,183.14,183.14,0.0,2002.000861862311,2002.000861862311,0.0,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2010,3,2010-03-01,183.09,183.11,-0.020000000000010232,1992.9394718227645,1974.9394718227554,-18.000000000009095,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2010,4,2010-04-01,183.08,183.14,-0.05999999999997385,1966.7463912397002,1912.7463912397238,-53.99999999997635,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2010,5,2010-05-01,183.08,183.24,-0.1599999999999966,2147.9741920306305,2003.9741920306337,-143.99999999999682,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2010,6,2010-06-01,183.13,183.33,-0.20000000000001705,2411.7455927130554,2231.74559271304,-180.00000000001546,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2010,7,2010-07-01,183.19,183.4,-0.21000000000000796,2500.094145598634,2311.0941455986267,-189.00000000000728,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2010,8,2010-08-01,183.2,183.42,-0.21999999999999886,2619.8743951838896,2421.8743951838906,-197.9999999999991,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2010,9,2010-09-01,183.22,183.42,-0.19999999999998863,2547.3832748675177,2367.3832748675277,-179.99999999999,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2010,10,2010-10-01,183.19,183.44,-0.25,2580.5139821996095,2355.5139821996095,-225.0,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2010,11,2010-11-01,183.14,183.36,-0.22000000000002728,2308.95544945195,2110.9554494519252,-198.00000000002456,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2010,12,2010-12-01,183.07,183.3,-0.2300000000000182,2176.007867465478,1969.0078674654615,-207.00000000001637,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2011,1,2011-01-01,183.0,183.22,-0.21999999999999886,2050.4226648861377,1852.4226648861386,-197.9999999999991,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2011,2,2011-02-01,182.93,183.14,-0.20999999999997954,2002.000861862311,1813.0008618623294,-188.99999999998158,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2011,3,2011-03-01,182.87,183.11,-0.2400000000000091,1992.9394718227645,1776.9394718227563,-216.00000000000819,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2011,4,2011-04-01,182.91,183.14,-0.22999999999998977,1966.7463912397002,1759.7463912397093,-206.9999999999909,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2011,5,2011-05-01,183.04,183.24,-0.20000000000001705,2147.9741920306305,1967.974192030615,-180.00000000001546,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2011,6,2011-06-01,183.15,183.33,-0.18000000000000682,2411.7455927130554,2249.7455927130495,-162.0000000000059,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2011,7,2011-07-01,183.25,183.4,-0.15000000000000568,2500.094145598634,2365.094145598629,-135.000000000005,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2011,8,2011-08-01,183.28,183.42,-0.13999999999998636,2619.8743951838896,2493.874395183902,-125.99999999998772,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2011,9,2011-09-01,183.23,183.42,-0.18999999999999773,2547.3832748675177,2376.3832748675195,-170.99999999999818,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2011,10,2011-10-01,183.21,183.44,-0.22999999999998977,2580.5139821996095,2373.5139821996186,-206.9999999999909,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2011,11,2011-11-01,183.16,183.36,-0.20000000000001705,2308.95544945195,2128.9554494519343,-180.00000000001546,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2011,12,2011-12-01,183.09,183.3,-0.21000000000000796,2176.007867465478,1987.0078674654706,-189.00000000000728,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2012,1,2012-01-01,183.01,183.22,-0.21000000000000796,2050.4226648861377,1861.4226648861304,-189.00000000000728,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2012,2,2012-02-01,182.94,183.14,-0.19999999999998863,2002.000861862311,1822.0008618623212,-179.99999999998977,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2012,3,2012-03-01,182.93,183.11,-0.18000000000000682,1992.9394718227645,1830.9394718227584,-162.00000000000614,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2012,4,2012-04-01,183.0,183.14,-0.13999999999998636,1966.7463912397002,1840.7463912397125,-125.99999999998772,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2012,5,2012-05-01,183.06,183.24,-0.18000000000000682,2147.9741920306305,1985.9741920306244,-162.00000000000614,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2012,6,2012-06-01,183.2,183.33,-0.13000000000002387,2411.7455927130554,2294.745592713034,-117.00000000002137,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2012,7,2012-07-01,183.3,183.4,-0.09999999999999432,2500.094145598634,2410.094145598639,-89.999999999995,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2012,8,2012-08-01,183.27,183.42,-0.14999999999997726,2619.8743951838896,2484.87439518391,-134.99999999997954,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2012,9,2012-09-01,183.2,183.42,-0.21999999999999886,2547.3832748675177,2349.3832748675186,-197.9999999999991,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2012,10,2012-10-01,183.12,183.44,-0.3199999999999932,2580.5139821996095,2292.5139821996154,-287.9999999999941,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2012,11,2012-11-01,183.1,183.36,-0.2600000000000193,2308.95544945195,2074.9554494519325,-234.00000000001728,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2012,12,2012-12-01,183.05,183.3,-0.25,2176.007867465478,1951.0078674654778,-225.0,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2013,1,2013-01-01,182.98,183.22,-0.2400000000000091,2050.4226648861377,1834.4226648861295,-216.00000000000819,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2013,2,2013-02-01,182.94,183.14,-0.19999999999998863,2002.000861862311,1822.0008618623212,-179.99999999998977,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2013,3,2013-03-01,182.9,183.11,-0.21000000000000796,1992.9394718227645,1803.9394718227572,-189.00000000000728,1349.8073137659496,2487.436516387143
