catalyst_id,catalyst_combination,temperature_c,predicted_c4_yield_percent,co_wt_percent,co_sio2_mg,hap_mg,ethanol_flow_ml_min,loading_mode_b
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,288.0,4.17,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,289.0,4.307096,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,290.0,4.446507,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,291.0,4.588233,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,292.0,4.732276,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,293.0,4.878634,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,294.0,5.027307,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,295.0,5.178296,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,296.0,5.3316,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,297.0,5.48722,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,298.0,5.645156,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,299.0,5.805407,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300.0,5.967974,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,301.0,6.132856,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,302.0,6.300054,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,303.0,6.469567,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,304.0,6.641396,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,305.0,6.81554,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,306.0,6.992,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,307.0,7.170776,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,308.0,7.351867,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,309.0,7.535274,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,310.0,7.720996,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,311.0,7.909034,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,312.0,8.099387,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,313.0,8.292056,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,314.0,8.48704,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,315.0,8.68434,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,316.0,8.883956,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,317.0,9.085887,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,318.0,9.290133,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,319.0,9.496695,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,320.0,9.705573,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,321.0,9.916766,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,322.0,10.130275,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,323.0,10.346099,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,324.0,10.564239,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325.0,10.784695,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,326.0,11.007466,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,327.0,11.232552,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,328.0,11.459954,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,329.0,11.689672,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,330.0,11.921705,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,331.0,12.156054,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,332.0,12.392718,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,333.0,12.631698,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,334.0,12.872993,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,335.0,13.116604,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,336.0,13.362531,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,337.0,13.610773,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,338.0,13.86133,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,339.0,14.114204,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,340.0,14.369392,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,341.0,14.626897,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,342.0,14.886716,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,343.0,15.148852,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,344.0,15.413303,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,345.0,15.680069,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,346.0,15.949151,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,347.0,16.220549,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,348.0,16.494262,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,349.0,16.77029,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350.0,17.048634,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,351.0,17.329294,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,352.0,17.61227,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,353.0,17.89756,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,354.0,18.185167,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,355.0,18.475089,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,356.0,18.767326,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,357.0,19.061879,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,358.0,19.358748,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,359.0,19.657932,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,360.0,19.959432,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,361.0,20.263247,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,362.0,20.569378,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,363.0,20.877824,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,364.0,21.188586,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,365.0,21.501663,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,366.0,21.817057,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,367.0,22.134765,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,368.0,22.454789,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,369.0,22.777129,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,370.0,23.101784,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,371.0,23.428755,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,372.0,23.758041,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,373.0,24.089643,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,374.0,24.42356,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,375.0,24.759793,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,376.0,25.098342,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,377.0,25.439206,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,378.0,25.782385,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,379.0,26.127881,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,380.0,26.475691,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,381.0,26.825818,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,382.0,27.178259,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,383.0,27.533017,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,384.0,27.89009,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,385.0,28.249478,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,386.0,28.611182,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,387.0,28.975202,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,388.0,29.341537,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,389.0,29.710187,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,390.0,30.081154,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,391.0,30.454435,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,392.0,30.830033,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,393.0,31.207946,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,394.0,31.588174,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,395.0,31.970718,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,396.0,32.355577,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,397.0,32.742753,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,398.0,33.132243,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,399.0,33.524049,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,400.0,33.918171,1.0,200.0,200.0,1.68,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,250.0,0.203103,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,251.0,0.182221,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,252.0,0.161853,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,253.0,0.141999,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,254.0,0.122659,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,255.0,0.103833,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,256.0,0.08552,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,257.0,0.067722,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,258.0,0.050438,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,259.0,0.033668,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,260.0,0.017411,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,261.0,0.001669,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,262.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,263.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,264.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,265.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,266.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,267.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,268.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,269.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,270.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,271.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,272.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,273.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,274.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,275.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,276.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,277.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,278.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,279.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,280.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,281.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,282.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,283.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,284.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,285.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,286.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,287.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,288.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,289.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,290.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,291.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,292.0,0.0,5.0,50.0,50.0,2.1,0.0
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,293.0,0.0,5.0,50.0,50.0,2.1,0.0
