layer_ii_thickness_mm,layer_iv_thickness_mm,max_skin_temperature_c,minutes_above_44_c,final_temperature_c,feasible
11.4,5.5,44.561831,37.35,44.561831,False
11.5,5.5,44.556605,37.083333,44.556605,False
11.6,5.5,44.551365,36.816667,44.551365,False
11.7,5.5,44.54611,36.55,44.54611,False
11.8,5.5,44.54084,36.283333,44.54084,False
11.9,5.5,44.535554,36.0,44.535554,False
12.0,5.5,44.530253,35.733333,44.530253,False
12.1,5.5,44.524935,35.45,44.524935,False
12.2,5.5,44.519601,35.183333,44.519601,False
12.3,5.5,44.514249,34.9,44.514249,False
12.4,5.5,44.50888,34.616667,44.50888,False
12.5,5.5,44.503494,34.333333,44.503494,False
12.6,5.5,44.498089,34.05,44.498089,False
12.7,5.5,44.492665,33.75,44.492665,False
12.8,5.5,44.487223,33.466667,44.487223,False
12.9,5.5,44.481762,33.166667,44.481762,False
13.0,5.5,44.476281,32.866667,44.476281,False
13.1,5.5,44.470781,32.583333,44.470781,False
13.2,5.5,44.46526,32.283333,44.46526,False
13.3,5.5,44.45972,31.983333,44.45972,False
13.4,5.5,44.454158,31.666667,44.454158,False
13.5,5.5,44.448576,31.366667,44.448576,False
13.6,5.5,44.442972,31.05,44.442972,False
13.7,5.5,44.437348,30.75,44.437348,False
13.8,5.5,44.431701,30.433333,44.431701,False
13.9,5.5,44.426033,30.116667,44.426033,False
14.0,5.5,44.420343,29.8,44.420343,False
14.1,5.5,44.41463,29.466667,44.41463,False
14.2,5.5,44.408895,29.15,44.408895,False
14.3,5.5,44.403137,28.816667,44.403137,False
14.4,5.5,44.397357,28.5,44.397357,False
14.5,5.5,44.391553,28.166667,44.391553,False
14.6,5.5,44.385726,27.833333,44.385726,False
14.7,5.5,44.379876,27.483333,44.379876,False
14.8,5.5,44.374003,27.15,44.374003,False
14.9,5.5,44.368106,26.8,44.368106,False
15.0,5.5,44.362185,26.45,44.362185,False
15.1,5.5,44.35624,26.1,44.35624,False
15.2,5.5,44.350272,25.75,44.350272,False
15.3,5.5,44.344279,25.4,44.344279,False
15.4,5.5,44.338263,25.033333,44.338263,False
15.5,5.5,44.332222,24.683333,44.332222,False
15.6,5.5,44.326157,24.316667,44.326157,False
15.7,5.5,44.320067,23.95,44.320067,False
15.8,5.5,44.313953,23.566667,44.313953,False
15.9,5.5,44.307815,23.2,44.307815,False
16.0,5.5,44.301652,22.816667,44.301652,False
16.1,5.5,44.295465,22.433333,44.295465,False
16.2,5.5,44.289253,22.05,44.289253,False
16.3,5.5,44.283017,21.65,44.283017,False
16.4,5.5,44.276756,21.25,44.276756,False
16.5,5.5,44.270471,20.85,44.270471,False
16.6,5.5,44.264161,20.45,44.264161,False
16.7,5.5,44.257826,20.05,44.257826,False
16.8,5.5,44.251467,19.633333,44.251467,False
16.9,5.5,44.245084,19.216667,44.245084,False
17.0,5.5,44.238676,18.8,44.238676,False
17.1,5.5,44.232244,18.366667,44.232244,False
17.2,5.5,44.225787,17.95,44.225787,False
17.3,5.5,44.219306,17.516667,44.219306,False
17.4,5.5,44.212801,17.066667,44.212801,False
17.5,5.5,44.206272,16.633333,44.206272,False
17.6,5.5,44.199719,16.183333,44.199719,False
17.7,5.5,44.193141,15.716667,44.193141,False
17.8,5.5,44.18654,15.266667,44.18654,False
17.9,5.5,44.179915,14.8,44.179915,False
18.0,5.5,44.173266,14.316667,44.173266,False
18.1,5.5,44.166594,13.85,44.166594,False
18.2,5.5,44.159898,13.366667,44.159898,False
18.3,5.5,44.153179,12.866667,44.153179,False
18.4,5.5,44.146436,12.366667,44.146436,False
18.5,5.5,44.13967,11.866667,44.13967,False
18.6,5.5,44.132881,11.35,44.132881,False
18.7,5.5,44.126069,10.833333,44.126069,False
18.8,5.5,44.119235,10.316667,44.119235,False
18.9,5.5,44.112377,9.783333,44.112377,False
19.0,5.5,44.105498,9.233333,44.105498,False
19.1,5.5,44.098595,8.7,44.098595,False
19.2,5.5,44.091671,8.133333,44.091671,False
19.3,5.5,44.084725,7.566667,44.084725,False
19.4,5.5,44.077756,7.0,44.077756,False
19.5,5.5,44.070766,6.416667,44.070766,False
19.6,5.5,44.063754,5.816667,44.063754,False
19.7,5.5,44.056721,5.216667,44.056721,False
19.8,5.5,44.049667,4.6,44.049667,True
19.9,5.5,44.042591,3.983333,44.042591,True
20.0,5.5,44.035495,3.35,44.035495,True
20.1,5.5,44.028377,2.7,44.028377,True
20.2,5.5,44.02124,2.033333,44.02124,True
20.3,5.5,44.014081,1.366667,44.014081,True
20.4,5.5,44.006903,0.683333,44.006903,True
20.5,5.5,43.999705,0.0,43.999705,True
20.6,5.5,43.992487,0.0,43.992487,True
20.7,5.5,43.985249,0.0,43.985249,True
20.8,5.5,43.977992,0.0,43.977992,True
20.9,5.5,43.970715,0.0,43.970715,True
21.0,5.5,43.96342,0.0,43.96342,True
21.1,5.5,43.956105,0.0,43.956105,True
21.2,5.5,43.948772,0.0,43.948772,True
21.3,5.5,43.941421,0.0,43.941421,True
21.4,5.5,43.934051,0.0,43.934051,True
21.5,5.5,43.926663,0.0,43.926663,True
21.6,5.5,43.919258,0.0,43.919258,True
21.7,5.5,43.911834,0.0,43.911834,True
21.8,5.5,43.904394,0.0,43.904394,True
21.9,5.5,43.896936,0.0,43.896936,True
22.0,5.5,43.889461,0.0,43.889461,True
22.1,5.5,43.881969,0.0,43.881969,True
22.2,5.5,43.874461,0.0,43.874461,True
22.3,5.5,43.866937,0.0,43.866937,True
22.4,5.5,43.859396,0.0,43.859396,True
22.5,5.5,43.851839,0.0,43.851839,True
22.6,5.5,43.844267,0.0,43.844267,True
22.7,5.5,43.836679,0.0,43.836679,True
22.8,5.5,43.829075,0.0,43.829075,True
22.9,5.5,43.821457,0.0,43.821457,True
23.0,5.5,43.813824,0.0,43.813824,True
23.1,5.5,43.806176,0.0,43.806176,True
23.2,5.5,43.798514,0.0,43.798514,True
23.3,5.5,43.790837,0.0,43.790837,True
23.4,5.5,43.783147,0.0,43.783147,True
23.5,5.5,43.775442,0.0,43.775442,True
23.6,5.5,43.767724,0.0,43.767724,True
23.7,5.5,43.759993,0.0,43.759993,True
23.8,5.5,43.752249,0.0,43.752249,True
23.9,5.5,43.744491,0.0,43.744491,True
24.0,5.5,43.736721,0.0,43.736721,True
24.1,5.5,43.728939,0.0,43.728939,True
24.2,5.5,43.721144,0.0,43.721144,True
24.3,5.5,43.713337,0.0,43.713337,True
24.4,5.5,43.705518,0.0,43.705518,True
24.5,5.5,43.697687,0.0,43.697687,True
24.6,5.5,43.689846,0.0,43.689846,True
24.7,5.5,43.681992,0.0,43.681992,True
24.8,5.5,43.674128,0.0,43.674128,True
24.9,5.5,43.666253,0.0,43.666253,True
25.0,5.5,43.658368,0.0,43.658368,True
