medicine_id,length_mm,height_mm,width_mm,daily_demand,boxes_per_slot,required_slots,width_type_id,height_type_id,width_spacing_mm,height_spacing_mm,plane_redundancy_mm2
56,107.0,35.0,25.0,43,14,4,2,1,43.0,59.0,280.0
57,110.0,74.0,18.0,42,13,4,1,2,23.0,115.0,37.0
58,106.0,71.0,21.0,42,14,3,2,2,43.0,115.0,720.0
59,98.0,52.0,28.0,41,15,3,2,1,43.0,59.0,33.0
60,65.0,35.0,35.0,40,23,2,2,1,43.0,59.0,80.0
61,65.0,43.0,14.0,40,23,2,1,1,23.0,59.0,60.0
62,106.0,48.0,16.0,40,14,3,1,1,23.0,59.0,21.0
63,116.0,76.0,21.0,40,12,4,2,2,43.0,115.0,630.0
64,113.0,37.0,37.0,40,13,4,2,1,43.0,59.0,36.0
65,71.0,41.0,41.0,40,21,2,3,1,60.0,59.0,210.0
66,126.0,65.0,23.0,39,11,4,2,2,43.0,115.0,736.0
67,91.0,71.0,16.0,39,16,3,1,2,23.0,115.0,120.0
68,116.0,71.0,20.0,39,12,4,2,2,43.0,115.0,760.0
69,131.0,80.0,27.0,39,11,4,2,2,43.0,115.0,372.0
70,97.0,40.0,18.0,39,15,3,1,1,23.0,59.0,15.0
71,111.0,76.0,20.0,37,13,3,2,2,43.0,115.0,665.0
72,65.0,40.0,40.0,37,23,2,3,1,60.0,59.0,240.0
73,135.0,40.0,24.0,37,11,4,2,1,43.0,59.0,225.0
74,116.0,40.0,32.0,37,12,4,2,1,43.0,59.0,105.0
75,101.0,65.0,19.0,37,14,3,1,2,23.0,115.0,0.0
76,120.0,78.0,27.0,37,12,4,2,2,43.0,115.0,396.0
77,121.0,67.0,21.0,37,12,4,2,2,43.0,115.0,792.0
78,95.0,66.0,20.0,37,15,3,2,2,43.0,115.0,855.0
79,100.0,60.0,20.0,36,15,3,2,2,43.0,115.0,969.0
80,116.0,60.0,15.0,36,12,3,1,2,23.0,115.0,204.0
81,130.0,60.0,30.0,36,11,4,2,2,43.0,115.0,459.0
82,51.0,31.0,31.0,36,29,2,2,1,43.0,59.0,192.0
83,75.0,47.0,45.0,36,20,2,3,1,60.0,59.0,88.0
84,110.0,62.0,14.0,35,13,3,1,2,23.0,115.0,245.0
85,60.0,35.0,35.0,35,25,2,2,1,43.0,59.0,80.0
86,41.0,37.0,37.0,35,36,1,2,1,43.0,59.0,36.0
87,135.0,66.0,14.0,35,11,4,1,2,23.0,115.0,225.0
88,115.0,67.0,21.0,34,13,3,2,2,43.0,115.0,792.0
89,110.0,56.0,38.0,33,13,3,2,2,43.0,115.0,55.0
90,61.0,40.0,40.0,33,24,2,3,1,60.0,59.0,240.0
91,133.0,71.0,16.0,32,11,3,1,2,23.0,115.0,120.0
92,75.0,45.0,45.0,32,20,2,3,1,60.0,59.0,110.0
93,105.0,72.0,17.0,32,14,3,1,2,23.0,115.0,78.0
94,101.0,69.0,23.0,31,14,3,2,2,43.0,115.0,672.0
95,110.0,101.0,36.0,31,13,3,2,2,43.0,115.0,30.0
96,116.0,42.0,30.0,31,12,3,2,1,43.0,59.0,117.0
97,94.0,65.0,16.0,31,15,3,1,2,23.0,115.0,138.0
98,130.0,71.0,23.0,31,11,3,2,2,43.0,115.0,640.0
99,100.0,70.0,15.0,30,15,2,1,2,23.0,115.0,164.0
100,128.0,81.0,24.0,30,11,3,2,2,43.0,115.0,450.0
101,128.0,80.0,24.0,29,11,3,2,2,43.0,115.0,465.0
102,128.0,80.0,29.0,29,11,3,2,2,43.0,115.0,310.0
103,135.0,36.0,20.0,29,11,3,2,1,43.0,59.0,361.0
104,135.0,37.0,21.0,29,11,3,2,1,43.0,59.0,324.0
105,137.0,36.0,21.0,29,10,3,2,1,43.0,59.0,342.0
106,85.0,61.0,25.0,29,17,2,2,2,43.0,115.0,700.0
107,116.0,58.0,13.0,29,12,3,1,2,23.0,115.0,318.0
108,110.0,72.0,20.0,29,13,3,2,2,43.0,115.0,741.0
109,130.0,83.0,46.0,29,11,3,3,2,60.0,115.0,280.0
110,108.0,67.0,21.0,29,13,3,2,2,43.0,115.0,792.0
111,106.0,66.0,16.0,29,14,3,1,2,23.0,115.0,135.0
112,106.0,65.0,16.0,28,14,2,1,2,23.0,115.0,138.0
113,130.0,80.0,20.0,28,11,3,2,2,43.0,115.0,589.0
114,115.0,74.0,26.0,28,13,3,2,2,43.0,115.0,481.0
115,120.0,71.0,20.0,28,12,3,2,2,43.0,115.0,760.0
116,96.0,52.0,18.0,27,15,2,1,1,23.0,59.0,3.0
117,110.0,52.0,16.0,27,13,3,1,1,23.0,59.0,9.0
118,94.0,80.0,20.0,27,15,2,2,2,43.0,115.0,589.0
119,127.0,80.0,24.0,27,11,3,2,2,43.0,115.0,465.0
120,65.0,44.0,15.0,27,23,2,1,1,23.0,59.0,44.0
121,120.0,82.0,20.0,27,12,3,2,2,43.0,115.0,551.0
122,95.0,67.0,14.0,26,15,2,1,2,23.0,115.0,220.0
123,126.0,82.0,16.0,26,11,3,1,2,23.0,115.0,87.0
124,126.0,82.0,21.0,26,11,3,2,2,43.0,115.0,522.0
125,90.0,61.0,19.0,26,16,2,1,2,23.0,115.0,0.0
126,105.0,32.0,20.0,26,14,2,2,1,43.0,59.0,437.0
127,115.0,82.0,30.0,26,13,2,2,2,43.0,115.0,261.0
128,116.0,57.0,15.0,26,12,3,1,2,23.0,115.0,216.0
129,68.0,41.0,41.0,26,22,2,3,1,60.0,59.0,210.0
130,120.0,70.0,18.0,26,12,3,1,2,23.0,115.0,41.0
131,91.0,61.0,19.0,26,16,2,1,2,23.0,115.0,0.0
132,108.0,30.0,19.0,26,13,2,1,1,23.0,59.0,0.0
133,115.0,75.0,18.0,25,13,2,1,2,23.0,115.0,36.0
134,116.0,75.0,26.0,25,12,3,2,2,43.0,115.0,468.0
135,115.0,75.0,20.0,25,13,2,2,2,43.0,115.0,684.0
136,115.0,75.0,20.0,25,13,2,2,2,43.0,115.0,684.0
137,137.0,89.0,21.0,24,10,3,2,2,43.0,115.0,396.0
138,78.0,47.0,45.0,24,19,2,3,1,60.0,59.0,88.0
139,125.0,90.0,35.0,24,12,2,2,2,43.0,115.0,84.0
140,81.0,45.0,18.0,24,18,2,1,1,23.0,59.0,10.0
141,106.0,70.0,17.0,24,14,2,1,2,23.0,115.0,82.0
142,77.0,45.0,45.0,24,19,2,3,1,60.0,59.0,110.0
143,95.0,50.0,50.0,24,15,2,3,1,60.0,59.0,30.0
144,69.0,50.0,27.0,24,21,2,2,1,43.0,59.0,60.0
145,96.0,30.0,18.0,24,15,2,1,1,23.0,59.0,25.0
146,75.0,61.0,26.0,24,20,2,2,2,43.0,115.0,650.0
147,98.0,60.0,20.0,23,15,2,2,2,43.0,115.0,969.0
148,52.0,45.0,40.0,23,28,1,3,1,60.0,59.0,160.0
149,57.0,35.0,35.0,23,26,1,2,1,43.0,59.0,80.0
150,79.0,45.0,44.0,23,18,2,3,1,60.0,59.0,120.0
151,106.0,71.0,15.0,23,14,2,1,2,23.0,115.0,160.0
152,67.0,41.0,41.0,23,22,2,3,1,60.0,59.0,210.0
153,72.0,47.0,47.0,23,20,2,3,1,60.0,59.0,72.0
154,78.0,45.0,45.0,22,19,2,3,1,60.0,59.0,110.0
155,73.0,43.0,43.0,22,20,2,3,1,60.0,59.0,156.0
156,58.0,36.0,35.0,22,25,1,2,1,43.0,59.0,76.0
157,60.0,35.0,35.0,22,25,1,2,1,43.0,59.0,80.0
158,63.0,40.0,40.0,22,23,1,3,1,60.0,59.0,240.0
159,63.0,40.0,40.0,21,23,1,3,1,60.0,59.0,240.0
160,57.0,35.0,35.0,21,26,1,2,1,43.0,59.0,80.0
161,74.0,44.0,44.0,21,20,2,3,1,60.0,59.0,132.0
162,64.0,40.0,40.0,21,23,1,3,1,60.0,59.0,240.0
163,110.0,72.0,20.0,21,13,2,2,2,43.0,115.0,741.0
164,110.0,71.0,21.0,21,13,2,2,2,43.0,115.0,720.0
165,116.0,59.0,19.0,21,12,2,1,2,23.0,115.0,0.0
166,110.0,71.0,21.0,21,13,2,2,2,43.0,115.0,720.0
167,65.0,40.0,40.0,21,23,1,3,1,60.0,59.0,240.0
168,110.0,73.0,17.0,21,13,2,1,2,23.0,115.0,76.0
169,114.0,63.0,18.0,20,13,2,1,2,23.0,115.0,48.0
170,74.0,44.0,44.0,20,20,1,3,1,60.0,59.0,132.0
171,58.0,36.0,35.0,20,25,1,2,1,43.0,59.0,76.0
172,95.0,63.0,39.0,20,15,2,2,2,43.0,115.0,0.0
173,80.0,46.0,46.0,20,18,2,3,1,60.0,59.0,90.0
174,136.0,28.0,28.0,20,11,2,2,1,43.0,59.0,297.0
175,132.0,34.0,26.0,20,11,2,2,1,43.0,59.0,273.0
176,90.0,60.0,34.0,20,16,2,2,2,43.0,115.0,255.0
177,115.0,53.0,17.0,20,13,2,1,1,23.0,59.0,4.0
178,69.0,38.0,25.0,19,21,1,2,1,43.0,59.0,238.0
179,110.0,73.0,22.0,19,13,2,2,2,43.0,115.0,646.0
180,71.0,37.0,37.0,19,21,1,2,1,43.0,59.0,36.0
181,69.0,44.0,43.0,19,21,1,3,1,60.0,59.0,143.0
182,85.0,52.0,51.0,19,17,2,3,1,60.0,59.0,15.0
183,75.0,47.0,47.0,19,20,1,3,1,60.0,59.0,72.0
184,95.0,63.0,15.0,19,15,2,1,2,23.0,115.0,192.0
185,120.0,71.0,17.0,19,12,2,1,2,23.0,115.0,80.0
186,114.0,66.0,20.0,19,13,2,2,2,43.0,115.0,855.0
187,111.0,91.0,49.0,19,13,2,3,2,60.0,115.0,140.0
188,110.0,91.0,33.0,19,13,2,2,2,43.0,115.0,120.0
189,121.0,88.0,41.0,19,12,2,3,2,60.0,115.0,345.0
190,122.0,70.0,47.0,19,12,2,3,2,60.0,115.0,369.0
191,70.0,43.0,43.0,19,21,1,3,1,60.0,59.0,156.0
192,107.0,72.0,21.0,19,14,2,2,2,43.0,115.0,702.0
193,127.0,91.0,23.0,19,11,2,2,2,43.0,115.0,320.0
194,115.0,77.0,25.0,19,13,2,2,2,43.0,115.0,476.0
195,121.0,82.0,21.0,18,12,2,2,2,43.0,115.0,522.0
196,120.0,72.0,17.0,18,12,2,1,2,23.0,115.0,78.0
197,98.0,55.0,14.0,18,15,2,1,1,23.0,59.0,0.0
198,121.0,62.0,18.0,18,12,2,1,2,23.0,115.0,49.0
199,106.0,66.0,17.0,18,14,2,1,2,23.0,115.0,90.0
200,90.0,70.0,40.0,18,16,2,3,2,60.0,115.0,656.0
201,78.0,45.0,45.0,18,19,1,3,1,60.0,59.0,110.0
202,64.0,41.0,41.0,18,23,1,3,1,60.0,59.0,210.0
203,105.0,66.0,19.0,18,14,2,1,2,23.0,115.0,0.0
204,70.0,43.0,43.0,18,21,1,3,1,60.0,59.0,156.0
205,114.0,72.0,20.0,18,13,2,2,2,43.0,115.0,741.0
206,72.0,42.0,42.0,18,20,1,3,1,60.0,59.0,182.0
207,135.0,89.0,36.0,18,11,2,2,2,43.0,115.0,66.0
208,130.0,70.0,44.0,18,11,2,3,2,60.0,115.0,492.0
209,105.0,68.0,18.0,18,14,2,1,2,23.0,115.0,43.0
210,126.0,72.0,19.0,18,11,2,1,2,23.0,115.0,0.0
211,71.0,45.0,45.0,18,21,1,3,1,60.0,59.0,110.0
212,105.0,53.0,35.0,17,14,2,2,1,43.0,59.0,8.0
213,65.0,37.0,25.0,17,23,1,2,1,43.0,59.0,252.0
214,76.0,58.0,20.0,17,19,1,2,2,43.0,115.0,1007.0
215,80.0,68.0,20.0,17,18,1,2,2,43.0,115.0,817.0
216,79.0,61.0,20.0,17,18,1,2,2,43.0,115.0,950.0
217,85.0,59.0,20.0,17,17,1,2,2,43.0,115.0,988.0
218,65.0,35.0,25.0,17,23,1,2,1,43.0,59.0,280.0
219,71.0,55.0,21.0,17,21,1,2,1,43.0,59.0,0.0
220,70.0,45.0,45.0,17,21,1,3,1,60.0,59.0,110.0
221,80.0,68.0,20.0,17,18,1,2,2,43.0,115.0,817.0
222,136.0,76.0,24.0,17,11,2,2,2,43.0,115.0,525.0
223,77.0,50.0,50.0,17,19,1,3,1,60.0,59.0,30.0
224,90.0,64.0,40.0,17,16,2,3,2,60.0,115.0,752.0
225,122.0,66.0,20.0,17,12,2,2,2,43.0,115.0,855.0
226,124.0,67.0,20.0,17,12,2,2,2,43.0,115.0,836.0
227,50.0,31.0,31.0,17,30,1,2,1,43.0,59.0,192.0
228,117.0,77.0,20.0,17,12,2,2,2,43.0,115.0,646.0
229,75.0,45.0,45.0,17,20,1,3,1,60.0,59.0,110.0
230,120.0,42.0,16.0,17,12,2,1,1,23.0,59.0,39.0
231,80.0,47.0,47.0,17,18,1,3,1,60.0,59.0,72.0
232,80.0,48.0,48.0,17,18,1,3,1,60.0,59.0,56.0
233,97.0,67.0,18.0,17,15,2,1,2,23.0,115.0,44.0
234,90.0,53.0,31.0,16,16,1,2,1,43.0,59.0,16.0
235,67.0,45.0,45.0,16,22,1,3,1,60.0,59.0,110.0
236,110.0,71.0,18.0,16,13,2,1,2,23.0,115.0,40.0
237,110.0,70.0,21.0,16,13,2,2,2,43.0,115.0,738.0
238,126.0,86.0,45.0,16,11,2,3,2,60.0,115.0,275.0
239,124.0,72.0,25.0,16,12,2,2,2,43.0,115.0,546.0
240,85.0,55.0,18.0,16,17,1,1,1,23.0,59.0,0.0
241,120.0,66.0,16.0,16,12,2,1,2,23.0,115.0,135.0
242,63.0,37.0,37.0,16,23,1,2,1,43.0,59.0,36.0
243,80.0,47.0,47.0,16,18,1,3,1,60.0,59.0,72.0
244,110.0,62.0,20.0,16,13,2,2,2,43.0,115.0,931.0
245,80.0,61.0,40.0,16,18,1,3,2,60.0,115.0,800.0
246,104.0,75.0,27.0,16,14,2,2,2,43.0,115.0,432.0
247,119.0,84.0,21.0,16,12,2,2,2,43.0,115.0,486.0
248,118.0,83.0,23.0,16,12,2,2,2,43.0,115.0,448.0
249,70.0,46.0,26.0,16,21,1,2,1,43.0,59.0,117.0
250,95.0,45.0,24.0,16,15,2,2,1,43.0,59.0,150.0
251,105.0,56.0,27.0,16,14,2,2,2,43.0,115.0,660.0
252,97.0,66.0,15.0,15,15,1,1,2,23.0,115.0,180.0
253,120.0,72.0,13.0,15,12,2,1,2,23.0,115.0,234.0
254,120.0,70.0,13.0,15,12,2,1,2,23.0,115.0,246.0
255,120.0,71.0,13.0,15,12,2,1,2,23.0,115.0,240.0
256,120.0,60.0,33.0,15,12,2,2,2,43.0,115.0,306.0
257,120.0,60.0,33.0,15,12,2,2,2,43.0,115.0,306.0
258,120.0,60.0,33.0,15,12,2,2,2,43.0,115.0,306.0
259,120.0,60.0,32.0,15,12,2,2,2,43.0,115.0,357.0
260,65.0,62.0,18.0,15,23,1,1,2,23.0,115.0,49.0
261,120.0,60.0,33.0,15,12,2,2,2,43.0,115.0,306.0
262,63.0,60.0,18.0,15,23,1,1,2,23.0,115.0,51.0
263,63.0,60.0,18.0,15,23,1,1,2,23.0,115.0,51.0
264,65.0,62.0,18.0,15,23,1,1,2,23.0,115.0,49.0
265,65.0,62.0,18.0,15,23,1,1,2,23.0,115.0,49.0
266,95.0,83.0,46.0,15,15,1,3,2,60.0,115.0,280.0
267,94.0,63.0,26.0,15,15,1,2,2,43.0,115.0,624.0
268,110.0,65.0,19.0,15,13,2,1,2,23.0,115.0,0.0
269,120.0,72.0,16.0,15,12,2,1,2,23.0,115.0,117.0
270,130.0,82.0,20.0,15,11,2,2,2,43.0,115.0,551.0
271,136.0,41.0,24.0,15,11,2,2,1,43.0,59.0,210.0
272,106.0,68.0,18.0,15,14,2,1,2,23.0,115.0,43.0
273,80.0,40.0,40.0,15,18,1,3,1,60.0,59.0,240.0
274,109.0,60.0,14.0,15,13,2,1,2,23.0,115.0,255.0
275,136.0,77.0,19.0,15,11,2,1,2,23.0,115.0,0.0
276,66.0,40.0,40.0,14,22,1,3,1,60.0,59.0,240.0
277,125.0,71.0,19.0,14,12,2,1,2,23.0,115.0,0.0
278,112.0,65.0,17.0,14,13,2,1,2,23.0,115.0,92.0
279,120.0,67.0,18.0,14,12,2,1,2,23.0,115.0,44.0
280,110.0,70.0,18.0,14,13,2,1,2,23.0,115.0,41.0
281,116.0,75.0,25.0,14,12,2,2,2,43.0,115.0,504.0
282,118.0,76.0,26.0,14,12,2,2,2,43.0,115.0,455.0
283,120.0,70.0,20.0,14,12,2,2,2,43.0,115.0,779.0
284,121.0,76.0,23.0,14,12,2,2,2,43.0,115.0,560.0
285,104.0,62.0,20.0,14,14,1,2,2,43.0,115.0,931.0
286,88.0,62.0,25.0,14,17,1,2,2,43.0,115.0,686.0
287,81.0,62.0,17.0,14,18,1,1,2,23.0,115.0,98.0
288,107.0,61.0,19.0,14,14,1,1,2,23.0,115.0,0.0
289,70.0,40.0,26.0,14,21,1,2,1,43.0,59.0,195.0
290,117.0,56.0,21.0,14,12,2,2,2,43.0,115.0,990.0
291,94.0,70.0,30.0,14,15,1,2,2,43.0,115.0,369.0
292,122.0,57.0,19.0,14,12,2,1,2,23.0,115.0,0.0
293,91.0,60.0,21.0,14,16,1,2,2,43.0,115.0,918.0
294,81.0,47.0,47.0,14,18,1,3,1,60.0,59.0,72.0
295,77.0,36.0,32.0,14,19,1,2,1,43.0,59.0,133.0
296,125.0,81.0,36.0,14,12,2,2,2,43.0,115.0,90.0
297,55.0,31.0,31.0,13,27,1,2,1,43.0,59.0,192.0
298,107.0,50.0,16.0,13,14,1,1,1,23.0,59.0,15.0
299,125.0,66.0,18.0,13,12,2,1,2,23.0,115.0,45.0
300,65.0,39.0,39.0,13,23,1,2,1,43.0,59.0,0.0
301,127.0,69.0,27.0,13,11,2,2,2,43.0,115.0,504.0
302,120.0,72.0,18.0,13,12,2,1,2,23.0,115.0,39.0
303,125.0,67.0,15.0,13,12,2,1,2,23.0,115.0,176.0
304,120.0,37.0,20.0,13,12,2,2,1,43.0,59.0,342.0
305,119.0,71.0,21.0,13,12,2,2,2,43.0,115.0,720.0
306,86.0,50.0,50.0,13,17,1,3,1,60.0,59.0,30.0
307,82.0,44.0,44.0,13,18,1,3,1,60.0,59.0,132.0
308,108.0,60.0,17.0,13,13,1,1,2,23.0,115.0,102.0
309,92.0,72.0,16.0,13,16,1,1,2,23.0,115.0,117.0
310,116.0,77.0,16.0,13,12,2,1,2,23.0,115.0,102.0
311,95.0,65.0,26.0,13,15,1,2,2,43.0,115.0,598.0
312,124.0,67.0,16.0,13,12,2,1,2,23.0,115.0,132.0
313,107.0,32.0,18.0,13,14,1,1,1,23.0,59.0,23.0
314,92.0,61.0,22.0,13,16,1,2,2,43.0,115.0,850.0
315,125.0,70.0,27.0,13,12,2,2,2,43.0,115.0,492.0
316,74.0,67.0,41.0,13,20,1,3,2,60.0,115.0,660.0
317,138.0,68.0,16.0,12,10,2,1,2,23.0,115.0,129.0
318,104.0,70.0,15.0,12,14,1,1,2,23.0,115.0,164.0
319,90.0,60.0,18.0,12,16,1,1,2,23.0,115.0,51.0
320,106.0,72.0,20.0,12,14,1,2,2,43.0,115.0,741.0
321,93.0,53.0,43.0,12,16,1,3,1,60.0,59.0,26.0
322,55.0,30.0,30.0,12,27,1,2,1,43.0,59.0,225.0
323,46.0,35.0,35.0,12,32,1,2,1,43.0,59.0,80.0
324,120.0,37.0,20.0,12,12,1,2,1,43.0,59.0,342.0
325,135.0,36.0,20.0,12,11,2,2,1,43.0,59.0,361.0
326,85.0,66.0,24.0,12,17,1,2,2,43.0,115.0,675.0
327,111.0,77.0,21.0,12,13,1,2,2,43.0,115.0,612.0
328,60.0,33.0,33.0,12,25,1,2,1,43.0,59.0,132.0
329,126.0,60.0,27.0,12,11,2,2,2,43.0,115.0,612.0
330,70.0,41.0,40.0,12,21,1,3,1,60.0,59.0,224.0
331,80.0,78.0,25.0,12,18,1,2,2,43.0,115.0,462.0
332,110.0,63.0,12.0,12,13,1,1,2,23.0,115.0,336.0
333,110.0,73.0,16.0,12,13,1,1,2,23.0,115.0,114.0
334,111.0,74.0,16.0,12,13,1,1,2,23.0,115.0,111.0
335,110.0,74.0,16.0,12,13,1,1,2,23.0,115.0,111.0
336,101.0,56.0,20.0,12,14,1,2,2,43.0,115.0,1045.0
337,110.0,31.0,22.0,12,13,1,2,1,43.0,59.0,408.0
338,106.0,55.0,21.0,12,14,1,2,1,43.0,59.0,0.0
339,125.0,35.0,26.0,12,12,1,2,1,43.0,59.0,260.0
340,52.0,50.0,20.0,12,28,1,2,1,43.0,59.0,95.0
341,77.0,40.0,40.0,12,19,1,3,1,60.0,59.0,240.0
342,110.0,86.0,20.0,12,13,1,2,2,43.0,115.0,475.0
343,80.0,78.0,25.0,12,18,1,2,2,43.0,115.0,462.0
344,58.0,57.0,20.0,12,25,1,2,2,43.0,115.0,1026.0
345,72.0,50.0,20.0,12,20,1,2,1,43.0,59.0,95.0
346,75.0,47.0,47.0,12,20,1,3,1,60.0,59.0,72.0
347,116.0,82.0,19.0,12,12,1,1,2,23.0,115.0,0.0
348,118.0,66.0,14.0,12,12,1,1,2,23.0,115.0,225.0
349,83.0,42.0,28.0,12,18,1,2,1,43.0,59.0,143.0
350,74.0,47.0,47.0,12,20,1,3,1,60.0,59.0,72.0
351,126.0,75.0,19.0,12,11,2,1,2,23.0,115.0,0.0
352,130.0,90.0,22.0,12,11,2,2,2,43.0,115.0,357.0
353,117.0,62.0,22.0,12,12,1,2,2,43.0,115.0,833.0
354,116.0,78.0,16.0,12,12,1,1,2,23.0,115.0,99.0
355,67.0,47.0,47.0,11,22,1,3,1,60.0,59.0,72.0
356,65.0,37.0,25.0,11,23,1,2,1,43.0,59.0,252.0
357,116.0,69.0,19.0,11,12,1,1,2,23.0,115.0,0.0
358,131.0,41.0,22.0,11,11,1,2,1,43.0,59.0,238.0
359,77.0,36.0,31.0,11,19,1,2,1,43.0,59.0,152.0
360,103.0,47.0,16.0,11,14,1,1,1,23.0,59.0,24.0
361,107.0,49.0,17.0,11,14,1,1,1,23.0,59.0,12.0
362,106.0,60.0,18.0,11,14,1,1,2,23.0,115.0,51.0
363,106.0,60.0,19.0,11,14,1,1,2,23.0,115.0,0.0
364,118.0,55.0,21.0,11,12,1,2,1,43.0,59.0,0.0
365,89.0,66.0,31.0,11,16,1,2,2,43.0,115.0,360.0
366,108.0,31.0,19.0,11,13,1,1,1,23.0,59.0,0.0
367,131.0,77.0,21.0,11,11,1,2,2,43.0,115.0,612.0
368,130.0,81.0,18.0,11,11,1,1,2,23.0,115.0,30.0
369,126.0,71.0,21.0,11,11,1,2,2,43.0,115.0,720.0
370,125.0,70.0,21.0,11,12,1,2,2,43.0,115.0,738.0
371,136.0,66.0,17.0,11,11,1,1,2,23.0,115.0,90.0
372,136.0,71.0,15.0,11,11,1,1,2,23.0,115.0,160.0
373,106.0,77.0,28.0,11,14,1,2,2,43.0,115.0,374.0
374,105.0,76.0,29.0,11,14,1,2,2,43.0,115.0,350.0
375,80.0,45.0,45.0,11,18,1,3,1,60.0,59.0,110.0
376,75.0,48.0,45.0,11,20,1,3,1,60.0,59.0,77.0
377,115.0,86.0,22.0,11,13,1,2,2,43.0,115.0,425.0
378,104.0,75.0,24.0,11,14,1,2,2,43.0,115.0,540.0
379,104.0,75.0,23.0,11,14,1,2,2,43.0,115.0,576.0
380,130.0,82.0,21.0,11,11,1,2,2,43.0,115.0,522.0
381,130.0,70.0,25.0,11,11,1,2,2,43.0,115.0,574.0
382,130.0,96.0,30.0,11,11,1,2,2,43.0,115.0,135.0
383,68.0,38.0,38.0,11,22,1,2,1,43.0,59.0,17.0
384,110.0,68.0,16.0,11,13,1,1,2,23.0,115.0,129.0
