bundle_id,task_count,task_ids,center_lat,center_lon,single_price_sum,bundle_price,expected_completion_prob,pricing_rule
S10054,1,A0081,22.751393,114.02624,93.5,93.5,0.722454,单点任务保留单独报价
S10055,1,A0082,22.615565,114.152416,95.0,95.0,0.567886,单点任务保留单独报价
S10056,1,A0083,22.68447,114.000085,95.0,95.0,0.57013,单点任务保留单独报价
S10057,1,A0085,22.693316,113.817078,95.0,95.0,0.532497,单点任务保留单独报价
S10058,1,A0086,22.756002,113.851361,95.0,95.0,0.687986,单点任务保留单独报价
S10059,1,A0088,22.777858,113.917004,95.0,95.0,0.658159,单点任务保留单独报价
S10060,1,A0089,22.705972,113.807995,95.0,95.0,0.677284,单点任务保留单独报价
S10061,1,A0090,22.704665,113.97269,91.5,91.5,0.723469,单点任务保留单独报价
S10062,1,A0091,22.65205,114.053594,95.0,95.0,0.416547,单点任务保留单独报价
S10063,1,A0094,22.70875,113.816054,95.0,95.0,0.623595,单点任务保留单独报价
S10064,1,A0095,22.60767,113.868531,95.0,95.0,0.714063,单点任务保留单独报价
S10065,1,A0098,22.675098,113.822362,95.0,95.0,0.724282,单点任务保留单独报价
S10066,1,A0100,22.611775,114.038059,95.0,95.0,0.681034,单点任务保留单独报价
S10067,1,A0102,22.652354,113.929913,90.0,90.0,0.722834,单点任务保留单独报价
S10068,1,A0103,22.713653,114.065237,91.5,91.5,0.72217,单点任务保留单独报价
S10069,1,A0105,22.673434,113.825705,92.5,92.5,0.720326,单点任务保留单独报价
S10070,1,A0106,22.591555,114.12591,95.0,95.0,0.443818,单点任务保留单独报价
S10071,1,A0107,22.670522,113.923561,95.0,95.0,0.649907,单点任务保留单独报价
S10072,1,A0108,22.700387,113.844903,95.0,95.0,0.711774,单点任务保留单独报价
S10073,1,A0109,22.563504,113.906895,95.0,95.0,0.700545,单点任务保留单独报价
S10074,1,A0110,22.707433,113.930013,91.5,91.5,0.724347,单点任务保留单独报价
S10075,1,A0111,22.633557,113.85136,86.5,86.5,0.72059,单点任务保留单独报价
S10076,1,A0113,22.669193,114.038412,95.0,95.0,0.404658,单点任务保留单独报价
S10077,1,A0114,22.596281,113.855063,93.5,93.5,0.721226,单点任务保留单独报价
S10078,1,A0115,22.685188,113.811568,95.0,95.0,0.611122,单点任务保留单独报价
S10079,1,A0116,22.707008,114.096777,92.5,92.5,0.724033,单点任务保留单独报价
S10080,1,A0118,22.607611,113.869894,95.0,95.0,0.703748,单点任务保留单独报价
S10081,1,A0122,22.581943,113.888017,95.0,95.0,0.686037,单点任务保留单独报价
S10082,1,A0125,22.770402,113.855116,89.5,89.5,0.722673,单点任务保留单独报价
S10083,1,A0126,23.16769,113.665173,79.0,79.0,0.721357,单点任务保留单独报价
S10084,1,A0127,23.165498,113.38759,95.0,95.0,0.721205,单点任务保留单独报价
S10085,1,A0129,23.168789,113.41996,78.5,78.5,0.721616,单点任务保留单独报价
S10086,1,A0133,23.186117,113.597486,72.5,72.5,0.723687,单点任务保留单独报价
S10087,1,A0136,23.199673,113.406847,86.5,86.5,0.723081,单点任务保留单独报价
S10088,1,A0137,23.122481,113.361125,95.0,95.0,0.573418,单点任务保留单独报价
S10089,1,A0138,23.200139,113.374909,91.5,91.5,0.722882,单点任务保留单独报价
S10090,1,A0139,23.10125,113.548437,87.0,87.0,0.72294,单点任务保留单独报价
S10091,1,A0140,23.124866,113.561445,88.5,88.5,0.720892,单点任务保留单独报价
S10092,1,A0146,23.11593,113.420489,95.0,95.0,0.579121,单点任务保留单独报价
S10093,1,A0148,23.109797,113.453448,93.0,93.0,0.724055,单点任务保留单独报价
S10094,1,A0149,23.109758,113.453481,93.0,93.0,0.723934,单点任务保留单独报价
S10095,1,A0150,23.190905,113.449202,83.5,83.5,0.723486,单点任务保留单独报价
S10096,1,A0152,23.099828,113.484964,86.5,86.5,0.723859,单点任务保留单独报价
S10097,1,A0153,23.079789,113.429745,75.5,75.5,0.722603,单点任务保留单独报价
S10098,1,A0154,23.118101,113.544217,87.5,87.5,0.720274,单点任务保留单独报价
S10099,1,A0156,23.101125,113.487241,85.5,85.5,0.721645,单点任务保留单独报价
S10100,1,A0157,23.148723,113.515291,81.5,81.5,0.723277,单点任务保留单独报价
S10101,1,A0158,23.047976,113.289293,85.0,85.0,0.722603,单点任务保留单独报价
S10102,1,A0159,23.111141,113.278241,95.0,95.0,0.197976,单点任务保留单独报价
S10103,1,A0161,23.396909,113.347511,70.0,70.0,0.723516,单点任务保留单独报价
S10104,1,A0162,23.091381,113.531677,85.0,85.0,0.722604,单点任务保留单独报价
S10105,1,A0163,23.215653,113.300569,95.0,95.0,0.71326,单点任务保留单独报价
S10106,1,A0167,23.237458,113.204265,80.0,80.0,0.720481,单点任务保留单独报价
S10107,1,A0168,23.371846,113.360399,79.0,79.0,0.720709,单点任务保留单独报价
S10108,1,A0169,23.386279,113.410599,78.0,78.0,0.722085,单点任务保留单独报价
S10109,1,A0170,23.257784,113.319993,92.5,92.5,0.722712,单点任务保留单独报价
S10110,1,A0171,23.080291,113.204206,87.5,87.5,0.721784,单点任务保留单独报价
S10111,1,A0173,23.252313,113.264094,95.0,95.0,0.713248,单点任务保留单独报价
S10112,1,A0174,23.261712,113.273632,89.0,89.0,0.720791,单点任务保留单独报价
S10113,1,A0176,23.233763,113.223461,87.0,87.0,0.722987,单点任务保留单独报价
S10114,1,A0177,22.60496,113.85759,94.5,94.5,0.724484,单点任务保留单独报价
S10115,1,A0179,23.112958,113.218596,94.0,94.0,0.723825,单点任务保留单独报价
S10116,1,A0193,23.199654,113.347129,95.0,95.0,0.656224,单点任务保留单独报价
S10117,1,A0194,23.162819,113.418328,82.5,82.5,0.722688,单点任务保留单独报价
S10118,1,A0196,23.174522,113.359044,95.0,95.0,0.655068,单点任务保留单独报价
S10119,1,A0198,22.829261,113.512807,68.5,68.5,0.724517,单点任务保留单独报价
S10120,1,A0199,22.774034,113.563485,74.5,74.5,0.723043,单点任务保留单独报价
S10121,1,A0200,22.760969,113.567052,78.5,78.5,0.723284,单点任务保留单独报价
S10122,1,A0201,23.068733,113.259725,92.5,92.5,0.722881,单点任务保留单独报价
S10123,1,A0203,23.068322,113.259826,92.5,92.5,0.722472,单点任务保留单独报价
S10124,1,A0208,22.737225,113.49332,57.0,57.0,0.721072,单点任务保留单独报价
S10125,1,A0213,23.338732,113.287509,85.5,85.5,0.722066,单点任务保留单独报价
S10126,1,A0216,23.374776,113.178885,77.5,77.5,0.72325,单点任务保留单独报价
S10127,1,A0218,23.136973,113.251181,95.0,95.0,0.434832,单点任务保留单独报价
S10128,1,A0219,23.456732,113.281831,83.0,83.0,0.723263,单点任务保留单独报价
S10129,1,A0222,22.71023,113.552891,66.5,66.5,0.723324,单点任务保留单独报价
S10130,1,A0225,23.338871,113.111065,69.5,69.5,0.724096,单点任务保留单独报价
S10131,1,A0226,23.473931,113.228662,80.5,80.5,0.722396,单点任务保留单独报价
S10132,1,A0227,23.415362,113.255981,78.0,78.0,0.722932,单点任务保留单独报价
S10133,1,A0230,23.075622,113.288291,95.0,95.0,0.594708,单点任务保留单独报价
S10134,1,A0232,23.425831,113.208057,74.5,74.5,0.722598,单点任务保留单独报价
S10135,1,A0233,23.398411,113.251531,84.0,84.0,0.720249,单点任务保留单独报价
S10136,1,A0237,23.096928,113.239735,95.0,95.0,0.610757,单点任务保留单独报价
S10137,1,A0242,23.406491,113.169638,77.5,77.5,0.724527,单点任务保留单独报价
S10138,1,A0243,23.100226,113.272654,95.0,95.0,0.39116,单点任务保留单独报价
S10139,1,A0244,23.114054,113.268162,95.0,95.0,0.210931,单点任务保留单独报价
S10140,1,A0245,23.42604,113.205744,75.0,75.0,0.723345,单点任务保留单独报价
S10141,1,A0246,23.091444,113.361995,95.0,95.0,0.637767,单点任务保留单独报价
S10142,1,A0247,23.072507,113.323263,95.0,95.0,0.685856,单点任务保留单独报价
S10143,1,A0248,23.098747,113.3145,95.0,95.0,0.615889,单点任务保留单独报价
S10144,1,A0249,23.092235,113.361821,95.0,95.0,0.635761,单点任务保留单独报价
S10145,1,A0250,23.092258,113.309217,95.0,95.0,0.592756,单点任务保留单独报价
S10146,1,A0251,23.078138,113.356353,93.5,93.5,0.722168,单点任务保留单独报价
S10147,1,A0252,23.072075,113.357391,85.5,85.5,0.720086,单点任务保留单独报价
S10148,1,A0254,23.093491,113.279266,95.0,95.0,0.387471,单点任务保留单独报价
S10149,1,A0258,23.068847,113.32262,95.0,95.0,0.692749,单点任务保留单独报价
S10150,1,A0261,23.047976,113.289293,85.0,85.0,0.722603,单点任务保留单独报价
S10151,1,A0264,23.096071,113.321481,95.0,95.0,0.560946,单点任务保留单独报价
S10152,1,A0265,23.019196,113.325271,93.5,93.5,0.723963,单点任务保留单独报价
S10153,1,A0266,22.814592,113.419108,68.5,68.5,0.722715,单点任务保留单独报价
S10154,1,A0267,22.966396,113.418651,85.5,85.5,0.721275,单点任务保留单独报价
S10155,1,A0269,22.99106,113.405245,75.0,75.0,0.721905,单点任务保留单独报价
S10156,1,A0272,23.0217,113.357449,93.5,93.5,0.722083,单点任务保留单独报价
S10157,1,A0273,22.810065,113.41416,70.5,70.5,0.722467,单点任务保留单独报价
S10158,1,A0274,23.007431,113.320176,92.5,92.5,0.721692,单点任务保留单独报价
S10159,1,A0277,22.964819,113.356581,95.0,95.0,0.72241,单点任务保留单独报价
S10160,1,A0279,22.980351,113.322275,86.0,86.0,0.724193,单点任务保留单独报价
S10161,1,A0280,22.957053,113.423847,86.0,86.0,0.721932,单点任务保留单独报价
S10162,1,A0282,22.954545,113.345148,95.0,95.0,0.722259,单点任务保留单独报价
S10163,1,A0283,22.922651,113.37549,89.5,89.5,0.724124,单点任务保留单独报价
S10164,1,A0290,23.053995,113.269914,88.0,88.0,0.722451,单点任务保留单独报价
S10165,1,A0294,22.969509,113.382774,89.0,89.0,0.723475,单点任务保留单独报价
S10166,1,A0295,23.563411,113.580385,79.5,79.5,0.721982,单点任务保留单独报价
S10167,1,A0296,23.625476,113.431396,80.5,80.5,0.72145,单点任务保留单独报价
S10168,1,A0297,23.878398,113.539711,55.0,55.0,0.976034,单点任务保留单独报价
S10169,1,A0298,23.723118,113.739427,55.0,55.0,0.761555,单点任务保留单独报价
S10170,1,A0303,23.816108,113.957929,55.0,55.0,0.985873,单点任务保留单独报价
S10171,1,A0305,23.231586,113.264376,94.5,94.5,0.721092,单点任务保留单独报价
S10172,1,A0308,23.451655,113.284509,81.5,81.5,0.722201,单点任务保留单独报价
S10173,1,A0310,23.343323,113.301253,87.5,87.5,0.724561,单点任务保留单独报价
S10174,1,A0312,23.24104,113.311197,95.0,95.0,0.711727,单点任务保留单独报价
S10175,1,A0313,23.172685,113.282908,95.0,95.0,0.67053,单点任务保留单独报价
S10176,1,A0314,23.179167,113.257907,95.0,95.0,0.561471,单点任务保留单独报价
S10177,1,A0315,23.229059,113.274368,95.0,95.0,0.666671,单点任务保留单独报价
S10178,1,A0316,23.199146,113.259459,95.0,95.0,0.620853,单点任务保留单独报价
S10179,1,A0318,23.253961,113.315782,91.5,91.5,0.720705,单点任务保留单独报价
S10180,1,A0323,23.24226,113.311166,95.0,95.0,0.714216,单点任务保留单独报价
S10181,1,A0324,23.18365,113.23346,95.0,95.0,0.650745,单点任务保留单独报价
S10182,1,A0327,23.187188,113.336698,95.0,95.0,0.708981,单点任务保留单独报价
S10183,1,A0331,23.227833,113.309807,95.0,95.0,0.717924,单点任务保留单独报价
S10184,1,A0332,23.178016,113.246118,95.0,95.0,0.626443,单点任务保留单独报价
S10185,1,A0334,23.186233,113.236326,95.0,95.0,0.658628,单点任务保留单独报价
S10186,1,A0336,23.15899,113.227693,95.0,95.0,0.678405,单点任务保留单独报价
S10187,1,A0338,23.178868,113.248235,95.0,95.0,0.646688,单点任务保留单独报价
S10188,1,A0342,23.231586,113.264376,94.5,94.5,0.721092,单点任务保留单独报价
S10189,1,A0344,23.153345,113.239682,95.0,95.0,0.625018,单点任务保留单独报价
S10190,1,A0347,23.172815,113.322415,93.5,93.5,0.724361,单点任务保留单独报价
S10191,1,A0348,23.206365,113.335896,95.0,95.0,0.697418,单点任务保留单独报价
S10192,1,A0351,23.226209,113.309597,95.0,95.0,0.701795,单点任务保留单独报价
S10193,1,A0352,23.157095,113.229731,95.0,95.0,0.651742,单点任务保留单独报价
S10194,1,A0353,23.161857,113.267647,95.0,95.0,0.607785,单点任务保留单独报价
S10195,1,A0354,23.15645,113.254936,95.0,95.0,0.542253,单点任务保留单独报价
S10196,1,A0357,22.670577,113.873589,82.5,82.5,0.723765,单点任务保留单独报价
S10197,1,A0358,22.587813,113.972902,94.0,94.0,0.72009,单点任务保留单独报价
S10198,1,A0359,22.572047,114.118813,95.0,95.0,0.460681,单点任务保留单独报价
S10199,1,A0360,22.582433,113.959149,95.0,95.0,0.721105,单点任务保留单独报价
S10200,1,A0366,23.273732,113.301098,93.0,93.0,0.721284,单点任务保留单独报价
S10201,1,A0368,23.261723,113.278166,90.5,90.5,0.724436,单点任务保留单独报价
S10202,1,A0369,22.546054,114.025974,87.0,87.0,0.723686,单点任务保留单独报价
S10203,1,A0372,23.199248,113.334818,95.0,95.0,0.705471,单点任务保留单独报价
S10204,1,A0374,23.12929,113.66044,84.0,84.0,0.722774,单点任务保留单独报价
S10205,1,A0377,22.979845,113.321245,87.0,87.0,0.720148,单点任务保留单独报价
S10206,1,A0383,23.182461,113.349797,95.0,95.0,0.67848,单点任务保留单独报价
S10207,1,A0384,22.776654,113.593356,72.5,72.5,0.721231,单点任务保留单独报价
S10208,1,A0385,22.649463,113.612985,55.0,55.0,0.788922,单点任务保留单独报价
S10209,1,A0387,23.123829,113.329809,95.0,95.0,0.483083,单点任务保留单独报价
S10210,1,A0390,22.827714,113.521871,70.5,70.5,0.724529,单点任务保留单独报价
S10211,1,A0392,23.127426,113.258166,95.0,95.0,0.285123,单点任务保留单独报价
S10212,1,A0393,23.446661,113.220176,74.5,74.5,0.720445,单点任务保留单独报价
S10213,1,A0394,23.080682,113.27579,95.0,95.0,0.560935,单点任务保留单独报价
S10214,1,A0396,23.120114,113.253472,95.0,95.0,0.369579,单点任务保留单独报价
S10215,1,A0397,23.441843,113.32865,81.5,81.5,0.720052,单点任务保留单独报价
S10216,1,A0398,23.378033,113.256926,79.0,79.0,0.724456,单点任务保留单独报价
S10217,1,A0399,23.442202,113.330028,81.5,81.5,0.72322,单点任务保留单独报价
S10218,1,A0400,23.403299,113.239851,88.0,88.0,0.721551,单点任务保留单独报价
S10219,1,A0401,23.43116,113.425451,63.0,63.0,0.720799,单点任务保留单独报价
S10220,1,A0403,22.974791,113.329364,84.5,84.5,0.722462,单点任务保留单独报价
S10221,1,A0406,22.842245,113.345077,68.5,68.5,0.721924,单点任务保留单独报价
S10222,1,A0407,23.46445,113.172893,80.5,80.5,0.720858,单点任务保留单独报价
S10223,1,A0409,22.975562,113.49723,79.5,79.5,0.721626,单点任务保留单独报价
S10224,1,A0410,22.839969,113.349897,70.0,70.0,0.721586,单点任务保留单独报价
S10225,1,A0411,22.912291,113.350764,81.0,81.0,0.72173,单点任务保留单独报价
S10226,1,A0414,22.972843,113.335409,90.0,90.0,0.72233,单点任务保留单独报价
S10227,1,A0417,22.953774,113.406341,90.0,90.0,0.721785,单点任务保留单独报价
S10228,1,A0420,22.894453,113.409664,82.5,82.5,0.720964,单点任务保留单独报价
S10229,1,A0421,23.016196,113.331499,94.5,94.5,0.724066,单点任务保留单独报价
S10230,1,A0422,23.156559,113.214928,91.0,91.0,0.721115,单点任务保留单独报价
S10231,1,A0423,22.95649,113.3757,94.0,94.0,0.723763,单点任务保留单独报价
S10232,1,A0426,23.454574,113.498304,55.0,55.0,0.734451,单点任务保留单独报价
S10233,1,A0427,23.251615,113.292356,95.0,95.0,0.668671,单点任务保留单独报价
S10234,1,A0428,23.281191,113.23764,84.5,84.5,0.723166,单点任务保留单独报价
S10235,1,A0430,23.258401,113.299976,95.0,95.0,0.705855,单点任务保留单独报价
S10236,1,A0434,23.217729,113.273664,95.0,95.0,0.668278,单点任务保留单独报价
S10237,1,A0437,23.474843,113.190817,82.0,82.0,0.721282,单点任务保留单独报价
S10238,1,A0440,22.526199,113.989221,83.0,83.0,0.72348,单点任务保留单独报价
S10239,1,A0441,22.555281,114.116091,95.0,95.0,0.36026,单点任务保留单独报价
S10240,1,A0442,22.722865,114.244501,87.0,87.0,0.723197,单点任务保留单独报价
S10241,1,A0443,22.567783,114.178127,87.0,87.0,0.721917,单点任务保留单独报价
S10242,1,A0445,22.631578,114.123303,95.0,95.0,0.592489,单点任务保留单独报价
S10243,1,A0447,22.547005,114.111156,95.0,95.0,0.386556,单点任务保留单独报价
S10244,1,A0448,22.549381,114.050218,95.0,95.0,0.574598,单点任务保留单独报价
S10245,1,A0449,22.534299,114.031745,93.0,93.0,0.723501,单点任务保留单独报价
S10246,1,A0450,22.578728,114.49361,79.0,79.0,0.722299,单点任务保留单独报价
S10247,1,A0451,22.640409,114.043872,95.0,95.0,0.425279,单点任务保留单独报价
S10248,1,A0453,22.785672,113.900409,95.0,95.0,0.657181,单点任务保留单独报价
S10249,1,A0454,22.772483,113.853852,87.0,87.0,0.72423,单点任务保留单独报价
S10250,1,A0455,22.740409,113.78908,91.0,91.0,0.721141,单点任务保留单独报价
S10251,1,A0458,22.581977,113.887927,95.0,95.0,0.686276,单点任务保留单独报价
S10252,1,A0459,22.805179,113.562852,70.5,70.5,0.721633,单点任务保留单独报价
S10253,1,A0460,22.705289,114.140315,79.0,79.0,0.724079,单点任务保留单独报价
S10254,1,A0461,23.190964,113.333153,95.0,95.0,0.711511,单点任务保留单独报价
S10255,1,A0462,22.52395,113.943442,95.0,95.0,0.658412,单点任务保留单独报价
S10256,1,A0463,23.097852,113.305792,95.0,95.0,0.464256,单点任务保留单独报价
S10257,1,A0464,22.527128,114.053909,95.0,95.0,0.652289,单点任务保留单独报价
S10258,1,A0465,22.546603,114.104955,95.0,95.0,0.464608,单点任务保留单独报价
S10259,1,A0466,22.575176,114.144939,95.0,95.0,0.598254,单点任务保留单独报价
S10260,1,A0468,22.538264,114.065868,95.0,95.0,0.538952,单点任务保留单独报价
S10261,1,A0470,23.143391,113.601179,81.0,81.0,0.722191,单点任务保留单独报价
S10262,1,A0471,23.120032,113.289061,95.0,95.0,0.237069,单点任务保留单独报价
S10263,1,A0473,23.16432,113.243143,95.0,95.0,0.586872,单点任务保留单独报价
S10264,1,A0475,23.126061,113.332339,95.0,95.0,0.526447,单点任务保留单独报价
S10265,1,A0476,23.152632,113.33198,95.0,95.0,0.635645,单点任务保留单独报价
S10266,1,A0478,23.188456,113.271628,95.0,95.0,0.656334,单点任务保留单独报价
S10267,1,A0479,22.942957,113.393422,93.5,93.5,0.722097,单点任务保留单独报价
S10268,1,A0480,23.094501,113.266407,95.0,95.0,0.450027,单点任务保留单独报价
S10269,1,A0481,23.19677,113.270313,95.0,95.0,0.614306,单点任务保留单独报价
S10270,1,A0483,23.044908,113.788434,75.5,75.5,0.723994,单点任务保留单独报价
S10271,1,A0486,22.777591,113.751681,92.5,92.5,0.720252,单点任务保留单独报价
S10272,1,A0487,22.721038,114.179052,85.5,85.5,0.723441,单点任务保留单独报价
S10273,1,A0488,22.812305,114.172988,83.5,83.5,0.722823,单点任务保留单独报价
S10274,1,A0489,22.801073,113.761811,95.0,95.0,0.677462,单点任务保留单独报价
S10275,1,A0491,23.055952,113.871321,84.0,84.0,0.72271,单点任务保留单独报价
S10276,1,A0492,22.916925,113.643303,88.5,88.5,0.721919,单点任务保留单独报价
S10277,1,A0493,22.8774,114.127591,81.5,81.5,0.722821,单点任务保留单独报价
S10278,1,A0494,23.064832,113.797149,88.0,88.0,0.723313,单点任务保留单独报价
S10279,1,A0495,23.010254,113.68172,76.0,76.0,0.72367,单点任务保留单独报价
S10280,1,A0496,23.061599,113.662638,70.0,70.0,0.724001,单点任务保留单独报价
S10281,1,A0497,23.041621,113.711922,85.0,85.0,0.721804,单点任务保留单独报价
S10282,1,A0498,23.085427,113.693671,79.0,79.0,0.722081,单点任务保留单独报价
S10283,1,A0499,22.855226,114.1535,82.0,82.0,0.72292,单点任务保留单独报价
S10284,1,A0500,22.80544,113.823867,95.0,95.0,0.700469,单点任务保留单独报价
S10285,1,A0501,22.822328,113.742464,93.0,93.0,0.724196,单点任务保留单独报价
S10286,1,A0504,23.005676,113.707652,84.5,84.5,0.721779,单点任务保留单独报价
S10287,1,A0506,22.844784,113.645469,82.0,82.0,0.724074,单点任务保留单独报价
S10288,1,A0507,22.851715,113.631545,82.5,82.5,0.720405,单点任务保留单独报价
S10289,1,A0508,22.861397,113.853998,80.5,80.5,0.723747,单点任务保留单独报价
S10290,1,A0510,22.795661,114.156534,83.5,83.5,0.72227,单点任务保留单独报价
S10291,1,A0511,22.805675,113.790786,94.5,94.5,0.721721,单点任务保留单独报价
S10292,1,A0512,23.000649,113.61544,70.0,70.0,0.723081,单点任务保留单独报价
S10293,1,A0513,22.782496,113.763895,95.0,95.0,0.718029,单点任务保留单独报价
S10294,1,A0514,22.959983,113.04741,82.0,82.0,0.720562,单点任务保留单独报价
S10295,1,A0515,23.014786,113.685853,77.0,77.0,0.721603,单点任务保留单独报价
S10296,1,A0516,22.781397,113.767263,95.0,95.0,0.709715,单点任务保留单独报价
S10297,1,A0517,23.051708,113.842971,82.0,82.0,0.721618,单点任务保留单独报价
S10298,1,A0518,22.991428,113.772502,78.5,78.5,0.722965,单点任务保留单独报价
S10299,1,A0519,23.078291,113.798738,83.0,83.0,0.722744,单点任务保留单独报价
S10300,1,A0520,23.062865,113.798758,90.0,90.0,0.723954,单点任务保留单独报价
S10301,1,A0521,23.055387,113.770091,73.5,73.5,0.721307,单点任务保留单独报价
S10302,1,A0522,22.800163,114.062761,81.0,81.0,0.724584,单点任务保留单独报价
S10303,1,A0523,23.048455,113.549906,80.5,80.5,0.72169,单点任务保留单独报价
S10304,1,A0525,22.795898,113.797833,95.0,95.0,0.685105,单点任务保留单独报价
S10305,1,A0527,23.01784,113.823369,78.5,78.5,0.72078,单点任务保留单独报价
S10306,1,A0528,23.058285,113.814796,86.5,86.5,0.724178,单点任务保留单独报价
S10307,1,A0529,22.969365,113.896614,85.0,85.0,0.722156,单点任务保留单独报价
S10308,1,A0530,23.014652,113.768068,83.0,83.0,0.724212,单点任务保留单独报价
S10309,1,A0531,22.995226,113.800023,77.0,77.0,0.724341,单点任务保留单独报价
S10310,1,A0533,22.987448,113.725147,84.0,84.0,0.723968,单点任务保留单独报价
S10311,1,A0534,22.993132,113.732372,83.0,83.0,0.722877,单点任务保留单独报价
S10312,1,A0535,23.028713,113.804579,85.5,85.5,0.722875,单点任务保留单独报价
S10313,1,A0536,22.974175,113.734588,85.0,85.0,0.722701,单点任务保留单独报价
S10314,1,A0539,23.06168,113.81022,84.0,84.0,0.722453,单点任务保留单独报价
