layer_ii_thickness_mm,layer_iv_thickness_mm,total_variable_thickness_mm,max_skin_temperature_c,minutes_above_44_c,final_temperature_c,feasible
0.6,4.8,5.4,50.296454,29.483333,50.296454,False
0.6,4.9,5.5,50.171648,29.483333,50.171648,False
0.6,5.0,5.6,50.049163,29.466667,50.049163,False
0.6,5.1,5.7,49.928935,29.45,49.928935,False
0.6,5.2,5.8,49.810902,29.45,49.810902,False
0.6,5.3,5.9,49.695005,29.433333,49.695005,False
0.6,5.4,6.0,49.581187,29.433333,49.581187,False
0.6,5.5,6.1,49.46939,29.416667,49.46939,False
0.6,5.6,6.2,49.359564,29.4,49.359564,False
0.6,5.7,6.3,49.251655,29.4,49.251655,False
0.6,5.8,6.4,49.145614,29.383333,49.145614,False
0.6,5.9,6.5,49.041393,29.366667,49.041393,False
0.6,6.0,6.6,48.938945,29.366667,48.938945,False
0.6,6.1,6.7,48.838226,29.35,48.838226,False
0.6,6.2,6.8,48.739192,29.333333,48.739192,False
0.6,6.3,6.9,48.641801,29.333333,48.641801,False
0.6,6.4,7.0,48.546013,29.316667,48.546013,False
0.7,0.6,1.3,59.059569,29.8,59.059569,False
0.7,0.7,1.4,58.718156,29.8,58.718156,False
0.7,0.8,1.5,58.387151,29.783333,58.387151,False
0.7,0.9,1.6,58.066083,29.783333,58.066083,False
0.7,1.0,1.7,57.754513,29.766667,57.754513,False
0.7,1.1,1.8,57.452025,29.766667,57.452025,False
0.7,1.2,1.9,57.158227,29.75,57.158227,False
0.7,1.3,2.0,56.872751,29.75,56.872751,False
0.7,1.4,2.1,56.595247,29.733333,56.595247,False
0.7,1.5,2.2,56.325387,29.733333,56.325387,False
0.7,1.6,2.3,56.062859,29.733333,56.062859,False
0.7,1.7,2.4,55.807368,29.716667,55.807368,False
0.7,1.8,2.5,55.558635,29.716667,55.558635,False
0.7,1.9,2.6,55.316395,29.7,55.316395,False
0.7,2.0,2.7,55.080398,29.7,55.080398,False
0.7,2.1,2.8,54.850404,29.683333,54.850404,False
0.7,2.2,2.9,54.626188,29.683333,54.626188,False
0.7,2.3,3.0,54.407535,29.666667,54.407535,False
0.7,2.4,3.1,54.194241,29.666667,54.194241,False
0.7,2.5,3.2,53.98611,29.65,53.98611,False
0.7,2.6,3.3,53.782957,29.65,53.782957,False
0.7,2.7,3.4,53.584607,29.633333,53.584607,False
0.7,2.8,3.5,53.39089,29.616667,53.39089,False
0.7,2.9,3.6,53.201647,29.616667,53.201647,False
0.7,3.0,3.7,53.016723,29.6,53.016723,False
0.7,3.1,3.8,52.835973,29.6,52.835973,False
0.7,3.2,3.9,52.659257,29.583333,52.659257,False
0.7,3.3,4.0,52.486442,29.583333,52.486442,False
0.7,3.4,4.1,52.317399,29.566667,52.317399,False
0.7,3.5,4.2,52.152007,29.566667,52.152007,False
0.7,3.6,4.3,51.990148,29.55,51.990148,False
0.7,3.7,4.4,51.831711,29.55,51.831711,False
0.7,3.8,4.5,51.676588,29.533333,51.676588,False
0.7,3.9,4.6,51.524677,29.516667,51.524677,False
0.7,4.0,4.7,51.375878,29.516667,51.375878,False
0.7,4.1,4.8,51.230096,29.5,51.230096,False
0.7,4.2,4.9,51.087242,29.5,51.087242,False
0.7,4.3,5.0,50.947227,29.483333,50.947227,False
0.7,4.4,5.1,50.809969,29.466667,50.809969,False
0.7,4.5,5.2,50.675385,29.466667,50.675385,False
0.7,4.6,5.3,50.543399,29.45,50.543399,False
0.7,4.7,5.4,50.413937,29.45,50.413937,False
0.7,4.8,5.5,50.286926,29.433333,50.286926,False
0.7,4.9,5.6,50.162298,29.416667,50.162298,False
0.7,5.0,5.7,50.039986,29.416667,50.039986,False
0.7,5.1,5.8,49.919927,29.4,49.919927,False
0.7,5.2,5.9,49.802058,29.383333,49.802058,False
0.7,5.3,6.0,49.68632,29.383333,49.68632,False
0.7,5.4,6.1,49.572656,29.366667,49.572656,False
0.7,5.5,6.2,49.461011,29.35,49.461011,False
0.7,5.6,6.3,49.351331,29.35,49.351331,False
0.7,5.7,6.4,49.243565,29.333333,49.243565,False
0.7,5.8,6.5,49.137664,29.316667,49.137664,False
0.7,5.9,6.6,49.033578,29.316667,49.033578,False
0.7,6.0,6.7,48.931263,29.3,48.931263,False
0.7,6.1,6.8,48.830673,29.283333,48.830673,False
0.7,6.2,6.9,48.731765,29.266667,48.731765,False
0.7,6.3,7.0,48.634497,29.266667,48.634497,False
0.7,6.4,7.1,48.538828,29.25,48.538828,False
0.8,0.6,1.4,59.033357,29.783333,59.033357,False
0.8,0.7,1.5,58.692749,29.766667,58.692749,False
0.8,0.8,1.6,58.362512,29.766667,58.362512,False
0.8,0.9,1.7,58.042178,29.75,58.042178,False
0.8,1.0,1.8,57.731309,29.75,57.731309,False
0.8,1.1,1.9,57.429492,29.733333,57.429492,False
0.8,1.2,2.0,57.136337,29.733333,57.136337,False
0.8,1.3,2.1,56.851476,29.716667,56.851476,False
0.8,1.4,2.2,56.574562,29.716667,56.574562,False
0.8,1.5,2.3,56.305268,29.7,56.305268,False
0.8,1.6,2.4,56.043282,29.7,56.043282,False
0.8,1.7,2.5,55.788312,29.683333,55.788312,False
0.8,1.8,2.6,55.54008,29.683333,55.54008,False
0.8,1.9,2.7,55.298321,29.666667,55.298321,False
0.8,2.0,2.8,55.062786,29.666667,55.062786,False
0.8,2.1,2.9,54.833237,29.65,54.833237,False
0.8,2.2,3.0,54.60945,29.65,54.60945,False
0.8,2.3,3.1,54.391209,29.633333,54.391209,False
0.8,2.4,3.2,54.178312,29.633333,54.178312,False
0.8,2.5,3.3,53.970564,29.616667,53.970564,False
0.8,2.6,3.4,53.767781,29.6,53.767781,False
0.8,2.7,3.5,53.569787,29.6,53.569787,False
0.8,2.8,3.6,53.376415,29.583333,53.376415,False
0.8,2.9,3.7,53.187503,29.583333,53.187503,False
0.8,3.0,3.8,53.0029,29.566667,53.0029,False
0.8,3.1,3.9,52.822461,29.566667,52.822461,False
0.8,3.2,4.0,52.646044,29.55,52.646044,False
0.8,3.3,4.1,52.473519,29.533333,52.473519,False
0.8,3.4,4.2,52.304757,29.533333,52.304757,False
0.8,3.5,4.3,52.139636,29.516667,52.139636,False
0.8,3.6,4.4,51.97804,29.516667,51.97804,False
0.8,3.7,4.5,51.819858,29.5,51.819858,False
0.8,3.8,4.6,51.664981,29.483333,51.664981,False
0.8,3.9,4.7,51.513309,29.483333,51.513309,False
0.8,4.0,4.8,51.364741,29.466667,51.364741,False
0.8,4.1,4.9,51.219184,29.45,51.219184,False
0.8,4.2,5.0,51.076548,29.45,51.076548,False
0.8,4.3,5.1,50.936745,29.433333,50.936745,False
0.8,4.4,5.2,50.799691,29.416667,50.799691,False
0.8,4.5,5.3,50.665307,29.416667,50.665307,False
0.8,4.6,5.4,50.533515,29.4,50.533515,False
0.8,4.7,5.5,50.40424,29.383333,50.40424,False
0.8,4.8,5.6,50.277412,29.383333,50.277412,False
0.8,4.9,5.7,50.152962,29.366667,50.152962,False
0.8,5.0,5.8,50.030823,29.35,50.030823,False
0.8,5.1,5.9,49.910931,29.35,49.910931,False
0.8,5.2,6.0,49.793225,29.333333,49.793225,False
0.8,5.3,6.1,49.677647,29.316667,49.677647,False
0.8,5.4,6.2,49.564137,29.3,49.564137,False
0.8,5.5,6.3,49.452643,29.3,49.452643,False
0.8,5.6,6.4,49.34311,29.283333,49.34311,False
0.8,5.7,6.5,49.235487,29.266667,49.235487,False
0.8,5.8,6.6,49.129724,29.25,49.129724,False
0.8,5.9,6.7,49.025774,29.25,49.025774,False
0.8,6.0,6.8,48.923591,29.233333,48.923591,False
0.8,6.1,6.9,48.82313,29.216667,48.82313,False
0.8,6.2,7.0,48.724347,29.2,48.724347,False
0.8,6.3,7.1,48.627201,29.183333,48.627201,False
0.8,6.4,7.2,48.531652,29.183333,48.531652,False
0.9,0.6,1.5,59.007208,29.766667,59.007208,False
0.9,0.7,1.6,58.667402,29.75,58.667402,False
0.9,0.8,1.7,58.33793,29.75,58.33793,False
0.9,0.9,1.8,58.018327,29.733333,58.018327,False
0.9,1.0,1.9,57.708158,29.733333,57.708158,False
0.9,1.1,2.0,57.407009,29.716667,57.407009,False
0.9,1.2,2.1,57.114494,29.716667,57.114494,False
0.9,1.3,2.2,56.830247,29.7,56.830247,False
0.9,1.4,2.3,56.553921,29.683333,56.553921,False
0.9,1.5,2.4,56.28519,29.683333,56.28519,False
0.9,1.6,2.5,56.023746,29.666667,56.023746,False
0.9,1.7,2.6,55.769295,29.666667,55.769295,False
0.9,1.8,2.7,55.521561,29.65,55.521561,False
0.9,1.9,2.8,55.280282,29.65,55.280282,False
0.9,2.0,2.9,55.045208,29.633333,55.045208,False
0.9,2.1,3.0,54.816103,29.616667,54.816103,False
0.9,2.2,3.1,54.592743,29.616667,54.592743,False
0.9,2.3,3.2,54.374914,29.6,54.374914,False
0.9,2.4,3.3,54.162413,29.6,54.162413,False
0.9,2.5,3.4,53.955047,29.583333,53.955047,False
0.9,2.6,3.5,53.752633,29.566667,53.752633,False
0.9,2.7,3.6,53.554994,29.566667,53.554994,False
0.9,2.8,3.7,53.361964,29.55,53.361964,False
0.9,2.9,3.8,53.173384,29.55,53.173384,False
0.9,3.0,3.9,52.989102,29.533333,52.989102,False
0.9,3.1,4.0,52.808971,29.516667,52.808971,False
0.9,3.2,4.1,52.632854,29.516667,52.632854,False
0.9,3.3,4.2,52.460618,29.5,52.460618,False
0.9,3.4,4.3,52.292135,29.483333,52.292135,False
0.9,3.5,4.4,52.127285,29.483333,52.127285,False
0.9,3.6,4.5,51.965952,29.466667,51.965952,False
0.9,3.7,4.6,51.808023,29.45,51.808023,False
0.9,3.8,4.7,51.653393,29.45,51.653393,False
0.9,3.9,4.8,51.501958,29.433333,51.501958,False
0.9,4.0,4.9,51.353622,29.416667,51.353622,False
0.9,4.1,5.0,51.208289,29.416667,51.208289,False
0.9,4.2,5.1,51.06587,29.4,51.06587,False
0.9,4.3,5.2,50.926278,29.383333,50.926278,False
0.9,4.4,5.3,50.789429,29.366667,50.789429,False
0.9,4.5,5.4,50.655244,29.366667,50.655244,False
0.9,4.6,5.5,50.523645,29.35,50.523645,False
0.9,4.7,5.6,50.394558,29.333333,50.394558,False
0.9,4.8,5.7,50.267912,29.333333,50.267912,False
0.9,4.9,5.8,50.143639,29.316667,50.143639,False
0.9,5.0,5.9,50.021672,29.3,50.021672,False
0.9,5.1,6.0,49.901948,29.283333,49.901948,False
0.9,5.2,6.1,49.784405,29.266667,49.784405,False
0.9,5.3,6.2,49.668985,29.266667,49.668985,False
0.9,5.4,6.3,49.55563,29.25,49.55563,False
0.9,5.5,6.4,49.444286,29.233333,49.444286,False
0.9,5.6,6.5,49.334899,29.216667,49.334899,False
0.9,5.7,6.6,49.227418,29.2,49.227418,False
0.9,5.8,6.7,49.121795,29.2,49.121795,False
0.9,5.9,6.8,49.01798,29.183333,49.01798,False
0.9,6.0,6.9,48.915929,29.166667,48.915929,False
0.9,6.1,7.0,48.815596,29.15,48.815596,False
0.9,6.2,7.1,48.716939,29.133333,48.716939,False
0.9,6.3,7.2,48.619915,29.116667,48.619915,False
0.9,6.4,7.3,48.524485,29.1,48.524485,False
1.0,0.6,1.6,58.981121,29.75,58.981121,False
1.0,0.7,1.7,58.642113,29.733333,58.642113,False
1.0,0.8,1.8,58.313404,29.716667,58.313404,False
1.0,0.9,1.9,57.99453,29.716667,57.99453,False
1.0,1.0,2.0,57.685057,29.7,57.685057,False
1.0,1.1,2.1,57.384576,29.7,57.384576,False
1.0,1.2,2.2,57.092699,29.683333,57.092699,False
1.0,1.3,2.3,56.809063,29.683333,56.809063,False
1.0,1.4,2.4,56.533323,29.666667,56.533323,False
1.0,1.5,2.5,56.265154,29.65,56.265154,False
1.0,1.6,2.6,56.004249,29.65,56.004249,False
1.0,1.7,2.7,55.750316,29.633333,55.750316,False
1.0,1.8,2.8,55.50308,29.616667,55.50308,False
1.0,1.9,2.9,55.262278,29.616667,55.262278,False
1.0,2.0,3.0,55.027664,29.6,55.027664,False
1.0,2.1,3.1,54.799002,29.6,54.799002,False
1.0,2.2,3.2,54.576068,29.583333,54.576068,False
1.0,2.3,3.3,54.358649,29.566667,54.358649,False
1.0,2.4,3.4,54.146543,29.566667,54.146543,False
1.0,2.5,3.5,53.939558,29.55,53.939558,False
1.0,2.6,3.6,53.737511,29.533333,53.737511,False
1.0,2.7,3.7,53.540227,29.533333,53.540227,False
1.0,2.8,3.8,53.34754,29.516667,53.34754,False
1.0,2.9,3.9,53.15929,29.5,53.15929,False
1.0,3.0,4.0,52.975327,29.5,52.975327,False
1.0,3.1,4.1,52.795505,29.483333,52.795505,False
1.0,3.2,4.2,52.619686,29.466667,52.619686,False
1.0,3.3,4.3,52.447738,29.466667,52.447738,False
1.0,3.4,4.4,52.279535,29.45,52.279535,False
1.0,3.5,4.5,52.114955,29.433333,52.114955,False
1.0,3.6,4.6,51.953883,29.416667,51.953883,False
1.0,3.7,4.7,51.796207,29.416667,51.796207,False
1.0,3.8,4.8,51.641822,29.4,51.641822,False
1.0,3.9,4.9,51.490626,29.383333,51.490626,False
1.0,4.0,5.0,51.34252,29.383333,51.34252,False
1.0,4.1,5.1,51.197411,29.366667,51.197411,False
1.0,4.2,5.2,51.055209,29.35,51.055209,False
1.0,4.3,5.3,50.915827,29.333333,50.915827,False
1.0,4.4,5.4,50.779183,29.316667,50.779183,False
1.0,4.5,5.5,50.645195,29.316667,50.645195,False
1.0,4.6,5.6,50.513789,29.3,50.513789,False
1.0,4.7,5.7,50.384889,29.283333,50.384889,False
1.0,4.8,5.8,50.258426,29.266667,50.258426,False
1.0,4.9,5.9,50.134329,29.25,50.134329,False
1.0,5.0,6.0,50.012534,29.25,50.012534,False
1.0,5.1,6.1,49.892977,29.233333,49.892977,False
1.0,5.2,6.2,49.775597,29.216667,49.775597,False
1.0,5.3,6.3,49.660335,29.2,49.660335,False
1.0,5.4,6.4,49.547135,29.183333,49.547135,False
1.0,5.5,6.5,49.43594,29.166667,49.43594,False
1.0,5.6,6.6,49.326699,29.166667,49.326699,False
1.0,5.7,6.7,49.219361,29.15,49.219361,False
1.0,5.8,6.8,49.113876,29.133333,49.113876,False
1.0,5.9,6.9,49.010196,29.116667,49.010196,False
1.0,6.0,7.0,48.908277,29.1,48.908277,False
1.0,6.1,7.1,48.808072,29.083333,48.808072,False
1.0,6.2,7.2,48.70954,29.066667,48.70954,False
1.0,6.3,7.3,48.612638,29.05,48.612638,False
1.0,6.4,7.4,48.517327,29.033333,48.517327,False
1.1,0.6,1.7,58.955095,29.716667,58.955095,False
1.1,0.7,1.8,58.616884,29.716667,58.616884,False
1.1,0.8,1.9,58.288935,29.7,58.288935,False
1.1,0.9,2.0,57.970787,29.7,57.970787,False
1.1,1.0,2.1,57.662009,29.683333,57.662009,False
1.1,1.1,2.2,57.362192,29.666667,57.362192,False
1.1,1.2,2.3,57.070951,29.666667,57.070951,False
1.1,1.3,2.4,56.787924,29.65,56.787924,False
1.1,1.4,2.5,56.512768,29.633333,56.512768,False
1.1,1.5,2.6,56.24516,29.633333,56.24516,False
1.1,1.6,2.7,55.984792,29.616667,55.984792,False
1.1,1.7,2.8,55.731375,29.6,55.731375,False
1.1,1.8,2.9,55.484635,29.6,55.484635,False
1.1,1.9,3.0,55.24431,29.583333,55.24431,False
1.1,2.0,3.1,55.010155,29.566667,55.010155,False
1.1,2.1,3.2,54.781934,29.566667,54.781934,False
1.1,2.2,3.3,54.559424,29.55,54.559424,False
1.1,2.3,3.4,54.342414,29.533333,54.342414,False
1.1,2.4,3.5,54.130703,29.533333,54.130703,False
1.1,2.5,3.6,53.924098,29.516667,53.924098,False
1.1,2.6,3.7,53.722417,29.5,53.722417,False
1.1,2.7,3.8,53.525487,29.5,53.525487,False
1.1,2.8,3.9,53.333141,29.483333,53.333141,False
1.1,2.9,4.0,53.145221,29.466667,53.145221,False
1.1,3.0,4.1,52.961575,29.45,52.961575,False
1.1,3.1,4.2,52.782061,29.45,52.782061,False
1.1,3.2,4.3,52.60654,29.433333,52.60654,False
1.1,3.3,4.4,52.43488,29.416667,52.43488,False
1.1,3.4,4.5,52.266955,29.4,52.266955,False
1.1,3.5,4.6,52.102644,29.4,52.102644,False
1.1,3.6,4.7,51.941833,29.383333,51.941833,False
1.1,3.7,4.8,51.78441,29.366667,51.78441,False
1.1,3.8,4.9,51.63027,29.35,51.63027,False
1.1,3.9,5.0,51.479311,29.35,51.479311,False
1.1,4.0,5.1,51.331435,29.333333,51.331435,False
1.1,4.1,5.2,51.186549,29.316667,51.186549,False
1.1,4.2,5.3,51.044563,29.3,51.044563,False
1.1,4.3,5.4,50.905392,29.283333,50.905392,False
1.1,4.4,5.5,50.768951,29.266667,50.768951,False
1.1,4.5,5.6,50.635162,29.266667,50.635162,False
1.1,4.6,5.7,50.503948,29.25,50.503948,False
1.1,4.7,5.8,50.375235,29.233333,50.375235,False
1.1,4.8,5.9,50.248953,29.216667,50.248953,False
1.1,4.9,6.0,50.125033,29.2,50.125033,False
1.1,5.0,6.1,50.003409,29.183333,50.003409,False
1.1,5.1,6.2,49.884019,29.166667,49.884019,False
1.1,5.2,6.3,49.766801,29.15,49.766801,False
1.1,5.3,6.4,49.651697,29.15,49.651697,False
1.1,5.4,6.5,49.53865,29.133333,49.53865,False
1.1,5.5,6.6,49.427606,29.116667,49.427606,False
1.1,5.6,6.7,49.318511,29.1,49.318511,False
1.1,5.7,6.8,49.211314,29.083333,49.211314,False
1.1,5.8,6.9,49.105967,29.066667,49.105967,False
1.1,5.9,7.0,49.002423,29.05,49.002423,False
1.1,6.0,7.1,48.900634,29.033333,48.900634,False
1.1,6.1,7.2,48.800558,29.016667,48.800558,False
1.1,6.2,7.3,48.70215,29.0,48.70215,False
1.1,6.3,7.4,48.60537,28.983333,48.60537,False
1.1,6.4,7.5,48.510178,28.966667,48.510178,False
1.2,0.6,1.8,58.929131,29.7,58.929131,False
1.2,0.7,1.9,58.591713,29.7,58.591713,False
1.2,0.8,2.0,58.264521,29.683333,58.264521,False
1.2,0.9,2.1,57.947098,29.666667,57.947098,False
1.2,1.0,2.2,57.639012,29.666667,57.639012,False
1.2,1.1,2.3,57.339856,29.65,57.339856,False
1.2,1.2,2.4,57.04925,29.633333,57.04925,False
1.2,1.3,2.5,56.76683,29.633333,56.76683,False
1.2,1.4,2.6,56.492257,29.616667,56.492257,False
1.2,1.5,2.7,56.225207,29.6,56.225207,False
1.2,1.6,2.8,55.965375,29.583333,55.965375,False
1.2,1.7,2.9,55.712473,29.583333,55.712473,False
1.2,1.8,3.0,55.466227,29.566667,55.466227,False
1.2,1.9,3.1,55.226378,29.55,55.226378,False
1.2,2.0,3.2,54.992679,29.55,54.992679,False
1.2,2.1,3.3,54.764898,29.533333,54.764898,False
1.2,2.2,3.4,54.542812,29.516667,54.542812,False
1.2,2.3,3.5,54.32621,29.5,54.32621,False
1.2,2.4,3.6,54.114892,29.5,54.114892,False
1.2,2.5,3.7,53.908666,29.483333,53.908666,False
1.2,2.6,3.8,53.70735,29.466667,53.70735,False
1.2,2.7,3.9,53.510773,29.45,53.510773,False
1.2,2.8,4.0,53.318767,29.45,53.318767,False
1.2,2.9,4.1,53.131175,29.433333,53.131175,False
1.2,3.0,4.2,52.947848,29.416667,52.947848,False
1.2,3.1,4.3,52.76864,29.4,52.76864,False
1.2,3.2,4.4,52.593416,29.4,52.593416,False
1.2,3.3,4.5,52.422043,29.383333,52.422043,False
1.2,3.4,4.6,52.254395,29.366667,52.254395,False
1.2,3.5,4.7,52.090354,29.35,52.090354,False
1.2,3.6,4.8,51.929803,29.333333,51.929803,False
1.2,3.7,4.9,51.772632,29.316667,51.772632,False
1.2,3.8,5.0,51.618736,29.316667,51.618736,False
1.2,3.9,5.1,51.468014,29.3,51.468014,False
1.2,4.0,5.2,51.320367,29.283333,51.320367,False
1.2,4.1,5.3,51.175704,29.266667,51.175704,False
1.2,4.2,5.4,51.033934,29.25,51.033934,False
1.2,4.3,5.5,50.894972,29.233333,50.894972,False
1.2,4.4,5.6,50.758735,29.216667,50.758735,False
1.2,4.5,5.7,50.625143,29.216667,50.625143,False
1.2,4.6,5.8,50.494121,29.2,50.494121,False
1.2,4.7,5.9,50.365594,29.183333,50.365594,False
1.2,4.8,6.0,50.239493,29.166667,50.239493,False
1.2,4.9,6.1,50.115749,29.15,50.115749,False
1.2,5.0,6.2,49.994297,29.133333,49.994297,False
1.2,5.1,6.3,49.875073,29.116667,49.875073,False
1.2,5.2,6.4,49.758018,29.1,49.758018,False
1.2,5.3,6.5,49.643071,29.083333,49.643071,False
1.2,5.4,6.6,49.530178,29.066667,49.530178,False
1.2,5.5,6.7,49.419282,29.05,49.419282,False
1.2,5.6,6.8,49.310333,29.033333,49.310333,False
1.2,5.7,6.9,49.203278,29.016667,49.203278,False
1.2,5.8,7.0,49.098069,29.0,49.098069,False
1.2,5.9,7.1,48.994659,28.983333,48.994659,False
1.2,6.0,7.2,48.893001,28.966667,48.893001,False
1.2,6.1,7.3,48.793053,28.95,48.793053,False
1.2,6.2,7.4,48.69477,28.933333,48.69477,False
1.2,6.3,7.5,48.598112,28.916667,48.598112,False
1.2,6.4,7.6,48.503038,28.9,48.503038,False
1.3,0.6,1.9,58.903228,29.683333,58.903228,False
1.3,0.7,2.0,58.566601,29.666667,58.566601,False
1.3,0.8,2.1,58.240164,29.666667,58.240164,False
1.3,0.9,2.2,57.923462,29.65,57.923462,False
1.3,1.0,2.3,57.616065,29.633333,57.616065,False
1.3,1.1,2.4,57.31757,29.616667,57.31757,False
1.3,1.2,2.5,57.027596,29.616667,57.027596,False
1.3,1.3,2.6,56.745781,29.6,56.745781,False
1.3,1.4,2.7,56.471788,29.583333,56.471788,False
1.3,1.5,2.8,56.205295,29.583333,56.205295,False
1.3,1.6,2.9,55.945997,29.566667,55.945997,False
1.3,1.7,3.0,55.693609,29.55,55.693609,False
1.3,1.8,3.1,55.447856,29.533333,55.447856,False
1.3,1.9,3.2,55.20848,29.533333,55.20848,False
1.3,2.0,3.3,54.975238,29.516667,54.975238,False
1.3,2.1,3.4,54.747895,29.5,54.747895,False
1.3,2.2,3.5,54.526231,29.483333,54.526231,False
1.3,2.3,3.6,54.310036,29.466667,54.310036,False
1.3,2.4,3.7,54.099109,29.466667,54.099109,False
1.3,2.5,3.8,53.893261,29.45,53.893261,False
1.3,2.6,3.9,53.692311,29.433333,53.692311,False
1.3,2.7,4.0,53.496085,29.416667,53.496085,False
1.3,2.8,4.1,53.304418,29.4,53.304418,False
1.3,2.9,4.2,53.117155,29.4,53.117155,False
1.3,3.0,4.3,52.934144,29.383333,52.934144,False
1.3,3.1,4.4,52.755243,29.366667,52.755243,False
1.3,3.2,4.5,52.580314,29.35,52.580314,False
1.3,3.3,4.6,52.409227,29.333333,52.409227,False
1.3,3.4,4.7,52.241857,29.316667,52.241857,False
1.3,3.5,4.8,52.078083,29.316667,52.078083,False
1.3,3.6,4.9,51.917792,29.3,51.917792,False
1.3,3.7,5.0,51.760873,29.283333,51.760873,False
1.3,3.8,5.1,51.60722,29.266667,51.60722,False
1.3,3.9,5.2,51.456734,29.25,51.456734,False
1.3,4.0,5.3,51.309317,29.233333,51.309317,False
1.3,4.1,5.4,51.164875,29.216667,51.164875,False
1.3,4.2,5.5,51.023321,29.2,51.023321,False
1.3,4.3,5.6,50.884568,29.183333,50.884568,False
1.3,4.4,5.7,50.748533,29.166667,50.748533,False
1.3,4.5,5.8,50.615139,29.15,50.615139,False
1.3,4.6,5.9,50.484308,29.15,50.484308,False
1.3,4.7,6.0,50.355968,29.133333,50.355968,False
1.3,4.8,6.1,50.230047,29.116667,50.230047,False
1.3,4.9,6.2,50.106479,29.1,50.106479,False
1.3,5.0,6.3,49.985197,29.083333,49.985197,False
1.3,5.1,6.4,49.86614,29.066667,49.86614,False
1.3,5.2,6.5,49.749246,29.05,49.749246,False
1.3,5.3,6.6,49.634457,29.016667,49.634457,False
1.3,5.4,6.7,49.521716,29.0,49.521716,False
1.3,5.5,6.8,49.41097,28.983333,49.41097,False
1.3,5.6,6.9,49.302166,28.966667,49.302166,False
1.3,5.7,7.0,49.195252,28.95,49.195252,False
1.3,5.8,7.1,49.090181,28.933333,49.090181,False
1.3,5.9,7.2,48.986905,28.916667,48.986905,False
1.3,6.0,7.3,48.885378,28.9,48.885378,False
1.3,6.1,7.4,48.785557,28.883333,48.785557,False
1.3,6.2,7.5,48.687399,28.866667,48.687399,False
1.3,6.3,7.6,48.590862,28.833333,48.590862,False
1.3,6.4,7.7,48.495907,28.816667,48.495907,False
1.4,0.6,2.0,58.877387,29.666667,58.877387,False
1.4,0.7,2.1,58.541547,29.65,58.541547,False
1.4,0.8,2.2,58.215862,29.633333,58.215862,False
1.4,0.9,2.3,57.899879,29.633333,57.899879,False
1.4,1.0,2.4,57.59317,29.616667,57.59317,False
1.4,1.1,2.5,57.295333,29.6,57.295333,False
1.4,1.2,2.6,57.005988,29.583333,57.005988,False
1.4,1.3,2.7,56.724777,29.583333,56.724777,False
1.4,1.4,2.8,56.451363,29.566667,56.451363,False
1.4,1.5,2.9,56.185424,29.55,56.185424,False
1.4,1.6,3.0,55.92666,29.533333,55.92666,False
