time_s,time_min,skin_temperature_c
192,3.2,38.426198
193,3.216667,38.433065
194,3.233333,38.439926
195,3.25,38.446781
196,3.266667,38.453631
197,3.283333,38.460475
198,3.3,38.467314
199,3.316667,38.474147
200,3.333333,38.480975
201,3.35,38.487798
202,3.366667,38.494614
203,3.383333,38.501426
204,3.4,38.508232
205,3.416667,38.515032
206,3.433333,38.521827
207,3.45,38.528616
208,3.466667,38.5354
209,3.483333,38.542179
210,3.5,38.548952
211,3.516667,38.55572
212,3.533333,38.562482
213,3.55,38.569239
214,3.566667,38.57599
215,3.583333,38.582736
216,3.6,38.589477
217,3.616667,38.596212
218,3.633333,38.602941
219,3.65,38.609666
220,3.666667,38.616384
221,3.683333,38.623098
222,3.7,38.629806
223,3.716667,38.636509
224,3.733333,38.643206
225,3.75,38.649898
226,3.766667,38.656584
227,3.783333,38.663265
228,3.8,38.669941
229,3.816667,38.676611
230,3.833333,38.683276
231,3.85,38.689936
232,3.866667,38.69659
233,3.883333,38.703239
234,3.9,38.709883
235,3.916667,38.716521
236,3.933333,38.723154
237,3.95,38.729781
238,3.966667,38.736404
239,3.983333,38.743021
240,4.0,38.749632
241,4.016667,38.756238
242,4.033333,38.762839
243,4.05,38.769435
244,4.066667,38.776025
245,4.083333,38.78261
246,4.1,38.78919
247,4.116667,38.795765
248,4.133333,38.802334
249,4.15,38.808898
250,4.166667,38.815456
251,4.183333,38.82201
252,4.2,38.828558
253,4.216667,38.8351
254,4.233333,38.841638
255,4.25,38.84817
256,4.266667,38.854697
257,4.283333,38.861219
258,4.3,38.867736
259,4.316667,38.874247
260,4.333333,38.880753
261,4.35,38.887254
262,4.366667,38.893749
263,4.383333,38.90024
264,4.4,38.906725
265,4.416667,38.913205
266,4.433333,38.91968
267,4.45,38.926149
268,4.466667,38.932613
269,4.483333,38.939072
270,4.5,38.945526
271,4.516667,38.951975
272,4.533333,38.958419
273,4.55,38.964857
274,4.566667,38.97129
275,4.583333,38.977718
276,4.6,38.984141
277,4.616667,38.990559
278,4.633333,38.996971
279,4.65,39.003379
280,4.666667,39.009781
281,4.683333,39.016178
282,4.7,39.02257
283,4.716667,39.028956
284,4.733333,39.035338
285,4.75,39.041715
286,4.766667,39.048086
287,4.783333,39.054452
288,4.8,39.060813
289,4.816667,39.067169
290,4.833333,39.07352
291,4.85,39.079866
292,4.866667,39.086207
293,4.883333,39.092542
294,4.9,39.098873
295,4.916667,39.105198
296,4.933333,39.111518
297,4.95,39.117834
298,4.966667,39.124144
299,4.983333,39.130449
300,5.0,39.136749
301,5.016667,39.143044
302,5.033333,39.149334
303,5.05,39.155619
304,5.066667,39.161898
305,5.083333,39.168173
306,5.1,39.174443
307,5.116667,39.180707
308,5.133333,39.186967
309,5.15,39.193221
310,5.166667,39.199471
311,5.183333,39.205715
312,5.2,39.211955
313,5.216667,39.218189
314,5.233333,39.224419
315,5.25,39.230643
316,5.266667,39.236863
317,5.283333,39.243077
318,5.3,39.249287
319,5.316667,39.255491
320,5.333333,39.26169
321,5.35,39.267885
322,5.366667,39.274074
323,5.383333,39.280259
324,5.4,39.286438
325,5.416667,39.292613
326,5.433333,39.298782
327,5.45,39.304947
328,5.466667,39.311107
329,5.483333,39.317261
330,5.5,39.323411
331,5.516667,39.329556
332,5.533333,39.335696
333,5.55,39.341831
334,5.566667,39.347961
335,5.583333,39.354086
336,5.6,39.360206
337,5.616667,39.366321
338,5.633333,39.372432
339,5.65,39.378537
340,5.666667,39.384638
341,5.683333,39.390733
342,5.7,39.396824
343,5.716667,39.40291
344,5.733333,39.40899
345,5.75,39.415066
346,5.766667,39.421138
347,5.783333,39.427204
348,5.8,39.433265
349,5.816667,39.439322
350,5.833333,39.445373
351,5.85,39.45142
352,5.866667,39.457462
353,5.883333,39.463499
354,5.9,39.469531
355,5.916667,39.475558
356,5.933333,39.481581
357,5.95,39.487598
358,5.966667,39.493611
359,5.983333,39.499619
360,6.0,39.505622
361,6.016667,39.51162
362,6.033333,39.517614
363,6.05,39.523602
364,6.066667,39.529586
365,6.083333,39.535565
366,6.1,39.541539
367,6.116667,39.547509
368,6.133333,39.553473
369,6.15,39.559433
370,6.166667,39.565388
371,6.183333,39.571338
372,6.2,39.577284
373,6.216667,39.583224
374,6.233333,39.58916
375,6.25,39.595091
376,6.266667,39.601018
377,6.283333,39.606939
378,6.3,39.612856
379,6.316667,39.618768
380,6.333333,39.624675
381,6.35,39.630578
382,6.366667,39.636476
383,6.383333,39.642369
384,6.4,39.648257
385,6.416667,39.654141
386,6.433333,39.660019
387,6.45,39.665894
388,6.466667,39.671763
389,6.483333,39.677628
390,6.5,39.683488
391,6.516667,39.689343
392,6.533333,39.695193
393,6.55,39.701039
394,6.566667,39.70688
395,6.583333,39.712717
396,6.6,39.718548
397,6.616667,39.724375
398,6.633333,39.730198
399,6.65,39.736015
400,6.666667,39.741828
401,6.683333,39.747637
402,6.7,39.75344
403,6.716667,39.759239
404,6.733333,39.765034
405,6.75,39.770823
406,6.766667,39.776608
407,6.783333,39.782389
408,6.8,39.788164
409,6.816667,39.793935
410,6.833333,39.799702
411,6.85,39.805463
412,6.866667,39.811221
413,6.883333,39.816973
414,6.9,39.822721
415,6.916667,39.828464
416,6.933333,39.834203
417,6.95,39.839937
418,6.966667,39.845666
419,6.983333,39.851391
420,7.0,39.857111
421,7.016667,39.862827
422,7.033333,39.868538
423,7.05,39.874244
424,7.066667,39.879946
425,7.083333,39.885643
426,7.1,39.891336
427,7.116667,39.897024
428,7.133333,39.902708
429,7.15,39.908386
430,7.166667,39.914061
431,7.183333,39.919731
432,7.2,39.925396
433,7.216667,39.931057
434,7.233333,39.936713
435,7.25,39.942364
436,7.266667,39.948011
437,7.283333,39.953654
438,7.3,39.959292
439,7.316667,39.964925
440,7.333333,39.970554
441,7.35,39.976178
442,7.366667,39.981798
443,7.383333,39.987414
444,7.4,39.993024
445,7.416667,39.998631
446,7.433333,40.004232
447,7.45,40.00983
448,7.466667,40.015422
449,7.483333,40.021011
450,7.5,40.026595
451,7.516667,40.032174
452,7.533333,40.037749
453,7.55,40.043319
454,7.566667,40.048885
455,7.583333,40.054446
456,7.6,40.060003
457,7.616667,40.065555
458,7.633333,40.071103
459,7.65,40.076647
460,7.666667,40.082186
461,7.683333,40.08772
462,7.7,40.093251
463,7.716667,40.098776
464,7.733333,40.104298
465,7.75,40.109814
466,7.766667,40.115327
467,7.783333,40.120835
468,7.8,40.126338
469,7.816667,40.131837
470,7.833333,40.137332
471,7.85,40.142822
472,7.866667,40.148308
473,7.883333,40.153789
474,7.9,40.159266
475,7.916667,40.164739
476,7.933333,40.170207
477,7.95,40.175671
478,7.966667,40.18113
479,7.983333,40.186585
480,8.0,40.192036
481,8.016667,40.197482
482,8.033333,40.202924
483,8.05,40.208361
484,8.066667,40.213795
485,8.083333,40.219223
486,8.1,40.224648
487,8.116667,40.230068
488,8.133333,40.235483
489,8.15,40.240895
490,8.166667,40.246302
491,8.183333,40.251704
492,8.2,40.257102
493,8.216667,40.262496
494,8.233333,40.267886
495,8.25,40.273271
496,8.266667,40.278652
497,8.283333,40.284029
498,8.3,40.289401
499,8.316667,40.294769
500,8.333333,40.300132
501,8.35,40.305492
502,8.366667,40.310847
503,8.383333,40.316197
504,8.4,40.321544
505,8.416667,40.326886
506,8.433333,40.332224
507,8.45,40.337557
508,8.466667,40.342886
509,8.483333,40.348211
510,8.5,40.353532
511,8.516667,40.358848
512,8.533333,40.36416
513,8.55,40.369468
514,8.566667,40.374772
515,8.583333,40.380071
516,8.6,40.385366
517,8.616667,40.390657
518,8.633333,40.395943
519,8.65,40.401225
520,8.666667,40.406503
521,8.683333,40.411777
522,8.7,40.417047
523,8.716667,40.422312
524,8.733333,40.427573
525,8.75,40.43283
526,8.766667,40.438082
527,8.783333,40.443331
528,8.8,40.448575
529,8.816667,40.453815
530,8.833333,40.459051
531,8.85,40.464282
532,8.866667,40.469509
533,8.883333,40.474732
534,8.9,40.479951
535,8.916667,40.485166
536,8.933333,40.490376
537,8.95,40.495583
538,8.966667,40.500785
539,8.983333,40.505983
540,9.0,40.511177
541,9.016667,40.516366
542,9.033333,40.521551
543,9.05,40.526733
544,9.066667,40.53191
545,9.083333,40.537083
546,9.1,40.542251
547,9.116667,40.547416
548,9.133333,40.552576
549,9.15,40.557733
550,9.166667,40.562885
551,9.183333,40.568033
552,9.2,40.573177
553,9.216667,40.578316
554,9.233333,40.583452
555,9.25,40.588583
556,9.266667,40.593711
557,9.283333,40.598834
558,9.3,40.603953
559,9.316667,40.609068
560,9.333333,40.614179
561,9.35,40.619285
562,9.366667,40.624388
563,9.383333,40.629487
564,9.4,40.634581
565,9.416667,40.639671
566,9.433333,40.644758
567,9.45,40.64984
568,9.466667,40.654918
569,9.483333,40.659992
570,9.5,40.665062
571,9.516667,40.670127
572,9.533333,40.675189
573,9.55,40.680247
574,9.566667,40.6853
575,9.583333,40.69035
576,9.6,40.695395
577,9.616667,40.700437
578,9.633333,40.705474
579,9.65,40.710508
580,9.666667,40.715537
581,9.683333,40.720562
582,9.7,40.725583
583,9.716667,40.7306
584,9.733333,40.735613
585,9.75,40.740623
586,9.766667,40.745628
587,9.783333,40.750629
588,9.8,40.755626
589,9.816667,40.760619
590,9.833333,40.765608
591,9.85,40.770592
592,9.866667,40.775573
593,9.883333,40.78055
594,9.9,40.785523
595,9.916667,40.790492
596,9.933333,40.795457
597,9.95,40.800418
598,9.966667,40.805375
599,9.983333,40.810328
600,10.0,40.815277
601,10.016667,40.820222
602,10.033333,40.825163
603,10.05,40.8301
604,10.066667,40.835033
605,10.083333,40.839962
606,10.1,40.844887
607,10.116667,40.849809
608,10.133333,40.854726
609,10.15,40.859639
610,10.166667,40.864548
611,10.183333,40.869454
612,10.2,40.874355
613,10.216667,40.879253
614,10.233333,40.884146
615,10.25,40.889036
616,10.266667,40.893922
617,10.283333,40.898803
618,10.3,40.903681
619,10.316667,40.908555
620,10.333333,40.913425
621,10.35,40.918291
622,10.366667,40.923153
623,10.383333,40.928011
624,10.4,40.932866
625,10.416667,40.937716
626,10.433333,40.942563
627,10.45,40.947405
628,10.466667,40.952244
629,10.483333,40.957079
630,10.5,40.96191
631,10.516667,40.966737
632,10.533333,40.97156
633,10.55,40.97638
634,10.566667,40.981195
635,10.583333,40.986007
636,10.6,40.990814
637,10.616667,40.995618
638,10.633333,41.000418
639,10.65,41.005214
640,10.666667,41.010006
641,10.683333,41.014795
642,10.7,41.019579
643,10.716667,41.02436
644,10.733333,41.029137
645,10.75,41.03391
646,10.766667,41.038679
647,10.783333,41.043444
648,10.8,41.048206
649,10.816667,41.052964
650,10.833333,41.057717
651,10.85,41.062467
652,10.866667,41.067214
653,10.883333,41.071956
654,10.9,41.076695
655,10.916667,41.081429
656,10.933333,41.08616
657,10.95,41.090887
658,10.966667,41.095611
659,10.983333,41.10033
660,11.0,41.105046
661,11.016667,41.109758
662,11.033333,41.114466
663,11.05,41.119171
664,11.066667,41.123871
665,11.083333,41.128568
666,11.1,41.133261
667,11.116667,41.13795
668,11.133333,41.142636
669,11.15,41.147318
670,11.166667,41.151996
671,11.183333,41.15667
672,11.2,41.16134
673,11.216667,41.166007
674,11.233333,41.17067
675,11.25,41.175329
676,11.266667,41.179984
677,11.283333,41.184636
678,11.3,41.189284
679,11.316667,41.193928
680,11.333333,41.198569
681,11.35,41.203205
682,11.366667,41.207838
683,11.383333,41.212468
684,11.4,41.217093
685,11.416667,41.221715
686,11.433333,41.226333
687,11.45,41.230948
688,11.466667,41.235558
689,11.483333,41.240165
690,11.5,41.244769
691,11.516667,41.249368
692,11.533333,41.253964
693,11.55,41.258556
694,11.566667,41.263145
695,11.583333,41.26773
696,11.6,41.272311
697,11.616667,41.276888
698,11.633333,41.281462
699,11.65,41.286032
700,11.666667,41.290599
701,11.683333,41.295161
702,11.7,41.29972
703,11.716667,41.304276
704,11.733333,41.308827
705,11.75,41.313376
706,11.766667,41.31792
707,11.783333,41.322461
708,11.8,41.326998
709,11.816667,41.331531
710,11.833333,41.336061
711,11.85,41.340587
712,11.866667,41.34511
713,11.883333,41.349629
714,11.9,41.354144
715,11.916667,41.358656
716,11.933333,41.363164
717,11.95,41.367668
718,11.966667,41.372169
719,11.983333,41.376666
720,12.0,41.381159
721,12.016667,41.385649
722,12.033333,41.390135
723,12.05,41.394618
724,12.066667,41.399097
725,12.083333,41.403573
726,12.1,41.408045
727,12.116667,41.412513
728,12.133333,41.416978
729,12.15,41.421439
730,12.166667,41.425896
731,12.183333,41.43035
732,12.2,41.4348
733,12.216667,41.439247
734,12.233333,41.44369
735,12.25,41.44813
736,12.266667,41.452566
737,12.283333,41.456998
738,12.3,41.461427
739,12.316667,41.465853
740,12.333333,41.470274
741,12.35,41.474693
742,12.366667,41.479107
743,12.383333,41.483518
744,12.4,41.487926
745,12.416667,41.49233
746,12.433333,41.496731
747,12.45,41.501128
748,12.466667,41.505521
749,12.483333,41.509911
750,12.5,41.514297
751,12.516667,41.51868
752,12.533333,41.523059
753,12.55,41.527435
754,12.566667,41.531807
755,12.583333,41.536176
756,12.6,41.540541
757,12.616667,41.544903
758,12.633333,41.549261
759,12.65,41.553616
760,12.666667,41.557967
761,12.683333,41.562315
762,12.7,41.566659
763,12.716667,41.571
764,12.733333,41.575337
765,12.75,41.579671
766,12.766667,41.584001
767,12.783333,41.588328
768,12.8,41.592651
769,12.816667,41.596971
770,12.833333,41.601287
771,12.85,41.6056
772,12.866667,41.609909
773,12.883333,41.614215
774,12.9,41.618518
775,12.916667,41.622817
776,12.933333,41.627112
777,12.95,41.631404
778,12.966667,41.635693
779,12.983333,41.639978
780,13.0,41.64426
781,13.016667,41.648538
782,13.033333,41.652813
783,13.05,41.657085
784,13.066667,41.661353
785,13.083333,41.665617
786,13.1,41.669878
787,13.116667,41.674136
788,13.133333,41.67839
789,13.15,41.682641
790,13.166667,41.686889
791,13.183333,41.691133
792,13.2,41.695373
793,13.216667,41.69961
794,13.233333,41.703844
795,13.25,41.708075
796,13.266667,41.712302
797,13.283333,41.716525
798,13.3,41.720745
799,13.316667,41.724962
800,13.333333,41.729176
801,13.35,41.733386
802,13.366667,41.737592
803,13.383333,41.741795
804,13.4,41.745995
805,13.416667,41.750192
806,13.433333,41.754385
807,13.45,41.758575
808,13.466667,41.762761
809,13.483333,41.766944
810,13.5,41.771124
811,13.516667,41.7753
812,13.533333,41.779473
813,13.55,41.783642
814,13.566667,41.787809
815,13.583333,41.791971
816,13.6,41.796131
817,13.616667,41.800287
818,13.633333,41.80444
819,13.65,41.808589
820,13.666667,41.812736
821,13.683333,41.816878
822,13.7,41.821018
823,13.716667,41.825154
824,13.733333,41.829287
825,13.75,41.833416
826,13.766667,41.837542
827,13.783333,41.841665
828,13.8,41.845785
829,13.816667,41.849901
830,13.833333,41.854014
831,13.85,41.858124
832,13.866667,41.86223
833,13.883333,41.866333
834,13.9,41.870433
835,13.916667,41.874529
836,13.933333,41.878622
837,13.95,41.882712
838,13.966667,41.886798
839,13.983333,41.890882
840,14.0,41.894962
841,14.016667,41.899038
842,14.033333,41.903112
843,14.05,41.907182
844,14.066667,41.911249
845,14.083333,41.915312
846,14.1,41.919373
847,14.116667,41.92343
848,14.133333,41.927483
849,14.15,41.931534
850,14.166667,41.935581
851,14.183333,41.939625
852,14.2,41.943666
853,14.216667,41.947704
854,14.233333,41.951738
855,14.25,41.955769
856,14.266667,41.959797
857,14.283333,41.963821
858,14.3,41.967842
859,14.316667,41.971861
860,14.333333,41.975875
861,14.35,41.979887
862,14.366667,41.983895
863,14.383333,41.9879
864,14.4,41.991902
865,14.416667,41.995901
866,14.433333,41.999897
867,14.45,42.003889
868,14.466667,42.007878
869,14.483333,42.011864
870,14.5,42.015847
871,14.516667,42.019826
872,14.533333,42.023802
873,14.55,42.027775
874,14.566667,42.031745
875,14.583333,42.035712
876,14.6,42.039675
877,14.616667,42.043636
878,14.633333,42.047593
879,14.65,42.051547
880,14.666667,42.055497
881,14.683333,42.059445
882,14.7,42.063389
883,14.716667,42.067331
884,14.733333,42.071269
885,14.75,42.075204
886,14.766667,42.079135
887,14.783333,42.083064
888,14.8,42.086989
889,14.816667,42.090911
890,14.833333,42.094831
891,14.85,42.098747
892,14.866667,42.102659
893,14.883333,42.106569
894,14.9,42.110475
895,14.916667,42.114379
896,14.933333,42.118279
897,14.95,42.122176
898,14.966667,42.12607
899,14.983333,42.129961
900,15.0,42.133849
901,15.016667,42.137733
902,15.033333,42.141615
903,15.05,42.145493
904,15.066667,42.149368
905,15.083333,42.15324
906,15.1,42.157109
907,15.116667,42.160975
908,15.133333,42.164838
909,15.15,42.168697
910,15.166667,42.172554
911,15.183333,42.176407
912,15.2,42.180258
913,15.216667,42.184105
914,15.233333,42.187949
915,15.25,42.19179
916,15.266667,42.195628
917,15.283333,42.199463
918,15.3,42.203295
919,15.316667,42.207123
920,15.333333,42.210949
921,15.35,42.214772
922,15.366667,42.218591
923,15.383333,42.222407
924,15.4,42.226221
925,15.416667,42.230031
926,15.433333,42.233838
927,15.45,42.237642
928,15.466667,42.241443
929,15.483333,42.245241
930,15.5,42.249036
931,15.516667,42.252828
932,15.533333,42.256617
933,15.55,42.260403
934,15.566667,42.264186
935,15.583333,42.267966
936,15.6,42.271742
937,15.616667,42.275516
938,15.633333,42.279287
939,15.65,42.283054
940,15.666667,42.286819
941,15.683333,42.29058
942,15.7,42.294339
943,15.716667,42.298094
944,15.733333,42.301847
945,15.75,42.305596
946,15.766667,42.309343
947,15.783333,42.313086
948,15.8,42.316826
949,15.816667,42.320564
950,15.833333,42.324298
951,15.85,42.32803
952,15.866667,42.331758
953,15.883333,42.335483
954,15.9,42.339206
955,15.916667,42.342925
956,15.933333,42.346642
957,15.95,42.350355
958,15.966667,42.354065
959,15.983333,42.357773
960,16.0,42.361477
961,16.016667,42.365179
962,16.033333,42.368877
963,16.05,42.372573
964,16.066667,42.376265
965,16.083333,42.379955
966,16.1,42.383642
967,16.116667,42.387325
968,16.133333,42.391006
969,16.15,42.394684
970,16.166667,42.398359
971,16.183333,42.40203
972,16.2,42.405699
973,16.216667,42.409365
974,16.233333,42.413028
975,16.25,42.416688
976,16.266667,42.420345
977,16.283333,42.423999
978,16.3,42.427651
979,16.316667,42.431299
980,16.333333,42.434944
981,16.35,42.438587
982,16.366667,42.442226
983,16.383333,42.445863
984,16.4,42.449496
985,16.416667,42.453127
986,16.433333,42.456755
987,16.45,42.46038
988,16.466667,42.464002
989,16.483333,42.467621
990,16.5,42.471237
991,16.516667,42.47485
992,16.533333,42.47846
993,16.55,42.482068
994,16.566667,42.485672
995,16.583333,42.489274
996,16.6,42.492873
997,16.616667,42.496468
998,16.633333,42.500061
999,16.65,42.503651
1000,16.666667,42.507238
1001,16.683333,42.510823
1002,16.7,42.514404
1003,16.716667,42.517983
1004,16.733333,42.521558
1005,16.75,42.525131
1006,16.766667,42.528701
1007,16.783333,42.532268
1008,16.8,42.535832
1009,16.816667,42.539393
1010,16.833333,42.542952
1011,16.85,42.546507
1012,16.866667,42.55006
1013,16.883333,42.55361
1014,16.9,42.557157
1015,16.916667,42.560701
1016,16.933333,42.564242
1017,16.95,42.56778
1018,16.966667,42.571316
1019,16.983333,42.574849
1020,17.0,42.578379
1021,17.016667,42.581906
1022,17.033333,42.58543
1023,17.05,42.588951
1024,17.066667,42.59247
1025,17.083333,42.595986
1026,17.1,42.599498
1027,17.116667,42.603009
1028,17.133333,42.606516
1029,17.15,42.61002
1030,17.166667,42.613522
1031,17.183333,42.617021
1032,17.2,42.620517
1033,17.216667,42.62401
1034,17.233333,42.6275
1035,17.25,42.630988
1036,17.266667,42.634472
1037,17.283333,42.637954
1038,17.3,42.641433
1039,17.316667,42.64491
1040,17.333333,42.648383
1041,17.35,42.651854
1042,17.366667,42.655322
1043,17.383333,42.658787
1044,17.4,42.66225
1045,17.416667,42.665709
1046,17.433333,42.669166
1047,17.45,42.67262
1048,17.466667,42.676071
1049,17.483333,42.67952
1050,17.5,42.682965
1051,17.516667,42.686408
1052,17.533333,42.689849
1053,17.55,42.693286
1054,17.566667,42.696721
1055,17.583333,42.700152
1056,17.6,42.703582
1057,17.616667,42.707008
1058,17.633333,42.710432
1059,17.65,42.713852
1060,17.666667,42.717271
1061,17.683333,42.720686
1062,17.7,42.724098
1063,17.716667,42.727508
1064,17.733333,42.730915
1065,17.75,42.73432
1066,17.766667,42.737721
1067,17.783333,42.74112
1068,17.8,42.744517
1069,17.816667,42.74791
1070,17.833333,42.751301
1071,17.85,42.754689
1072,17.866667,42.758074
1073,17.883333,42.761456
1074,17.9,42.764836
1075,17.916667,42.768213
1076,17.933333,42.771588
1077,17.95,42.774959
1078,17.966667,42.778328
1079,17.983333,42.781695
1080,18.0,42.785058
1081,18.016667,42.788419
1082,18.033333,42.791777
1083,18.05,42.795132
1084,18.066667,42.798485
1085,18.083333,42.801835
1086,18.1,42.805183
1087,18.116667,42.808527
1088,18.133333,42.811869
1089,18.15,42.815208
1090,18.166667,42.818545
1091,18.183333,42.821879
1092,18.2,42.82521
1093,18.216667,42.828539
1094,18.233333,42.831865
1095,18.25,42.835188
1096,18.266667,42.838508
1097,18.283333,42.841826
1098,18.3,42.845141
1099,18.316667,42.848454
1100,18.333333,42.851764
1101,18.35,42.855071
1102,18.366667,42.858375
1103,18.383333,42.861677
1104,18.4,42.864976
1105,18.416667,42.868273
1106,18.433333,42.871567
1107,18.45,42.874858
1108,18.466667,42.878147
1109,18.483333,42.881433
1110,18.5,42.884716
1111,18.516667,42.887997
1112,18.533333,42.891275
1113,18.55,42.89455
1114,18.566667,42.897823
1115,18.583333,42.901093
1116,18.6,42.904361
1117,18.616667,42.907625
1118,18.633333,42.910888
1119,18.65,42.914147
1120,18.666667,42.917404
1121,18.683333,42.920659
1122,18.7,42.923911
1123,18.716667,42.92716
1124,18.733333,42.930406
1125,18.75,42.93365
1126,18.766667,42.936892
1127,18.783333,42.94013
1128,18.8,42.943366
1129,18.816667,42.9466
1130,18.833333,42.949831
1131,18.85,42.953059
1132,18.866667,42.956285
1133,18.883333,42.959508
1134,18.9,42.962728
1135,18.916667,42.965946
1136,18.933333,42.969162
1137,18.95,42.972375
1138,18.966667,42.975585
1139,18.983333,42.978792
1140,19.0,42.981997
1141,19.016667,42.9852
1142,19.033333,42.9884
1143,19.05,42.991597
1144,19.066667,42.994792
1145,19.083333,42.997984
1146,19.1,43.001173
1147,19.116667,43.00436
1148,19.133333,43.007545
1149,19.15,43.010727
1150,19.166667,43.013906
1151,19.183333,43.017083
1152,19.2,43.020257
1153,19.216667,43.023429
1154,19.233333,43.026598
1155,19.25,43.029765
1156,19.266667,43.032929
1157,19.283333,43.03609
1158,19.3,43.039249
1159,19.316667,43.042405
1160,19.333333,43.045559
1161,19.35,43.048711
1162,19.366667,43.051859
1163,19.383333,43.055006
1164,19.4,43.058149
1165,19.416667,43.061291
1166,19.433333,43.064429
1167,19.45,43.067565
1168,19.466667,43.070699
1169,19.483333,43.07383
1170,19.5,43.076959
1171,19.516667,43.080085
1172,19.533333,43.083208
1173,19.55,43.086329
1174,19.566667,43.089448
1175,19.583333,43.092564
1176,19.6,43.095677
1177,19.616667,43.098788
1178,19.633333,43.101897
1179,19.65,43.105003
1180,19.666667,43.108107
