array_spacing_m,detonation_depth_m,hit_probability
30.0,225.0,0.11639404
30.0,230.0,0.1126709
30.0,235.0,0.10961914
30.0,240.0,0.1072998
30.0,245.0,0.10522461
30.0,250.0,0.10290527
30.0,255.0,0.10137939
30.0,260.0,0.10028076
30.0,265.0,0.09936523
30.0,270.0,0.09875488
30.0,275.0,0.0982666
30.0,280.0,0.09771729
30.0,285.0,0.09735107
30.0,290.0,0.097229
30.0,295.0,0.0970459
30.0,300.0,0.09686279
30.0,305.0,0.09674072
30.0,310.0,0.09661865
30.0,315.0,0.09655762
30.0,320.0,0.09655762
30.0,325.0,0.09655762
30.0,330.0,0.09655762
30.0,335.0,0.09655762
30.0,340.0,0.09655762
30.0,345.0,0.09655762
30.0,350.0,0.09655762
30.0,355.0,0.09655762
30.0,360.0,0.09655762
35.0,115.0,0.07580566
35.0,120.0,0.09124756
35.0,125.0,0.10784912
35.0,130.0,0.12414551
35.0,135.0,0.13873291
35.0,140.0,0.15301514
35.0,145.0,0.16558838
35.0,150.0,0.17681885
35.0,155.0,0.18188477
35.0,160.0,0.18395996
35.0,165.0,0.18450928
35.0,170.0,0.18334961
35.0,175.0,0.17993164
35.0,180.0,0.17626953
35.0,185.0,0.17156982
35.0,190.0,0.16595459
35.0,195.0,0.15966797
35.0,200.0,0.15283203
35.0,205.0,0.14648438
35.0,210.0,0.14099121
35.0,215.0,0.13513184
35.0,220.0,0.12902832
35.0,225.0,0.12426758
35.0,230.0,0.11987305
35.0,235.0,0.11669922
35.0,240.0,0.11352539
35.0,245.0,0.1105957
35.0,250.0,0.10876465
35.0,255.0,0.10717773
35.0,260.0,0.10540771
35.0,265.0,0.10443115
35.0,270.0,0.10351562
35.0,275.0,0.10284424
35.0,280.0,0.10235596
35.0,285.0,0.10186768
35.0,290.0,0.10162354
35.0,295.0,0.10144043
35.0,300.0,0.10125732
35.0,305.0,0.10113525
35.0,310.0,0.10107422
35.0,315.0,0.10107422
35.0,320.0,0.10101318
35.0,325.0,0.10101318
35.0,330.0,0.10101318
35.0,335.0,0.10101318
35.0,340.0,0.10101318
35.0,345.0,0.10101318
35.0,350.0,0.10101318
35.0,355.0,0.10101318
35.0,360.0,0.10101318
40.0,115.0,0.08349609
40.0,120.0,0.10131836
40.0,125.0,0.1192627
40.0,130.0,0.13647461
40.0,135.0,0.15350342
40.0,140.0,0.17010498
40.0,145.0,0.18395996
40.0,150.0,0.19616699
40.0,155.0,0.20172119
40.0,160.0,0.20385742
40.0,165.0,0.20355225
40.0,170.0,0.20159912
40.0,175.0,0.19842529
40.0,180.0,0.19311523
40.0,185.0,0.18615723
40.0,190.0,0.18029785
40.0,195.0,0.17297363
40.0,200.0,0.16540527
40.0,205.0,0.15844727
40.0,210.0,0.15112305
40.0,215.0,0.14447021
40.0,220.0,0.13800049
40.0,225.0,0.13287354
40.0,230.0,0.12774658
40.0,235.0,0.12347412
40.0,240.0,0.1194458
40.0,245.0,0.1161499
40.0,250.0,0.11376953
40.0,255.0,0.11187744
40.0,260.0,0.11010742
40.0,265.0,0.10882568
40.0,270.0,0.10791016
40.0,275.0,0.1071167
40.0,280.0,0.10656738
40.0,285.0,0.10614014
40.0,290.0,0.10571289
40.0,295.0,0.10559082
40.0,300.0,0.10534668
40.0,305.0,0.10528564
40.0,310.0,0.10516357
40.0,315.0,0.10516357
40.0,320.0,0.10516357
40.0,325.0,0.10516357
40.0,330.0,0.10510254
40.0,335.0,0.10510254
40.0,340.0,0.10510254
40.0,345.0,0.10510254
40.0,350.0,0.10510254
40.0,355.0,0.10510254
40.0,360.0,0.10510254
45.0,115.0,0.0914917
45.0,120.0,0.1105957
45.0,125.0,0.12988281
45.0,130.0,0.14935303
45.0,135.0,0.16827393
45.0,140.0,0.18554688
45.0,145.0,0.20123291
45.0,150.0,0.2154541
45.0,155.0,0.22058105
45.0,160.0,0.22247314
45.0,165.0,0.2220459
45.0,170.0,0.21917725
45.0,175.0,0.21447754
45.0,180.0,0.2088623
45.0,185.0,0.20214844
45.0,190.0,0.19464111
45.0,195.0,0.18688965
45.0,200.0,0.17797852
45.0,205.0,0.16943359
45.0,210.0,0.16149902
45.0,215.0,0.15338135
45.0,220.0,0.14648438
45.0,225.0,0.14007568
45.0,230.0,0.13391113
45.0,235.0,0.12927246
45.0,240.0,0.12487793
45.0,245.0,0.12158203
45.0,250.0,0.1182251
45.0,255.0,0.1161499
45.0,260.0,0.11431885
45.0,265.0,0.11291504
45.0,270.0,0.11187744
45.0,275.0,0.11090088
45.0,280.0,0.1104126
45.0,285.0,0.10992432
45.0,290.0,0.10961914
45.0,295.0,0.109375
45.0,300.0,0.10925293
45.0,305.0,0.10900879
45.0,310.0,0.10888672
45.0,315.0,0.10888672
45.0,320.0,0.10888672
45.0,325.0,0.10888672
45.0,330.0,0.10888672
45.0,335.0,0.10882568
45.0,340.0,0.10882568
45.0,345.0,0.10882568
45.0,350.0,0.10882568
45.0,355.0,0.10882568
45.0,360.0,0.10882568
50.0,115.0,0.0982666
50.0,120.0,0.11975098
50.0,125.0,0.14086914
50.0,130.0,0.16217041
50.0,135.0,0.18231201
50.0,140.0,0.20227051
50.0,145.0,0.21905518
50.0,150.0,0.23339844
50.0,155.0,0.23931885
50.0,160.0,0.24121094
50.0,165.0,0.23895264
50.0,170.0,0.23718262
50.0,175.0,0.23193359
50.0,180.0,0.22406006
50.0,185.0,0.21624756
50.0,190.0,0.2074585
50.0,195.0,0.19891357
50.0,200.0,0.1895752
50.0,205.0,0.17956543
50.0,210.0,0.17089844
50.0,215.0,0.16223145
50.0,220.0,0.15423584
50.0,225.0,0.14733887
50.0,230.0,0.140625
50.0,235.0,0.13549805
50.0,240.0,0.13067627
50.0,245.0,0.12695312
50.0,250.0,0.12316895
50.0,255.0,0.12042236
50.0,260.0,0.1182251
50.0,265.0,0.11657715
50.0,270.0,0.11566162
50.0,275.0,0.11468506
50.0,280.0,0.11401367
50.0,285.0,0.11334229
50.0,290.0,0.11303711
50.0,295.0,0.11291504
50.0,300.0,0.11260986
50.0,305.0,0.11248779
50.0,310.0,0.11236572
50.0,315.0,0.11236572
50.0,320.0,0.11224365
50.0,325.0,0.11224365
50.0,330.0,0.11224365
50.0,335.0,0.11224365
50.0,340.0,0.11218262
50.0,345.0,0.11218262
50.0,350.0,0.11218262
50.0,355.0,0.11218262
50.0,360.0,0.11218262
55.0,115.0,0.10479736
55.0,120.0,0.12792969
55.0,125.0,0.15148926
55.0,130.0,0.17407227
55.0,135.0,0.19592285
55.0,140.0,0.21685791
55.0,145.0,0.23620605
55.0,150.0,0.25073242
55.0,155.0,0.25567627
55.0,160.0,0.25720215
55.0,165.0,0.25671387
55.0,170.0,0.25274658
55.0,175.0,0.24676514
55.0,180.0,0.23815918
55.0,185.0,0.23071289
55.0,190.0,0.22113037
55.0,195.0,0.2097168
55.0,200.0,0.19921875
55.0,205.0,0.18859863
55.0,210.0,0.17877197
55.0,215.0,0.16937256
55.0,220.0,0.16064453
55.0,225.0,0.15289307
55.0,230.0,0.14587402
55.0,235.0,0.13928223
55.0,240.0,0.13513184
55.0,245.0,0.13061523
55.0,250.0,0.12701416
55.0,255.0,0.12408447
55.0,260.0,0.12182617
55.0,265.0,0.11993408
55.0,270.0,0.11895752
55.0,275.0,0.11816406
55.0,280.0,0.1171875
55.0,285.0,0.11663818
55.0,290.0,0.11621094
55.0,295.0,0.1159668
55.0,300.0,0.11572266
55.0,305.0,0.11566162
55.0,310.0,0.11553955
55.0,315.0,0.11547852
55.0,320.0,0.11541748
55.0,325.0,0.11535645
55.0,330.0,0.11535645
55.0,335.0,0.11535645
55.0,340.0,0.11529541
55.0,345.0,0.11529541
55.0,350.0,0.11529541
55.0,355.0,0.11529541
55.0,360.0,0.11529541
60.0,115.0,0.10888672
60.0,120.0,0.13439941
60.0,125.0,0.16015625
60.0,130.0,0.18463135
60.0,135.0,0.20733643
60.0,140.0,0.2300415
60.0,145.0,0.24951172
60.0,150.0,0.26391602
60.0,155.0,0.26959229
60.0,160.0,0.27050781
60.0,165.0,0.26904297
60.0,170.0,0.26580811
60.0,175.0,0.25878906
60.0,180.0,0.25030518
60.0,185.0,0.24206543
60.0,190.0,0.23150635
60.0,195.0,0.22009277
60.0,200.0,0.20782471
60.0,205.0,0.1965332
60.0,210.0,0.18707275
60.0,215.0,0.17565918
60.0,220.0,0.16638184
60.0,225.0,0.15838623
60.0,230.0,0.15032959
60.0,235.0,0.14416504
60.0,240.0,0.13885498
60.0,245.0,0.13397217
60.0,250.0,0.13018799
60.0,255.0,0.1272583
60.0,260.0,0.12487793
60.0,265.0,0.1227417
60.0,270.0,0.12145996
60.0,275.0,0.12072754
60.0,280.0,0.11981201
60.0,285.0,0.11907959
60.0,290.0,0.11865234
60.0,295.0,0.1184082
60.0,300.0,0.11816406
60.0,305.0,0.11810303
60.0,310.0,0.11798096
60.0,315.0,0.11785889
60.0,320.0,0.11779785
60.0,325.0,0.11773682
60.0,330.0,0.11773682
60.0,335.0,0.11773682
60.0,340.0,0.11773682
60.0,345.0,0.11773682
60.0,350.0,0.11773682
60.0,355.0,0.11773682
60.0,360.0,0.11773682
65.0,115.0,0.11047363
65.0,120.0,0.13598633
65.0,125.0,0.16204834
65.0,130.0,0.18701172
65.0,135.0,0.20996094
65.0,140.0,0.23242188
65.0,145.0,0.25299072
65.0,150.0,0.26635742
65.0,155.0,0.27313232
65.0,160.0,0.27502441
65.0,165.0,0.27264404
65.0,170.0,0.26989746
65.0,175.0,0.26123047
65.0,180.0,0.25445557
65.0,185.0,0.24511719
65.0,190.0,0.23388672
65.0,195.0,0.22283936
65.0,200.0,0.21063232
65.0,205.0,0.19940186
65.0,210.0,0.1897583
65.0,215.0,0.17767334
65.0,220.0,0.16827393
65.0,225.0,0.16040039
65.0,230.0,0.15264893
65.0,235.0,0.14660645
65.0,240.0,0.14123535
65.0,245.0,0.13635254
65.0,250.0,0.1328125
65.0,255.0,0.12957764
65.0,260.0,0.12719727
65.0,265.0,0.12530518
65.0,270.0,0.1237793
65.0,275.0,0.12280273
65.0,280.0,0.12207031
65.0,285.0,0.12133789
65.0,290.0,0.12072754
65.0,295.0,0.1204834
65.0,300.0,0.12023926
65.0,305.0,0.12005615
65.0,310.0,0.11999512
65.0,315.0,0.11987305
65.0,320.0,0.11987305
65.0,325.0,0.11987305
65.0,330.0,0.11987305
65.0,335.0,0.11987305
65.0,340.0,0.11987305
65.0,345.0,0.11987305
65.0,350.0,0.11987305
65.0,355.0,0.11987305
65.0,360.0,0.11987305
70.0,115.0,0.11151123
70.0,120.0,0.13806152
70.0,125.0,0.16351318
70.0,130.0,0.18817139
70.0,135.0,0.21246338
70.0,140.0,0.23535156
70.0,145.0,0.25604248
70.0,150.0,0.2701416
70.0,155.0,0.27612305
70.0,160.0,0.27789307
70.0,165.0,0.27575684
70.0,170.0,0.2713623
70.0,175.0,0.26446533
70.0,180.0,0.25646973
70.0,185.0,0.24719238
70.0,190.0,0.23730469
70.0,195.0,0.22601318
70.0,200.0,0.21392822
70.0,205.0,0.20263672
70.0,210.0,0.19207764
70.0,215.0,0.18121338
70.0,220.0,0.17120361
70.0,225.0,0.16259766
70.0,230.0,0.15515137
70.0,235.0,0.14862061
70.0,240.0,0.14312744
70.0,245.0,0.13842773
70.0,250.0,0.13421631
70.0,255.0,0.13165283
70.0,260.0,0.12890625
70.0,265.0,0.1270752
70.0,270.0,0.12567139
70.0,275.0,0.12463379
70.0,280.0,0.1239624
70.0,285.0,0.12347412
70.0,290.0,0.12280273
70.0,295.0,0.12255859
70.0,300.0,0.12225342
70.0,305.0,0.12219238
70.0,310.0,0.12213135
70.0,315.0,0.12200928
70.0,320.0,0.12200928
70.0,325.0,0.12200928
70.0,330.0,0.12200928
70.0,335.0,0.12200928
70.0,340.0,0.12200928
70.0,345.0,0.12200928
70.0,350.0,0.12200928
70.0,355.0,0.12200928
70.0,360.0,0.12200928
75.0,115.0,0.11297607
75.0,120.0,0.13812256
75.0,125.0,0.16485596
75.0,130.0,0.18939209
75.0,135.0,0.21429443
75.0,140.0,0.23724365
75.0,145.0,0.25756836
75.0,150.0,0.27185059
75.0,155.0,0.27935791
75.0,160.0,0.28027344
75.0,165.0,0.2767334
75.0,170.0,0.27355957
75.0,175.0,0.26727295
75.0,180.0,0.25878906
75.0,185.0,0.24981689
75.0,190.0,0.23883057
75.0,195.0,0.22698975
75.0,200.0,0.21563721
75.0,205.0,0.20367432
75.0,210.0,0.19372559
75.0,215.0,0.18328857
75.0,220.0,0.17285156
75.0,225.0,0.16546631
75.0,230.0,0.15716553
75.0,235.0,0.15039062
75.0,240.0,0.14428711
75.0,245.0,0.14025879
75.0,250.0,0.13580322
75.0,255.0,0.13299561
75.0,260.0,0.13049316
75.0,265.0,0.12866211
75.0,270.0,0.1272583
75.0,275.0,0.12640381
75.0,280.0,0.12561035
75.0,285.0,0.12493896
75.0,290.0,0.12445068
75.0,295.0,0.12414551
75.0,300.0,0.12390137
75.0,305.0,0.12365723
75.0,310.0,0.12347412
75.0,315.0,0.12347412
75.0,320.0,0.12347412
75.0,325.0,0.12347412
75.0,330.0,0.12347412
75.0,335.0,0.12347412
75.0,340.0,0.12347412
75.0,345.0,0.12347412
75.0,350.0,0.12347412
75.0,355.0,0.12347412
75.0,360.0,0.12347412
80.0,115.0,0.11315918
80.0,120.0,0.1383667
80.0,125.0,0.16503906
80.0,130.0,0.19042969
80.0,135.0,0.215271
80.0,140.0,0.23760986
80.0,145.0,0.25848389
80.0,150.0,0.27355957
80.0,155.0,0.28009033
80.0,160.0,0.28173828
80.0,165.0,0.27923584
80.0,170.0,0.27642822
80.0,175.0,0.26837158
80.0,180.0,0.26074219
80.0,185.0,0.25048828
80.0,190.0,0.23980713
80.0,195.0,0.22894287
80.0,200.0,0.21679688
80.0,205.0,0.20593262
80.0,210.0,0.19494629
80.0,215.0,0.18414307
80.0,220.0,0.17401123
80.0,225.0,0.16650391
80.0,230.0,0.15765381
80.0,235.0,0.15136719
80.0,240.0,0.14605713
80.0,245.0,0.14172363
80.0,250.0,0.1373291
80.0,255.0,0.1340332
80.0,260.0,0.13208008
80.0,265.0,0.12988281
80.0,270.0,0.12854004
80.0,275.0,0.12750244
80.0,280.0,0.12658691
80.0,285.0,0.12591553
80.0,290.0,0.12554932
80.0,295.0,0.12536621
80.0,300.0,0.12506104
80.0,305.0,0.12481689
80.0,310.0,0.12475586
80.0,315.0,0.12469482
80.0,320.0,0.12469482
80.0,325.0,0.12469482
80.0,330.0,0.12469482
80.0,335.0,0.12469482
80.0,340.0,0.12463379
80.0,345.0,0.12463379
80.0,350.0,0.12463379
80.0,355.0,0.12463379
80.0,360.0,0.12463379
85.0,115.0,0.11364746
85.0,120.0,0.13934326
85.0,125.0,0.16607666
85.0,130.0,0.19158936
85.0,135.0,0.2164917
85.0,140.0,0.2387085
85.0,145.0,0.25933838
85.0,150.0,0.27441406
85.0,155.0,0.28045654
85.0,160.0,0.28277588
85.0,165.0,0.27954102
85.0,170.0,0.27612305
85.0,175.0,0.26916504
85.0,180.0,0.26055908
85.0,185.0,0.2520752
85.0,190.0,0.24127197
85.0,195.0,0.23028564
85.0,200.0,0.21844482
85.0,205.0,0.20690918
85.0,210.0,0.19647217
85.0,215.0,0.18591309
85.0,220.0,0.17523193
85.0,225.0,0.1675415
85.0,230.0,0.15905762
85.0,235.0,0.15203857
85.0,240.0,0.14727783
85.0,245.0,0.14202881
85.0,250.0,0.13793945
85.0,255.0,0.13500977
85.0,260.0,0.13256836
85.0,265.0,0.13085938
85.0,270.0,0.12927246
85.0,275.0,0.12841797
85.0,280.0,0.12756348
85.0,285.0,0.12701416
85.0,290.0,0.12652588
85.0,295.0,0.12640381
85.0,300.0,0.12597656
85.0,305.0,0.12591553
85.0,310.0,0.12585449
85.0,315.0,0.12585449
85.0,320.0,0.12579346
85.0,325.0,0.12573242
85.0,330.0,0.12573242
85.0,335.0,0.12573242
85.0,340.0,0.12567139
85.0,345.0,0.12567139
85.0,350.0,0.12567139
85.0,355.0,0.12567139
85.0,360.0,0.12567139
90.0,115.0,0.11315918
90.0,120.0,0.13903809
90.0,125.0,0.16546631
90.0,130.0,0.19128418
90.0,135.0,0.21582031
90.0,140.0,0.23907471
90.0,145.0,0.25866699
90.0,150.0,0.2746582
90.0,155.0,0.28082275
90.0,160.0,0.28265381
90.0,165.0,0.27996826
90.0,170.0,0.27734375
90.0,175.0,0.26916504
90.0,180.0,0.26226807
90.0,185.0,0.25305176
90.0,190.0,0.2421875
90.0,195.0,0.23046875
90.0,200.0,0.21844482
90.0,205.0,0.20709229
90.0,210.0,0.19628906
90.0,215.0,0.18530273
90.0,220.0,0.17565918
90.0,225.0,0.1673584
90.0,230.0,0.15960693
90.0,235.0,0.15338135
90.0,240.0,0.14819336
90.0,245.0,0.14367676
90.0,250.0,0.13885498
90.0,255.0,0.13641357
90.0,260.0,0.13348389
90.0,265.0,0.13171387
90.0,270.0,0.13037109
90.0,275.0,0.12908936
90.0,280.0,0.128479
90.0,285.0,0.12774658
90.0,290.0,0.1272583
90.0,295.0,0.1270752
90.0,300.0,0.12658691
90.0,305.0,0.12652588
90.0,310.0,0.12640381
90.0,315.0,0.12640381
90.0,320.0,0.12634277
90.0,325.0,0.12628174
90.0,330.0,0.12628174
90.0,335.0,0.12628174
90.0,340.0,0.1262207
90.0,345.0,0.1262207
90.0,350.0,0.1262207
90.0,355.0,0.1262207
90.0,360.0,0.1262207
95.0,115.0,0.11401367
95.0,120.0,0.13922119
95.0,125.0,0.16607666
95.0,130.0,0.19091797
95.0,135.0,0.21514893
95.0,140.0,0.23834229
95.0,145.0,0.25952148
95.0,150.0,0.27331543
95.0,155.0,0.27984619
95.0,160.0,0.28088379
95.0,165.0,0.27978516
95.0,170.0,0.27618408
95.0,175.0,0.26898193
95.0,180.0,0.26019287
95.0,185.0,0.25177002
95.0,190.0,0.24133301
95.0,195.0,0.23016357
95.0,200.0,0.21789551
95.0,205.0,0.20672607
95.0,210.0,0.19665527
95.0,215.0,0.18597412
95.0,220.0,0.17578125
95.0,225.0,0.16790771
95.0,230.0,0.15997314
95.0,235.0,0.15344238
95.0,240.0,0.14715576
95.0,245.0,0.14349365
95.0,250.0,0.13922119
95.0,255.0,0.13586426
95.0,260.0,0.13336182
95.0,265.0,0.13165283
95.0,270.0,0.13024902
95.0,275.0,0.12915039
95.0,280.0,0.12860107
95.0,285.0,0.12786865
95.0,290.0,0.12744141
95.0,295.0,0.12713623
95.0,300.0,0.12683105
95.0,305.0,0.12664795
95.0,310.0,0.12658691
95.0,315.0,0.12652588
95.0,320.0,0.12652588
95.0,325.0,0.12646484
95.0,330.0,0.12646484
95.0,335.0,0.12640381
95.0,340.0,0.12640381
95.0,345.0,0.12640381
95.0,350.0,0.12640381
95.0,355.0,0.12640381
95.0,360.0,0.12640381
100.0,115.0,0.11248779
100.0,120.0,0.13848877
100.0,125.0,0.16534424
100.0,130.0,0.18945312
100.0,135.0,0.2131958
100.0,140.0,0.23718262
100.0,145.0,0.25805664
100.0,150.0,0.27276611
100.0,155.0,0.27929688
100.0,160.0,0.28070068
100.0,165.0,0.2789917
100.0,170.0,0.27618408
100.0,175.0,0.26867676
100.0,180.0,0.26000977
100.0,185.0,0.25048828
100.0,190.0,0.24060059
100.0,195.0,0.2288208
100.0,200.0,0.21759033
100.0,205.0,0.20568848
100.0,210.0,0.19622803
100.0,215.0,0.18585205
100.0,220.0,0.17523193
100.0,225.0,0.16748047
100.0,230.0,0.1595459
100.0,235.0,0.15332031
100.0,240.0,0.14776611
100.0,245.0,0.14294434
100.0,250.0,0.13897705
100.0,255.0,0.13641357
100.0,260.0,0.13391113
100.0,265.0,0.13171387
100.0,270.0,0.13024902
100.0,275.0,0.1293335
100.0,280.0,0.12860107
100.0,285.0,0.12792969
100.0,290.0,0.12756348
100.0,295.0,0.1272583
100.0,300.0,0.12695312
100.0,305.0,0.12677002
100.0,310.0,0.12664795
100.0,315.0,0.12658691
100.0,320.0,0.12652588
100.0,325.0,0.12652588
100.0,330.0,0.12652588
100.0,335.0,0.12652588
100.0,340.0,0.12652588
100.0,345.0,0.12652588
100.0,350.0,0.12652588
100.0,355.0,0.12652588
100.0,360.0,0.12652588
105.0,115.0,0.11212158
105.0,120.0,0.13824463
105.0,125.0,0.16387939
105.0,130.0,0.18920898
105.0,135.0,0.21325684
105.0,140.0,0.23553467
105.0,145.0,0.25634766
105.0,150.0,0.27105713
105.0,155.0,0.27697754
105.0,160.0,0.27862549
105.0,165.0,0.27685547
105.0,170.0,0.27258301
105.0,175.0,0.26519775
105.0,180.0,0.25708008
105.0,185.0,0.24707031
105.0,190.0,0.23699951
105.0,195.0,0.22619629
105.0,200.0,0.21405029
105.0,205.0,0.2020874
105.0,210.0,0.19177246
105.0,215.0,0.18139648
105.0,220.0,0.17120361
105.0,225.0,0.16241455
105.0,230.0,0.1550293
105.0,235.0,0.14862061
105.0,240.0,0.14331055
105.0,245.0,0.13824463
105.0,250.0,0.13415527
105.0,255.0,0.1317749
105.0,260.0,0.12921143
105.0,265.0,0.12677002
105.0,270.0,0.12548828
105.0,275.0,0.12457275
105.0,280.0,0.12359619
105.0,285.0,0.12298584
105.0,290.0,0.12249756
105.0,295.0,0.12225342
105.0,300.0,0.12182617
105.0,305.0,0.12158203
105.0,310.0,0.12139893
105.0,315.0,0.12139893
105.0,320.0,0.12139893
105.0,325.0,0.12139893
105.0,330.0,0.12139893
105.0,335.0,0.12139893
105.0,340.0,0.12139893
105.0,345.0,0.12139893
105.0,350.0,0.12139893
105.0,355.0,0.12139893
105.0,360.0,0.12139893
110.0,115.0,0.11169434
110.0,120.0,0.13787842
110.0,125.0,0.16223145
110.0,130.0,0.18676758
110.0,135.0,0.2109375
110.0,140.0,0.23449707
110.0,145.0,0.25384521
110.0,150.0,0.26928711
110.0,155.0,0.27581787
110.0,160.0,0.27655029
110.0,165.0,0.27282715
110.0,170.0,0.2699585
110.0,175.0,0.2623291
110.0,180.0,0.25317383
110.0,185.0,0.24395752
110.0,190.0,0.23284912
110.0,195.0,0.22210693
110.0,200.0,0.20941162
110.0,205.0,0.19763184
110.0,210.0,0.18682861
110.0,215.0,0.17663574
110.0,220.0,0.16650391
110.0,225.0,0.15802002
110.0,230.0,0.15014648
110.0,235.0,0.14337158
110.0,240.0,0.13775635
110.0,245.0,0.13360596
110.0,250.0,0.12957764
110.0,255.0,0.12634277
110.0,260.0,0.1237793
110.0,265.0,0.12188721
110.0,270.0,0.12042236
110.0,275.0,0.1194458
110.0,280.0,0.11853027
110.0,285.0,0.11798096
110.0,290.0,0.11749268
110.0,295.0,0.11724854
110.0,300.0,0.11694336
110.0,305.0,0.11669922
110.0,310.0,0.11663818
110.0,315.0,0.11657715
110.0,320.0,0.11657715
110.0,325.0,0.11657715
110.0,330.0,0.11657715
110.0,335.0,0.11657715
110.0,340.0,0.11657715
110.0,345.0,0.11657715
110.0,350.0,0.11657715
110.0,355.0,0.11657715
110.0,360.0,0.11657715
115.0,115.0,0.11022949
115.0,120.0,0.13574219
115.0,125.0,0.16131592
115.0,130.0,0.18597412
115.0,135.0,0.20892334
115.0,140.0,0.23181152
115.0,145.0,0.25250244
115.0,150.0,0.26580811
115.0,155.0,0.27166748
115.0,160.0,0.27288818
115.0,165.0,0.27105713
115.0,170.0,0.26672363
115.0,175.0,0.25964355
115.0,180.0,0.25054932
115.0,185.0,0.24005127
115.0,190.0,0.22888184
115.0,195.0,0.21820068
115.0,200.0,0.2052002
115.0,205.0,0.19384766
115.0,210.0,0.18273926
115.0,215.0,0.17260742
115.0,220.0,0.1619873
115.0,225.0,0.15338135
115.0,230.0,0.1449585
115.0,235.0,0.13891602
115.0,240.0,0.13397217
115.0,245.0,0.12890625
115.0,250.0,0.12506104
115.0,255.0,0.12194824
115.0,260.0,0.11907959
115.0,265.0,0.11730957
115.0,270.0,0.11584473
115.0,275.0,0.11444092
115.0,280.0,0.11364746
115.0,285.0,0.11297607
115.0,290.0,0.1126709
115.0,295.0,0.11230469
115.0,300.0,0.11187744
115.0,305.0,0.11181641
115.0,310.0,0.11169434
115.0,315.0,0.11169434
115.0,320.0,0.1116333
115.0,325.0,0.1116333
115.0,330.0,0.1116333
115.0,335.0,0.1116333
115.0,340.0,0.1116333
115.0,345.0,0.1116333
